year,migback,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Yes,0.15003,3199,17940,0.14480,0.15525
2011,No migration background,No,0.64179,14741,17940,0.63477,0.64880
2011,Direct migration background,Yes,0.15426,376,2015,0.13848,0.17003
2011,Direct migration background,No,0.67506,1639,2015,0.65461,0.69552
2011,Indirect migration background,Yes,0.02454,66,790,0.01375,0.03534
2011,Indirect migration background,No,0.37509,724,790,0.34131,0.40887
2013,No migration background,Yes,0.15109,2993,16436,0.14561,0.15656
2013,No migration background,No,0.64043,13443,16436,0.63309,0.64776
2013,Direct migration background,Yes,0.11207,338,1730,0.09720,0.12694
2013,Direct migration background,No,0.39127,1392,1730,0.36826,0.41427
2013,Indirect migration background,Yes,0.02183,56,700,0.01099,0.03266
2013,Indirect migration background,No,0.22028,644,700,0.18956,0.25100
2015,No migration background,Yes,0.15933,3266,19063,0.15413,0.16452
2015,No migration background,No,0.70093,15797,19063,0.69443,0.70743
2015,Direct migration background,Yes,0.15128,699,4415,0.14071,0.16186
2015,Direct migration background,No,0.68494,3716,4415,0.67124,0.69865
2015,Indirect migration background,Yes,0.03715,140,1562,0.02777,0.04653
2015,Indirect migration background,No,0.44484,1422,1562,0.42019,0.46950
2017,No migration background,Yes,0.14847,3231,20158,0.14356,0.15338
2017,No migration background,No,0.71165,16927,20158,0.70539,0.71790
2017,Direct migration background,Yes,0.15149,693,4754,0.14130,0.16168
2017,Direct migration background,No,0.75275,4061,4754,0.74048,0.76501
2017,Indirect migration background,Yes,0.04306,152,1637,0.03322,0.05289
2017,Indirect migration background,No,0.46431,1485,1637,0.44014,0.48848
2019,No migration background,Yes,0.15180,3245,20183,0.14685,0.15675
2019,No migration background,No,0.70693,16938,20183,0.70065,0.71321
2019,Direct migration background,Yes,0.14057,574,3963,0.12975,0.15140
2019,Direct migration background,No,0.75934,3389,3963,0.74603,0.77265
2019,Indirect migration background,Yes,0.04372,145,1579,0.03363,0.05381
2019,Indirect migration background,No,0.46953,1434,1579,0.44490,0.49415
2021,No migration background,Yes,0.16409,2393,13109,0.15775,0.17043
2021,No migration background,No,0.68381,10716,13109,0.67585,0.69177
2021,Direct migration background,Yes,0.19430,750,5120,0.18346,0.20514
2021,Direct migration background,No,0.72777,4370,5120,0.71558,0.73996
2021,Indirect migration background,Yes,0.05128,119,935,0.03713,0.06543
2021,Indirect migration background,No,0.42482,816,935,0.39312,0.45653
