year,sampreg,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,Yes,0.13896,2770,15840,0.13357,0.14434
2011,West,No,0.62137,13070,15840,0.61382,0.62893
2011,East,Yes,0.15154,871,4905,0.14151,0.16158
2011,East,No,0.64607,4034,4905,0.63269,0.65945
2013,West,Yes,0.13298,2595,14414,0.12744,0.13853
2013,West,No,0.56369,11819,14414,0.55559,0.57179
2013,East,Yes,0.14904,792,4452,0.13858,0.15950
2013,East,No,0.63175,3660,4452,0.61758,0.64592
2015,West,Yes,0.14610,3188,19787,0.14118,0.15102
2015,West,No,0.67488,16599,19787,0.66835,0.68141
2015,East,Yes,0.15680,917,5253,0.14697,0.16664
2015,East,No,0.68840,4336,5253,0.67587,0.70093
2017,West,Yes,0.13731,3143,20959,0.13265,0.14197
2017,West,No,0.69494,17816,20959,0.68871,0.70118
2017,East,Yes,0.14870,933,5590,0.13938,0.15803
2017,East,No,0.69375,4657,5590,0.68167,0.70584
2019,West,Yes,0.13783,3051,20103,0.13306,0.14259
2019,West,No,0.69134,17052,20103,0.68495,0.69772
2019,East,Yes,0.14960,900,5546,0.14021,0.15899
2019,East,No,0.69176,4646,5546,0.67960,0.70391
2021,West,Yes,0.15692,2574,15317,0.15116,0.16268
2021,West,No,0.66543,12743,15317,0.65796,0.67291
2021,East,Yes,0.16096,688,3847,0.14934,0.17257
2021,East,No,0.66545,3159,3847,0.65054,0.68036
