year,age_gr,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Yes,0.03216,112,2994,0.02584,0.03848
2011,17-29 y.,No,0.80258,2882,2994,0.78832,0.81684
2011,30-45 y.,Yes,0.08553,529,4856,0.07766,0.09339
2011,30-45 y.,No,0.70192,4327,4856,0.68905,0.71479
2011,46-65 y.,Yes,0.21336,1640,7775,0.20425,0.22247
2011,46-65 y.,No,0.74466,6135,7775,0.73497,0.75436
2011,66 and older,Yes,0.28320,1360,5120,0.27086,0.29555
2011,66 and older,No,0.71599,3760,5120,0.70364,0.72834
2013,17-29 y.,Yes,0.02611,99,2536,0.01991,0.03232
2013,17-29 y.,No,0.66785,2437,2536,0.64952,0.68619
2013,30-45 y.,Yes,0.07647,453,4073,0.06831,0.08464
2013,30-45 y.,No,0.60460,3620,4073,0.58958,0.61962
2013,46-65 y.,Yes,0.20272,1540,7320,0.19351,0.21194
2013,46-65 y.,No,0.70038,5780,7320,0.68989,0.71088
2013,66 and older,Yes,0.27448,1295,4937,0.26203,0.28693
2013,66 and older,No,0.71857,3642,4937,0.70602,0.73111
2015,17-29 y.,Yes,0.03251,161,3923,0.02696,0.03806
2015,17-29 y.,No,0.85299,3762,3923,0.84191,0.86407
2015,30-45 y.,Yes,0.10042,803,7356,0.09355,0.10729
2015,30-45 y.,No,0.85241,6553,7356,0.84431,0.86052
2015,46-65 y.,Yes,0.21546,1814,8878,0.20691,0.22402
2015,46-65 y.,No,0.77603,7064,8878,0.76736,0.78471
2015,66 and older,Yes,0.27970,1327,4883,0.26711,0.29229
2015,66 and older,No,0.71927,3556,4883,0.70666,0.73187
2017,17-29 y.,Yes,0.02908,167,4360,0.02409,0.03407
2017,17-29 y.,No,0.88292,4193,4360,0.87337,0.89246
2017,30-45 y.,Yes,0.09010,718,7257,0.08352,0.09669
2017,30-45 y.,No,0.89940,6539,7257,0.89248,0.90632
2017,46-65 y.,Yes,0.21043,1938,9973,0.20243,0.21843
2017,46-65 y.,No,0.78731,8035,9973,0.77927,0.79534
2017,66 and older,Yes,0.26375,1253,4959,0.25149,0.27602
2017,66 and older,No,0.73593,3706,4959,0.72366,0.74820
2019,17-29 y.,Yes,0.03957,141,3843,0.03341,0.04573
2019,17-29 y.,No,0.86554,3702,3843,0.85475,0.87633
2019,30-45 y.,Yes,0.08660,606,6287,0.07964,0.09355
2019,30-45 y.,No,0.89909,5681,6287,0.89165,0.90654
2019,46-65 y.,Yes,0.20157,1927,10421,0.19386,0.20927
2019,46-65 y.,No,0.79561,8494,10421,0.78787,0.80335
2019,66 and older,Yes,0.27417,1290,5174,0.26201,0.28633
2019,66 and older,No,0.72553,3884,5174,0.71337,0.73770
2021,17-29 y.,Yes,0.03721,132,3179,0.03063,0.04379
2021,17-29 y.,No,0.88543,3047,3179,0.87436,0.89651
2021,30-45 y.,Yes,0.10962,602,5206,0.10113,0.11810
2021,30-45 y.,No,0.87379,4604,5206,0.86477,0.88281
2021,46-65 y.,Yes,0.23484,1558,7216,0.22506,0.24462
2021,46-65 y.,No,0.75598,5658,7216,0.74607,0.76589
2021,66 and older,Yes,0.29719,970,3563,0.28219,0.31220
2021,66 and older,No,0.69437,2593,3563,0.67924,0.70950
