year,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.10250,1084,8644,0.09610,0.10889
1985,Urban regions,No,0.73875,7560,8644,0.72949,0.74801
1985,Rural regions,Yes,0.09390,269,2361,0.08213,0.10567
1985,Rural regions,No,0.73154,2092,2361,0.71366,0.74942
1986,Urban regions,Yes,0.10141,1089,8327,0.09493,0.10790
1986,Urban regions,No,0.74042,7238,8327,0.73100,0.74984
1986,Rural regions,Yes,0.09193,272,2255,0.08000,0.10386
1986,Rural regions,No,0.73208,1983,2255,0.71380,0.75037
1987,Urban regions,Yes,0.09609,1081,8226,0.08972,0.10246
1987,Urban regions,No,0.74487,7145,8226,0.73545,0.75429
1987,Rural regions,Yes,0.07733,250,2224,0.06622,0.08843
1987,Rural regions,No,0.73916,1974,2224,0.72091,0.75741
1988,Urban regions,Yes,0.09223,993,7888,0.08585,0.09862
1988,Urban regions,No,0.74888,6895,7888,0.73930,0.75845
1988,Rural regions,Yes,0.08190,243,2082,0.07012,0.09368
1988,Rural regions,No,0.73480,1839,2082,0.71583,0.75377
1989,Urban regions,Yes,0.09660,944,7685,0.09000,0.10321
1989,Urban regions,No,0.74577,6741,7685,0.73604,0.75551
1989,Rural regions,Yes,0.07674,212,1976,0.06500,0.08848
1989,Rural regions,No,0.74118,1764,1976,0.72186,0.76050
1990,Urban regions,Yes,0.09165,1056,8952,0.08567,0.09762
1990,Urban regions,No,0.73805,7896,8952,0.72894,0.74716
1990,Rural regions,Yes,0.07366,493,4844,0.06631,0.08102
1990,Rural regions,No,0.73555,4351,4844,0.72313,0.74797
1991,Urban regions,Yes,0.09165,1086,8760,0.08560,0.09769
1991,Urban regions,No,0.73606,7674,8760,0.72683,0.74529
1991,Rural regions,Yes,0.07939,528,4735,0.07169,0.08710
1991,Rural regions,No,0.73752,4207,4735,0.72499,0.75005
1992,Urban regions,Yes,0.08894,1063,8649,0.08294,0.09494
1992,Urban regions,No,0.73864,7586,8649,0.72938,0.74790
1992,Rural regions,Yes,0.08510,568,4546,0.07698,0.09321
1992,Rural regions,No,0.73206,3978,4546,0.71919,0.74494
1993,Urban regions,Yes,0.08762,1035,8585,0.08164,0.09360
1993,Urban regions,No,0.73838,7550,8585,0.72908,0.74768
1993,Rural regions,Yes,0.08193,550,4516,0.07393,0.08993
1993,Rural regions,No,0.73581,3966,4516,0.72295,0.74868
1994,Urban regions,Yes,0.08104,956,8459,0.07523,0.08686
1994,Urban regions,No,0.74526,7503,8459,0.73598,0.75455
1994,Rural regions,Yes,0.07791,510,4414,0.07000,0.08582
1994,Rural regions,No,0.73581,3904,4414,0.72280,0.74882
1995,Urban regions,Yes,0.08507,1045,8715,0.07922,0.09093
1995,Urban regions,No,0.74131,7670,8715,0.73212,0.75051
1995,Rural regions,Yes,0.08032,558,4568,0.07244,0.08820
1995,Rural regions,No,0.73051,4010,4568,0.71764,0.74338
1996,Urban regions,Yes,0.08162,977,8519,0.07581,0.08744
1996,Urban regions,No,0.74344,7542,8519,0.73417,0.75272
1996,Rural regions,Yes,0.07647,529,4525,0.06873,0.08422
1996,Rural regions,No,0.73946,3996,4525,0.72667,0.75225
1997,Urban regions,Yes,0.08397,982,8369,0.07803,0.08991
1997,Urban regions,No,0.74410,7387,8369,0.73475,0.75345
1997,Rural regions,Yes,0.07790,525,4457,0.07003,0.08577
1997,Rural regions,No,0.73734,3932,4457,0.72441,0.75026
1998,Urban regions,Yes,0.08203,1018,9272,0.07645,0.08762
1998,Urban regions,No,0.74940,8254,9272,0.74058,0.75822
1998,Rural regions,Yes,0.07532,554,4966,0.06798,0.08266
1998,Rural regions,No,0.73936,4412,4966,0.72715,0.75157
1999,Urban regions,Yes,0.08478,1017,8878,0.07898,0.09057
1999,Urban regions,No,0.74771,7861,8878,0.73867,0.75674
1999,Rural regions,Yes,0.07680,545,4796,0.06927,0.08434
1999,Rural regions,No,0.74133,4251,4796,0.72893,0.75372
2000,Urban regions,Yes,0.07875,1677,15711,0.07454,0.08297
2000,Urban regions,No,0.75066,14034,15711,0.74389,0.75742
