year,age_gr,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Yes,0.40412,1269,3434,0.38771,0.42054
1984,17-29 y.,No,0.59452,2165,3434,0.57810,0.61095
1984,30-45 y.,Yes,0.04144,133,3900,0.03518,0.04770
1984,30-45 y.,No,0.95643,3767,3900,0.95002,0.96284
1984,46-65 y.,No,0.98944,3526,3526,0.98606,0.99281
1984,66 and older,No,0.99701,1262,1262,0.99400,1.00003
1985,17-29 y.,Yes,0.42479,1224,3131,0.40748,0.44211
1985,17-29 y.,No,0.57330,1907,3131,0.55598,0.59063
1985,30-45 y.,Yes,0.04054,116,3469,0.03398,0.04711
1985,30-45 y.,No,0.95785,3353,3469,0.95117,0.96454
1985,46-65 y.,No,0.99381,3287,3287,0.99113,0.99649
1985,66 and older,No,0.99816,1105,1105,0.99564,1.00069
1986,17-29 y.,Yes,0.41237,1216,3054,0.39491,0.42983
1986,17-29 y.,No,0.58749,1838,3054,0.57002,0.60495
1986,30-45 y.,Yes,0.04665,125,3270,0.03942,0.05388
1986,30-45 y.,No,0.95335,3145,3270,0.94612,0.96058
1986,46-65 y.,No,0.99324,3210,3210,0.99040,0.99607
1986,66 and older,No,0.99700,1028,1028,0.99366,1.00035
1987,17-29 y.,Yes,0.38309,1188,3007,0.36571,0.40047
1987,17-29 y.,No,0.61561,1819,3007,0.59822,0.63300
1987,30-45 y.,Yes,0.04782,118,3167,0.04039,0.05525
1987,30-45 y.,No,0.95206,3049,3167,0.94462,0.95951
1987,46-65 y.,No,0.98985,3185,3185,0.98637,0.99333
1987,66 and older,No,0.99756,1066,1066,0.99460,1.00052
1988,17-29 y.,Yes,0.38878,1111,2871,0.37095,0.40662
1988,17-29 y.,No,0.61043,1760,2871,0.59259,0.62827
1988,30-45 y.,Yes,0.04309,105,2952,0.03577,0.05042
1988,30-45 y.,No,0.95691,2847,2952,0.94958,0.96423
1988,46-65 y.,No,0.99142,3091,3091,0.98816,0.99467
1989,17-29 y.,Yes,0.39257,1032,2826,0.37456,0.41058
1989,17-29 y.,No,0.60642,1794,2826,0.58841,0.62444
1989,30-45 y.,Yes,0.04665,104,2842,0.03890,0.05441
1989,30-45 y.,No,0.95335,2738,2842,0.94559,0.96110
1989,46-65 y.,No,0.99309,2965,2965,0.99011,0.99607
1989,66 and older,No,0.99754,1008,1008,0.99448,1.00060
1990,17-29 y.,Yes,0.35927,1289,3854,0.34412,0.37442
1990,17-29 y.,No,0.63930,2565,3854,0.62413,0.65446
1990,30-45 y.,Yes,0.04949,205,4306,0.04301,0.05597
1990,30-45 y.,No,0.95051,4101,4306,0.94403,0.95699
1990,46-65 y.,Yes,0.01646,66,4261,0.01264,0.02028
1990,46-65 y.,No,0.98344,4195,4261,0.97961,0.98728
1990,66 and older,No,0.99947,1461,1461,0.99828,1.00065
1991,17-29 y.,Yes,0.36280,1279,3695,0.34729,0.37830
1991,17-29 y.,No,0.63670,2416,3695,0.62119,0.65221
1991,30-45 y.,Yes,0.06691,276,4314,0.05945,0.07436
1991,30-45 y.,No,0.93285,4038,4314,0.92538,0.94032
1991,46-65 y.,Yes,0.01402,68,4132,0.01043,0.01761
1991,46-65 y.,No,0.98598,4064,4132,0.98239,0.98957
1991,66 and older,No,0.99890,1442,1442,0.99718,1.00061
1992,17-29 y.,Yes,0.37675,1293,3573,0.36085,0.39264
1992,17-29 y.,No,0.62280,2280,3573,0.60691,0.63870
1992,30-45 y.,Yes,0.06493,285,4261,0.05753,0.07233
1992,30-45 y.,No,0.93507,3976,4261,0.92767,0.94247
1992,46-65 y.,Yes,0.01602,75,4031,0.01214,0.01989
1992,46-65 y.,No,0.98328,3956,4031,0.97932,0.98724
1992,66 and older,No,0.99960,1448,1448,0.99857,1.00063
1993,17-29 y.,Yes,0.39016,1274,3482,0.37396,0.40637
1993,17-29 y.,No,0.60951,2208,3482,0.59330,0.62572
1993,30-45 y.,Yes,0.05766,261,4198,0.05061,0.06471
1993,30-45 y.,No,0.94234,3937,4198,0.93529,0.94939
1993,46-65 y.,Yes,0.01136,50,3950,0.00806,0.01467
1993,46-65 y.,No,0.98864,3900,3950,0.98533,0.99194
