year,age_gr,migback,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Yes,0.41815,972,2347,0.39819,0.43811
1984,17-29 y.,No migration background,No,0.58062,1375,2347,0.56065,0.60059
1984,17-29 y.,Direct migration background,Yes,0.26130,242,996,0.23400,0.28860
1984,17-29 y.,Direct migration background,No,0.73609,754,996,0.70870,0.76348
1984,17-29 y.,Indirect migration background,Yes,0.56478,55,91,0.46235,0.66721
1984,17-29 y.,Indirect migration background,No,0.43522,36,91,0.33279,0.53765
1984,30-45 y.,No migration background,Yes,0.04283,107,2493,0.03488,0.05078
1984,30-45 y.,No migration background,No,0.95509,2386,2493,0.94696,0.96322
1984,30-45 y.,Direct migration background,No,0.96410,1362,1362,0.95422,0.97399
1984,46-65 y.,No migration background,No,0.98935,2569,2569,0.98538,0.99332
1984,46-65 y.,Direct migration background,No,0.99491,946,946,0.99038,0.99945
1984,66 and older,No migration background,No,0.99722,1225,1225,0.99427,1.00017
1984,66 and older,Direct migration background,No,0.98711,34,34,0.94862,1.02560
1985,17-29 y.,No migration background,Yes,0.43597,944,2200,0.41525,0.45670
1985,17-29 y.,No migration background,No,0.56202,1256,2200,0.54129,0.58276
1985,17-29 y.,Direct migration background,Yes,0.29838,210,821,0.26706,0.32970
1985,17-29 y.,Direct migration background,No,0.70049,611,821,0.66914,0.73184
1985,17-29 y.,Indirect migration background,Yes,0.51974,70,110,0.42594,0.61353
1985,17-29 y.,Indirect migration background,No,0.48026,40,110,0.38647,0.57406
1985,30-45 y.,No migration background,Yes,0.04112,89,2274,0.03295,0.04928
1985,30-45 y.,No migration background,No,0.95721,2185,2274,0.94889,0.96553
1985,30-45 y.,Direct migration background,No,0.96109,1152,1152,0.94992,0.97226
1985,46-65 y.,No migration background,No,0.99378,2415,2415,0.99064,0.99692
1985,46-65 y.,Direct migration background,No,0.99933,862,862,0.99760,1.00106
1985,66 and older,No migration background,No,0.99811,1065,1065,0.99550,1.00072
1986,17-29 y.,No migration background,Yes,0.42168,914,2133,0.40072,0.44264
1986,17-29 y.,No migration background,No,0.57832,1219,2133,0.55736,0.59928
1986,17-29 y.,Direct migration background,Yes,0.30807,226,799,0.27604,0.34011
1986,17-29 y.,Direct migration background,No,0.69029,573,799,0.65821,0.72237
1986,17-29 y.,Indirect migration background,Yes,0.48178,76,122,0.39274,0.57081
