year,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.10450,343,2486,0.09247,0.11653
1984,1st Quintile,No,0.66313,2143,2486,0.64455,0.68172
1984,2nd Quintile,Yes,0.09687,305,2386,0.08500,0.10874
1984,2nd Quintile,No,0.69657,2081,2386,0.67812,0.71502
1984,3rd Quintile,Yes,0.09442,276,2357,0.08261,0.10623
1984,3rd Quintile,No,0.72418,2081,2357,0.70614,0.74223
1984,4th Quintile,Yes,0.09589,286,2496,0.08433,0.10744
1984,4th Quintile,No,0.75524,2210,2496,0.73837,0.77211
1984,5th Quintile,Yes,0.08100,213,2402,0.07009,0.09192
1984,5th Quintile,No,0.81259,2189,2402,0.79698,0.82820
1985,1st Quintile,Yes,0.11876,341,2240,0.10536,0.13216
1985,1st Quintile,No,0.65416,1899,2240,0.63446,0.67386
1985,2nd Quintile,Yes,0.08552,252,2156,0.07371,0.09732
1985,2nd Quintile,No,0.71196,1904,2156,0.69284,0.73108
1985,3rd Quintile,Yes,0.11041,286,2202,0.09732,0.12350
1985,3rd Quintile,No,0.73196,1916,2202,0.71345,0.75046
1985,4th Quintile,Yes,0.09743,255,2227,0.08511,0.10974
1985,4th Quintile,No,0.77354,1972,2227,0.75615,0.79093
1985,5th Quintile,Yes,0.08771,215,2172,0.07581,0.09961
1985,5th Quintile,No,0.81458,1957,2172,0.79824,0.83093
1986,1st Quintile,Yes,0.11458,331,2071,0.10086,0.12830
1986,1st Quintile,No,0.66784,1740,2071,0.64755,0.68813
1986,2nd Quintile,Yes,0.08315,259,2081,0.07129,0.09502
1986,2nd Quintile,No,0.70891,1822,2081,0.68938,0.72843
1986,3rd Quintile,Yes,0.11028,293,2108,0.09691,0.12366
1986,3rd Quintile,No,0.72024,1815,2108,0.70108,0.73941
1986,4th Quintile,Yes,0.09495,246,2214,0.08273,0.10716
1986,4th Quintile,No,0.78282,1968,2214,0.76564,0.80000
1986,5th Quintile,Yes,0.09230,231,2102,0.07992,0.10467
1986,5th Quintile,No,0.81174,1871,2102,0.79502,0.82845
1987,1st Quintile,Yes,0.10910,324,2029,0.09553,0.12267
1987,1st Quintile,No,0.67650,1705,2029,0.65614,0.69686
1987,2nd Quintile,Yes,0.08193,261,2048,0.07005,0.09381
1987,2nd Quintile,No,0.70518,1787,2048,0.68543,0.72493
1987,3rd Quintile,Yes,0.08536,268,2100,0.07341,0.09731
1987,3rd Quintile,No,0.73758,1832,2100,0.71876,0.75640
1987,4th Quintile,Yes,0.09597,268,2189,0.08363,0.10832
1987,4th Quintile,No,0.78383,1921,2189,0.76658,0.80108
1987,5th Quintile,Yes,0.08462,209,2081,0.07266,0.09658
1987,5th Quintile,No,0.81459,1872,2081,0.79789,0.83129
1988,1st Quintile,Yes,0.10715,299,1967,0.09348,0.12083
1988,1st Quintile,No,0.67093,1668,1967,0.65016,0.69170
1988,2nd Quintile,Yes,0.08460,261,1984,0.07235,0.09685
1988,2nd Quintile,No,0.70138,1723,1984,0.68124,0.72153
1988,3rd Quintile,Yes,0.10513,284,2008,0.09171,0.11855
1988,3rd Quintile,No,0.72666,1724,2008,0.70716,0.74615
1988,4th Quintile,Yes,0.08010,219,2073,0.06841,0.09179
1988,4th Quintile,No,0.79058,1854,2073,0.77306,0.80810
1988,5th Quintile,Yes,0.07063,172,1936,0.05922,0.08205
1988,5th Quintile,No,0.83863,1764,1936,0.82224,0.85502
1989,1st Quintile,Yes,0.11040,289,1920,0.09637,0.12442
1989,1st Quintile,No,0.67239,1631,1920,0.65139,0.69339
1989,2nd Quintile,Yes,0.08516,247,1963,0.07281,0.09751
1989,2nd Quintile,No,0.69178,1716,1963,0.67134,0.71221
1989,3rd Quintile,Yes,0.09728,237,1894,0.08393,0.11063
1989,3rd Quintile,No,0.73280,1657,1894,0.71286,0.75273
1989,4th Quintile,Yes,0.09265,224,2035,0.08005,0.10525
1989,4th Quintile,No,0.79876,1811,2035,0.78134,0.81618
1989,5th Quintile,Yes,0.07409,159,1848,0.06215,0.08604
1989,5th Quintile,No,0.82766,1689,1848,0.81043,0.84488
1990,1st Quintile,Yes,0.09543,261,1885,0.08216,0.10869
1990,1st Quintile,No,0.68056,1624,1885,0.65951,0.70161
1990,2nd Quintile,Yes,0.09260,239,1890,0.07953,0.10568
1990,2nd Quintile,No,0.68652,1651,1890,0.66560,0.70744
1990,3rd Quintile,Yes,0.08926,227,1913,0.07648,0.10204
1990,3rd Quintile,No,0.73204,1686,1913,0.71218,0.75189
1990,4th Quintile,Yes,0.08814,202,1937,0.07552,0.10077
