year,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.09493,1430,12150,0.08972,0.10014
1984,West,No,0.73030,10720,12150,0.72241,0.73820
1985,West,Yes,0.10035,1353,11005,0.09474,0.10596
1985,West,No,0.73695,9652,11005,0.72872,0.74517
1986,West,Yes,0.09906,1361,10582,0.09337,0.10476
1986,West,No,0.73836,9221,10582,0.72998,0.74673
1987,West,Yes,0.09148,1331,10450,0.08596,0.09701
1987,West,No,0.74347,9119,10450,0.73509,0.75184
1988,West,Yes,0.08973,1236,9970,0.08412,0.09534
1988,West,No,0.74547,8734,9970,0.73691,0.75402
1989,West,Yes,0.09191,1156,9661,0.08615,0.09767
1989,West,No,0.74469,8505,9661,0.73599,0.75338
1990,West,Yes,0.08893,1089,9460,0.08319,0.09467
1990,West,No,0.74465,8371,9460,0.73586,0.75344
1990,East,Yes,0.07476,472,4423,0.06701,0.08251
1990,East,No,0.70647,3951,4423,0.69305,0.71990
1991,West,Yes,0.08901,1133,9447,0.08327,0.09475
1991,West,No,0.73910,8314,9447,0.73025,0.74796
1991,East,Yes,0.08249,492,4138,0.07411,0.09087
1991,East,No,0.72476,3646,4138,0.71115,0.73837
1992,West,Yes,0.08622,1098,9338,0.08053,0.09192
1992,West,No,0.74007,8240,9338,0.73117,0.74897
1992,East,Yes,0.09523,556,3976,0.08611,0.10436
1992,East,No,0.71854,3420,3976,0.70455,0.73252
1993,West,Yes,0.08244,1042,9272,0.07684,0.08803
1993,West,No,0.74356,8230,9272,0.73467,0.75245
1993,East,Yes,0.09912,543,3829,0.08966,0.10859
1993,East,No,0.71394,3286,3829,0.69962,0.72826
1994,West,Yes,0.07748,968,9098,0.07199,0.08297
1994,West,No,0.74589,8130,9098,0.73694,0.75483
1994,East,Yes,0.09043,498,3775,0.08128,0.09958
1994,East,No,0.72782,3277,3775,0.71362,0.74202
1995,West,Yes,0.08209,1099,9591,0.07659,0.08758
1995,West,No,0.73857,8492,9591,0.72977,0.74736
1995,East,Yes,0.08969,504,3692,0.08047,0.09891
1995,East,No,0.73488,3188,3692,0.72064,0.74912
1996,West,Yes,0.07726,1004,9360,0.07185,0.08267
1996,West,No,0.74336,8356,9360,0.73451,0.75221
1996,East,Yes,0.09176,502,3684,0.08244,0.10109
1996,East,No,0.73720,3182,3684,0.72298,0.75141
1997,West,Yes,0.08047,1014,9194,0.07491,0.08603
1997,West,No,0.74066,8180,9194,0.73170,0.74962
1997,East,Yes,0.08958,494,3633,0.08029,0.09887
1997,East,No,0.74715,3139,3633,0.73301,0.76128
1998,West,Yes,0.08021,1106,10373,0.07499,0.08544
1998,West,No,0.74316,9267,10373,0.73475,0.75157
1998,East,Yes,0.07857,466,3865,0.07009,0.08706
1998,East,No,0.75929,3399,3865,0.74581,0.77277
1999,West,Yes,0.08110,1080,9891,0.07572,0.08648
1999,West,No,0.74279,8811,9891,0.73418,0.75141
1999,East,Yes,0.08741,482,3783,0.07840,0.09641
1999,East,No,0.75850,3301,3783,0.74486,0.77214
2000,West,Yes,0.07562,1850,18259,0.07179,0.07946
2000,West,No,0.74722,16409,18259,0.74092,0.75353
2000,East,Yes,0.08986,737,5848,0.08253,0.09719
2000,East,No,0.75839,5111,5848,0.74741,0.76936
2001,West,Yes,0.07916,1738,16486,0.07503,0.08328
2001,West,No,0.74348,14748,16486,0.73681,0.75015
2001,East,Yes,0.09476,706,5435,0.08697,0.10255
2001,East,No,0.76291,4729,5435,0.75160,0.77421
2002,West,Yes,0.07895,1901,17597,0.07496,0.08293
2002,West,No,0.74486,15696,17597,0.73842,0.75130
2002,East,Yes,0.10313,727,5429,0.09504,0.11122
2002,East,No,0.76117,4702,5429,0.74983,0.77251
2003,West,Yes,0.07908,1821,16821,0.07500,0.08316
2003,West,No,0.74610,15000,16821,0.73952,0.75267
2003,East,Yes,0.09682,690,5344,0.08889,0.10475
2003,East,No,0.77081,4654,5344,0.75954,0.78208
2004,West,Yes,0.08101,1839,16389,0.07683,0.08518
2004,West,No,0.74794,14550,16389,0.74129,0.75458
2004,East,Yes,0.09801,672,5223,0.08994,0.10607
2004,East,No,0.77524,4551,5223,0.76392,0.78656
2005,West,Yes,0.08633,1764,15660,0.08193,0.09073
2005,West,No,0.74838,13896,15660,0.74158,0.75518
2005,East,Yes,0.10355,635,5037,0.09513,0.11196
2005,East,No,0.77001,4402,5037,0.75839,0.78164
2006,West,Yes,0.07227,1519,16692,0.06834,0.07620
2006,West,No,0.75464,15173,16692,0.74812,0.76117
2006,East,Yes,0.08600,548,5275,0.07843,0.09356
2006,East,No,0.78225,4727,5275,0.77111,0.79338
2007,West,Yes,0.07147,1424,15498,0.06742,0.07553
2007,West,No,0.75499,14074,15498,0.74822,0.76176
2007,East,Yes,0.09294,554,5011,0.08490,0.10098
2007,East,No,0.78247,4457,5011,0.77104,0.79389
2008,West,Yes,0.07478,1369,14546,0.07050,0.07905
2008,West,No,0.75758,13177,14546,0.75062,0.76454
2008,East,Yes,0.08627,499,4770,0.07830,0.09424
2008,East,No,0.78999,4271,4770,0.77843,0.80155
2009,West,Yes,0.08071,1294,13477,0.07611,0.08531
2009,West,No,0.75715,12183,13477,0.74991,0.76439
2009,East,Yes,0.08242,422,4541,0.07442,0.09041
2009,East,No,0.78702,4119,4541,0.77511,0.79893
2010,West,Yes,0.08625,1708,18496,0.08221,0.09030
2010,West,No,0.75164,16788,18496,0.74541,0.75786
2010,East,Yes,0.08978,518,5471,0.08220,0.09736
2010,East,No,0.78761,4953,5471,0.77677,0.79845
2011,West,Yes,0.08001,2029,22061,0.07643,0.08360
2011,West,No,0.75274,20032,22061,0.74705,0.75843
2011,East,Yes,0.07602,549,6311,0.06948,0.08256
2011,East,No,0.78978,5762,6311,0.77973,0.79984
2012,West,Yes,0.08077,2027,21462,0.07712,0.08441
2012,West,No,0.75432,19435,21462,0.74856,0.76008
2012,East,Yes,0.06650,507,6172,0.06029,0.07272
2012,East,No,0.79824,5665,6172,0.78822,0.80825
2013,West,Yes,0.08494,2651,24515,0.08145,0.08843
2013,West,No,0.75160,21864,24515,0.74619,0.75701
2013,East,Yes,0.06550,509,6106,0.05929,0.07170
2013,East,No,0.80122,5597,6106,0.79120,0.81123
2014,West,Yes,0.08748,2345,21497,0.08370,0.09126
2014,West,No,0.75211,19152,21497,0.74633,0.75788
2014,East,Yes,0.06909,483,5583,0.06244,0.07574
2014,East,No,0.78895,5100,5583,0.77824,0.79965
2015,West,Yes,0.08433,2280,21380,0.08060,0.08805
2015,West,No,0.75729,19100,21380,0.75155,0.76304
2015,East,Yes,0.06575,457,5406,0.05914,0.07236
2015,East,No,0.79151,4949,5406,0.78068,0.80234
2016,West,Yes,0.08529,2182,21718,0.08158,0.08901
2016,West,No,0.75397,19536,21718,0.74824,0.75970
2016,East,Yes,0.06599,401,5538,0.05945,0.07253
2016,East,No,0.78524,5137,5538,0.77442,0.79606
2017,West,Yes,0.08568,2612,24345,0.08216,0.08919
2017,West,No,0.75222,21733,24345,0.74680,0.75765
2017,East,Yes,0.07072,500,6170,0.06432,0.07712
2017,East,No,0.77727,5670,6170,0.76689,0.78765
2018,West,Yes,0.08079,2517,23197,0.07728,0.08429
2018,West,No,0.76263,20680,23197,0.75715,0.76810
2018,East,Yes,0.06340,489,6009,0.05723,0.06956
2018,East,No,0.77968,5520,6009,0.76920,0.79016
2019,West,Yes,0.07810,2347,22997,0.07463,0.08157
2019,West,No,0.75783,20650,22997,0.75229,0.76336
2019,East,Yes,0.06581,444,6000,0.05954,0.07209
2019,East,No,0.78145,5556,6000,0.77099,0.79191
2020,West,Yes,0.08012,2528,23576,0.07666,0.08359
2020,West,No,0.75341,21048,23576,0.74791,0.75891
2020,East,Yes,0.06153,441,5826,0.05536,0.06770
2020,East,No,0.78353,5385,5826,0.77295,0.79410
2021,West,Yes,0.07841,1719,15620,0.07419,0.08262
2021,West,No,0.75054,13901,15620,0.74376,0.75733
2021,East,Yes,0.06905,335,3889,0.06108,0.07702
2021,East,No,0.76470,3554,3889,0.75137,0.77803
