year,bula_h,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Yes,0.08925,44,386,0.06077,0.11772
1984,Schleswig-Holstein,No,0.72633,342,386,0.68179,0.77086
1984,Hamburg,Yes,0.10724,34,309,0.07269,0.14180
1984,Hamburg,No,0.78787,275,309,0.74221,0.83352
1984,Lower Saxony,Yes,0.11037,177,1231,0.09286,0.12788
1984,Lower Saxony,No,0.71392,1054,1231,0.68867,0.73918
1984,Bremen,No,0.86298,122,122,0.80170,0.92425
1984,North Rhine-Westphalia,Yes,0.10147,421,3249,0.09108,0.11185
1984,North Rhine-Westphalia,No,0.71353,2828,3249,0.69798,0.72907
1984,Hesse,Yes,0.10662,154,1247,0.08948,0.12375
1984,Hesse,No,0.74237,1093,1247,0.71809,0.76665
1984,"Rhineland-Palatinate, Saarland",Yes,0.09071,95,850,0.07139,0.11002
1984,"Rhineland-Palatinate, Saarland",No,0.75597,755,850,0.72708,0.78486
1984,Baden-Wuerttemberg,Yes,0.08553,223,2252,0.07398,0.09709
1984,Baden-Wuerttemberg,No,0.71774,2029,2252,0.69914,0.73633
1984,Bavaria,Yes,0.08325,225,2087,0.07140,0.09511
1984,Bavaria,No,0.74153,1862,2087,0.72274,0.76032
1984,Berlin,Yes,0.08705,47,407,0.05962,0.11447
1984,Berlin,No,0.74800,360,407,0.70577,0.79023
1985,Schleswig-Holstein,Yes,0.09023,38,352,0.06026,0.12021
1985,Schleswig-Holstein,No,0.73349,314,352,0.68724,0.77974
1985,Hamburg,Yes,0.10284,33,279,0.06714,0.13855
1985,Hamburg,No,0.80295,246,279,0.75619,0.84971
1985,Lower Saxony,Yes,0.12358,168,1107,0.10418,0.14297
1985,Lower Saxony,No,0.72169,939,1107,0.69527,0.74810
1985,Bremen,No,0.84538,104,104,0.77556,0.91520
1985,North Rhine-Westphalia,Yes,0.11001,409,2959,0.09873,0.12129
1985,North Rhine-Westphalia,No,0.71730,2550,2959,0.70107,0.73353
1985,Hesse,Yes,0.10149,133,1127,0.08386,0.11913
1985,Hesse,No,0.75555,994,1127,0.73045,0.78066
1985,"Rhineland-Palatinate, Saarland",Yes,0.08651,86,772,0.06667,0.10635
1985,"Rhineland-Palatinate, Saarland",No,0.77015,686,772,0.74045,0.79985
1985,Baden-Wuerttemberg,Yes,0.09451,225,2037,0.08181,0.10722
1985,Baden-Wuerttemberg,No,0.72073,1812,2037,0.70124,0.74022
1985,Bavaria,Yes,0.08980,210,1892,0.07691,0.10268
1985,Bavaria,No,0.74438,1682,1892,0.72472,0.76404
1985,Berlin,Yes,0.07265,39,364,0.04595,0.09935
1985,Berlin,No,0.77620,325,364,0.73332,0.81907
1986,Schleswig-Holstein,Yes,0.08675,35,323,0.05600,0.11749
1986,Schleswig-Holstein,No,0.74177,288,323,0.69397,0.78958
1986,Hamburg,No,0.81443,226,226,0.76363,0.86522
1986,Lower Saxony,Yes,0.11687,167,1108,0.09795,0.13580
1986,Lower Saxony,No,0.73026,941,1108,0.70412,0.75641
1986,Bremen,No,0.86826,100,100,0.80164,0.93488
1986,North Rhine-Westphalia,Yes,0.11016,415,2856,0.09867,0.12164
1986,North Rhine-Westphalia,No,0.71502,2441,2856,0.69846,0.73158
1986,Hesse,Yes,0.10672,133,1049,0.08803,0.12542
1986,Hesse,No,0.74444,916,1049,0.71803,0.77085
1986,"Rhineland-Palatinate, Saarland",Yes,0.07947,84,769,0.06034,0.09860
1986,"Rhineland-Palatinate, Saarland",No,0.77668,685,769,0.74722,0.80613
1986,Baden-Wuerttemberg,Yes,0.08935,233,1987,0.07680,0.10189
1986,Baden-Wuerttemberg,No,0.73221,1754,1987,0.71274,0.75169
1986,Bavaria,Yes,0.09241,219,1773,0.07893,0.10590
1986,Bavaria,No,0.74059,1554,1773,0.72019,0.76100
1986,Berlin,Yes,0.08081,36,352,0.05230,0.10933
1986,Berlin,No,0.77277,316,352,0.72893,0.81661
1987,Schleswig-Holstein,Yes,0.06590,33,326,0.03893,0.09287
1987,Schleswig-Holstein,No,0.75185,293,326,0.70489,0.79881
1987,Hamburg,No,0.81313,200,200,0.75896,0.86729
1987,Lower Saxony,Yes,0.09739,153,1105,0.07990,0.11488
1987,Lower Saxony,No,0.74810,952,1105,0.72249,0.77371
1987,Bremen,No,0.85840,93,93,0.78716,0.92964
1987,North Rhine-Westphalia,Yes,0.10641,417,2826,0.09504,0.11778
1987,North Rhine-Westphalia,No,0.71985,2409,2826,0.70329,0.73641
1987,Hesse,Yes,0.09671,129,1055,0.07887,0.11456
1987,Hesse,No,0.75102,926,1055,0.72491,0.77713
1987,"Rhineland-Palatinate, Saarland",Yes,0.08659,86,765,0.06665,0.10653
1987,"Rhineland-Palatinate, Saarland",No,0.77115,679,765,0.74136,0.80094
1987,Baden-Wuerttemberg,Yes,0.08216,224,1961,0.07000,0.09432
1987,Baden-Wuerttemberg,No,0.73262,1737,1961,0.71303,0.75222
1987,Bavaria,Yes,0.08205,213,1723,0.06909,0.09502
1987,Bavaria,No,0.74701,1510,1723,0.72648,0.76754
1987,Berlin,Yes,0.08639,42,362,0.05741,0.11537
1987,Berlin,No,0.77608,320,362,0.73308,0.81908
1988,Schleswig-Holstein,Yes,0.06640,34,324,0.03925,0.09356
1988,Schleswig-Holstein,No,0.73463,290,324,0.68648,0.78278
1988,Hamburg,No,0.83918,182,182,0.78566,0.89270
1988,Lower Saxony,Yes,0.09803,142,1048,0.08002,0.11604
1988,Lower Saxony,No,0.74913,906,1048,0.72287,0.77539
1988,Bremen,No,0.81359,89,89,0.73223,0.89496
1988,North Rhine-Westphalia,Yes,0.10646,383,2692,0.09480,0.11811
1988,North Rhine-Westphalia,No,0.72197,2309,2692,0.70505,0.73890
1988,Hesse,Yes,0.07310,104,1002,0.05697,0.08922
1988,Hesse,No,0.76211,898,1002,0.73574,0.78849
1988,"Rhineland-Palatinate, Saarland",Yes,0.08620,81,737,0.06593,0.10648
1988,"Rhineland-Palatinate, Saarland",No,0.77650,656,737,0.74640,0.80660
1988,Baden-Wuerttemberg,Yes,0.08479,212,1885,0.07221,0.09737
1988,Baden-Wuerttemberg,No,0.73579,1673,1885,0.71588,0.75570
1988,Bavaria,Yes,0.08703,214,1647,0.07341,0.10065
1988,Bavaria,No,0.74311,1433,1647,0.72200,0.76422
1988,Berlin,Yes,0.05909,35,333,0.03373,0.08446
1988,Berlin,No,0.80144,298,333,0.75853,0.84435
1989,Schleswig-Holstein,Yes,0.09435,38,302,0.06132,0.12737
1989,Schleswig-Holstein,No,0.68854,264,302,0.63622,0.74085
1989,Hamburg,No,0.81874,174,174,0.76133,0.87614
1989,Lower Saxony,Yes,0.08656,123,996,0.06909,0.10403
1989,Lower Saxony,No,0.76538,873,996,0.73905,0.79171
1989,Bremen,No,0.80295,97,97,0.72337,0.88252
1989,North Rhine-Westphalia,Yes,0.10971,371,2614,0.09773,0.12169
1989,North Rhine-Westphalia,No,0.72140,2243,2614,0.70422,0.73859
1989,Hesse,Yes,0.08463,106,996,0.06734,0.10193
1989,Hesse,No,0.75695,890,996,0.73029,0.78360
1989,"Rhineland-Palatinate, Saarland",Yes,0.08846,74,694,0.06732,0.10960
1989,"Rhineland-Palatinate, Saarland",No,0.77880,620,694,0.74790,0.80970
1989,Baden-Wuerttemberg,Yes,0.08722,192,1813,0.07423,0.10022
1989,Baden-Wuerttemberg,No,0.73469,1621,1813,0.71436,0.75502
1989,Bavaria,Yes,0.08369,187,1614,0.07017,0.09720
1989,Bavaria,No,0.74948,1427,1614,0.72834,0.77063
