year,migback,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Yes,0.09885,1104,8659,0.09256,0.10514
1984,No migration background,No,0.74172,7555,8659,0.73250,0.75094
1984,Direct migration background,Yes,0.07222,270,3366,0.06347,0.08096
1984,Direct migration background,No,0.81139,3096,3366,0.79818,0.82461
1984,Indirect migration background,Yes,0.03904,56,125,0.00495,0.07314
1984,Indirect migration background,No,0.07942,69,125,0.03183,0.12701
1985,No migration background,Yes,0.10421,1045,7966,0.09750,0.11092
1985,No migration background,No,0.74849,6921,7966,0.73896,0.75802
1985,Direct migration background,Yes,0.07760,237,2899,0.06786,0.08734
1985,Direct migration background,No,0.83223,2662,2899,0.81863,0.84584
1985,Indirect migration background,Yes,0.04994,71,140,0.01373,0.08615
1985,Indirect migration background,No,0.09431,69,140,0.04572,0.14290
1986,No migration background,Yes,0.10329,1037,7604,0.09645,0.11013
1986,No migration background,No,0.75042,6567,7604,0.74069,0.76014
1986,Direct migration background,Yes,0.07642,247,2825,0.06662,0.08622
1986,Direct migration background,No,0.84154,2578,2825,0.82808,0.85501
1986,Indirect migration background,Yes,0.04591,77,153,0.01264,0.07918
1986,Indirect migration background,No,0.10075,76,153,0.05290,0.14861
1987,No migration background,Yes,0.09536,1000,7465,0.08870,0.10202
1987,No migration background,No,0.75642,6465,7465,0.74669,0.76616
1987,Direct migration background,Yes,0.07435,251,2812,0.06465,0.08405
1987,Direct migration background,No,0.85787,2561,2812,0.84496,0.87078
1987,Indirect migration background,Yes,0.03932,80,173,0.01028,0.06837
1987,Indirect migration background,No,0.10580,93,173,0.05984,0.15177
1988,No migration background,Yes,0.09361,920,7082,0.08683,0.10040
1988,No migration background,No,0.75841,6162,7082,0.74844,0.76838
1988,Direct migration background,Yes,0.06535,211,2668,0.05597,0.07473
1988,Direct migration background,No,0.86996,2457,2668,0.85719,0.88273
1988,Indirect migration background,Yes,0.05619,105,220,0.02569,0.08669
1988,Indirect migration background,No,0.11301,115,220,0.07108,0.15495
1989,No migration background,Yes,0.09574,856,6817,0.08875,0.10272
1989,No migration background,No,0.75773,5961,6817,0.74756,0.76790
1989,Direct migration background,Yes,0.06052,169,2588,0.05133,0.06970
1989,Direct migration background,No,0.88529,2419,2588,0.87301,0.89757
1989,Indirect migration background,Yes,0.08358,131,256,0.04961,0.11754
1989,Indirect migration background,No,0.10570,125,256,0.06796,0.14343
1990,No migration background,Yes,0.08864,1244,10915,0.08331,0.09397
1990,No migration background,No,0.74621,9671,10915,0.73804,0.75437
1990,Direct migration background,Yes,0.06124,174,2674,0.05215,0.07033
1990,Direct migration background,No,0.89476,2500,2674,0.88312,0.90639
1990,Indirect migration background,Yes,0.07979,143,294,0.04877,0.11082
1990,Indirect migration background,No,0.10958,151,294,0.07381,0.14534
1991,No migration background,Yes,0.08968,1269,10613,0.08424,0.09512
1991,No migration background,No,0.74689,9344,10613,0.73862,0.75517
1991,Direct migration background,Yes,0.06366,170,2624,0.05432,0.07300
1991,Direct migration background,No,0.90231,2454,2624,0.89094,0.91367
1991,Indirect migration background,Yes,0.09744,186,348,0.06624,0.12865
1991,Indirect migration background,No,0.11050,162,348,0.07751,0.14349
1992,No migration background,Yes,0.08821,1276,10356,0.08275,0.09367
1992,No migration background,No,0.74586,9080,10356,0.73747,0.75424
1992,Direct migration background,Yes,0.06585,158,2552,0.05623,0.07548
1992,Direct migration background,No,0.91394,2394,2552,0.90306,0.92482
1992,Indirect migration background,Yes,0.13489,220,406,0.10162,0.16816
1992,Indirect migration background,No,0.12025,186,406,0.08857,0.15193
1993,No migration background,Yes,0.08540,1219,10157,0.07996,0.09083
1993,No migration background,No,0.74707,8938,10157,0.73861,0.75552
1993,Direct migration background,Yes,0.04889,120,2477,0.04040,0.05739
1993,Direct migration background,No,0.93521,2357,2477,0.92551,0.94490
1993,Indirect migration background,Yes,0.17218,246,467,0.13790,0.20645
1993,Indirect migration background,No,0.13778,221,467,0.10649,0.16908
1994,No migration background,Yes,0.07918,1128,10025,0.07389,0.08447
1994,No migration background,No,0.75184,8897,10025,0.74339,0.76030
1994,Direct migration background,Yes,0.04665,107,2358,0.03814,0.05517
1994,Direct migration background,No,0.94144,2251,2358,0.93196,0.95092
1994,Indirect migration background,Yes,0.16463,231,490,0.13176,0.19750
1994,Indirect migration background,No,0.16161,259,490,0.12899,0.19424
1995,No migration background,Yes,0.08077,1184,9999,0.07543,0.08612
1995,No migration background,No,0.75065,8815,9999,0.74217,0.75913
1995,Direct migration background,Yes,0.07695,191,2781,0.06704,0.08686
1995,Direct migration background,No,0.86339,2590,2781,0.85063,0.87616
1995,Indirect migration background,Yes,0.15183,228,503,0.12044,0.18322
1995,Indirect migration background,No,0.16734,275,503,0.13469,0.20000
1996,No migration background,Yes,0.07799,1124,9903,0.07271,0.08327
1996,No migration background,No,0.75555,8779,9903,0.74709,0.76402
1996,Direct migration background,Yes,0.07033,167,2598,0.06049,0.08016
1996,Direct migration background,No,0.87306,2431,2598,0.86026,0.88587
1996,Indirect migration background,Yes,0.13809,215,543,0.10905,0.16714
1996,Indirect migration background,No,0.19189,328,543,0.15874,0.22505
1997,No migration background,Yes,0.08051,1126,9789,0.07512,0.08590
1997,No migration background,No,0.75429,8663,9789,0.74576,0.76282
1997,Direct migration background,Yes,0.06242,148,2471,0.05288,0.07196
1997,Direct migration background,No,0.88406,2323,2471,0.87144,0.89669
1997,Indirect migration background,Yes,0.15536,234,567,0.12552,0.18521
1997,Indirect migration background,No,0.20901,333,567,0.17551,0.24251
1998,No migration background,Yes,0.07617,1184,11242,0.07126,0.08107
1998,No migration background,No,0.76244,10058,11242,0.75457,0.77031
1998,Direct migration background,Yes,0.06716,145,2399,0.05714,0.07718
1998,Direct migration background,No,0.87803,2254,2399,0.86493,0.89113
1998,Indirect migration background,Yes,0.16235,243,597,0.13274,0.19196
1998,Indirect migration background,No,0.22683,354,597,0.19321,0.26045
1999,No migration background,Yes,0.07998,1204,10866,0.07488,0.08508
1999,No migration background,No,0.76201,9662,10866,0.75400,0.77001
1999,Direct migration background,Yes,0.04985,114,2204,0.04076,0.05893
1999,Direct migration background,No,0.90005,2090,2204,0.88753,0.91258
1999,Indirect migration background,Yes,0.17701,244,604,0.14655,0.20748
1999,Indirect migration background,No,0.21935,360,604,0.18632,0.25238
2000,No migration background,Yes,0.07613,2059,19985,0.07245,0.07981
2000,No migration background,No,0.76903,17926,19985,0.76318,0.77487
2000,Direct migration background,Yes,0.06526,234,3305,0.05684,0.07369
2000,Direct migration background,No,0.85296,3071,3305,0.84089,0.86504
2000,Indirect migration background,Yes,0.13561,294,817,0.11211,0.15910
2000,Indirect migration background,No,0.25454,523,817,0.22465,0.28442
2001,No migration background,Yes,0.07753,1933,18241,0.07365,0.08141
2001,No migration background,No,0.77073,16308,18241,0.76463,0.77683
2001,Direct migration background,Yes,0.08703,235,2916,0.07680,0.09727
2001,Direct migration background,No,0.84879,2681,2916,0.83578,0.86179
2001,Indirect migration background,Yes,0.13347,276,764,0.10934,0.15760
2001,Indirect migration background,No,0.23997,488,764,0.20967,0.27027
2002,No migration background,Yes,0.07847,2142,19461,0.07469,0.08225
2002,No migration background,No,0.77104,17319,19461,0.76513,0.77694
2002,Direct migration background,Yes,0.08870,214,2797,0.07816,0.09924
2002,Direct migration background,No,0.85549,2583,2797,0.84245,0.86852
2002,Indirect migration background,Yes,0.13934,272,768,0.11483,0.16385
2002,Indirect migration background,No,0.23606,496,768,0.20600,0.26611
2003,No migration background,Yes,0.07780,2046,18771,0.07397,0.08164
2003,No migration background,No,0.77366,16725,18771,0.76767,0.77964
2003,Direct migration background,Yes,0.08719,205,2619,0.07638,0.09800
2003,Direct migration background,No,0.86178,2414,2619,0.84856,0.87500
2003,Indirect migration background,Yes,0.13091,260,775,0.10715,0.15467
2003,Indirect migration background,No,0.26134,515,775,0.23039,0.29229
2004,No migration background,Yes,0.07820,2036,18280,0.07430,0.08209
2004,No migration background,No,0.77601,16244,18280,0.76997,0.78206
2004,Direct migration background,Yes,0.08036,185,2536,0.06978,0.09095
2004,Direct migration background,No,0.87868,2351,2536,0.86597,0.89139
2004,Indirect migration background,Yes,0.16147,290,796,0.13589,0.18704
2004,Indirect migration background,No,0.25767,506,796,0.22727,0.28807
2005,No migration background,Yes,0.08500,1945,17507,0.08087,0.08913
2005,No migration background,No,0.77197,15562,17507,0.76576,0.77819
2005,Direct migration background,Yes,0.07642,166,2367,0.06571,0.08712
2005,Direct migration background,No,0.89016,2201,2367,0.87756,0.90276
2005,Indirect migration background,Yes,0.16244,288,823,0.13722,0.18765
2005,Indirect migration background,No,0.29728,535,823,0.26603,0.32852
2006,No migration background,Yes,0.06905,1663,18777,0.06542,0.07267
2006,No migration background,No,0.78305,17114,18777,0.77715,0.78894
2006,Direct migration background,Yes,0.07209,154,2377,0.06169,0.08249
2006,Direct migration background,No,0.88872,2223,2377,0.87607,0.90136
2006,Indirect migration background,Yes,0.14076,250,813,0.11684,0.16468
2006,Indirect migration background,No,0.30892,563,813,0.27714,0.34070
2007,No migration background,Yes,0.07167,1622,17613,0.06786,0.07548
2007,No migration background,No,0.78075,15991,17613,0.77464,0.78686
2007,Direct migration background,Yes,0.07268,144,2119,0.06162,0.08373
2007,Direct migration background,No,0.89171,1975,2119,0.87847,0.90494
2007,Indirect migration background,Yes,0.11823,212,777,0.09551,0.14095
2007,Indirect migration background,No,0.34895,565,777,0.31542,0.38249
2008,No migration background,Yes,0.07343,1525,16646,0.06947,0.07740
2008,No migration background,No,0.78214,15121,16646,0.77587,0.78841
2008,Direct migration background,Yes,0.06505,111,1906,0.05397,0.07612
2008,Direct migration background,No,0.91228,1795,1906,0.89958,0.92499
2008,Indirect migration background,Yes,0.12804,232,764,0.10433,0.15174
2008,Indirect migration background,No,0.36395,532,764,0.32981,0.39809
2009,No migration background,Yes,0.07501,1410,15653,0.07088,0.07913
2009,No migration background,No,0.78196,14243,15653,0.77549,0.78843
2009,Direct migration background,Yes,0.07115,97,1659,0.05878,0.08353
2009,Direct migration background,No,0.90482,1562,1659,0.89070,0.91895
2009,Indirect migration background,Yes,0.15618,209,706,0.12938,0.18297
2009,Indirect migration background,No,0.37358,497,706,0.33787,0.40929
2010,No migration background,Yes,0.08169,1730,19915,0.07789,0.08550
2010,No migration background,No,0.77986,18185,19915,0.77411,0.78562
2010,Direct migration background,Yes,0.07940,216,2949,0.06964,0.08916
2010,Direct migration background,No,0.89124,2733,2949,0.88000,0.90248
2010,Indirect migration background,Yes,0.15444,280,1103,0.13311,0.17578
2010,Indirect migration background,No,0.31287,823,1103,0.28549,0.34024
2011,No migration background,Yes,0.07570,2035,23816,0.07234,0.07906
2011,No migration background,No,0.77923,21781,23816,0.77396,0.78450
2011,Direct migration background,Yes,0.06745,216,3300,0.05890,0.07601
2011,Direct migration background,No,0.90173,3084,3300,0.89158,0.91189
2011,Indirect migration background,Yes,0.13684,327,1256,0.11783,0.15585
2011,Indirect migration background,No,0.32391,929,1256,0.29802,0.34980
2012,No migration background,Yes,0.07495,2025,23283,0.07157,0.07833
2012,No migration background,No,0.78216,21258,23283,0.77686,0.78746
2012,Direct migration background,Yes,0.06596,204,3132,0.05726,0.07465
2012,Direct migration background,No,0.90199,2928,3132,0.89157,0.91240
2012,Indirect migration background,Yes,0.13298,305,1219,0.11391,0.15205
2012,Indirect migration background,No,0.32831,914,1219,0.30193,0.35468
2013,No migration background,Yes,0.07725,2018,22061,0.07372,0.08077
2013,No migration background,No,0.78214,20043,22061,0.77669,0.78758
2013,Direct migration background,Yes,0.07622,567,6500,0.06977,0.08267
2013,Direct migration background,No,0.89126,5933,6500,0.88369,0.89883
2013,Indirect migration background,Yes,0.13181,575,2060,0.11720,0.14642
2013,Indirect migration background,No,0.34597,1485,2060,0.32542,0.36652
2014,No migration background,Yes,0.07755,1871,20140,0.07386,0.08125
2014,No migration background,No,0.78355,18269,20140,0.77786,0.78924
2014,Direct migration background,Yes,0.08294,484,5221,0.07546,0.09042
2014,Direct migration background,No,0.88125,4737,5221,0.87247,0.89002
2014,Indirect migration background,Yes,0.14936,473,1719,0.13250,0.16621
2014,Indirect migration background,No,0.34146,1246,1719,0.31904,0.36388
2015,No migration background,Yes,0.07535,1744,19170,0.07162,0.07909
2015,No migration background,No,0.78720,17426,19170,0.78141,0.79300
