year,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Yes,0.11230,827,5948,0.10428,0.12033
1984,male,No,0.69951,5121,5948,0.68786,0.71116
1984,female,Yes,0.07905,603,6202,0.07233,0.08576
1984,female,No,0.75846,5599,6202,0.74781,0.76912
1985,male,Yes,0.11971,792,5406,0.11105,0.12836
1985,male,No,0.70651,4614,5406,0.69437,0.71865
1985,female,Yes,0.08270,561,5599,0.07548,0.08991
1985,female,No,0.76470,5038,5599,0.75359,0.77582
1986,male,Yes,0.11949,781,5231,0.11070,0.12829
1986,male,No,0.70918,4450,5231,0.69688,0.72149
1986,female,Yes,0.08037,580,5351,0.07308,0.08765
1986,female,No,0.76506,4771,5351,0.75370,0.77642
1987,male,Yes,0.10970,775,5171,0.10118,0.11822
1987,male,No,0.71370,4396,5171,0.70138,0.72602
1987,female,Yes,0.07469,556,5279,0.06760,0.08178
1987,female,No,0.77091,4723,5279,0.75957,0.78225
1988,male,Yes,0.11001,718,4930,0.10128,0.11875
1988,male,No,0.71509,4212,4930,0.70249,0.72769
1988,female,Yes,0.07088,518,5040,0.06379,0.07796
1988,female,No,0.77370,4522,5040,0.76215,0.78525
1989,male,Yes,0.11651,673,4761,0.10739,0.12562
1989,male,No,0.70976,4088,4761,0.69686,0.72265
1989,female,Yes,0.06897,483,4900,0.06187,0.07606
1989,female,No,0.77726,4417,4900,0.76560,0.78891
1990,male,Yes,0.10352,867,6768,0.09626,0.11078
1990,male,No,0.70884,5901,6768,0.69802,0.71967
1990,female,Yes,0.06960,694,7115,0.06369,0.07551
1990,female,No,0.76333,6421,7115,0.75346,0.77321
1991,male,Yes,0.10294,891,6631,0.09563,0.11026
1991,male,No,0.70872,5740,6631,0.69778,0.71966
1991,female,Yes,0.07331,734,6954,0.06718,0.07943
1991,female,No,0.76184,6220,6954,0.75183,0.77186
1992,male,Yes,0.09925,865,6463,0.09196,0.10654
1992,male,No,0.71425,5598,6463,0.70324,0.72527
1992,female,Yes,0.07749,789,6851,0.07116,0.08383
1992,female,No,0.75590,6062,6851,0.74573,0.76607
1993,male,Yes,0.09912,839,6365,0.09178,0.10646
1993,male,No,0.71546,5526,6365,0.70437,0.72654
1993,female,Yes,0.07318,746,6736,0.06696,0.07940
1993,female,No,0.75855,5990,6736,0.74833,0.76877
1994,male,Yes,0.09182,762,6215,0.08464,0.09900
1994,male,No,0.71910,5453,6215,0.70792,0.73027
1994,female,Yes,0.06889,704,6658,0.06281,0.07497
1994,female,No,0.76432,5954,6658,0.75412,0.77451
1995,male,Yes,0.09468,836,6409,0.08751,0.10185
1995,male,No,0.71535,5573,6409,0.70430,0.72640
1995,female,Yes,0.07296,767,6874,0.06682,0.07911
1995,female,No,0.75927,6107,6874,0.74916,0.76937
1996,male,Yes,0.08568,764,6292,0.07876,0.09259
1996,male,No,0.72457,5528,6292,0.71353,0.73561
1996,female,Yes,0.07460,742,6752,0.06833,0.08086
1996,female,No,0.75900,6010,6752,0.74880,0.76921
1997,male,Yes,0.08761,774,6207,0.08058,0.09465
1997,male,No,0.72518,5433,6207,0.71407,0.73629
1997,female,Yes,0.07699,734,6620,0.07056,0.08341
1997,female,No,0.75783,5886,6620,0.74751,0.76815
1998,male,Yes,0.08874,824,6888,0.08203,0.09546
1998,male,No,0.72836,6064,6888,0.71786,0.73887
1998,female,Yes,0.07146,748,7350,0.06557,0.07735
1998,female,No,0.76328,6602,7350,0.75357,0.77300
1999,male,Yes,0.09175,801,6609,0.08479,0.09871
1999,male,No,0.72857,5808,6609,0.71784,0.73929
1999,female,Yes,0.07319,761,7065,0.06712,0.07926
1999,female,No,0.76211,6304,7065,0.75218,0.77204
2000,male,Yes,0.08400,1297,11583,0.07895,0.08906
2000,male,No,0.73405,10286,11583,0.72600,0.74209
2000,female,Yes,0.07279,1290,12524,0.06824,0.07734
2000,female,No,0.76391,11234,12524,0.75648,0.77135
2001,male,Yes,0.08421,1174,10525,0.07891,0.08952
2001,male,No,0.73678,9351,10525,0.72837,0.74520
2001,female,Yes,0.07990,1270,11396,0.07492,0.08488
2001,female,No,0.75688,10126,11396,0.74900,0.76476
2002,male,Yes,0.08853,1295,11127,0.08325,0.09381
2002,male,No,0.73396,9832,11127,0.72575,0.74217
2002,female,Yes,0.07838,1333,11899,0.07355,0.08321
2002,female,No,0.76117,10566,11899,0.75351,0.76883
2003,male,Yes,0.08972,1248,10676,0.08430,0.09514
2003,male,No,0.73532,9428,10676,0.72695,0.74369
2003,female,Yes,0.07515,1263,11489,0.07033,0.07997
2003,female,No,0.76524,10226,11489,0.75749,0.77299
2004,male,Yes,0.08965,1239,10380,0.08416,0.09515
2004,male,No,0.73996,9141,10380,0.73152,0.74840
2004,female,Yes,0.07865,1272,11232,0.07367,0.08363
2004,female,No,0.76521,9960,11232,0.75737,0.77305
2005,male,Yes,0.09438,1174,9899,0.08862,0.10014
2005,male,No,0.73893,8725,9899,0.73028,0.74759
2005,female,Yes,0.08466,1225,10798,0.07941,0.08991
2005,female,No,0.76512,9573,10798,0.75712,0.77311
2006,male,Yes,0.07939,998,10471,0.07421,0.08456
2006,male,No,0.74663,9473,10471,0.73830,0.75496
2006,female,Yes,0.07029,1069,11496,0.06562,0.07496
2006,female,No,0.77218,10427,11496,0.76451,0.77985
2007,male,Yes,0.07810,947,9773,0.07278,0.08342
2007,male,No,0.74821,8826,9773,0.73960,0.75682
2007,female,Yes,0.07271,1031,10736,0.06780,0.07762
2007,female,No,0.77130,9705,10736,0.76335,0.77924
2008,male,Yes,0.07984,889,9205,0.07430,0.08538
2008,male,No,0.75206,8316,9205,0.74324,0.76088
2008,female,Yes,0.07392,979,10111,0.06882,0.07902
2008,female,No,0.77428,9132,10111,0.76613,0.78243
2009,male,Yes,0.08477,853,8598,0.07888,0.09066
2009,male,No,0.75102,7745,8598,0.74187,0.76016
2009,female,Yes,0.07740,863,9420,0.07200,0.08280
2009,female,No,0.77378,8557,9420,0.76533,0.78223
2010,male,Yes,0.09186,1075,10909,0.08644,0.09728
2010,male,No,0.74606,9834,10909,0.73789,0.75423
2010,female,Yes,0.08206,1151,13058,0.07735,0.08677
2010,female,No,0.76952,11907,13058,0.76229,0.77674
2011,male,Yes,0.08098,1192,12850,0.07627,0.08570
2011,male,No,0.74885,11658,12850,0.74136,0.75635
2011,female,Yes,0.07771,1386,15522,0.07350,0.08192
2011,female,No,0.76932,14136,15522,0.76269,0.77594
2012,male,Yes,0.08163,1186,12553,0.07684,0.08642
2012,male,No,0.75165,11367,12553,0.74410,0.75921
2012,female,Yes,0.07509,1348,15081,0.07088,0.07929
2012,female,No,0.77185,13733,15081,0.76515,0.77854
2013,male,Yes,0.08670,1498,13982,0.08204,0.09137
2013,male,No,0.74717,12484,13982,0.73996,0.75437
2013,female,Yes,0.07656,1662,16639,0.07252,0.08060
2013,female,No,0.77294,14977,16639,0.76658,0.77931
2014,male,Yes,0.08806,1299,12432,0.08308,0.09304
2014,male,No,0.74871,11133,12432,0.74109,0.75634
2014,female,Yes,0.08059,1529,14648,0.07619,0.08500
2014,female,No,0.76812,13119,14648,0.76128,0.77495
2015,male,Yes,0.08302,1258,12309,0.07814,0.08789
2015,male,No,0.75565,11051,12309,0.74806,0.76324
2015,female,Yes,0.07921,1479,14477,0.07481,0.08361
2015,female,No,0.77069,12998,14477,0.76384,0.77754
2016,male,Yes,0.08618,1257,12867,0.08133,0.09103
