year,age_gr,bula_h,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Yes,0.40790,37,96,0.30908,0.50673
1984,17-29 y.,Schleswig-Holstein,No,0.59210,59,96,0.49327,0.69092
1984,17-29 y.,Hamburg,No,0.50237,40,40,0.34545,0.65930
1984,17-29 y.,Lower Saxony,Yes,0.50522,162,335,0.45160,0.55884
1984,17-29 y.,Lower Saxony,No,0.49259,173,335,0.43897,0.54620
1984,17-29 y.,North Rhine-Westphalia,Yes,0.42291,382,969,0.39179,0.45404
1984,17-29 y.,North Rhine-Westphalia,No,0.57514,587,969,0.54400,0.60628
1984,17-29 y.,Hesse,Yes,0.43372,134,378,0.38369,0.48375
1984,17-29 y.,Hesse,No,0.56628,244,378,0.51625,0.61631
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.35393,87,246,0.29405,0.41381
1984,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.64607,159,246,0.58619,0.70595
1984,17-29 y.,Baden-Wuerttemberg,Yes,0.36723,198,650,0.33015,0.40432
1984,17-29 y.,Baden-Wuerttemberg,No,0.63201,452,650,0.59491,0.66911
1984,17-29 y.,Bavaria,Yes,0.35161,201,569,0.31235,0.39088
1984,17-29 y.,Bavaria,No,0.64628,368,569,0.60696,0.68560
1984,17-29 y.,Berlin,Yes,0.36219,32,99,0.26703,0.45735
1984,17-29 y.,Berlin,No,0.63594,67,99,0.54068,0.73121
1984,30-45 y.,Schleswig-Holstein,No,0.96564,139,139,0.93525,0.99603
1984,30-45 y.,Hamburg,No,0.93558,116,116,0.89071,0.98045
1984,30-45 y.,Lower Saxony,No,0.96743,376,376,0.94946,0.98539
1984,30-45 y.,North Rhine-Westphalia,Yes,0.03967,33,1090,0.02808,0.05126
1984,30-45 y.,North Rhine-Westphalia,No,0.95779,1057,1090,0.94585,0.96973
1984,30-45 y.,Hesse,No,0.95203,354,354,0.92974,0.97432
1984,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.98072,205,205,0.96186,0.99959
1984,30-45 y.,Baden-Wuerttemberg,No,0.95404,717,717,0.93870,0.96938
1984,30-45 y.,Bavaria,No,0.95952,652,652,0.94438,0.97466
1984,30-45 y.,Berlin,No,0.88496,122,122,0.82811,0.94181
1984,46-65 y.,Schleswig-Holstein,No,0.96910,100,100,0.93501,1.00319
1984,46-65 y.,Lower Saxony,No,0.98725,352,352,0.97551,0.99899
1984,46-65 y.,North Rhine-Westphalia,No,0.99214,905,905,0.98639,0.99790
1984,46-65 y.,Hesse,No,0.98379,393,393,0.97129,0.99629
1984,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.98369,281,281,0.96886,0.99853
1984,46-65 y.,Baden-Wuerttemberg,No,0.99785,646,646,0.99427,1.00142
1984,46-65 y.,Bavaria,No,0.98798,608,608,0.97931,0.99665
1984,46-65 y.,Berlin,No,0.99077,124,124,0.97387,1.00767
1984,66 and older,North Rhine-Westphalia,No,0.99383,279,279,0.98463,1.00304
1984,66 and older,"Rhineland-Palatinate, Saarland",No,0.98116,110,110,0.95564,1.00669
1985,17-29 y.,Schleswig-Holstein,Yes,0.42731,33,85,0.32152,0.53310
1985,17-29 y.,Schleswig-Holstein,No,0.56383,52,85,0.45777,0.66988
1985,17-29 y.,Hamburg,No,0.50637,31,31,0.32746,0.68527
1985,17-29 y.,Lower Saxony,Yes,0.55057,156,302,0.49437,0.60677
1985,17-29 y.,Lower Saxony,No,0.44943,146,302,0.39323,0.50563
1985,17-29 y.,North Rhine-Westphalia,Yes,0.45624,370,863,0.42299,0.48949
1985,17-29 y.,North Rhine-Westphalia,No,0.54376,493,863,0.51051,0.57701
1985,17-29 y.,Hesse,Yes,0.45130,121,329,0.39744,0.50515
1985,17-29 y.,Hesse,No,0.54316,208,329,0.48925,0.59707
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.33853,82,241,0.27866,0.39840
1985,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.66147,159,241,0.60160,0.72134
1985,17-29 y.,Baden-Wuerttemberg,Yes,0.38609,208,614,0.34755,0.42463
1985,17-29 y.,Baden-Wuerttemberg,No,0.61391,406,614,0.57537,0.65245
1985,17-29 y.,Bavaria,Yes,0.37645,187,522,0.33484,0.41805
1985,17-29 y.,Bavaria,No,0.62129,335,522,0.57964,0.66294
1985,17-29 y.,Berlin,No,0.70963,65,65,0.59842,0.82085
1985,30-45 y.,Schleswig-Holstein,No,0.94727,124,124,0.90777,0.98677
1985,30-45 y.,Hamburg,No,0.96806,96,96,0.93271,1.00342
1985,30-45 y.,Lower Saxony,No,0.97615,342,342,0.95995,0.99234
1985,30-45 y.,North Rhine-Westphalia,Yes,0.05044,38,991,0.03680,0.06407
1985,30-45 y.,North Rhine-Westphalia,No,0.94956,953,991,0.93593,0.96320
1985,30-45 y.,Hesse,No,0.97095,325,325,0.95266,0.98924
1985,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.98200,167,167,0.96177,1.00222
1985,30-45 y.,Baden-Wuerttemberg,No,0.95771,625,625,0.94192,0.97350
1985,30-45 y.,Bavaria,No,0.96138,585,585,0.94575,0.97701
1985,30-45 y.,Berlin,No,0.90178,111,111,0.84616,0.95740
1985,46-65 y.,Lower Saxony,No,0.99029,324,324,0.97960,1.00099
1985,46-65 y.,North Rhine-Westphalia,No,0.99731,857,857,0.99385,1.00078
1985,46-65 y.,Hesse,No,0.99282,367,367,0.98417,1.00147
1985,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.99164,263,263,0.98061,1.00266
1985,46-65 y.,Baden-Wuerttemberg,No,0.99662,601,601,0.99197,1.00126
1985,46-65 y.,Bavaria,No,0.98882,556,556,0.98007,0.99757
1985,46-65 y.,Berlin,No,0.98953,111,111,0.97051,1.00855
1985,66 and older,Baden-Wuerttemberg,No,0.99287,180,180,0.98054,1.00520
1985,66 and older,Bavaria,No,0.99593,206,206,0.98720,1.00465
1986,17-29 y.,Schleswig-Holstein,Yes,0.37478,31,84,0.27064,0.47892
1986,17-29 y.,Schleswig-Holstein,No,0.62522,53,84,0.52108,0.72936
1986,17-29 y.,Hamburg,No,0.58536,31,31,0.40906,0.76166
1986,17-29 y.,Lower Saxony,Yes,0.48731,154,326,0.43297,0.54165
1986,17-29 y.,Lower Saxony,No,0.51269,172,326,0.45835,0.56703
1986,17-29 y.,North Rhine-Westphalia,Yes,0.45813,365,829,0.42419,0.49207
1986,17-29 y.,North Rhine-Westphalia,No,0.54155,464,829,0.50761,0.57549
1986,17-29 y.,Hesse,Yes,0.45563,120,310,0.40010,0.51116
1986,17-29 y.,Hesse,No,0.54437,190,310,0.48884,0.59990
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.32538,80,233,0.26509,0.38567
1986,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.67462,153,233,0.61433,0.73491
1986,17-29 y.,Baden-Wuerttemberg,Yes,0.35155,212,615,0.31379,0.38932
1986,17-29 y.,Baden-Wuerttemberg,No,0.64810,403,615,0.61032,0.68587
1986,17-29 y.,Bavaria,Yes,0.39331,193,489,0.34997,0.43665
1986,17-29 y.,Bavaria,No,0.60669,296,489,0.56335,0.65003
1986,17-29 y.,Berlin,No,0.72012,64,64,0.60926,0.83098
1986,30-45 y.,Schleswig-Holstein,No,0.95413,112,112,0.91520,0.99305
1986,30-45 y.,Hamburg,No,0.96901,87,87,0.93238,1.00563
1986,30-45 y.,Lower Saxony,No,0.96787,313,313,0.94830,0.98744
1986,30-45 y.,North Rhine-Westphalia,Yes,0.05771,45,936,0.04277,0.07266
1986,30-45 y.,North Rhine-Westphalia,No,0.94229,891,936,0.92734,0.95723
1986,30-45 y.,Hesse,No,0.96333,310,310,0.94237,0.98429
1986,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.97637,176,176,0.95387,0.99888
1986,30-45 y.,Baden-Wuerttemberg,No,0.95649,585,585,0.93994,0.97303
1986,30-45 y.,Bavaria,No,0.95474,546,546,0.93728,0.97219
1986,30-45 y.,Berlin,No,0.88962,99,99,0.82758,0.95167
1986,46-65 y.,Hamburg,No,0.97552,67,67,0.93825,1.01280
1986,46-65 y.,Lower Saxony,No,0.99632,336,336,0.98984,1.00280
1986,46-65 y.,North Rhine-Westphalia,No,0.99300,852,852,0.98740,0.99860
1986,46-65 y.,Hesse,No,0.99201,325,325,0.98232,1.00170
1986,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.99514,260,260,0.98667,1.00361
1986,46-65 y.,Baden-Wuerttemberg,No,0.99280,607,607,0.98607,0.99953
1986,46-65 y.,Bavaria,No,0.99256,525,525,0.98520,0.99992
1986,46-65 y.,Berlin,No,0.99147,118,118,0.97481,1.00813
1986,66 and older,Lower Saxony,No,0.98906,120,120,0.97038,1.00775
1986,66 and older,North Rhine-Westphalia,No,0.99830,234,234,0.99301,1.00359
1986,66 and older,Berlin,No,0.96590,35,35,0.90489,1.02690
1987,17-29 y.,Schleswig-Holstein,No,0.70107,56,56,0.58008,0.82206
1987,17-29 y.,Lower Saxony,Yes,0.42342,144,326,0.36970,0.47714
1987,17-29 y.,Lower Saxony,No,0.57658,182,326,0.52286,0.63030
1987,17-29 y.,North Rhine-Westphalia,Yes,0.44533,367,815,0.41119,0.47947
1987,17-29 y.,North Rhine-Westphalia,No,0.55417,448,815,0.52002,0.58831
1987,17-29 y.,Hesse,Yes,0.42320,116,309,0.36802,0.47838
1987,17-29 y.,Hesse,No,0.57045,193,309,0.51516,0.62573
1987,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.37266,83,225,0.30934,0.43598
1987,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.62734,142,225,0.56402,0.69066
1987,17-29 y.,Baden-Wuerttemberg,Yes,0.33062,205,593,0.29273,0.36852
1987,17-29 y.,Baden-Wuerttemberg,No,0.66898,388,593,0.63107,0.70689
1987,17-29 y.,Bavaria,Yes,0.32730,184,494,0.28588,0.36872
1987,17-29 y.,Bavaria,No,0.66978,310,494,0.62826,0.71129
1987,17-29 y.,Berlin,Yes,0.31638,32,94,0.22186,0.41090
1987,17-29 y.,Berlin,No,0.68362,62,94,0.58910,0.77814
1987,30-45 y.,Schleswig-Holstein,No,0.96410,111,111,0.92933,0.99887
1987,30-45 y.,Hamburg,No,0.95197,76,76,0.90358,1.00036
1987,30-45 y.,Lower Saxony,No,0.98332,296,296,0.96871,0.99794
1987,30-45 y.,North Rhine-Westphalia,Yes,0.06048,45,925,0.04511,0.07585
1987,30-45 y.,North Rhine-Westphalia,No,0.93952,880,925,0.92415,0.95489
1987,30-45 y.,Hesse,No,0.94046,305,305,0.91386,0.96706
1987,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.98027,172,172,0.95943,1.00112
1987,30-45 y.,Baden-Wuerttemberg,No,0.96202,579,579,0.94643,0.97760
1987,30-45 y.,Bavaria,No,0.94731,508,508,0.92786,0.96676
1987,30-45 y.,Berlin,No,0.90556,104,104,0.84908,0.96204
1987,46-65 y.,Hamburg,No,0.95944,66,66,0.91149,1.00740
1987,46-65 y.,Lower Saxony,No,0.98887,347,347,0.97781,0.99992
1987,46-65 y.,North Rhine-Westphalia,No,0.99290,838,838,0.98721,0.99859
1987,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.99580,264,264,0.98799,1.00362
1987,46-65 y.,Baden-Wuerttemberg,No,0.98483,610,610,0.97512,0.99454
1987,46-65 y.,Bavaria,No,0.98465,503,503,0.97390,0.99541
1987,46-65 y.,Berlin,No,0.98538,117,117,0.96353,1.00722
1987,66 and older,Bremen,No,0.96260,32,32,0.89581,1.02939
1987,66 and older,Berlin,No,0.96670,37,37,0.90808,1.02531
1988,17-29 y.,Schleswig-Holstein,No,0.70293,54,54,0.57990,0.82596
1988,17-29 y.,Lower Saxony,Yes,0.42060,130,311,0.36565,0.47555
1988,17-29 y.,Lower Saxony,No,0.57940,181,311,0.52445,0.63435
1988,17-29 y.,North Rhine-Westphalia,Yes,0.45367,344,794,0.41901,0.48832
1988,17-29 y.,North Rhine-Westphalia,No,0.54633,450,794,0.51168,0.58099
1988,17-29 y.,Hesse,Yes,0.36212,92,275,0.30522,0.41903
1988,17-29 y.,Hesse,No,0.63788,183,275,0.58097,0.69478
1988,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.36920,78,216,0.30469,0.43371
1988,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.62203,138,216,0.55722,0.68685
1988,17-29 y.,Baden-Wuerttemberg,Yes,0.35852,200,580,0.31945,0.39758
1988,17-29 y.,Baden-Wuerttemberg,No,0.64112,380,580,0.60204,0.68019
1988,17-29 y.,Bavaria,Yes,0.36654,186,463,0.32260,0.41048
1988,17-29 y.,Bavaria,No,0.63346,277,463,0.58952,0.67740
1988,17-29 y.,Berlin,Yes,0.28181,32,90,0.18834,0.37528
1988,17-29 y.,Berlin,No,0.71819,58,90,0.62472,0.81166
1988,30-45 y.,Schleswig-Holstein,No,0.93962,106,106,0.89406,0.98518
1988,30-45 y.,Hamburg,No,0.87826,61,61,0.79552,0.96100
1988,30-45 y.,Lower Saxony,No,0.96804,260,260,0.94662,0.98946
1988,30-45 y.,North Rhine-Westphalia,Yes,0.04066,32,858,0.02744,0.05388
1988,30-45 y.,North Rhine-Westphalia,No,0.95934,826,858,0.94612,0.97256
1988,30-45 y.,Hesse,No,0.95168,292,292,0.92704,0.97632
1988,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.99590,165,165,0.98612,1.00568
1988,30-45 y.,Baden-Wuerttemberg,No,0.97539,545,545,0.96238,0.98841
1988,30-45 y.,Bavaria,No,0.94677,482,482,0.92671,0.96684
1988,30-45 y.,Berlin,No,0.95369,95,95,0.91120,0.99617
1988,46-65 y.,Schleswig-Holstein,No,0.99267,97,97,0.97560,1.00973
1988,46-65 y.,Lower Saxony,No,0.99087,343,343,0.98079,1.00095
1988,46-65 y.,North Rhine-Westphalia,No,0.98968,801,801,0.98268,0.99669
1988,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.98874,254,254,0.97574,1.00174
1988,46-65 y.,Baden-Wuerttemberg,No,0.99208,587,587,0.98490,0.99926
1988,46-65 y.,Bavaria,No,0.98706,491,491,0.97705,0.99707
1989,17-29 y.,Schleswig-Holstein,No,0.64983,52,52,0.51891,0.78075
1989,17-29 y.,Lower Saxony,Yes,0.36693,107,288,0.31117,0.42269
1989,17-29 y.,Lower Saxony,No,0.63307,181,288,0.57731,0.68883
1989,17-29 y.,North Rhine-Westphalia,Yes,0.46681,335,780,0.43177,0.50184
1989,17-29 y.,North Rhine-Westphalia,No,0.53179,445,780,0.49675,0.56683
1989,17-29 y.,Hesse,Yes,0.38186,94,283,0.32516,0.43857
1989,17-29 y.,Hesse,No,0.61814,189,283,0.56143,0.67484
1989,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.38523,72,209,0.31910,0.45137
1989,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.61477,137,209,0.54863,0.68090
1989,17-29 y.,Baden-Wuerttemberg,Yes,0.36659,173,546,0.32613,0.40704
1989,17-29 y.,Baden-Wuerttemberg,No,0.63341,373,546,0.59296,0.67387
1989,17-29 y.,Bavaria,Yes,0.36025,168,478,0.31717,0.40333
1989,17-29 y.,Bavaria,No,0.63975,310,478,0.59667,0.68283
1989,17-29 y.,Berlin,No,0.66724,61,61,0.54801,0.78647
1989,30-45 y.,Schleswig-Holstein,No,0.87507,90,90,0.80637,0.94376
1989,30-45 y.,Hamburg,No,0.95080,61,61,0.89607,1.00553
1989,30-45 y.,Lower Saxony,No,0.94445,239,239,0.91535,0.97355
1989,30-45 y.,North Rhine-Westphalia,No,0.95807,803,803,0.94420,0.97194
1989,30-45 y.,Hesse,No,0.93494,280,280,0.90601,0.96388
1989,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.99318,157,157,0.98026,1.00610
1989,30-45 y.,Baden-Wuerttemberg,No,0.95470,524,524,0.93688,0.97253
1989,30-45 y.,Bavaria,No,0.96398,468,468,0.94707,0.98088
1989,30-45 y.,Berlin,No,0.96910,94,94,0.93393,1.00427
