year,age_gr,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Yes,0.47182,315,803,0.43727,0.50637
1984,17-29 y.,1st Quintile,No,0.52587,488,803,0.49131,0.56043
1984,17-29 y.,2nd Quintile,Yes,0.45721,281,672,0.41952,0.49491
1984,17-29 y.,2nd Quintile,No,0.54070,391,672,0.50299,0.57840
1984,17-29 y.,3rd Quintile,Yes,0.38940,248,662,0.35223,0.42658
1984,17-29 y.,3rd Quintile,No,0.61060,414,662,0.57342,0.64777
1984,17-29 y.,4th Quintile,Yes,0.36032,247,732,0.32551,0.39512
1984,17-29 y.,4th Quintile,No,0.63968,485,732,0.60488,0.67449
1984,17-29 y.,5th Quintile,Yes,0.34361,172,552,0.30395,0.38326
1984,17-29 y.,5th Quintile,No,0.65361,380,552,0.61387,0.69334
1984,30-45 y.,1st Quintile,No,0.96204,762,762,0.94847,0.97562
1984,30-45 y.,2nd Quintile,No,0.96229,765,765,0.94878,0.97580
1984,30-45 y.,3rd Quintile,No,0.96065,725,725,0.94649,0.97482
1984,30-45 y.,4th Quintile,Yes,0.05587,35,793,0.03987,0.07186
1984,30-45 y.,4th Quintile,No,0.94090,758,793,0.92448,0.95732
1984,30-45 y.,5th Quintile,No,0.95924,756,756,0.94513,0.97334
1984,46-65 y.,1st Quintile,No,0.98889,544,544,0.98008,0.99771
1984,46-65 y.,2nd Quintile,No,0.99603,656,656,0.99121,1.00085
1984,46-65 y.,3rd Quintile,No,0.98951,703,703,0.98197,0.99705
1984,46-65 y.,4th Quintile,No,0.99363,759,759,0.98797,0.99929
1984,46-65 y.,5th Quintile,No,0.98152,859,859,0.97251,0.99053
1984,66 and older,1st Quintile,No,0.99907,349,349,0.99587,1.00227
1984,66 and older,2nd Quintile,No,0.99622,269,269,0.98888,1.00357
1984,66 and older,3rd Quintile,No,0.99322,239,239,0.98279,1.00365
1984,66 and older,5th Quintile,No,0.99548,194,194,0.98601,1.00494
1985,17-29 y.,1st Quintile,Yes,0.48713,317,772,0.45185,0.52241
1985,17-29 y.,1st Quintile,No,0.51111,455,772,0.47582,0.54639
1985,17-29 y.,2nd Quintile,Yes,0.42601,239,589,0.38604,0.46598
1985,17-29 y.,2nd Quintile,No,0.57388,350,589,0.53391,0.61385
1985,17-29 y.,3rd Quintile,Yes,0.44703,267,648,0.40872,0.48534
1985,17-29 y.,3rd Quintile,No,0.55153,381,648,0.51321,0.58986
1985,17-29 y.,4th Quintile,Yes,0.36459,221,628,0.32691,0.40226
1985,17-29 y.,4th Quintile,No,0.63166,407,628,0.59391,0.66942
1985,17-29 y.,5th Quintile,Yes,0.38827,177,491,0.34512,0.43142
1985,17-29 y.,5th Quintile,No,0.60952,314,491,0.56632,0.65272
1985,30-45 y.,1st Quintile,No,0.94577,655,655,0.92841,0.96313
1985,30-45 y.,2nd Quintile,No,0.97538,726,726,0.96410,0.98666
1985,30-45 y.,3rd Quintile,No,0.96397,631,631,0.94942,0.97853
1985,30-45 y.,4th Quintile,No,0.95125,645,645,0.93462,0.96788
1985,30-45 y.,5th Quintile,Yes,0.04500,31,726,0.02991,0.06009
1985,30-45 y.,5th Quintile,No,0.95365,695,726,0.93835,0.96896
1985,46-65 y.,1st Quintile,No,0.99637,533,533,0.99126,1.00148
1985,46-65 y.,3rd Quintile,No,0.99403,680,680,0.98824,0.99982
