year,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Owner,No,0.99926,5379,5379,0.99853,0.99999
2005,Tenant,No,0.99617,5795,5795,0.99458,0.99776
2006,Owner,No,0.99976,6001,6001,0.99936,1.00015
2006,Tenant,No,0.99321,6233,6233,0.99118,0.99525
2007,Owner,No,0.99889,5613,5613,0.99802,0.99976
2007,Tenant,Yes,0.00922,35,5833,0.00677,0.01168
2007,Tenant,No,0.99078,5798,5833,0.98832,0.99323
2008,Owner,No,0.99588,5367,5367,0.99417,0.99760
2008,Tenant,Yes,0.01309,54,5443,0.01007,0.01611
2008,Tenant,No,0.98691,5389,5443,0.98389,0.98993
2009,Owner,No,0.99621,5053,5053,0.99451,0.99790
2009,Tenant,Yes,0.01489,57,5114,0.01157,0.01821
2009,Tenant,No,0.98511,5057,5114,0.98179,0.98843
2010,Owner,No,0.99360,6300,6300,0.99163,0.99557
2010,Tenant,Yes,0.02164,89,7465,0.01834,0.02494
2010,Tenant,No,0.97836,7376,7465,0.97506,0.98166
2011,Owner,Yes,0.00839,44,7560,0.00633,0.01044
2011,Owner,No,0.99161,7516,7560,0.98956,0.99367
2011,Tenant,Yes,0.02653,157,8743,0.02317,0.02990
2011,Tenant,No,0.97347,8586,8743,0.97010,0.97683
2012,Owner,Yes,0.00863,37,7435,0.00653,0.01073
2012,Owner,No,0.99137,7398,7435,0.98927,0.99347
2012,Tenant,Yes,0.02901,181,8526,0.02545,0.03257
2012,Tenant,No,0.97099,8345,8526,0.96743,0.97455
2013,Owner,Yes,0.00703,37,7541,0.00514,0.00891
2013,Owner,No,0.99297,7504,7541,0.99109,0.99486
2013,Tenant,Yes,0.02885,208,9983,0.02557,0.03214
2013,Tenant,No,0.97115,9775,9983,0.96786,0.97443
2014,Owner,Yes,0.00521,35,6968,0.00352,0.00691
2014,Owner,No,0.99479,6933,6968,0.99309,0.99648
2014,Tenant,Yes,0.02932,198,8705,0.02577,0.03286
2014,Tenant,No,0.97068,8507,8705,0.96714,0.97423
2015,Owner,No,0.99656,6517,6517,0.99514,0.99799
2015,Tenant,Yes,0.03004,197,8829,0.02648,0.03360
2015,Tenant,No,0.96996,8632,8829,0.96640,0.97352
2016,Owner,No,0.99710,6165,6165,0.99576,0.99845
2016,Tenant,Yes,0.03194,193,7907,0.02806,0.03581
2016,Tenant,No,0.96806,7714,7907,0.96419,0.97194
2017,Owner,No,0.99695,6943,6943,0.99565,0.99825
2017,Tenant,Yes,0.03295,209,10323,0.02951,0.03639
2017,Tenant,No,0.96705,10114,10323,0.96361,0.97049
2018,Owner,No,0.99712,6666,6666,0.99583,0.99840
2018,Tenant,Yes,0.03372,248,11024,0.03035,0.03709
2018,Tenant,No,0.96628,10776,11024,0.96291,0.96965
2019,Owner,No,0.99586,7785,7785,0.99444,0.99729
2019,Tenant,Yes,0.03764,251,10478,0.03399,0.04128
2019,Tenant,No,0.96236,10227,10478,0.95872,0.96601
2020,Owner,No,0.99735,6834,6834,0.99613,0.99857
2020,Tenant,Yes,0.03669,237,12196,0.03335,0.04002
2020,Tenant,No,0.96331,11959,12196,0.95998,0.96665
2021,Owner,Yes,0.00683,44,5061,0.00456,0.00910
2021,Owner,No,0.99317,5017,5061,0.99090,0.99544
2021,Tenant,Yes,0.03035,152,7389,0.02644,0.03426
2021,Tenant,No,0.96965,7237,7389,0.96574,0.97356
2022,Owner,Yes,0.00712,60,7762,0.00525,0.00899
2022,Owner,No,0.99288,7702,7762,0.99101,0.99475
2022,Tenant,Yes,0.03304,236,12407,0.02989,0.03618
2022,Tenant,No,0.96696,12171,12407,0.96382,0.97011
