year,quintil_oecd_hh,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,1st Quintile,Tenant,No,0.99342,1637,1637,0.98950,0.99734
2005,2nd Quintile,Owner,No,0.99858,761,761,0.99591,1.00126
2005,2nd Quintile,Tenant,No,0.99580,1299,1299,0.99228,0.99932
2005,3rd Quintile,Owner,No,0.99891,1018,1018,0.99688,1.00094
2005,3rd Quintile,Tenant,No,0.99753,1077,1077,0.99456,1.00050
2005,4th Quintile,Owner,No,0.99981,1301,1301,0.99905,1.00056
2005,4th Quintile,Tenant,No,0.99689,909,909,0.99327,1.00051
2005,5th Quintile,Owner,No,0.99922,1971,1971,0.99799,1.00045
2006,1st Quintile,Tenant,No,0.98400,1726,1726,0.97808,0.98992
2006,2nd Quintile,Tenant,No,0.99661,1412,1412,0.99357,0.99964
2006,3rd Quintile,Owner,No,0.99916,1190,1190,0.99750,1.00081
2006,3rd Quintile,Tenant,No,0.99418,1190,1190,0.98985,0.99850
2006,5th Quintile,Owner,No,0.99980,2166,2166,0.99920,1.00040
2006,5th Quintile,Tenant,No,0.99794,892,892,0.99496,1.00092
2007,1st Quintile,Tenant,No,0.98121,1610,1610,0.97458,0.98785
2007,2nd Quintile,Tenant,No,0.99523,1361,1361,0.99157,0.99889
2007,3rd Quintile,Tenant,No,0.99232,1085,1085,0.98712,0.99752
2007,4th Quintile,Owner,No,0.99798,1387,1387,0.99561,1.00034
2007,4th Quintile,Tenant,No,0.99253,939,939,0.98702,0.99804
2007,5th Quintile,Owner,No,0.99800,2028,2028,0.99605,0.99994
2008,1st Quintile,Owner,No,0.99391,327,327,0.98546,1.00235
2008,1st Quintile,Tenant,No,0.97653,1523,1523,0.96892,0.98414
2008,2nd Quintile,Owner,No,0.99563,734,734,0.99086,1.00041
2008,2nd Quintile,Tenant,No,0.98906,1223,1223,0.98323,0.99489
2008,3rd Quintile,Owner,No,0.99912,1094,1094,0.99736,1.00088
2008,3rd Quintile,Tenant,No,0.98602,1058,1058,0.97894,0.99310
2008,4th Quintile,Owner,No,0.99381,1267,1267,0.98948,0.99813
2008,4th Quintile,Tenant,No,0.99707,841,841,0.99341,1.00072
2008,5th Quintile,Owner,No,0.99599,1945,1945,0.99318,0.99880
2008,5th Quintile,Tenant,No,0.99613,742,742,0.99166,1.00060
2009,1st Quintile,Owner,No,0.99641,301,301,0.98965,1.00318
2009,1st Quintile,Tenant,No,0.97412,1462,1462,0.96598,0.98227
2009,2nd Quintile,Owner,No,0.99158,689,689,0.98475,0.99841
2009,2nd Quintile,Tenant,No,0.97911,1173,1173,0.97093,0.98730
2009,3rd Quintile,Owner,No,0.99661,1006,1006,0.99302,1.00020
2009,3rd Quintile,Tenant,No,0.99458,938,938,0.98988,0.99928
2009,4th Quintile,Owner,No,0.99824,1260,1260,0.99592,1.00055
2009,4th Quintile,Tenant,No,0.99271,797,797,0.98681,0.99862
2009,5th Quintile,Owner,No,0.99651,1796,1796,0.99378,0.99924
2010,1st Quintile,Owner,No,0.98842,454,454,0.97857,0.99827
2010,1st Quintile,Tenant,Yes,0.03803,43,2689,0.03080,0.04526
2010,1st Quintile,Tenant,No,0.96197,2646,2689,0.95474,0.96920
2010,2nd Quintile,Owner,No,0.99322,1110,1110,0.98838,0.99805
2010,2nd Quintile,Tenant,No,0.97053,1775,1775,0.96266,0.97840
2010,3rd Quintile,Owner,No,0.99679,1328,1328,0.99374,0.99983
2010,3rd Quintile,Tenant,No,0.99509,1216,1216,0.99116,0.99902
2010,4th Quintile,Owner,No,0.98958,1487,1487,0.98442,0.99474
2010,4th Quintile,Tenant,No,0.98524,949,949,0.97756,0.99291
2010,5th Quintile,Owner,No,0.99631,1921,1921,0.99359,0.99902
2011,1st Quintile,Owner,No,0.99943,576,576,0.99749,1.00138
2011,1st Quintile,Tenant,Yes,0.03877,57,3069,0.03193,0.04560
2011,1st Quintile,Tenant,No,0.96123,3012,3069,0.95440,0.96807
2011,2nd Quintile,Owner,No,0.99454,1275,1275,0.99049,0.99858
2011,2nd Quintile,Tenant,Yes,0.03299,50,2079,0.02531,0.04067
2011,2nd Quintile,Tenant,No,0.96701,2029,2079,0.95933,0.97469
2011,3rd Quintile,Owner,No,0.99468,1620,1620,0.99113,0.99822
2011,3rd Quintile,Tenant,No,0.98376,1515,1515,0.97739,0.99012
2011,4th Quintile,Owner,No,0.99179,1820,1820,0.98765,0.99594
2011,4th Quintile,Tenant,No,0.97796,1152,1152,0.96948,0.98645
2011,5th Quintile,Owner,No,0.98575,2225,2225,0.98082,0.99067
2011,5th Quintile,Tenant,No,0.99523,876,876,0.99067,0.99980
2012,1st Quintile,Owner,No,0.99766,522,522,0.99351,1.00181
2012,1st Quintile,Tenant,Yes,0.03916,66,2990,0.03220,0.04611
2012,1st Quintile,Tenant,No,0.96084,2924,2990,0.95389,0.96780
2012,2nd Quintile,Owner,No,0.99540,1192,1192,0.99155,0.99924
2012,2nd Quintile,Tenant,Yes,0.03847,58,2053,0.03015,0.04680
2012,2nd Quintile,Tenant,No,0.96153,1995,2053,0.95320,0.96985
2012,3rd Quintile,Owner,No,0.99558,1607,1607,0.99233,0.99882
2012,3rd Quintile,Tenant,Yes,0.02498,35,1523,0.01714,0.03282
2012,3rd Quintile,Tenant,No,0.97502,1488,1523,0.96718,0.98286
2012,4th Quintile,Owner,No,0.99025,1834,1834,0.98575,0.99475
2012,4th Quintile,Tenant,No,0.98749,1096,1096,0.98091,0.99407
2012,5th Quintile,Owner,No,0.98597,2242,2242,0.98110,0.99084
2012,5th Quintile,Tenant,No,0.98960,837,837,0.98272,0.99648
2013,1st Quintile,Owner,No,0.99101,565,565,0.98322,0.99880
2013,1st Quintile,Tenant,Yes,0.03473,78,3594,0.02874,0.04071
2013,1st Quintile,Tenant,No,0.96527,3516,3594,0.95929,0.97126
2013,2nd Quintile,Owner,No,0.99046,1236,1236,0.98504,0.99588
2013,2nd Quintile,Tenant,Yes,0.03738,68,2548,0.03001,0.04475
2013,2nd Quintile,Tenant,No,0.96262,2480,2548,0.95525,0.96999
2013,3rd Quintile,Owner,No,0.99826,1675,1675,0.99627,1.00026
2013,3rd Quintile,Tenant,Yes,0.03386,38,1640,0.02510,0.04262
2013,3rd Quintile,Tenant,No,0.96614,1602,1640,0.95738,0.97490
2013,4th Quintile,Owner,No,0.99285,1774,1774,0.98893,0.99677
2013,4th Quintile,Tenant,No,0.98377,1250,1250,0.97677,0.99078
2013,5th Quintile,Owner,No,0.99089,2254,2254,0.98697,0.99482
2013,5th Quintile,Tenant,No,0.99525,919,919,0.99080,0.99970
2014,1st Quintile,Owner,No,0.99888,497,497,0.99595,1.00182
2014,1st Quintile,Tenant,Yes,0.04071,89,2925,0.03355,0.04787
2014,1st Quintile,Tenant,No,0.95929,2836,2925,0.95213,0.96645
2014,2nd Quintile,Owner,No,0.99076,1079,1079,0.98505,0.99647
2014,2nd Quintile,Tenant,Yes,0.03624,57,2201,0.02843,0.04404
2014,2nd Quintile,Tenant,No,0.96376,2144,2201,0.95596,0.97157
2014,3rd Quintile,Owner,No,0.99575,1553,1553,0.99251,0.99898
2014,3rd Quintile,Tenant,No,0.98016,1492,1492,0.97308,0.98724
2014,4th Quintile,Owner,No,0.99584,1681,1681,0.99277,0.99892
2014,4th Quintile,Tenant,No,0.97708,1180,1180,0.96853,0.98562
2014,5th Quintile,Owner,No,0.99423,2122,2122,0.99101,0.99746
2014,5th Quintile,Tenant,No,0.99102,852,852,0.98468,0.99736
2015,1st Quintile,Owner,No,0.99941,471,471,0.99723,1.00160
2015,1st Quintile,Tenant,Yes,0.05033,91,3001,0.04251,0.05816
2015,1st Quintile,Tenant,No,0.94967,2910,3001,0.94184,0.95749
2015,2nd Quintile,Owner,No,0.99120,1047,1047,0.98554,0.99686
2015,2nd Quintile,Tenant,Yes,0.03475,60,2236,0.02716,0.04235
2015,2nd Quintile,Tenant,No,0.96525,2176,2236,0.95765,0.97284
2015,3rd Quintile,Owner,No,0.99834,1390,1390,0.99620,1.00048
2015,3rd Quintile,Tenant,No,0.97349,1516,1516,0.96540,0.98158
2015,4th Quintile,Owner,No,0.99639,1593,1593,0.99344,0.99934
2015,4th Quintile,Tenant,No,0.99342,1140,1140,0.98872,0.99811
2015,5th Quintile,Owner,No,0.99749,2016,2016,0.99530,0.99967
2015,5th Quintile,Tenant,No,0.99561,884,884,0.99126,0.99997
2016,1st Quintile,Tenant,Yes,0.04673,94,2675,0.03873,0.05473
2016,1st Quintile,Tenant,No,0.95327,2581,2675,0.94527,0.96127
2016,2nd Quintile,Tenant,Yes,0.04820,61,1992,0.03879,0.05761
2016,2nd Quintile,Tenant,No,0.95180,1931,1992,0.94239,0.96121
2016,3rd Quintile,Owner,No,0.99469,1313,1313,0.99076,0.99862
2016,3rd Quintile,Tenant,No,0.97779,1350,1350,0.96992,0.98565
2016,4th Quintile,Owner,No,0.99762,1520,1520,0.99518,1.00007
2016,4th Quintile,Tenant,No,0.98823,1080,1080,0.98179,0.99466
2016,5th Quintile,Owner,No,0.99637,1936,1936,0.99370,0.99905
2017,1st Quintile,Owner,No,0.99495,384,384,0.98784,1.00205
2017,1st Quintile,Tenant,Yes,0.05714,114,4429,0.05030,0.06397
2017,1st Quintile,Tenant,No,0.94286,4315,4429,0.93603,0.94970
2017,2nd Quintile,Owner,No,0.99203,1086,1086,0.98673,0.99732
2017,2nd Quintile,Tenant,Yes,0.03992,60,2210,0.03175,0.04808
2017,2nd Quintile,Tenant,No,0.96008,2150,2210,0.95192,0.96825
2017,3rd Quintile,Owner,No,0.99957,1511,1511,0.99853,1.00061
2017,3rd Quintile,Tenant,No,0.98508,1536,1536,0.97901,0.99114
2017,4th Quintile,Owner,No,0.99705,1753,1753,0.99452,0.99959
2017,4th Quintile,Tenant,No,0.98728,1224,1224,0.98100,0.99356
2017,5th Quintile,Owner,No,0.99779,2209,2209,0.99584,0.99975
2017,5th Quintile,Tenant,No,0.99588,840,840,0.99154,1.00021
2018,1st Quintile,Owner,No,0.98966,373,373,0.97938,0.99994
2018,1st Quintile,Tenant,Yes,0.06159,145,4950,0.05489,0.06829
2018,1st Quintile,Tenant,No,0.93841,4805,4950,0.93171,0.94511
2018,2nd Quintile,Owner,No,0.99733,1071,1071,0.99423,1.00042
2018,2nd Quintile,Tenant,Yes,0.03273,57,2339,0.02551,0.03994
2018,2nd Quintile,Tenant,No,0.96727,2282,2339,0.96006,0.97449
2018,3rd Quintile,Owner,No,0.99772,1388,1388,0.99522,1.00023
