year,rentown,sampreg,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Owner,West,No,0.99952,4277,4277,0.99886,1.00018
2005,Owner,East,No,0.99772,1102,1102,0.99490,1.00054
2005,Tenant,West,No,0.99573,4214,4214,0.99376,0.99770
2005,Tenant,East,No,0.99777,1581,1581,0.99544,1.00009
2006,Owner,West,No,0.99972,4792,4792,0.99924,1.00019
2006,Tenant,West,No,0.99232,4518,4518,0.98978,0.99487
2006,Tenant,East,No,0.99644,1715,1715,0.99362,0.99926
2007,Owner,West,No,0.99895,4475,4475,0.99801,0.99990
2007,Owner,East,No,0.99851,1138,1138,0.99627,1.00075
2007,Tenant,West,Yes,0.01095,31,4213,0.00781,0.01409
2007,Tenant,West,No,0.98905,4182,4213,0.98591,0.99219
2007,Tenant,East,No,0.99693,1616,1616,0.99423,0.99963
2008,Owner,West,No,0.99539,4265,4265,0.99336,0.99743
2008,Owner,East,No,0.99878,1102,1102,0.99672,1.00084
2008,Tenant,West,Yes,0.01441,40,3896,0.01067,0.01816
2008,Tenant,West,No,0.98559,3856,3896,0.98184,0.98933
2008,Tenant,East,No,0.99164,1533,1533,0.98708,0.99620
2009,Owner,West,No,0.99668,3970,3970,0.99489,0.99847
2009,Owner,East,No,0.99354,1083,1083,0.98877,0.99831
2009,Tenant,West,Yes,0.01541,40,3643,0.01141,0.01941
2009,Tenant,West,No,0.98459,3603,3643,0.98059,0.98859
2009,Tenant,East,No,0.98694,1454,1454,0.98111,0.99278
2010,Owner,West,No,0.99335,5068,5068,0.99111,0.99558
2010,Owner,East,No,0.99509,1232,1232,0.99119,0.99900
2010,Tenant,West,Yes,0.02271,64,5546,0.01879,0.02663
2010,Tenant,West,No,0.97729,5482,5546,0.97337,0.98121
2010,Tenant,East,No,0.98224,1894,1894,0.97629,0.98819
2011,Owner,West,Yes,0.00866,31,6180,0.00635,0.01097
2011,Owner,West,No,0.99134,6149,6180,0.98903,0.99365
2011,Owner,East,No,0.99331,1367,1367,0.98899,0.99763
2011,Tenant,West,Yes,0.02675,106,6474,0.02282,0.03068
2011,Tenant,West,No,0.97325,6368,6474,0.96932,0.97718
2011,Tenant,East,Yes,0.02575,51,2269,0.01923,0.03227
2011,Tenant,East,No,0.97425,2218,2269,0.96773,0.98077
2012,Owner,West,No,0.99095,6071,6071,0.98857,0.99333
2012,Owner,East,No,0.99399,1327,1327,0.98982,0.99815
2012,Tenant,West,Yes,0.02816,123,6259,0.02406,0.03226
2012,Tenant,West,No,0.97184,6136,6259,0.96774,0.97594
2012,Tenant,East,Yes,0.03208,58,2267,0.02482,0.03933
2012,Tenant,East,No,0.96792,2209,2267,0.96067,0.97518
2013,Owner,West,No,0.99344,6224,6224,0.99144,0.99545
2013,Owner,East,No,0.99014,1280,1280,0.98473,0.99556
2013,Tenant,West,Yes,0.02651,150,7722,0.02293,0.03009
2013,Tenant,West,No,0.97349,7572,7722,0.96991,0.97707
2013,Tenant,East,Yes,0.03760,58,2261,0.02976,0.04545
2013,Tenant,East,No,0.96240,2203,2261,0.95455,0.97024
2014,Owner,West,No,0.99596,5724,5724,0.99432,0.99760
2014,Owner,East,No,0.98745,1209,1209,0.98117,0.99373
2014,Tenant,West,Yes,0.02911,153,6578,0.02505,0.03317
2014,Tenant,West,No,0.97089,6425,6578,0.96683,0.97495
2014,Tenant,East,Yes,0.03005,45,2127,0.02279,0.03731
2014,Tenant,East,No,0.96995,2082,2127,0.96269,0.97721
2015,Owner,West,No,0.99767,5374,5374,0.99638,0.99896
2015,Owner,East,No,0.98964,1143,1143,0.98377,0.99552
2015,Tenant,West,Yes,0.02832,146,6799,0.02438,0.03226
2015,Tenant,West,No,0.97168,6653,6799,0.96774,0.97562
2015,Tenant,East,Yes,0.03635,51,2030,0.02821,0.04450
2015,Tenant,East,No,0.96365,1979,2030,0.95550,0.97179
2016,Owner,West,No,0.99851,5047,5047,0.99745,0.99958
2016,Owner,East,No,0.98845,1118,1118,0.98219,0.99472
2016,Tenant,West,Yes,0.03126,150,6021,0.02687,0.03566
2016,Tenant,West,No,0.96874,5871,6021,0.96434,0.97313
2016,Tenant,East,Yes,0.03445,43,1886,0.02622,0.04268
2016,Tenant,East,No,0.96555,1843,1886,0.95732,0.97378
2017,Owner,West,No,0.99813,5662,5662,0.99701,0.99926
2017,Owner,East,No,0.98964,1281,1281,0.98409,0.99518
2017,Tenant,West,Yes,0.03344,163,7942,0.02949,0.03739
2017,Tenant,West,No,0.96656,7779,7942,0.96261,0.97051
2017,Tenant,East,Yes,0.03109,46,2381,0.02412,0.03807
2017,Tenant,East,No,0.96891,2335,2381,0.96193,0.97588
2018,Owner,West,No,0.99758,5438,5438,0.99627,0.99888
2018,Owner,East,No,0.99423,1228,1228,0.98999,0.99846
2018,Tenant,West,Yes,0.03610,203,8524,0.03214,0.04006
2018,Tenant,West,No,0.96390,8321,8524,0.95994,0.96786
2018,Tenant,East,Yes,0.02464,45,2500,0.01856,0.03072
2018,Tenant,East,No,0.97536,2455,2500,0.96928,0.98144
2019,Owner,West,No,0.99707,6252,6252,0.99573,0.99841
2019,Owner,East,No,0.98919,1520,1520,0.98399,0.99439
2019,Tenant,Does not apply,No,0.92566,45,45,0.84814,1.00317
2019,Tenant,West,Yes,0.03858,199,8095,0.03439,0.04278
2019,Tenant,West,No,0.96142,7896,8095,0.95722,0.96561
2019,Tenant,East,Yes,0.03356,49,2335,0.02626,0.04087
2019,Tenant,East,No,0.96644,2286,2335,0.95913,0.97374
2020,Owner,West,No,0.99808,5498,5498,0.99692,0.99923
2020,Owner,East,No,0.99307,1336,1336,0.98862,0.99752
2020,Tenant,West,Yes,0.03852,190,9750,0.03470,0.04234
2020,Tenant,West,No,0.96148,9560,9750,0.95766,0.96530
2020,Tenant,East,Yes,0.02963,47,2446,0.02291,0.03636
2020,Tenant,East,No,0.97037,2399,2446,0.96364,0.97709
2021,Owner,West,Yes,0.00550,32,4114,0.00324,0.00776
2021,Owner,West,No,0.99450,4082,4114,0.99224,0.99676
2021,Owner,East,No,0.98509,935,935,0.97731,0.99286
2021,Tenant,West,Yes,0.03478,127,5770,0.03005,0.03951
2021,Tenant,West,No,0.96522,5643,5770,0.96049,0.96995
2021,Tenant,East,No,0.98719,1594,1594,0.98167,0.99271
2022,Owner,West,Yes,0.00735,47,6234,0.00523,0.00948
2022,Owner,West,No,0.99265,6187,6234,0.99052,0.99477
2022,Owner,East,No,0.99438,1515,1515,0.99061,0.99815
2022,Tenant,West,Yes,0.03445,190,9617,0.03080,0.03809
2022,Tenant,West,No,0.96555,9427,9617,0.96191,0.96920
2022,Tenant,East,Yes,0.02737,46,2790,0.02132,0.03343
2022,Tenant,East,No,0.97263,2744,2790,0.96657,0.97868
