year,regtyp,rentown,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,Yes,0.003849482376982629,87,14301,0.0038304671366653307,0.0038684976172999276
2016,Urban regions,Owner,No,0.2918039173849259,3678,14301,0.29166432539859893,0.29194350937125285
2016,Urban regions,Tenant,Yes,0.005549303017869028,141,14301,0.005526491771433894,0.005572114264304161
2016,Urban regions,Tenant,No,0.38190412874329394,5458,14301,0.3817549375230227,0.3820533199635652
2016,Rural regions,Owner,Yes,0.003642536548940689,81,14301,0.0036240375717742795,0.0036610355261070984
2016,Rural regions,Owner,No,0.16284107936083658,2456,14301,0.1627277025833235,0.16295445613834966
2016,Rural regions,Tenant,Yes,0.003523273794352665,82,14301,0.0035050790924434144,0.003541468496261916
2016,Rural regions,Tenant,No,0.14688627877279856,2318,14301,0.14677757809655811,0.146994979449039
2021,Urban regions,Owner,Yes,0.0032627707959396097,67,12562,0.0032453160451509123,0.003280225546728307
2021,Urban regions,Owner,No,0.30818647427446116,3054,12562,0.30804514525659993,0.3083278032923224
2021,Urban regions,Tenant,Yes,0.0063003130754220186,89,12562,0.006276095053312856,0.0063245310975311815
2021,Urban regions,Tenant,No,0.36594366873760414,4186,12562,0.3657962335760633,0.366091103899145
2021,Rural regions,Owner,Yes,0.002247548835532866,48,12562,0.002233054577132592,0.0022620430939331395
2021,Rural regions,Owner,No,0.16740944951981113,1911,12562,0.1672951785923445,0.16752372044727776
2021,Rural regions,Tenant,Yes,0.0028780119776679273,39,12562,0.0028616155032985726,0.002894408452037282
2021,Rural regions,Tenant,No,0.14377176278356113,1656,12562,0.1436643733377309,0.14387915222939135
