year,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Yes,0.01654,391,14302,0.01445,0.01863
2016,No,0.98346,13911,14302,0.98137,0.98555
2021,Yes,0.01492,243,11056,0.01266,0.01718
2021,No,0.98508,10813,11056,0.98282,0.98734
