year,quintil_oecd_hh,sampreg,pet_othrodent,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2016,,West,No,0.9771897810218978,16419,0.974906092308342,0.9794734697354536
2016,,West,Yes,0.02281021897810219,16419,0.0205265302645464,0.02509390769165798
2016,,East,No,0.9572446555819477,16419,0.954150163329451,0.9603391478344444
2016,,East,Yes,0.04275534441805225,16419,0.039660852165555566,0.04584983667054894
2016,,West,No,0.9626865671641791,16419,0.9597875033251017,0.9655856310032566
2016,,West,Yes,0.03731343283582089,16419,0.03441436899674341,0.040212496674898374
2016,,East,No,0.9634888438133874,16419,0.9606199210393956,0.9663577665873792
2016,,East,Yes,0.036511156186612576,16419,0.0336422334126208,0.03938007896060435
2016,,West,No,0.9642126789366053,16419,0.9613712700546895,0.9670540878185212
2016,,West,Yes,0.03578732106339468,16419,0.03294591218147887,0.0386287299453105
2016,,East,No,0.9572039942938659,16419,0.9541080966803809,0.960299891907351
2016,,East,Yes,0.042796005706134094,16419,0.03970010809264903,0.045891903319619155
2016,,West,No,0.9764792355751561,16419,0.9741610940727519,0.9787973770775604
2016,,West,Yes,0.02352076442484381,16419,0.021202622922439563,0.025838905927248055
2016,,East,No,0.9724220623501199,16419,0.969917158764599,0.9749269659356407
2016,,East,Yes,0.027577937649880094,16419,0.02507303406435924,0.030082841235400948
2016,,West,No,0.9829188646068827,16419,0.9809368816181102,0.9849008475956552
2016,,West,Yes,0.017081135393117307,16419,0.015099152404344781,0.019063118381889833
2016,,East,No,0.968,16419,0.9653078739667839,0.9706921260332161
2016,,East,Yes,0.032,16419,0.029307873966783915,0.034692126033216086
2021,,West,No,0.9878542510121457,12568,0.985939194595459,0.9897693074288325
2021,,West,Yes,0.012145748987854251,12568,0.010230692571167467,0.014060805404541035
2021,,East,No,0.9898477157360406,12568,0.988095090492388,0.9916003409796932
2021,,East,Yes,0.01015228426395939,12568,0.008399659020306758,0.011904909507612022
2021,,West,No,0.9765051395007343,12568,0.9738569644635253,0.9791533145379432
2021,,West,Yes,0.023494860499265784,12568,0.020846685462056872,0.026143035536474696
2021,,East,No,0.9771689497716894,12568,0.9745575656484923,0.9797803338948866
2021,,East,Yes,0.0228310502283105,12568,0.020219666105113304,0.025442434351507698
2021,,West,No,0.9754010695187165,12568,0.9726929195430327,0.9781092194944003
2021,,West,Yes,0.02459893048128342,12568,0.021890780505599585,0.027307080456967257
2021,,East,No,0.9642857142857143,12568,0.9610412213262564,0.9675302072451722
2021,,East,Yes,0.03571428571428571,12568,0.032469792754827795,0.03895877867374363
2021,,West,No,0.974025974025974,12568,0.9712451219373137,0.9768068261146343
2021,,West,Yes,0.025974025974025976,12568,0.02319317388536573,0.028754878062686222
2021,,East,No,0.9674267100977199,12568,0.9643231308839171,0.9705302893115226
2021,,East,Yes,0.03257328990228013,12568,0.02946971068847732,0.03567686911608294
2021,,West,No,0.981814381270903,12568,0.9794782259123904,0.9841505366294157
2021,,West,Yes,0.018185618729096988,12568,0.015849463370584318,0.02052177408760966
2021,,East,No,0.9749247743229689,12568,0.9721911995125931,0.9776583491333446
2021,,East,Yes,0.025075225677031094,12568,0.022341650866655315,0.027808800487406873
