year,rentown,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.01611,168,6302,0.01300,0.01921
2016,Owner,No,0.98389,6134,6302,0.98079,0.98700
2016,Tenant,Yes,0.01691,223,7999,0.01408,0.01974
2016,Tenant,No,0.98309,7776,7999,0.98026,0.98592
2021,Owner,Yes,0.01159,115,5080,0.00864,0.01453
2021,Owner,No,0.98742,4965,5080,0.98436,0.99049
2021,Tenant,Yes,0.01755,128,5971,0.01422,0.02088
2021,Tenant,No,0.96213,5843,5971,0.95728,0.96697
