,Unnamed: 0,year,rentown,sampreg,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Owner,West,Yes,0.01399,122,14301,0.01089,0.0177
1,1,2016,Owner,West,No,0.98601,5024,14301,0.95694,1.01343
2,2,2016,Owner,East,Yes,0.02967,46,14301,0.02321,0.03697
3,3,2016,Owner,East,No,0.97033,1110,14301,0.90739,1.04335
4,4,2016,Tenant,West,Yes,0.0149,160,14301,0.01199,0.01781
5,5,2016,Tenant,West,No,0.9851,5921,14301,0.95946,1.01357
6,6,2016,Tenant,East,Yes,0.02415,63,14301,0.01818,0.03167
7,7,2016,Tenant,East,No,0.97585,1855,14301,0.92876,1.02718
8,8,2021,Owner,West,Yes,0.01072,86,11022,0.00826,0.01406
9,9,2021,Owner,West,No,0.98928,4041,11022,0.94652,1.02257
10,10,2021,Owner,East,No,1.0,924,11022,0.91544,1.08776
11,11,2021,Tenant,West,Yes,0.01813,92,11022,0.01314,0.02304
12,12,2021,Tenant,West,No,0.98187,4442,11022,0.94704,1.01562
13,13,2021,Tenant,East,Yes,0.01588,36,11022,0.01083,0.02164
14,14,2021,Tenant,East,No,0.98412,1401,11022,0.92562,1.06144
