,Unnamed: 0,year,bula_h,quintil_oecd_hh,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,1st Quintile,No,1.0,123,13840,0.85175,1.17861
1,1,2016,Schleswig-Holstein,2nd Quintile,No,1.0,103,13840,0.79422,1.24654
2,2,2016,Schleswig-Holstein,3rd Quintile,No,1.0,98,13840,0.77422,1.17431
3,3,2016,Schleswig-Holstein,4th Quintile,No,1.0,85,13840,0.8371,1.19385
4,4,2016,Schleswig-Holstein,5th Quintile,No,1.0,77,13840,0.79669,1.22872
5,5,2016,Hamburg,1st Quintile,No,1.0,49,13840,0.77056,1.26786
6,6,2016,Hamburg,2nd Quintile,No,1.0,47,13840,0.74006,1.27934
7,7,2016,Hamburg,3rd Quintile,No,1.0,43,13840,0.75084,1.2824
8,8,2016,Hamburg,4th Quintile,No,1.0,56,13840,0.76582,1.25564
9,9,2016,Hamburg,5th Quintile,No,1.0,63,13840,0.71068,1.26218
10,10,2016,Lower Saxony,1st Quintile,No,1.0,297,13840,0.85875,1.16823
11,11,2016,Lower Saxony,2nd Quintile,No,1.0,252,13840,0.86949,1.14517
12,12,2016,Lower Saxony,3rd Quintile,No,1.0,228,13840,0.86427,1.14485
13,13,2016,Lower Saxony,4th Quintile,No,1.0,273,13840,0.88838,1.10158
14,14,2016,Lower Saxony,5th Quintile,No,1.0,259,13840,0.85672,1.10627
15,15,2016,Bremen,1st Quintile,No,1.0,37,13840,0.63093,1.47096
16,16,2016,North Rhine-Westphalia,1st Quintile,No,1.0,655,13840,0.90028,1.08836
17,17,2016,North Rhine-Westphalia,2nd Quintile,No,1.0,574,13840,0.909,1.08871
18,18,2016,North Rhine-Westphalia,3rd Quintile,No,1.0,504,13840,0.9191,1.12049
19,19,2016,North Rhine-Westphalia,4th Quintile,No,1.0,535,13840,0.91299,1.07915
20,20,2016,North Rhine-Westphalia,5th Quintile,No,1.0,563,13840,0.91752,1.08753
21,21,2016,Hesse,1st Quintile,No,1.0,190,13840,0.82696,1.15891
22,22,2016,Hesse,2nd Quintile,No,1.0,185,13840,0.84596,1.15681
23,23,2016,Hesse,3rd Quintile,No,1.0,164,13840,0.84849,1.17205
24,24,2016,Hesse,4th Quintile,No,1.0,170,13840,0.8437,1.15542
25,25,2016,Hesse,5th Quintile,No,1.0,249,13840,0.86463,1.14269
26,26,2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.0,189,13840,0.85183,1.14713
27,27,2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.0,183,13840,0.85055,1.20643
28,28,2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.0,155,13840,0.85555,1.15941
29,29,2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.0,151,13840,0.85116,1.13493
30,30,2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.0,153,13840,0.85591,1.14659
31,31,2016,Baden-Wuerttemberg,1st Quintile,No,1.0,212,13840,0.86464,1.16582
32,32,2016,Baden-Wuerttemberg,2nd Quintile,No,1.0,294,13840,0.88371,1.12539
33,33,2016,Baden-Wuerttemberg,3rd Quintile,No,1.0,318,13840,0.89176,1.10603
34,34,2016,Baden-Wuerttemberg,4th Quintile,No,1.0,359,13840,0.88851,1.11521
35,35,2016,Baden-Wuerttemberg,5th Quintile,No,1.0,401,13840,0.90199,1.09534
36,36,2016,Bavaria,1st Quintile,No,1.0,357,13840,0.8931,1.11816
37,37,2016,Bavaria,2nd Quintile,No,1.0,484,13840,0.90002,1.10588
38,38,2016,Bavaria,3rd Quintile,No,1.0,452,13840,0.90757,1.11692
39,39,2016,Bavaria,4th Quintile,No,1.0,435,13840,0.89926,1.08711
40,40,2016,Bavaria,5th Quintile,No,1.0,514,13840,0.90451,1.09288
41,41,2016,Berlin,1st Quintile,No,1.0,145,13840,0.83244,1.18703
42,42,2016,Berlin,2nd Quintile,No,1.0,110,13840,0.81232,1.18971
43,43,2016,Berlin,3rd Quintile,No,1.0,113,13840,0.82099,1.18145
44,44,2016,Berlin,4th Quintile,No,1.0,126,13840,0.83479,1.21358
45,45,2016,Berlin,5th Quintile,No,1.0,102,13840,0.8436,1.17568
46,46,2016,Brandenburg,1st Quintile,No,1.0,127,13840,0.82354,1.20424
47,47,2016,Brandenburg,2nd Quintile,No,1.0,143,13840,0.80348,1.14997
48,48,2016,Brandenburg,3rd Quintile,No,1.0,132,13840,0.84205,1.19505
49,49,2016,Brandenburg,4th Quintile,No,1.0,71,13840,0.77641,1.28536
50,50,2016,Brandenburg,5th Quintile,No,1.0,69,13840,0.72534,1.303
51,51,2016,Mecklenburg-Western Pomerania,1st Quintile,No,1.0,94,13840,0.82023,1.21761
52,52,2016,Mecklenburg-Western Pomerania,2nd Quintile,No,1.0,81,13840,0.81525,1.20445
53,53,2016,Mecklenburg-Western Pomerania,3rd Quintile,No,1.0,67,13840,0.71071,1.29792
54,54,2016,Mecklenburg-Western Pomerania,4th Quintile,No,1.0,38,13840,0.71022,1.29357
55,55,2016,Mecklenburg-Western Pomerania,5th Quintile,No,1.0,34,13840,0.77155,1.28134
56,56,2016,Saxony,1st Quintile,No,1.0,198,13840,0.86621,1.13727
57,57,2016,Saxony,2nd Quintile,No,1.0,236,13840,0.87646,1.12834
58,58,2016,Saxony,3rd Quintile,No,1.0,193,13840,0.85608,1.16994
59,59,2016,Saxony,4th Quintile,No,1.0,122,13840,0.79333,1.17992
60,60,2016,Saxony,5th Quintile,No,1.0,80,13840,0.8135,1.22605
61,61,2016,Saxony-Anhalt,1st Quintile,No,1.0,157,13840,0.80871,1.2094
62,62,2016,Saxony-Anhalt,2nd Quintile,No,1.0,131,13840,0.85862,1.14996
63,63,2016,Saxony-Anhalt,3rd Quintile,No,1.0,89,13840,0.84326,1.18204
64,64,2016,Saxony-Anhalt,4th Quintile,No,1.0,72,13840,0.7425,1.20383
65,65,2016,Saxony-Anhalt,5th Quintile,No,1.0,47,13840,0.69022,1.4116
66,66,2016,Thuringa,1st Quintile,No,1.0,139,13840,0.82316,1.24215
67,67,2016,Thuringa,2nd Quintile,No,1.0,137,13840,0.83567,1.17637
68,68,2016,Thuringa,3rd Quintile,No,1.0,116,13840,0.84293,1.13168
69,69,2016,Thuringa,4th Quintile,No,1.0,83,13840,0.76014,1.26294
70,70,2016,Thuringa,5th Quintile,No,1.0,52,13840,0.65318,1.39906
71,71,2021,Schleswig-Holstein,1st Quintile,No,1.0,82,10714,0.71235,1.34605
72,72,2021,Schleswig-Holstein,2nd Quintile,No,1.0,73,10714,0.71062,1.27426
73,73,2021,Schleswig-Holstein,3rd Quintile,No,1.0,71,10714,0.76119,1.25186
74,74,2021,Schleswig-Holstein,4th Quintile,No,1.0,89,10714,0.7274,1.20645
75,75,2021,Schleswig-Holstein,5th Quintile,No,1.0,100,10714,0.79181,1.22709
76,76,2021,Hamburg,1st Quintile,No,1.0,49,10714,0.72632,1.34792
77,77,2021,Hamburg,2nd Quintile,No,1.0,42,10714,0.73417,1.32423
78,78,2021,Hamburg,3rd Quintile,No,1.0,50,10714,0.72327,1.36882
79,79,2021,Hamburg,4th Quintile,No,1.0,46,10714,0.66225,1.29477
80,80,2021,Hamburg,5th Quintile,No,1.0,74,10714,0.72672,1.39258
81,81,2021,Lower Saxony,1st Quintile,No,1.0,195,10714,0.83178,1.16986
82,82,2021,Lower Saxony,2nd Quintile,No,1.0,211,10714,0.82221,1.20131
83,83,2021,Lower Saxony,3rd Quintile,No,1.0,179,10714,0.8116,1.21001
84,84,2021,Lower Saxony,4th Quintile,No,1.0,204,10714,0.84108,1.16562
85,85,2021,Lower Saxony,5th Quintile,No,1.0,249,10714,0.85666,1.13998
86,86,2021,North Rhine-Westphalia,1st Quintile,No,1.0,452,10714,0.91694,1.10849
87,87,2021,North Rhine-Westphalia,2nd Quintile,No,1.0,425,10714,0.90256,1.11477
88,88,2021,North Rhine-Westphalia,3rd Quintile,No,1.0,398,10714,0.87527,1.10741
89,89,2021,North Rhine-Westphalia,4th Quintile,No,1.0,416,10714,0.90263,1.12202
90,90,2021,North Rhine-Westphalia,5th Quintile,No,1.0,539,10714,0.88766,1.10452
