,Unnamed: 0,year,bula_h,rentown,pet_othrodent,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2016,Schleswig-Holstein,Owner,No,1.0,227,13960,0.88817,1.1297
1,1,2016,Schleswig-Holstein,Tenant,No,1.0,259,13960,0.87074,1.10944
2,2,2016,Hamburg,Owner,No,1.0,72,13960,0.8231,1.20453
3,3,2016,Hamburg,Tenant,No,1.0,187,13960,0.86085,1.12811
4,4,2016,Lower Saxony,Owner,No,1.0,679,13960,0.91941,1.08774
5,5,2016,Lower Saxony,Tenant,No,1.0,630,13960,0.90759,1.10019
6,6,2016,Bremen,Owner,No,1.0,34,13960,0.67122,1.42079
7,7,2016,Bremen,Tenant,No,1.0,69,13960,0.75928,1.25866
8,8,2016,North Rhine-Westphalia,Owner,No,1.0,1191,13960,0.93858,1.0646
9,9,2016,North Rhine-Westphalia,Tenant,Yes,0.01508,50,13960,0.00965,0.02147
10,10,2016,North Rhine-Westphalia,Tenant,No,0.98492,1641,13960,0.93811,1.0343
11,11,2016,Hesse,Owner,No,1.0,416,13960,0.89842,1.09901
12,12,2016,Hesse,Tenant,No,1.0,543,13960,0.90858,1.08194
13,13,2016,"Rhineland-Palatinate, Saarland",Owner,No,1.0,433,13960,0.90562,1.08742
14,14,2016,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,398,13960,0.90338,1.09745
15,15,2016,Baden-Wuerttemberg,Owner,No,1.0,830,13960,0.94155,1.07579
16,16,2016,Baden-Wuerttemberg,Tenant,No,1.0,755,13960,0.9234,1.06562
17,17,2016,Bavaria,Owner,No,1.0,1071,13960,0.92587,1.05002
18,18,2016,Bavaria,Tenant,No,1.0,1170,13960,0.93536,1.07568
19,19,2016,Berlin,Owner,No,1.0,107,13960,0.83007,1.19228
20,20,2016,Berlin,Tenant,No,1.0,490,13960,0.92102,1.0925
21,21,2016,Brandenburg,Owner,No,1.0,247,13960,0.87891,1.12146
22,22,2016,Brandenburg,Tenant,No,1.0,295,13960,0.84999,1.14342
23,23,2016,Mecklenburg-Western Pomerania,Owner,No,1.0,104,13960,0.80838,1.18574
24,24,2016,Mecklenburg-Western Pomerania,Tenant,No,1.0,210,13960,0.86513,1.15093
25,25,2016,Saxony,Owner,No,1.0,287,13960,0.8695,1.11579
26,26,2016,Saxony,Tenant,No,1.0,542,13960,0.92217,1.10325
27,27,2016,Saxony-Anhalt,Owner,No,1.0,201,13960,0.87351,1.15538
28,28,2016,Saxony-Anhalt,Tenant,No,1.0,295,13960,0.87385,1.12982
29,29,2016,Thuringa,Owner,No,1.0,235,13960,0.86916,1.15885
30,30,2016,Thuringa,Tenant,No,1.0,292,13960,0.88467,1.12325
31,31,2021,Schleswig-Holstein,Owner,No,1.0,237,10784,0.82771,1.16844
32,32,2021,Schleswig-Holstein,Tenant,No,1.0,179,10784,0.81272,1.21408
33,33,2021,Hamburg,Owner,No,1.0,75,10784,0.74134,1.34352
34,34,2021,Hamburg,Tenant,No,1.0,186,10784,0.84753,1.16235
35,35,2021,Lower Saxony,Owner,No,1.0,548,10784,0.90847,1.09467
36,36,2021,Lower Saxony,Tenant,No,1.0,491,10784,0.89487,1.10576
37,37,2021,Bremen,Tenant,No,1.0,56,10784,0.68043,1.28795
38,38,2021,North Rhine-Westphalia,Owner,No,1.0,985,10784,0.91714,1.07549
39,39,2021,North Rhine-Westphalia,Tenant,No,1.0,1245,10784,0.94409,1.07438
40,40,2021,Hesse,Owner,No,1.0,322,10784,0.85586,1.11543
41,41,2021,Hesse,Tenant,No,1.0,363,10784,0.88821,1.12475
42,42,2021,"Rhineland-Palatinate, Saarland",Owner,No,1.0,293,10784,0.8709,1.12833
43,43,2021,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,229,10784,0.86083,1.15722
44,44,2021,Baden-Wuerttemberg,Owner,No,1.0,640,10784,0.91432,1.09057
45,45,2021,Baden-Wuerttemberg,Tenant,No,1.0,546,10784,0.8881,1.10806
46,46,2021,Bavaria,Owner,No,1.0,841,10784,0.92237,1.08468
47,47,2021,Bavaria,Tenant,No,1.0,869,10784,0.92638,1.08867
48,48,2021,Berlin,Owner,No,1.0,108,10784,0.78304,1.27966
49,49,2021,Berlin,Tenant,No,1.0,441,10784,0.89779,1.08369
50,50,2021,Brandenburg,Owner,No,1.0,223,10784,0.85814,1.17458
51,51,2021,Brandenburg,Tenant,No,1.0,214,10784,0.85317,1.21034
52,52,2021,Mecklenburg-Western Pomerania,Owner,No,1.0,102,10784,0.77606,1.23614
53,53,2021,Mecklenburg-Western Pomerania,Tenant,No,1.0,157,10784,0.84938,1.18557
54,54,2021,Saxony,Owner,No,1.0,253,10784,0.84574,1.14967
55,55,2021,Saxony,Tenant,No,1.0,448,10784,0.9046,1.10167
56,56,2021,Saxony-Anhalt,Owner,No,1.0,151,10784,0.80617,1.21488
57,57,2021,Saxony-Anhalt,Tenant,No,1.0,207,10784,0.84603,1.14965
58,58,2021,Thuringa,Owner,No,1.0,164,10784,0.77241,1.22296
59,59,2021,Thuringa,Tenant,No,1.0,211,10784,0.87577,1.16697
