year,bula_h,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,West,No,0.96223,486,486,0.94526,0.97919
2016,Hamburg,West,No,0.98989,259,259,0.97768,1.00210
2016,Lower Saxony,West,Yes,0.01828,39,1348,0.01113,0.02544
2016,Lower Saxony,West,No,0.97544,1309,1348,0.96718,0.98371
2016,Bremen,West,No,0.98427,103,103,0.96011,1.00842
2016,North Rhine-Westphalia,West,Yes,0.01342,75,2907,0.00924,0.01761
2016,North Rhine-Westphalia,West,No,0.98035,2832,2907,0.97530,0.98540
2016,Hesse,West,No,0.98152,959,959,0.97299,0.99005
2016,"Rhineland-Palatinate, Saarland",West,No,0.97939,831,831,0.96972,0.98905
2016,Baden-Wuerttemberg,West,Yes,0.01406,42,1627,0.00834,0.01979
2016,Baden-Wuerttemberg,West,No,0.98149,1585,1627,0.97494,0.98804
2016,Bavaria,West,Yes,0.01341,58,2300,0.00871,0.01811
2016,Bavaria,West,No,0.98340,2242,2300,0.97817,0.98862
2016,Berlin,West,No,0.98643,340,340,0.97412,0.99875
2016,Berlin,East,No,0.99100,257,257,0.97943,1.00257
2016,Brandenburg,East,No,0.97385,542,542,0.96041,0.98730
2016,Mecklenburg-Western Pomerania,East,No,0.96740,314,314,0.94772,0.98707
2016,Saxony,East,Yes,0.04070,36,865,0.02752,0.05388
2016,Saxony,East,No,0.95478,829,865,0.94092,0.96863
2016,Saxony-Anhalt,East,No,0.97288,496,496,0.95857,0.98719
2016,Thuringa,East,No,0.97080,527,527,0.95641,0.98519
2021,Schleswig-Holstein,West,No,0.96454,416,416,0.94675,0.98233
2021,Hamburg,West,No,0.95053,261,261,0.92418,0.97689
2021,Lower Saxony,West,No,0.97512,1039,1039,0.96564,0.98459
2021,Bremen,West,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,West,Yes,0.01387,51,2283,0.00907,0.01867
2021,North Rhine-Westphalia,West,No,0.97349,2232,2283,0.96689,0.98008
2021,Hesse,West,No,0.97156,686,686,0.95911,0.98401
2021,"Rhineland-Palatinate, Saarland",West,No,0.97144,522,522,0.95713,0.98574
2021,Baden-Wuerttemberg,West,No,0.97326,1187,1187,0.96408,0.98244
2021,Bavaria,West,Yes,0.01531,37,1747,0.00955,0.02107
2021,Bavaria,West,No,0.97786,1710,1747,0.97096,0.98476
2021,Berlin,West,No,0.98817,354,354,0.97689,0.99945
2021,Berlin,East,No,0.96389,195,195,0.93764,0.99014
2021,Brandenburg,East,No,0.98380,437,437,0.97194,0.99565
2021,Mecklenburg-Western Pomerania,East,No,0.99091,259,259,0.97933,1.00249
2021,Saxony,East,Yes,0.02927,31,733,0.01706,0.04148
2021,Saxony,East,No,0.96334,702,733,0.94973,0.97696
2021,Saxony-Anhalt,East,No,0.97394,358,358,0.95741,0.99047
2021,Thuringa,East,No,0.97918,375,375,0.96470,0.99365
