year,bula_h,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,0.95372,135,135,0.91815,0.98929
2016,Schleswig-Holstein,Rural regions,No,0.97768,351,351,0.96221,0.99316
2016,Hamburg,Urban regions,No,0.99372,259,259,0.98408,1.00336
2016,Lower Saxony,Urban regions,No,0.98924,558,558,0.98068,0.99781
2016,Lower Saxony,Rural regions,No,0.97604,751,751,0.96509,0.98698
2016,Bremen,Urban regions,No,0.99432,103,103,0.97974,1.00890
2016,North Rhine-Westphalia,Urban regions,Yes,0.01303,72,2855,0.00887,0.01719
2016,North Rhine-Westphalia,Urban regions,No,0.98697,2783,2855,0.98281,0.99113
2016,North Rhine-Westphalia,Rural regions,No,0.96257,49,49,0.90886,1.01627
2016,Hesse,Urban regions,No,0.98349,784,784,0.97456,0.99242
2016,Hesse,Rural regions,No,0.99408,175,175,0.98269,1.00548
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.98713,611,611,0.97819,0.99608
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.98708,220,220,0.97212,1.00204
2016,Baden-Wuerttemberg,Urban regions,Yes,0.01432,38,1454,0.00821,0.02043
2016,Baden-Wuerttemberg,Urban regions,No,0.98568,1416,1454,0.97957,0.99179
2016,Baden-Wuerttemberg,Rural regions,No,0.98775,169,169,0.97112,1.00438
2016,Bavaria,Urban regions,No,0.98770,1073,1073,0.98111,0.99430
2016,Bavaria,Rural regions,Yes,0.01464,31,1200,0.00784,0.02143
2016,Bavaria,Rural regions,No,0.98536,1169,1200,0.97857,0.99216
2016,Berlin,Urban regions,No,0.99084,597,597,0.98319,0.99849
2016,Brandenburg,Urban regions,No,0.97972,42,42,0.93657,1.02287
2016,Brandenburg,Rural regions,No,0.97778,500,500,0.96485,0.99072
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.95889,43,43,0.89884,1.01894
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.97640,271,271,0.95829,0.99451
2016,Saxony,Urban regions,No,0.97427,447,447,0.95958,0.98896
2016,Saxony,Rural regions,No,0.94422,382,382,0.92118,0.96726
2016,Saxony-Anhalt,Urban regions,No,0.99349,122,122,0.97917,1.00782
2016,Saxony-Anhalt,Rural regions,No,0.97636,374,374,0.96094,0.99178
2016,Thuringa,Urban regions,No,0.98335,176,176,0.96439,1.00231
2016,Thuringa,Rural regions,No,0.97580,351,351,0.95970,0.99190
2021,Schleswig-Holstein,Urban regions,No,0.99315,152,152,0.97999,1.00631
2021,Schleswig-Holstein,Rural regions,No,0.97031,264,264,0.94980,0.99082
2021,Hamburg,Urban regions,No,0.96114,261,261,0.93764,0.98463
2021,Lower Saxony,Urban regions,No,0.98260,466,466,0.97072,0.99449
2021,Lower Saxony,Rural regions,No,0.98521,573,573,0.97531,0.99510
2021,North Rhine-Westphalia,Urban regions,Yes,0.01302,48,2234,0.00832,0.01773
2021,North Rhine-Westphalia,Urban regions,No,0.98698,2186,2234,0.98227,0.99168
2021,North Rhine-Westphalia,Rural regions,No,0.94498,46,46,0.87836,1.01160
2021,Hesse,Urban regions,No,0.99519,548,548,0.98939,1.00099
2021,Hesse,Rural regions,No,0.99620,138,138,0.98590,1.00650
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.98259,404,404,0.96982,0.99536
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99124,118,118,0.97435,1.00812
2021,Baden-Wuerttemberg,Urban regions,No,0.98077,1074,1074,0.97256,0.98899
2021,Baden-Wuerttemberg,Rural regions,No,0.99452,113,113,0.98085,1.00819
2021,Bavaria,Urban regions,No,0.98566,859,859,0.97771,0.99362
2021,Bavaria,Rural regions,No,0.98345,851,851,0.97487,0.99203
2021,Berlin,Urban regions,No,0.99756,549,549,0.99343,1.00169
2021,Brandenburg,Urban regions,No,0.99163,39,39,0.96266,1.02060
2021,Brandenburg,Rural regions,No,0.98833,398,398,0.97776,0.99889
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.99806,48,48,0.98547,1.01065
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.99902,211,211,0.99478,1.00325
2021,Saxony,Urban regions,No,0.97576,373,373,0.96013,0.99139
2021,Saxony,Rural regions,No,0.96580,329,329,0.94614,0.98547
2021,Saxony-Anhalt,Urban regions,No,0.98608,79,79,0.96008,1.01208
2021,Saxony-Anhalt,Rural regions,No,0.98165,279,279,0.96587,0.99742
2021,Thuringa,Urban regions,No,0.99944,136,136,0.99543,1.00344
2021,Thuringa,Rural regions,No,0.98408,239,239,0.96818,0.99998
