"year","age_gr","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","17-29","männlich","7.11","6.5","1507","6","6","8","8","10","7.05","7.17","3","12","7","7"
"2008","17-29","weiblich","7.26","6.5","1637","6","7","8","8","10","7.2","7.32","2","13","7","7"
"2008","30-45","männlich","6.83","6.5","2463","6","6","7","8","10","6.79","6.87","1","12","7","7"
"2008","30-45","weiblich","7.05","6.5","2697","6","6","8","8","10","7.01","7.09","2","13","7","7"
"2008","46-65","männlich","6.88","6.5","3189","5","6","8","8","10","6.84","6.92","2","18","7","7"
"2008","46-65","weiblich","7","6.5","3486","6","6","8","8","10","6.96","7.04","2","14","7","7"
"2008","66","männlich","7.43","7.5","2028","6","7","8","9","11","7.37","7.49","2","15","8","8"
"2008","66","weiblich","7.16","6.5","2247","5","6","8","9","10","7.1","7.22","2","14","7","7"
"2009","17-29","männlich","7.19","6.5","1391","6","6","8","8","10","7.13","7.25","3","12","7","7"
"2009","17-29","weiblich","7.21","6.5","1446","6","7","8","8","10","7.15","7.27","2","12","7","7"
"2009","30-45","männlich","6.81","6.5","2201","6","6","7","8","9","6.77","6.85","1","12","7","7"
"2009","30-45","weiblich","7.02","6.5","2461","6","6","8","8","9","6.98","7.06","2","12","7","7"
"2009","46-65","männlich","6.83","6.5","3005","6","6","8","8","10","6.79","6.87","2","16","7","7"
"2009","46-65","weiblich","6.94","6.5","3297","6","6","8","8","10","6.9","6.98","2","14","7","7"
"2009","66","männlich","7.34","6.5","1968","6","7","8","9","10","7.28","7.4","1","16","7","8"
"2009","66","weiblich","7.07","6.5","2169","5","6","8","9","10","7.01","7.13","2","14","7","7"
"2010","17-29","männlich","7.13","6.5","1703","6","6","8","8","10","7.08","7.18","2","12","7","7"
"2010","17-29","weiblich","7.15","6.5","2207","6","6","8","8","10","7.1","7.2","1","13","7","7"
"2010","30-45","männlich","6.75","6.5","3925","6","6","7","8","9","6.72","6.78","2","12","7","7"
"2010","30-45","weiblich","6.94","6.5","5123","6","6","8","8","9","6.91","6.97","2","12","7","7"
"2010","46-65","männlich","6.82","6.5","3336","5","6","8","8","10","6.78","6.86","2","13","7","7"
"2010","46-65","weiblich","6.87","6.5","3599","5","6","8","8","10","6.83","6.91","1","14","7","7"
"2010","66","männlich","7.32","6.5","1916","6","6","8","9","10","7.26","7.38","1","12","7","8"
"2010","66","weiblich","7.03","6.5","2086","5","6","8","9","10","6.97","7.09","2","15","7","7"
"2011","17-29","männlich","7.11","6.5","1873","6","6","8","8","10","7.06","7.16","2","13","7","7"
"2011","17-29","weiblich","7.18","6.5","2297","6","7","8","8","10","7.13","7.23","1","12","7","7"
"2011","30-45","männlich","6.75","6.5","4162","6","6","7","8","9","6.72","6.78","2","12","7","7"
"2011","30-45","weiblich","6.94","6.5","5757","6","6","8","8","9","6.91","6.97","1","12","7","7"
"2011","46-65","männlich","6.75","6.5","4328","5","6","7","8","10","6.72","6.78","2","12","7","7"
"2011","46-65","weiblich","6.86","6.5","4788","5","6","8","8","10","6.83","6.89","1","12","7","7"
"2011","66","männlich","7.26","6.5","2463","6","6","8","9","10","7.21","7.31","1","15","7","7"
"2011","66","weiblich","6.94","6.5","2655","5","6","8","8","10","6.89","6.99","1","15","7","7"
"2012","17-29","männlich","7.02","6.5","1851","6","6","8","8","10","6.97","7.07","2","12","7","7"
"2012","17-29","weiblich","7.18","6.5","2117","6","6","8","8","10","7.13","7.23","2","12","7","7"
"2012","30-45","männlich","6.75","6.5","3775","6","6","7","8","9","6.72","6.78","2","12","7","7"
"2012","30-45","weiblich","6.92","6.5","5278","6","6","8","8","9","6.89","6.95","2","12","7","7"
"2012","46-65","männlich","6.75","6.5","4376","5","6","7","8","9","6.72","6.78","1","12","7","7"
"2012","46-65","weiblich","6.87","6.5","4980","5","6","8","8","10","6.84","6.9","1","14","7","7"
"2012","66","männlich","7.33","6.5","2523","6","7","8","9","10","7.28","7.38","1","15","7","8"
"2012","66","weiblich","7.03","6.5","2654","5","6","8","9","10","6.97","7.09","1","16","7","7"
"2013","17-29","männlich","7.08","6.5","1689","6","6","8","8","10","7.02","7.14","1","12","7","7"
"2013","17-29","weiblich","7.14","6.5","1949","6","7","8","8","10","7.09","7.19","2","12","7","7"
"2013","30-45","männlich","6.75","6.5","3323","6","6","7","8","9","6.71","6.79","1","12","7","7"
"2013","30-45","weiblich","6.85","6.5","4716","6","6","8","8","9","6.82","6.88","1","10","7","7"
"2013","46-65","männlich","6.72","6.5","4190","5","6","7","8","10","6.69","6.75","2","14","7","7"
"2013","46-65","weiblich","6.78","6.5","4815","5","6","8","8","10","6.75","6.81","2","13","7","7"
"2013","66","männlich","7.3","6.5","2392","6","7","8","9","10","7.25","7.35","2","14","7","7"
"2013","66","weiblich","6.93","6.5","2544","5","6","8","8","10","6.88","6.98","1","14","7","7"
"2014","17-29","männlich","","","","","","","","","","","","","",""
"2014","17-29","weiblich","","","","","","","","","","","","","",""
"2014","30-45","männlich","","","","","","","","","","","","","",""
