"year","age_gr","bildungsniveau","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2008","17-34","(Fach-)Abitur","7.14","6.5","998","7.07","7.21"
"2008","17-34","(noch) kein Abschluss","7.38","6.5","388","7.27","7.49"
"2008","17-34","AkademikerIn","7.03","6.5","527","6.95","7.11"
"2008","17-34","Hauptschule","7.08","6.5","724","6.99","7.17"
"2008","17-34","Realschule","7.06","6.5","1261","7","7.12"
"2008","35-65","(Fach-)Abitur","7.01","6.5","986","6.95","7.07"
"2008","35-65","(noch) kein Abschluss","6.73","6.5","100","6.45","7.01"
"2008","35-65","AkademikerIn","6.93","6.5","2794","6.89","6.97"
"2008","35-65","Hauptschule","6.93","6.5","3453","6.89","6.97"
"2008","35-65","Realschule","6.93","6.5","3287","6.89","6.97"
"2008","66 +","(Fach-)Abitur","7.37","6.5","182","7.17","7.57"
"2008","66 +","(noch) kein Abschluss","7.06","6.5","55","6.65","7.47"
"2008","66 +","AkademikerIn","7.42","7.5","869","7.34","7.5"
"2008","66 +","Hauptschule","7.24","6.5","2611","7.18","7.3"
"2008","66 +","Realschule","7.29","6.5","547","7.18","7.4"
"2009","17-34","(Fach-)Abitur","7.14","6.5","916","7.07","7.21"
"2009","17-34","(noch) kein Abschluss","7.3","6.5","337","7.2","7.4"
"2009","17-34","AkademikerIn","7.08","6.5","535","7.01","7.15"
"2009","17-34","Hauptschule","7.21","6.5","628","7.12","7.3"
"2009","17-34","Realschule","7.02","6.5","1114","6.96","7.08"
"2009","35-65","(Fach-)Abitur","6.96","6.5","915","6.89","7.03"
"2009","35-65","(noch) kein Abschluss","6.59","6.5","91","6.28","6.9"
"2009","35-65","AkademikerIn","6.92","6.5","2615","6.88","6.96"
"2009","35-65","Hauptschule","6.88","6.5","3072","6.84","6.92"
"2009","35-65","Realschule","6.84","6.5","3122","6.8","6.88"
"2009","66 +","(Fach-)Abitur","7.34","7.5","168","7.16","7.52"
"2009","66 +","(noch) kein Abschluss","7.02","6.5","54","6.6","7.44"
"2009","66 +","AkademikerIn","7.3","6.5","877","7.22","7.38"
"2009","66 +","Hauptschule","7.16","6.5","2473","7.1","7.22"
"2009","66 +","Realschule","7.15","6.5","556","7.04","7.26"
"2010","17-34","(Fach-)Abitur","7.07","6.5","1340","7.01","7.13"
"2010","17-34","(noch) kein Abschluss","7.19","6.5","549","7.09","7.29"
"2010","17-34","AkademikerIn","7.11","6.5","914","7.05","7.17"
"2010","17-34","Hauptschule","7.08","6.5","1345","7.01","7.15"
"2010","17-34","Realschule","6.92","6.5","1981","6.87","6.97"
"2010","35-65","(Fach-)Abitur","6.92","6.5","1547","6.87","6.97"
"2010","35-65","(noch) kein Abschluss","6.86","6.5","171","6.64","7.08"
"2010","35-65","AkademikerIn","6.85","6.5","3557","6.82","6.88"
"2010","35-65","Hauptschule","6.8","6.5","3818","6.76","6.84"
"2010","35-65","Realschule","6.84","6.5","4220","6.81","6.87"
"2010","66 +","(Fach-)Abitur","7.18","6.5","169","7","7.36"
"2010","66 +","(noch) kein Abschluss","6.6","5.5","50","6.11","7.09"
