"year","bildungsniveau","quintil_oecd","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2008","(Fach-)Abitur","1 Einkommensschwächstes Quintil","7.23","6.5","367","6","6","8","8","12","7.1","7.36","3","13","7","7"
"2008","(Fach-)Abitur","2","7.02","6.5","369","6","6","8","8","11","6.91","7.13","4","12","7","7"
"2008","(Fach-)Abitur","3","7.17","6.5","424","6","6","8","8","10","7.07","7.27","5","12","7","7"
"2008","(Fach-)Abitur","4","7.04","6.5","511","6","6","8","8","9","6.95","7.13","4","10","7","7"
"2008","(Fach-)Abitur","5 Einkommensstärkstes Quintil","7.04","6.5","495","6","6","8","8","10","6.95","7.13","2","10","7","7"
"2008","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","7.16","6.5","162","5","6","8","9","10","6.94","7.38","3","12","7","8"
"2008","(noch) kein Abschluss","2","7.06","6.5","142","6","6","8","8","10","6.85","7.27","4","12","7","7"
"2008","(noch) kein Abschluss","3","7.31","6.5","92","6","7","8","8","9","7.11","7.51","5","10","7","8"
"2008","(noch) kein Abschluss","4","7.28","6.5","74","6","6","8","9","10","7","7.56","2","10","7","7"
"2008","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","7.21","6.5","73","6","6","8","9","10","7","7.42","5","10","7","8"
"2008","AkademikerIn","1 Einkommensschwächstes Quintil","7.25","6.5","244","6","7","8","8","11","7.09","7.41","2","11","7","7"
"2008","AkademikerIn","2","7.15","6.5","431","6","7","8","8","10","7.05","7.25","3","12","7","7"
"2008","AkademikerIn","3","7.08","6.5","598","6","6","8","8","9","7","7.16","3","10","7","7"
"2008","AkademikerIn","4","7.04","6.5","922","6","6","8","8","10","6.97","7.11","3","18","7","7"
"2008","AkademikerIn","5 Einkommensstärkstes Quintil","6.98","6.5","1995","6","6","8","8","9","6.94","7.02","3","12","7","7"
"2008","Hauptschule","1 Einkommensschwächstes Quintil","7","6.5","1551","5","6","8","8","10","6.93","7.07","2","13","7","7"
"2008","Hauptschule","2","7.13","6.5","1906","5","6","8","9","10","7.07","7.19","2","15","7","7"
"2008","Hauptschule","3","7.05","6.5","1484","6","6","8","8","10","6.99","7.11","1","12","7","7"
"2008","Hauptschule","4","7.06","6.5","1282","6","6","8","8","10","6.99","7.13","3","14","7","7"
