year,age_gr,migback,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Very important,0.13553,298,1750,0.11948,0.15157
1990,17-29 y.,No migration background,Important,0.32323,745,1750,0.30131,0.34515
1990,17-29 y.,No migration background,Less important,0.27223,626,1750,0.25137,0.29309
1990,17-29 y.,No migration background,Unimportant,0.03431,81,1750,0.02578,0.04284
1990,17-29 y.,Direct migration background,Important,0.16298,36,70,0.07583,0.25013
1990,17-29 y.,Direct migration background,Less important,0.13725,34,70,0.05605,0.21844
1990,30-45 y.,No migration background,Very important,0.08379,201,1923,0.07141,0.09618
1990,30-45 y.,No migration background,Important,0.29242,724,1923,0.27209,0.31276
1990,30-45 y.,No migration background,Less important,0.35414,866,1923,0.33276,0.37552
1990,30-45 y.,No migration background,Unimportant,0.04994,132,1923,0.04020,0.05968
1990,30-45 y.,Direct migration background,Important,0.20296,65,107,0.12640,0.27953
1990,30-45 y.,Direct migration background,Less important,0.13910,42,107,0.07322,0.20498
1990,46-65 y.,No migration background,Very important,0.09835,244,1991,0.08527,0.11144
1990,46-65 y.,No migration background,Important,0.30784,772,1991,0.28756,0.32812
1990,46-65 y.,No migration background,Less important,0.29130,752,1991,0.27134,0.31126
1990,46-65 y.,No migration background,Unimportant,0.08792,223,1991,0.07548,0.10036
1990,46-65 y.,Direct migration background,Very important,0.09109,31,158,0.04608,0.13610
1990,46-65 y.,Direct migration background,Important,0.21218,71,158,0.14823,0.27614
1990,46-65 y.,Direct migration background,Less important,0.15833,56,158,0.10123,0.21544
1990,66 and older,No migration background,Very important,0.05264,66,946,0.03840,0.06687
1990,66 and older,No migration background,Important,0.24715,283,946,0.21965,0.27465
1990,66 and older,No migration background,Less important,0.28743,339,946,0.25858,0.31629
1990,66 and older,No migration background,Unimportant,0.22590,258,946,0.19924,0.25256
1992,17-29 y.,No migration background,Very important,0.18303,443,2566,0.16806,0.19799
1992,17-29 y.,No migration background,Important,0.40262,1059,2566,0.38364,0.42160
1992,17-29 y.,No migration background,Less important,0.35944,935,2566,0.34087,0.37801
1992,17-29 y.,No migration background,Unimportant,0.05202,129,2566,0.04343,0.06062
1992,17-29 y.,Direct migration background,Important,0.21101,44,44,0.08905,0.33297
1992,30-45 y.,No migration background,Very important,0.10359,304,3435,0.09340,0.11378
1992,30-45 y.,No migration background,Important,0.36475,1262,3435,0.34865,0.38085
1992,30-45 y.,No migration background,Less important,0.44265,1588,3435,0.42604,0.45927
1992,30-45 y.,No migration background,Unimportant,0.08757,281,3435,0.07811,0.09702
1992,30-45 y.,Direct migration background,Important,0.18683,65,121,0.11709,0.25657
1992,30-45 y.,Direct migration background,Less important,0.14514,56,121,0.08212,0.20817
1992,46-65 y.,No migration background,Very important,0.12145,362,3009,0.10978,0.13312
1992,46-65 y.,No migration background,Important,0.40750,1248,3009,0.38994,0.42506
1992,46-65 y.,No migration background,Less important,0.36421,1124,3009,0.34701,0.38140
1992,46-65 y.,No migration background,Unimportant,0.09683,275,3009,0.08626,0.10739
1992,46-65 y.,Direct migration background,Very important,0.08122,35,226,0.04553,0.11692
1992,46-65 y.,Direct migration background,Important,0.24375,108,226,0.18765,0.29985
1992,46-65 y.,Direct migration background,Less important,0.16568,83,226,0.11710,0.21426
1992,66 and older,No migration background,Very important,0.07451,100,1288,0.06016,0.08885
1992,66 and older,No migration background,Important,0.31429,426,1288,0.28892,0.33965
1992,66 and older,No migration background,Less important,0.32799,428,1288,0.30234,0.35364
1992,66 and older,No migration background,Unimportant,0.26003,334,1288,0.23607,0.28400
1992,66 and older,Direct migration background,Less important,0.33777,36,36,0.18108,0.49446
1995,17-29 y.,No migration background,Very important,0.14044,309,2280,0.12618,0.15471
1995,17-29 y.,No migration background,Important,0.41095,956,2280,0.39075,0.43115
1995,17-29 y.,No migration background,Less important,0.38443,881,2280,0.36446,0.40441
1995,17-29 y.,No migration background,Unimportant,0.05438,134,2280,0.04507,0.06369
1995,17-29 y.,Direct migration background,Very important,0.10958,37,224,0.06858,0.15058
1995,17-29 y.,Direct migration background,Important,0.30764,116,224,0.24707,0.36822
1995,17-29 y.,Direct migration background,Less important,0.20456,71,224,0.15162,0.25750
1995,17-29 y.,Indirect migration background,Important,0.26476,54,54,0.14598,0.38354
1995,30-45 y.,No migration background,Very important,0.07817,240,3451,0.06921,0.08713
1995,30-45 y.,No migration background,Important,0.33847,1146,3451,0.32268,0.35426
1995,30-45 y.,No migration background,Less important,0.48232,1739,3451,0.46564,0.49899
1995,30-45 y.,No migration background,Unimportant,0.09655,326,3451,0.08669,0.10641
1995,30-45 y.,Direct migration background,Very important,0.11529,49,405,0.08415,0.14643
1995,30-45 y.,Direct migration background,Important,0.28390,167,405,0.23993,0.32787
1995,30-45 y.,Direct migration background,Less important,0.24051,156,405,0.19884,0.28219
1995,30-45 y.,Direct migration background,Unimportant,0.04741,33,405,0.02669,0.06813
1995,46-65 y.,No migration background,Very important,0.08578,240,2904,0.07559,0.09597
1995,46-65 y.,No migration background,Important,0.38709,1137,2904,0.36937,0.40480
1995,46-65 y.,No migration background,Less important,0.42981,1273,2904,0.41180,0.44782
1995,46-65 y.,No migration background,Unimportant,0.09356,254,2904,0.08296,0.10415
1995,46-65 y.,Direct migration background,Very important,0.07683,39,334,0.04823,0.10544
1995,46-65 y.,Direct migration background,Important,0.22319,119,334,0.17847,0.26791
1995,46-65 y.,Direct migration background,Less important,0.22991,130,334,0.18472,0.27511
1995,46-65 y.,Direct migration background,Unimportant,0.08397,46,334,0.05418,0.11376
1995,66 and older,No migration background,Very important,0.07381,103,1284,0.05951,0.08812
1995,66 and older,No migration background,Important,0.29064,366,1284,0.26579,0.31549
1995,66 and older,No migration background,Less important,0.36296,486,1284,0.33665,0.38928
1995,66 and older,No migration background,Unimportant,0.25161,329,1284,0.22786,0.27535
1995,66 and older,Direct migration background,Important,0.32874,55,142,0.25121,0.40628
1995,66 and older,Direct migration background,Less important,0.24223,40,142,0.17151,0.31294
1995,66 and older,Direct migration background,Unimportant,0.26321,47,142,0.19052,0.33590
2004,17-29 y.,No migration background,Very important,0.13451,446,3062,0.12243,0.14660
2004,17-29 y.,No migration background,Important,0.40965,1273,3062,0.39223,0.42707
2004,17-29 y.,No migration background,Less important,0.37966,1155,3062,0.36246,0.39685
2004,17-29 y.,No migration background,Unimportant,0.07296,188,3062,0.06375,0.08218
2004,17-29 y.,Direct migration background,Very important,0.15303,60,371,0.11635,0.18971
2004,17-29 y.,Direct migration background,Important,0.47680,174,371,0.42591,0.52770
2004,17-29 y.,Direct migration background,Less important,0.26577,106,371,0.22076,0.31078
2004,17-29 y.,Direct migration background,Unimportant,0.09213,31,371,0.06266,0.12160
2004,17-29 y.,Indirect migration background,Very important,0.16984,88,504,0.13703,0.20266
2004,17-29 y.,Indirect migration background,Important,0.43205,227,504,0.38876,0.47534
2004,17-29 y.,Indirect migration background,Less important,0.32382,155,504,0.28292,0.36471
2004,17-29 y.,Indirect migration background,Unimportant,0.06205,34,504,0.04097,0.08314
2004,30-45 y.,No migration background,Very important,0.08972,454,5447,0.08213,0.09731
2004,30-45 y.,No migration background,Important,0.32734,1802,5447,0.31488,0.33980
2004,30-45 y.,No migration background,Less important,0.47848,2641,5447,0.46521,0.49175
2004,30-45 y.,No migration background,Unimportant,0.10135,550,5447,0.09333,0.10936
2004,30-45 y.,Direct migration background,Very important,0.09688,81,841,0.07687,0.11688
2004,30-45 y.,Direct migration background,Important,0.35248,294,841,0.32018,0.38479
