year,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Very important,0.07666,887,7105,0.07047,0.08285
1990,Important,0.23491,2732,7105,0.22505,0.24477
1990,Less important,0.23654,2753,7105,0.22666,0.24642
1990,Unimportant,0.06975,733,7105,0.06382,0.07567
1992,Very important,0.09566,1307,10951,0.09015,0.10116
1992,Important,0.29366,4273,10951,0.28513,0.30219
1992,Less important,0.29010,4298,10951,0.28160,0.29860
1992,Unimportant,0.08802,1073,10951,0.08271,0.09332
1995,Very important,0.07534,1054,11177,0.07044,0.08023
1995,Important,0.28294,4129,11177,0.27459,0.29129
1995,Less important,0.32148,4813,11177,0.31282,0.33014
1995,Unimportant,0.09186,1181,11177,0.08650,0.09721
2004,Very important,0.08016,2107,21512,0.07653,0.08379
2004,Important,0.29132,7782,21512,0.28525,0.29739
2004,Less important,0.35282,9176,21512,0.34644,0.35921
2004,Unimportant,0.10776,2447,21512,0.10362,0.11190
2008,Very important,0.06861,1549,19230,0.06504,0.07218
2008,Important,0.27298,6542,19230,0.26668,0.27928
2008,Less important,0.36340,8470,19230,0.35660,0.37020
2008,Unimportant,0.12920,2669,19230,0.12446,0.13394
2012,Very important,0.09283,2858,27557,0.08941,0.09626
2012,Important,0.29553,9537,27557,0.29015,0.30092
2012,Less important,0.34094,11899,27557,0.33534,0.34653
2012,Unimportant,0.10720,3263,27557,0.10355,0.11085
2016,Very important,0.10437,2983,24219,0.10052,0.10822
2016,Important,0.30021,8928,24219,0.29444,0.30598
2016,Less important,0.33203,9737,24219,0.32610,0.33797
2016,Unimportant,0.09819,2571,24219,0.09444,0.10194
2021,Very important,0.10763,2392,17166,0.10299,0.11227
2021,Important,0.28741,6310,17166,0.28064,0.29418
2021,Less important,0.34038,6968,17166,0.33329,0.34747
2021,Unimportant,0.08574,1496,17166,0.08155,0.08993
