year,bula_h,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Important,0.24928,78,227,0.19288,0.30568
1990,Schleswig-Holstein,Less important,0.36599,116,227,0.30319,0.42880
1990,Schleswig-Holstein,Unimportant,0.09813,33,227,0.05934,0.13691
1990,Hamburg,Important,0.37590,64,96,0.27850,0.47330
1990,Hamburg,Less important,0.23270,32,96,0.14773,0.31768
1990,Lower Saxony,Very important,0.09497,100,841,0.07514,0.11480
1990,Lower Saxony,Important,0.27697,295,841,0.24670,0.30723
1990,Lower Saxony,Less important,0.35018,361,841,0.31792,0.38244
1990,Lower Saxony,Unimportant,0.09885,85,841,0.07867,0.11904
1990,North Rhine-Westphalia,Very important,0.10210,248,1916,0.08854,0.11566
1990,North Rhine-Westphalia,Important,0.31562,807,1916,0.29480,0.33643
1990,North Rhine-Westphalia,Less important,0.28316,708,1916,0.26298,0.30334
1990,North Rhine-Westphalia,Unimportant,0.06443,153,1916,0.05343,0.07543
1990,Hesse,Very important,0.09608,86,667,0.07370,0.11846
1990,Hesse,Important,0.29710,253,667,0.26240,0.33181
1990,Hesse,Less important,0.28682,259,667,0.25247,0.32117
1990,Hesse,Unimportant,0.09277,69,667,0.07073,0.11480
1990,"Rhineland-Palatinate, Saarland",Very important,0.09003,59,560,0.06631,0.11376
1990,"Rhineland-Palatinate, Saarland",Important,0.26744,189,560,0.23075,0.30414
1990,"Rhineland-Palatinate, Saarland",Less important,0.30523,214,560,0.26705,0.34340
1990,"Rhineland-Palatinate, Saarland",Unimportant,0.15156,98,560,0.12183,0.18129
1990,Baden-Wuerttemberg,Very important,0.09187,148,1151,0.07518,0.10857
1990,Baden-Wuerttemberg,Important,0.27819,426,1151,0.25229,0.30409
1990,Baden-Wuerttemberg,Less important,0.29245,463,1151,0.26615,0.31874
1990,Baden-Wuerttemberg,Unimportant,0.07787,114,1151,0.06238,0.09336
1990,Bavaria,Very important,0.08469,141,1273,0.06939,0.09999
1990,Bavaria,Important,0.29630,481,1273,0.27121,0.32140
1990,Bavaria,Less important,0.30553,500,1273,0.28021,0.33084
1990,Bavaria,Unimportant,0.10252,151,1273,0.08585,0.11919
1990,Berlin,Very important,0.07660,36,218,0.04122,0.11199
1990,Berlin,Important,0.23588,111,218,0.17939,0.29237
1990,Berlin,Less important,0.14520,71,218,0.09833,0.19208
1992,Schleswig-Holstein,Important,0.22871,70,221,0.17321,0.28421
1992,Schleswig-Holstein,Less important,0.34377,109,221,0.28101,0.40654
1992,Schleswig-Holstein,Unimportant,0.11905,42,221,0.07625,0.16184
1992,Hamburg,Important,0.23119,31,84,0.14049,0.32189
1992,Hamburg,Less important,0.32952,53,84,0.22839,0.43064
1992,Lower Saxony,Very important,0.08549,87,835,0.06651,0.10446
1992,Lower Saxony,Important,0.29067,298,835,0.25985,0.32149
1992,Lower Saxony,Less important,0.31560,349,835,0.28406,0.34715
1992,Lower Saxony,Unimportant,0.10183,101,835,0.08131,0.12236
1992,Bremen,Important,0.25883,31,31,0.10210,0.41556
1992,North Rhine-Westphalia,Very important,0.09361,220,1885,0.08045,0.10676
1992,North Rhine-Westphalia,Important,0.31322,805,1885,0.29228,0.33417
1992,North Rhine-Westphalia,Less important,0.27459,707,1885,0.25444,0.29475
1992,North Rhine-Westphalia,Unimportant,0.06623,153,1885,0.05500,0.07746
1992,Hesse,Very important,0.10937,92,652,0.08539,0.13334
1992,Hesse,Important,0.29515,252,652,0.26011,0.33018
1992,Hesse,Less important,0.25896,235,652,0.22531,0.29261
1992,Hesse,Unimportant,0.09890,73,652,0.07597,0.12184
1992,"Rhineland-Palatinate, Saarland",Very important,0.08880,66,544,0.06487,0.11272
1992,"Rhineland-Palatinate, Saarland",Important,0.26330,182,544,0.22626,0.30035
1992,"Rhineland-Palatinate, Saarland",Less important,0.28628,204,544,0.24826,0.32430
1992,"Rhineland-Palatinate, Saarland",Unimportant,0.15083,92,544,0.12073,0.18094
1992,Baden-Wuerttemberg,Very important,0.09560,151,1099,0.07821,0.11300
1992,Baden-Wuerttemberg,Important,0.26505,411,1099,0.23895,0.29116
1992,Baden-Wuerttemberg,Less important,0.26942,423,1099,0.24318,0.29566
1992,Baden-Wuerttemberg,Unimportant,0.07541,114,1099,0.05979,0.09102
1992,Bavaria,Very important,0.09527,168,1308,0.07935,0.11118
1992,Bavaria,Important,0.26423,451,1308,0.24033,0.28814
1992,Bavaria,Less important,0.29949,524,1308,0.27465,0.32432
1992,Bavaria,Unimportant,0.10614,165,1308,0.08944,0.12284
1992,Berlin,Very important,0.15211,85,478,0.11988,0.18434
1992,Berlin,Important,0.36652,227,478,0.32328,0.40976
1992,Berlin,Less important,0.21880,166,478,0.18170,0.25591
1992,Brandenburg,Very important,0.06114,53,658,0.04282,0.07946
1992,Brandenburg,Important,0.35262,282,658,0.31609,0.38916
1992,Brandenburg,Less important,0.32056,265,658,0.28488,0.35625
1992,Brandenburg,Unimportant,0.07737,58,658,0.05694,0.09781
1992,Mecklenburg-Western Pomerania,Very important,0.10367,47,393,0.07350,0.13385
1992,Mecklenburg-Western Pomerania,Important,0.28139,161,393,0.23688,0.32591
1992,Mecklenburg-Western Pomerania,Less important,0.35969,185,393,0.31218,0.40720
1992,Saxony,Very important,0.08145,117,1158,0.06569,0.09721
1992,Saxony,Important,0.34601,510,1158,0.31860,0.37342
1992,Saxony,Less important,0.30590,442,1158,0.27935,0.33245
1992,Saxony,Unimportant,0.07923,89,1158,0.06367,0.09479
1992,Saxony-Anhalt,Very important,0.09258,77,770,0.07210,0.11307
1992,Saxony-Anhalt,Important,0.32540,297,770,0.29228,0.35851
1992,Saxony-Anhalt,Less important,0.33469,328,770,0.30134,0.36804
1992,Saxony-Anhalt,Unimportant,0.08564,68,770,0.06586,0.10542
1992,Thuringa,Very important,0.10931,89,683,0.08589,0.13273
1992,Thuringa,Important,0.30095,265,683,0.26652,0.33537
1992,Thuringa,Less important,0.29781,280,683,0.26349,0.33214
1992,Thuringa,Unimportant,0.08566,49,683,0.06466,0.10667
1995,Schleswig-Holstein,Important,0.26050,76,244,0.20532,0.31569
1995,Schleswig-Holstein,Less important,0.34813,126,244,0.28823,0.40802
1995,Schleswig-Holstein,Unimportant,0.10005,42,244,0.06232,0.13778
1995,Hamburg,Important,0.39112,48,84,0.28614,0.49611
1995,Hamburg,Less important,0.27932,36,84,0.18279,0.37584
1995,Lower Saxony,Very important,0.05675,64,909,0.04170,0.07180
1995,Lower Saxony,Important,0.27415,321,909,0.24513,0.30317
1995,Lower Saxony,Less important,0.34480,404,909,0.31389,0.37572
1995,Lower Saxony,Unimportant,0.09632,120,909,0.07713,0.11551
1995,Bremen,Important,0.27208,33,33,0.11788,0.42627
1995,North Rhine-Westphalia,Very important,0.08287,209,2024,0.07086,0.09489
1995,North Rhine-Westphalia,Important,0.30159,822,2024,0.28159,0.32159
1995,North Rhine-Westphalia,Less important,0.29379,808,2024,0.27394,0.31364
1995,North Rhine-Westphalia,Unimportant,0.07770,185,2024,0.06603,0.08936
1995,Hesse,Very important,0.09257,87,681,0.07079,0.11436
1995,Hesse,Important,0.29820,275,681,0.26382,0.33258
1995,Hesse,Less important,0.29815,265,681,0.26376,0.33253
1995,Hesse,Unimportant,0.07317,54,681,0.05360,0.09274
1995,"Rhineland-Palatinate, Saarland",Very important,0.09878,73,625,0.07537,0.12219
1995,"Rhineland-Palatinate, Saarland",Important,0.21649,184,625,0.18418,0.24881
1995,"Rhineland-Palatinate, Saarland",Less important,0.30257,264,625,0.26653,0.33862
1995,"Rhineland-Palatinate, Saarland",Unimportant,0.14402,104,625,0.11647,0.17157
1995,Baden-Wuerttemberg,Very important,0.05652,99,1182,0.04335,0.06969
1995,Baden-Wuerttemberg,Important,0.27028,433,1182,0.24495,0.29561
1995,Baden-Wuerttemberg,Less important,0.30574,504,1182,0.27946,0.33202
1995,Baden-Wuerttemberg,Unimportant,0.09392,146,1182,0.07728,0.11055
1995,Bavaria,Very important,0.06036,119,1388,0.04783,0.07289
1995,Bavaria,Important,0.25364,458,1388,0.23075,0.27654
1995,Bavaria,Less important,0.33942,611,1388,0.31450,0.36434
1995,Bavaria,Unimportant,0.11633,200,1388,0.09945,0.13320
1995,Berlin,Very important,0.12555,80,476,0.09575,0.15535
1995,Berlin,Important,0.37358,223,476,0.33007,0.41708
1995,Berlin,Less important,0.24652,173,476,0.20776,0.28528
1995,Brandenburg,Very important,0.05308,43,584,0.03488,0.07128
1995,Brandenburg,Important,0.30419,211,584,0.26685,0.34154
1995,Brandenburg,Less important,0.36908,268,584,0.32991,0.40825
1995,Brandenburg,Unimportant,0.09813,62,584,0.07398,0.12227
1995,Mecklenburg-Western Pomerania,Very important,0.07575,33,389,0.04942,0.10208
1995,Mecklenburg-Western Pomerania,Important,0.26433,143,389,0.22045,0.30821
1995,Mecklenburg-Western Pomerania,Less important,0.42008,213,389,0.37096,0.46919
1995,Saxony,Very important,0.07821,97,1091,0.06227,0.09415
1995,Saxony,Important,0.28884,409,1091,0.26194,0.31575
1995,Saxony,Less important,0.35376,484,1091,0.32537,0.38214
1995,Saxony,Unimportant,0.09640,101,1091,0.07888,0.11392
1995,Saxony-Anhalt,Very important,0.07122,55,681,0.05189,0.09055
1995,Saxony-Anhalt,Important,0.31798,256,681,0.28298,0.35298
1995,Saxony-Anhalt,Less important,0.37644,316,681,0.34003,0.41286
1995,Saxony-Anhalt,Unimportant,0.07665,54,681,0.05665,0.09664
1995,Thuringa,Very important,0.06857,50,647,0.04908,0.08805
1995,Thuringa,Important,0.26767,237,647,0.23353,0.30181
1995,Thuringa,Less important,0.38555,314,647,0.34801,0.42308
1995,Thuringa,Unimportant,0.08152,46,647,0.06042,0.10262
2004,Schleswig-Holstein,Very important,0.08310,69,665,0.06210,0.10410
2004,Schleswig-Holstein,Important,0.29901,240,665,0.26419,0.33384
2004,Schleswig-Holstein,Less important,0.35457,270,665,0.31819,0.39096
2004,Schleswig-Holstein,Unimportant,0.10357,86,665,0.08040,0.12675
2004,Hamburg,Very important,0.11302,43,274,0.07546,0.15057
2004,Hamburg,Important,0.34617,115,274,0.28974,0.40261
2004,Hamburg,Less important,0.34489,116,274,0.28851,0.40128
2004,Lower Saxony,Very important,0.06599,166,1880,0.05476,0.07721
2004,Lower Saxony,Important,0.27663,673,1880,0.25640,0.29685
2004,Lower Saxony,Less important,0.36039,797,1880,0.33869,0.38210
2004,Lower Saxony,Unimportant,0.11588,244,1880,0.10141,0.13036
2004,Bremen,Important,0.31666,70,134,0.23760,0.39571
2004,Bremen,Less important,0.36084,64,134,0.27922,0.44246
2004,North Rhine-Westphalia,Very important,0.08885,461,4518,0.08055,0.09715
2004,North Rhine-Westphalia,Important,0.32418,1851,4518,0.31053,0.33783
2004,North Rhine-Westphalia,Less important,0.33956,1822,4518,0.32575,0.35337
2004,North Rhine-Westphalia,Unimportant,0.08046,384,4518,0.07253,0.08839
