year,age_gr,quintil_oecd,plh0112,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Very important,0.10564,38,260,0.06820,0.14307
1990,17-29 y.,1st Quintile,Important,0.35619,118,260,0.29787,0.41451
1990,17-29 y.,1st Quintile,Less important,0.30290,104,260,0.24694,0.35887
1990,17-29 y.,2nd Quintile,Very important,0.15253,56,328,0.11356,0.19150
1990,17-29 y.,2nd Quintile,Important,0.36243,153,328,0.31033,0.41453
1990,17-29 y.,2nd Quintile,Less important,0.31485,119,328,0.26451,0.36520
1990,17-29 y.,3rd Quintile,Very important,0.17214,67,370,0.13362,0.21066
1990,17-29 y.,3rd Quintile,Important,0.38311,159,370,0.33351,0.43272
1990,17-29 y.,3rd Quintile,Less important,0.33203,144,370,0.28398,0.38008
1990,17-29 y.,4th Quintile,Very important,0.18566,89,472,0.15054,0.22078
1990,17-29 y.,4th Quintile,Important,0.40723,215,472,0.36286,0.45160
1990,17-29 y.,4th Quintile,Less important,0.31870,168,472,0.27662,0.36078
1990,17-29 y.,5th Quintile,Very important,0.18790,70,350,0.14691,0.22888
1990,17-29 y.,5th Quintile,Important,0.40756,148,350,0.35601,0.45911
1990,17-29 y.,5th Quintile,Less important,0.35100,132,350,0.30092,0.40107
1990,30-45 y.,1st Quintile,Important,0.27800,96,256,0.22301,0.33299
1990,30-45 y.,1st Quintile,Less important,0.37817,121,256,0.31865,0.43769
1990,30-45 y.,1st Quintile,Unimportant,0.11028,39,256,0.07184,0.14873
1990,30-45 y.,2nd Quintile,Important,0.32813,155,407,0.28246,0.37380
1990,30-45 y.,2nd Quintile,Less important,0.45820,221,407,0.40974,0.50667
1990,30-45 y.,2nd Quintile,Unimportant,0.06301,31,407,0.03937,0.08664
1990,30-45 y.,3rd Quintile,Very important,0.10517,46,385,0.07449,0.13586
1990,30-45 y.,3rd Quintile,Important,0.34799,151,385,0.30035,0.39563
1990,30-45 y.,3rd Quintile,Less important,0.40285,188,385,0.35379,0.45190
1990,30-45 y.,4th Quintile,Very important,0.10332,40,376,0.07251,0.13413
1990,30-45 y.,4th Quintile,Important,0.33656,143,376,0.28873,0.38438
1990,30-45 y.,4th Quintile,Less important,0.47386,193,376,0.42332,0.52440
1990,30-45 y.,5th Quintile,Very important,0.15074,82,522,0.12002,0.18146
1990,30-45 y.,5th Quintile,Important,0.43365,249,522,0.39110,0.47621
1990,30-45 y.,5th Quintile,Less important,0.35498,191,522,0.31389,0.39607
1990,46-65 y.,1st Quintile,Important,0.26922,88,262,0.21540,0.32303
1990,46-65 y.,1st Quintile,Less important,0.33121,109,262,0.27411,0.38831
1990,46-65 y.,1st Quintile,Unimportant,0.20199,65,262,0.15328,0.25070
1990,46-65 y.,2nd Quintile,Very important,0.11183,37,325,0.07751,0.14614
1990,46-65 y.,2nd Quintile,Important,0.34612,118,325,0.29432,0.39793
1990,46-65 y.,2nd Quintile,Less important,0.33195,125,325,0.28067,0.38323
1990,46-65 y.,2nd Quintile,Unimportant,0.12460,45,325,0.08864,0.16056
1990,46-65 y.,3rd Quintile,Very important,0.11548,53,420,0.08487,0.14608
1990,46-65 y.,3rd Quintile,Important,0.32980,145,420,0.28478,0.37482
1990,46-65 y.,3rd Quintile,Less important,0.37767,168,420,0.33125,0.42409
1990,46-65 y.,3rd Quintile,Unimportant,0.10954,54,420,0.07964,0.13945
1990,46-65 y.,4th Quintile,Very important,0.15460,83,537,0.12400,0.18521
1990,46-65 y.,4th Quintile,Important,0.38364,211,537,0.34248,0.42481
1990,46-65 y.,4th Quintile,Less important,0.35666,210,537,0.31611,0.39721
1990,46-65 y.,4th Quintile,Unimportant,0.05869,33,537,0.03879,0.07859
1990,46-65 y.,5th Quintile,Very important,0.14100,87,606,0.11327,0.16873
1990,46-65 y.,5th Quintile,Important,0.45767,283,606,0.41797,0.49737
1990,46-65 y.,5th Quintile,Less important,0.31534,196,606,0.27831,0.35236
1990,46-65 y.,5th Quintile,Unimportant,0.06395,40,606,0.04446,0.08345
1990,66 and older,1st Quintile,Important,0.19670,55,263,0.14856,0.24483
1990,66 and older,1st Quintile,Less important,0.33047,92,263,0.27351,0.38743
1990,66 and older,1st Quintile,Unimportant,0.43154,116,263,0.37156,0.49151
1990,66 and older,2nd Quintile,Important,0.30195,66,206,0.23910,0.36480
1990,66 and older,2nd Quintile,Less important,0.39105,85,206,0.32425,0.45785
1990,66 and older,2nd Quintile,Unimportant,0.24245,55,206,0.18378,0.30112
1990,66 and older,3rd Quintile,Important,0.30915,57,178,0.24107,0.37724
1990,66 and older,3rd Quintile,Less important,0.40244,81,178,0.33019,0.47468
1990,66 and older,3rd Quintile,Unimportant,0.19392,40,178,0.13567,0.25217
1990,66 and older,4th Quintile,Important,0.35564,58,154,0.27979,0.43149
1990,66 and older,4th Quintile,Less important,0.32431,61,154,0.25014,0.39849
1990,66 and older,4th Quintile,Unimportant,0.19525,35,154,0.13244,0.25807
1990,66 and older,5th Quintile,Important,0.41548,63,108,0.32210,0.50885
1990,66 and older,5th Quintile,Less important,0.29068,45,108,0.20464,0.37671
1992,17-29 y.,1st Quintile,Very important,0.14468,80,511,0.11415,0.17521
1992,17-29 y.,1st Quintile,Important,0.33618,201,511,0.29518,0.37718
1992,17-29 y.,1st Quintile,Less important,0.32111,194,511,0.28059,0.36164
1992,17-29 y.,1st Quintile,Unimportant,0.05530,36,511,0.03546,0.07513
1992,17-29 y.,2nd Quintile,Very important,0.13077,88,548,0.10252,0.15903
1992,17-29 y.,2nd Quintile,Important,0.36054,246,548,0.32030,0.40078
1992,17-29 y.,2nd Quintile,Less important,0.33026,214,548,0.29085,0.36967
