year,migback,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Very concerned,0.27739,2896,8588,0.26792,0.28686
1984,No migration background,Somewhat concerned,0.45353,4703,8588,0.44300,0.46406
1984,No migration background,Not concerned at all,0.10305,989,8588,0.09662,0.10949
1984,Direct migration background,Very concerned,0.26263,952,3320,0.24766,0.27760
1984,Direct migration background,Somewhat concerned,0.43510,1609,3320,0.41823,0.45197
1984,Direct migration background,Not concerned at all,0.17580,759,3320,0.16285,0.18875
1984,Indirect migration background,Very concerned,0.04013,39,100,0.00147,0.07880
1984,Indirect migration background,Somewhat concerned,0.06213,61,100,0.01458,0.10968
1985,No migration background,Very concerned,0.26511,2510,7892,0.25537,0.27485
1985,No migration background,Somewhat concerned,0.47385,4469,7892,0.46284,0.48487
1985,No migration background,Not concerned at all,0.10466,913,7892,0.09791,0.11142
1985,Direct migration background,Very concerned,0.22672,706,2839,0.21132,0.24213
1985,Direct migration background,Somewhat concerned,0.48853,1469,2839,0.47014,0.50692
1985,Direct migration background,Not concerned at all,0.16904,664,2839,0.15525,0.18283
1985,Indirect migration background,Very concerned,0.03440,33,110,0.00018,0.06862
1985,Indirect migration background,Somewhat concerned,0.09540,77,110,0.04025,0.15055
1986,No migration background,Very concerned,0.16350,1463,7491,0.15513,0.17188
1986,No migration background,Somewhat concerned,0.48439,4370,7491,0.47307,0.49571
1986,No migration background,Not concerned at all,0.19189,1658,7491,0.18297,0.20080
1986,Direct migration background,Very concerned,0.14835,480,2789,0.13516,0.16155
1986,Direct migration background,Somewhat concerned,0.50650,1525,2789,0.48794,0.52506
1986,Direct migration background,Not concerned at all,0.24905,784,2789,0.23300,0.26510
1986,Indirect migration background,Somewhat concerned,0.08303,89,133,0.03596,0.13011
1986,Indirect migration background,Not concerned at all,0.04054,44,133,0.00689,0.07418
1987,No migration background,Very concerned,0.17567,1496,7371,0.16698,0.18436
1987,No migration background,Somewhat concerned,0.51327,4580,7371,0.50186,0.52468
1987,No migration background,Not concerned at all,0.15007,1295,7371,0.14192,0.15823
1987,Direct migration background,Very concerned,0.16255,462,2765,0.14879,0.17630
1987,Direct migration background,Somewhat concerned,0.53250,1527,2765,0.51390,0.55110
1987,Direct migration background,Not concerned at all,0.21795,776,2765,0.20255,0.23334
1987,Indirect migration background,Somewhat concerned,0.09248,103,150,0.04596,0.13900
1987,Indirect migration background,Not concerned at all,0.03036,47,150,0.00281,0.05791
1988,No migration background,Very concerned,0.24110,1986,7015,0.23109,0.25111
1988,No migration background,Somewhat concerned,0.49052,4125,7015,0.47882,0.50222
1988,No migration background,Not concerned at all,0.11082,904,7015,0.10347,0.11817
1988,Direct migration background,Very concerned,0.20677,515,2634,0.19130,0.22224
1988,Direct migration background,Somewhat concerned,0.55197,1543,2634,0.53297,0.57096
1988,Direct migration background,Not concerned at all,0.16666,576,2634,0.15243,0.18090
1988,Indirect migration background,Very concerned,0.04023,39,219,0.01415,0.06631
1988,Indirect migration background,Somewhat concerned,0.08900,122,219,0.05120,0.12680
1988,Indirect migration background,Not concerned at all,0.03952,58,219,0.01366,0.06538
1989,No migration background,Very concerned,0.14820,1161,6737,0.13972,0.15669
1989,No migration background,Somewhat concerned,0.48945,3940,6737,0.47751,0.50139
1989,No migration background,Not concerned at all,0.20439,1636,6737,0.19476,0.21402
1989,Direct migration background,Very concerned,0.16114,432,2536,0.14683,0.17545
1989,Direct migration background,Somewhat concerned,0.55202,1455,2536,0.53266,0.57138
1989,Direct migration background,Not concerned at all,0.21860,649,2536,0.20251,0.23468
1989,Indirect migration background,Very concerned,0.02878,41,252,0.00810,0.04946
1989,Indirect migration background,Somewhat concerned,0.10878,138,252,0.07026,0.14730
1989,Indirect migration background,Not concerned at all,0.04898,73,252,0.02228,0.07568
1990,No migration background,Very concerned,0.18405,2802,10827,0.17675,0.19135
1990,No migration background,Somewhat concerned,0.43530,5740,10827,0.42596,0.44464
1990,No migration background,Not concerned at all,0.20612,2285,10827,0.19850,0.21374
1990,Direct migration background,Very concerned,0.18632,470,2631,0.17144,0.20120
1990,Direct migration background,Somewhat concerned,0.47828,1414,2631,0.45919,0.49737
1990,Direct migration background,Not concerned at all,0.27359,747,2631,0.25656,0.29063
1990,Indirect migration background,Very concerned,0.03704,39,291,0.01530,0.05877
1990,Indirect migration background,Somewhat concerned,0.09450,158,291,0.06083,0.12816
1990,Indirect migration background,Not concerned at all,0.05608,94,291,0.02960,0.08257
1991,No migration background,Very concerned,0.21057,3143,10545,0.20279,0.21836
1991,No migration background,Somewhat concerned,0.46668,5741,10545,0.45715,0.47620
1991,No migration background,Not concerned at all,0.15213,1661,10545,0.14528,0.15899
1991,Direct migration background,Very concerned,0.17541,447,2590,0.16076,0.19006
1991,Direct migration background,Somewhat concerned,0.55242,1499,2590,0.53327,0.57158
1991,Direct migration background,Not concerned at all,0.22680,644,2590,0.21067,0.24293
1991,Indirect migration background,Very concerned,0.03252,49,346,0.01380,0.05123
1991,Indirect migration background,Somewhat concerned,0.12884,206,346,0.09349,0.16419
1991,Indirect migration background,Not concerned at all,0.04531,91,346,0.02336,0.06726
1992,No migration background,Very concerned,0.22038,2895,10274,0.21237,0.22840
1992,No migration background,Somewhat concerned,0.48973,6069,10274,0.48007,0.49940
1992,No migration background,Not concerned at all,0.11610,1310,10274,0.10990,0.12229
1992,Direct migration background,Very concerned,0.23363,602,2517,0.21710,0.25017
1992,Direct migration background,Somewhat concerned,0.56181,1420,2517,0.54242,0.58119
1992,Direct migration background,Not concerned at all,0.16434,495,2517,0.14986,0.17882
1992,Indirect migration background,Very concerned,0.04668,69,403,0.02606,0.06730
1992,Indirect migration background,Somewhat concerned,0.14853,226,403,0.11377,0.18330
1992,Indirect migration background,Not concerned at all,0.05820,108,403,0.03531,0.08108
1993,No migration background,Very concerned,0.33509,4091,10110,0.32589,0.34430
1993,No migration background,Somewhat concerned,0.44536,5481,10110,0.43567,0.45505
1993,No migration background,Not concerned at all,0.04692,538,10110,0.04280,0.05105
1993,Direct migration background,Very concerned,0.38329,880,2446,0.36402,0.40256
1993,Direct migration background,Somewhat concerned,0.49792,1290,2446,0.47810,0.51774
1993,Direct migration background,Not concerned at all,0.09048,276,2446,0.07911,0.10185
1993,Indirect migration background,Very concerned,0.09475,133,462,0.06802,0.12149
1993,Indirect migration background,Somewhat concerned,0.16652,252,462,0.13251,0.20052
1993,Indirect migration background,Not concerned at all,0.04136,77,462,0.02318,0.05953
1994,No migration background,Very concerned,0.31305,3833,9983,0.30395,0.32215
1994,No migration background,Somewhat concerned,0.45909,5546,9983,0.44932,0.46887
1994,No migration background,Not concerned at all,0.05461,604,9983,0.05015,0.05907
1994,Direct migration background,Very concerned,0.35849,793,2342,0.33906,0.37792
1994,Direct migration background,Somewhat concerned,0.52356,1285,2342,0.50333,0.54380
1994,Direct migration background,Not concerned at all,0.09982,264,2342,0.08768,0.11196
1994,Indirect migration background,Very concerned,0.09577,141,486,0.06958,0.12196
1994,Indirect migration background,Somewhat concerned,0.18546,285,486,0.15087,0.22005
1994,Indirect migration background,Not concerned at all,0.03435,60,486,0.01814,0.05055
1995,No migration background,Very concerned,0.21099,2545,9940,0.20297,0.21901
1995,No migration background,Somewhat concerned,0.52139,6325,9940,0.51157,0.53121
1995,No migration background,Not concerned at all,0.09291,1070,9940,0.08720,0.09862
1995,Direct migration background,Very concerned,0.24063,687,2738,0.22461,0.25664
1995,Direct migration background,Somewhat concerned,0.54219,1652,2738,0.52353,0.56086
1995,Direct migration background,Not concerned at all,0.13755,399,2738,0.12465,0.15045
1995,Indirect migration background,Very concerned,0.06662,116,503,0.04480,0.08843
1995,Indirect migration background,Somewhat concerned,0.19642,299,503,0.16167,0.23117
1995,Indirect migration background,Not concerned at all,0.05614,88,503,0.03600,0.07628
1996,No migration background,Very concerned,0.38449,4435,9878,0.37490,0.39409
1996,No migration background,Somewhat concerned,0.40254,4935,9878,0.39287,0.41221
1996,No migration background,Not concerned at all,0.04326,508,9878,0.03925,0.04727
1996,Direct migration background,Very concerned,0.32356,882,2580,0.30551,0.34162
1996,Direct migration background,Somewhat concerned,0.49305,1403,2580,0.47375,0.51235
1996,Direct migration background,Not concerned at all,0.11360,295,2580,0.10135,0.12585
1996,Indirect migration background,Very concerned,0.11252,164,543,0.08592,0.13913
1996,Indirect migration background,Somewhat concerned,0.18343,312,543,0.15085,0.21601
1996,Indirect migration background,Not concerned at all,0.03404,67,543,0.01877,0.04930
1997,No migration background,Very concerned,0.41850,4916,9758,0.40872,0.42829
1997,No migration background,Somewhat concerned,0.37830,4472,9758,0.36868,0.38792
1997,No migration background,Not concerned at all,0.03351,370,9758,0.02994,0.03708
1997,Direct migration background,Very concerned,0.37516,906,2457,0.35602,0.39431
1997,Direct migration background,Somewhat concerned,0.49268,1353,2457,0.47290,0.51245
1997,Direct migration background,Not concerned at all,0.07073,198,2457,0.06059,0.08086
1997,Indirect migration background,Very concerned,0.13847,181,565,0.10997,0.16698
1997,Indirect migration background,Somewhat concerned,0.20185,332,565,0.16873,0.23498
1997,Indirect migration background,Not concerned at all,0.02347,52,565,0.01097,0.03596
1998,No migration background,Very concerned,0.36896,5033,11208,0.36002,0.37789
1998,No migration background,Somewhat concerned,0.41611,5558,11208,0.40699,0.42524
1998,No migration background,Not concerned at all,0.04976,617,11208,0.04574,0.05379
1998,Direct migration background,Very concerned,0.33575,812,2382,0.31678,0.35471
1998,Direct migration background,Somewhat concerned,0.49339,1301,2382,0.47331,0.51347
1998,Direct migration background,Not concerned at all,0.10639,269,2382,0.09401,0.11878
1998,Indirect migration background,Very concerned,0.13139,190,596,0.10424,0.15853
1998,Indirect migration background,Somewhat concerned,0.21995,335,596,0.18666,0.25323
1998,Indirect migration background,Not concerned at all,0.03758,71,596,0.02230,0.05286
1999,No migration background,Very concerned,0.21956,2812,10841,0.21176,0.22735
1999,No migration background,Somewhat concerned,0.53944,7055,10841,0.53006,0.54883
1999,No migration background,Not concerned at all,0.08040,974,10841,0.07528,0.08552
1999,Direct migration background,Very concerned,0.24594,554,2197,0.22793,0.26395
1999,Direct migration background,Somewhat concerned,0.56783,1344,2197,0.54711,0.58855
1999,Direct migration background,Not concerned at all,0.12789,299,2197,0.11392,0.14186
1999,Indirect migration background,Very concerned,0.08712,124,602,0.06457,0.10966
1999,Indirect migration background,Somewhat concerned,0.25091,374,602,0.21625,0.28557
1999,Indirect migration background,Not concerned at all,0.05581,104,602,0.03746,0.07417
2000,No migration background,Very concerned,0.18457,4522,19817,0.17917,0.18997
2000,No migration background,Somewhat concerned,0.51290,12184,19817,0.50594,0.51986
2000,No migration background,Not concerned at all,0.13891,3111,19817,0.13409,0.14372
2000,Direct migration background,Very concerned,0.17283,597,3274,0.15988,0.18578
2000,Direct migration background,Somewhat concerned,0.53138,1952,3274,0.51429,0.54848
2000,Direct migration background,Not concerned at all,0.20298,725,3274,0.18920,0.21676
2000,Indirect migration background,Very concerned,0.06713,136,803,0.04981,0.08444
2000,Indirect migration background,Somewhat concerned,0.23360,474,803,0.20432,0.26289
2000,Indirect migration background,Not concerned at all,0.08185,193,803,0.06288,0.10082
2001,No migration background,Very concerned,0.17627,3913,18106,0.17072,0.18182
2001,No migration background,Somewhat concerned,0.51649,11163,18106,0.50921,0.52377
2001,No migration background,Not concerned at all,0.14736,3030,18106,0.14219,0.15252
2001,Direct migration background,Very concerned,0.14912,475,2888,0.13613,0.16212
2001,Direct migration background,Somewhat concerned,0.55628,1759,2888,0.53816,0.57441
2001,Direct migration background,Not concerned at all,0.21820,654,2888,0.20313,0.23326
2001,Indirect migration background,Very concerned,0.05745,116,756,0.04085,0.07405
2001,Indirect migration background,Somewhat concerned,0.21856,448,756,0.18908,0.24804
2001,Indirect migration background,Not concerned at all,0.09082,192,756,0.07032,0.11132
2002,No migration background,Very concerned,0.29519,6744,19371,0.28876,0.30161
2002,No migration background,Somewhat concerned,0.47694,10958,19371,0.46991,0.48398
2002,No migration background,Not concerned at all,0.07256,1669,19371,0.06891,0.07621
2002,Direct migration background,Very concerned,0.25602,733,2767,0.23975,0.27228
2002,Direct migration background,Somewhat concerned,0.54755,1691,2767,0.52900,0.56610
2002,Direct migration background,Not concerned at all,0.12882,343,2767,0.11633,0.14130
2002,Indirect migration background,Very concerned,0.07869,165,763,0.05957,0.09781
2002,Indirect migration background,Somewhat concerned,0.22609,464,763,0.19639,0.25580
2002,Indirect migration background,Not concerned at all,0.06782,134,763,0.04997,0.08568
2003,No migration background,Very concerned,0.47531,10587,18707,0.46816,0.48247
2003,No migration background,Somewhat concerned,0.33672,7367,18707,0.32995,0.34349
2003,No migration background,Not concerned at all,0.03577,753,18707,0.03311,0.03843
2003,Direct migration background,Very concerned,0.44901,1199,2591,0.42985,0.46816
2003,Direct migration background,Somewhat concerned,0.41782,1215,2591,0.39883,0.43682
2003,Direct migration background,Not concerned at all,0.06936,177,2591,0.05958,0.07915
2003,Indirect migration background,Very concerned,0.18436,339,769,0.15694,0.21179
2003,Indirect migration background,Somewhat concerned,0.17004,367,769,0.14347,0.19661
2003,Indirect migration background,Not concerned at all,0.03449,63,769,0.02158,0.04740
2004,No migration background,Very concerned,0.43820,9231,18205,0.43099,0.44540
2004,No migration background,Somewhat concerned,0.36616,8025,18205,0.35917,0.37316
2004,No migration background,Not concerned at all,0.04417,949,18205,0.04118,0.04715
2004,Direct migration background,Very concerned,0.40979,1050,2507,0.39053,0.42904
2004,Direct migration background,Somewhat concerned,0.45616,1239,2507,0.43666,0.47566
2004,Direct migration background,Not concerned at all,0.07959,218,2507,0.06900,0.09019
2004,Indirect migration background,Very concerned,0.17301,308,784,0.14652,0.19951
2004,Indirect migration background,Somewhat concerned,0.20079,409,784,0.17273,0.22885
2004,Indirect migration background,Not concerned at all,0.03934,67,784,0.02572,0.05295
2005,No migration background,Very concerned,0.47414,9590,17440,0.46673,0.48155
2005,No migration background,Somewhat concerned,0.34038,7101,17440,0.33334,0.34741
2005,No migration background,Not concerned at all,0.03732,749,17440,0.03450,0.04013
2005,Direct migration background,Very concerned,0.47844,1165,2357,0.45827,0.49861
2005,Direct migration background,Somewhat concerned,0.41875,1045,2357,0.39883,0.43867
2005,Direct migration background,Not concerned at all,0.06475,147,2357,0.05482,0.07469
2005,Indirect migration background,Very concerned,0.20193,341,813,0.17432,0.22954
2005,Indirect migration background,Somewhat concerned,0.22251,413,813,0.19390,0.25112
2005,Indirect migration background,Not concerned at all,0.03127,59,813,0.01929,0.04324
2006,No migration background,Very concerned,0.38099,8282,18678,0.37403,0.38796
2006,No migration background,Somewhat concerned,0.40760,9234,18678,0.40056,0.41465
2006,No migration background,Not concerned at all,0.05588,1162,18678,0.05259,0.05918
2006,Direct migration background,Very concerned,0.40054,980,2365,0.38078,0.42029
2006,Direct migration background,Somewhat concerned,0.47118,1191,2365,0.45105,0.49130
2006,Direct migration background,Not concerned at all,0.08304,194,2365,0.07191,0.09416
2006,Indirect migration background,Very concerned,0.17117,301,802,0.14508,0.19725
2006,Indirect migration background,Somewhat concerned,0.22366,427,802,0.19480,0.25252
2006,Indirect migration background,Not concerned at all,0.04680,74,802,0.03217,0.06143
2007,No migration background,Very concerned,0.21498,4269,17498,0.20889,0.22107
2007,No migration background,Somewhat concerned,0.49935,10495,17498,0.49194,0.50675
2007,No migration background,Not concerned at all,0.12944,2734,17498,0.12447,0.13441
2007,Direct migration background,Very concerned,0.23346,523,2095,0.21534,0.25158
2007,Direct migration background,Somewhat concerned,0.56689,1230,2095,0.54566,0.58811
2007,Direct migration background,Not concerned at all,0.15048,342,2095,0.13516,0.16579
2007,Indirect migration background,Very concerned,0.11262,175,771,0.09029,0.13495
2007,Indirect migration background,Somewhat concerned,0.27484,452,771,0.24331,0.30638
2007,Indirect migration background,Not concerned at all,0.07814,144,771,0.05918,0.09709
2008,No migration background,Very concerned,0.21764,4126,16581,0.21136,0.22392
2008,No migration background,Somewhat concerned,0.52069,10273,16581,0.51308,0.52829
2008,No migration background,Not concerned at all,0.11228,2182,16581,0.10747,0.11708
2008,Direct migration background,Very concerned,0.24027,463,1896,0.22103,0.25951
2008,Direct migration background,Somewhat concerned,0.59250,1159,1896,0.57037,0.61462
2008,Direct migration background,Not concerned at all,0.13832,274,1896,0.12278,0.15387
2008,Indirect migration background,Very concerned,0.13070,171,762,0.10675,0.15465
2008,Indirect migration background,Somewhat concerned,0.27079,452,762,0.23922,0.30236
2008,Indirect migration background,Not concerned at all,0.08835,139,762,0.06819,0.10852
2009,No migration background,Very concerned,0.38415,6975,15595,0.37651,0.39178
2009,No migration background,Somewhat concerned,0.41586,7723,15595,0.40812,0.42360
2009,No migration background,Not concerned at all,0.05219,897,15595,0.04870,0.05568
2009,Direct migration background,Very concerned,0.42487,710,1654,0.40104,0.44870
2009,Direct migration background,Somewhat concerned,0.49152,847,1654,0.46742,0.51562
2009,Direct migration background,Not concerned at all,0.05670,97,1654,0.04555,0.06785
2009,Indirect migration background,Very concerned,0.20148,259,702,0.17178,0.23117
2009,Indirect migration background,Somewhat concerned,0.28621,388,702,0.25275,0.31967
2009,Indirect migration background,Not concerned at all,0.03668,55,702,0.02276,0.05059
2010,No migration background,Very concerned,0.31778,7046,19856,0.31130,0.32425
2010,No migration background,Somewhat concerned,0.47594,11207,19856,0.46899,0.48288
2010,No migration background,Not concerned at all,0.06501,1603,19856,0.06158,0.06844
2010,Direct migration background,Very concerned,0.33584,1010,2924,0.31872,0.35296
2010,Direct migration background,Somewhat concerned,0.54525,1612,2924,0.52719,0.56330
2010,Direct migration background,Not concerned at all,0.08312,302,2924,0.07311,0.09313
2010,Indirect migration background,Very concerned,0.16235,358,1102,0.14056,0.18413
2010,Indirect migration background,Somewhat concerned,0.25179,621,1102,0.22615,0.27743
2010,Indirect migration background,Not concerned at all,0.05227,123,1102,0.03913,0.06542
2011,No migration background,Very concerned,0.18556,5139,23583,0.18060,0.19052
2011,No migration background,Somewhat concerned,0.51471,14354,23583,0.50833,0.52108
2011,No migration background,Not concerned at all,0.14442,4090,23583,0.13993,0.14890
2011,Direct migration background,Very concerned,0.20424,753,3259,0.19040,0.21809
2011,Direct migration background,Somewhat concerned,0.59604,1992,3259,0.57919,0.61288
2011,Direct migration background,Not concerned at all,0.15170,514,3259,0.13938,0.16402
2011,Indirect migration background,Very concerned,0.08559,250,1251,0.07008,0.10110
2011,Indirect migration background,Somewhat concerned,0.28170,748,1251,0.25677,0.30664
2011,Indirect migration background,Not concerned at all,0.09159,253,1251,0.07560,0.10758
2012,No migration background,Very concerned,0.19337,5322,23181,0.18828,0.19845
2012,No migration background,Somewhat concerned,0.52645,14334,23181,0.52002,0.53287
2012,No migration background,Not concerned at all,0.13166,3525,23181,0.12731,0.13601
2012,Direct migration background,Very concerned,0.21904,746,3111,0.20451,0.23358
2012,Direct migration background,Somewhat concerned,0.58244,1890,3111,0.56510,0.59977
2012,Direct migration background,Not concerned at all,0.15490,475,3111,0.14218,0.16762
2012,Indirect migration background,Very concerned,0.10482,277,1214,0.08758,0.12206
2012,Indirect migration background,Somewhat concerned,0.26822,704,1214,0.24329,0.29315
2012,Indirect migration background,Not concerned at all,0.08585,233,1214,0.07008,0.10162
2013,No migration background,Very concerned,0.15896,4021,21655,0.15409,0.16383
2013,No migration background,Somewhat concerned,0.53702,13624,21655,0.53038,0.54366
2013,No migration background,Not concerned at all,0.15215,4010,21655,0.14737,0.15694
2013,Direct migration background,Very concerned,0.10956,560,2780,0.09795,0.12117
2013,Direct migration background,Somewhat concerned,0.34053,1696,2780,0.32291,0.35815
2013,Direct migration background,Not concerned at all,0.10253,524,2780,0.09125,0.11380
2013,Indirect migration background,Very concerned,0.04493,209,1143,0.03292,0.05695
2013,Indirect migration background,Somewhat concerned,0.17833,689,1143,0.15613,0.20053
2013,Indirect migration background,Not concerned at all,0.05827,245,1143,0.04468,0.07186
2014,No migration background,Very concerned,0.10549,2513,20041,0.10124,0.10975
2014,No migration background,Somewhat concerned,0.52239,12157,20041,0.51548,0.52931
2014,No migration background,Not concerned at all,0.22937,5371,20041,0.22355,0.23519
2014,Direct migration background,Very concerned,0.13841,820,5168,0.12900,0.14783
2014,Direct migration background,Somewhat concerned,0.54915,2976,5168,0.53558,0.56271
2014,Direct migration background,Not concerned at all,0.26493,1372,5168,0.25290,0.27696
2014,Indirect migration background,Very concerned,0.06327,232,1709,0.05173,0.07482
2014,Indirect migration background,Somewhat concerned,0.30042,1010,1709,0.27867,0.32216
2014,Indirect migration background,Not concerned at all,0.12510,467,1709,0.10941,0.14079
2015,No migration background,Very concerned,0.12653,2813,18918,0.12180,0.13127
2015,No migration background,Somewhat concerned,0.50977,11448,18918,0.50265,0.51689
2015,No migration background,Not concerned at all,0.21688,4657,18918,0.21101,0.22276
2015,Direct migration background,Very concerned,0.13550,687,4374,0.12535,0.14564
2015,Direct migration background,Somewhat concerned,0.48151,2589,4374,0.46670,0.49632
2015,Direct migration background,Not concerned at all,0.21075,1098,4374,0.19866,0.22284
2015,Indirect migration background,Very concerned,0.07311,246,1552,0.06015,0.08606
2015,Indirect migration background,Somewhat concerned,0.27763,885,1552,0.25535,0.29992
2015,Indirect migration background,Not concerned at all,0.12888,421,1552,0.11220,0.14555
2016,No migration background,Very concerned,0.12724,2621,17722,0.12233,0.13215
2016,No migration background,Somewhat concerned,0.49481,10295,17722,0.48745,0.50217
2016,No migration background,Not concerned at all,0.23323,4806,17722,0.22701,0.23946
2016,Direct migration background,Very concerned,0.13341,771,4842,0.12384,0.14299
2016,Direct migration background,Somewhat concerned,0.51988,2780,4842,0.50581,0.53396
2016,Direct migration background,Not concerned at all,0.24249,1291,4842,0.23042,0.25456
2016,Indirect migration background,Very concerned,0.06036,195,1466,0.04817,0.07256
2016,Indirect migration background,Somewhat concerned,0.26322,788,1466,0.24067,0.28577
2016,Indirect migration background,Not concerned at all,0.17474,483,1466,0.15529,0.19418
2017,No migration background,Very concerned,0.12870,2778,20028,0.12406,0.13333
2017,No migration background,Somewhat concerned,0.49373,11700,20028,0.48680,0.50065
2017,No migration background,Not concerned at all,0.23268,5550,20028,0.22683,0.23853
2017,Direct migration background,Very concerned,0.14080,743,4709,0.13087,0.15074
2017,Direct migration background,Somewhat concerned,0.50651,2723,4709,0.49223,0.52079
2017,Direct migration background,Not concerned at all,0.24578,1243,4709,0.23348,0.25808
2017,Indirect migration background,Very concerned,0.07234,240,1622,0.05973,0.08496
2017,Indirect migration background,Somewhat concerned,0.26798,868,1622,0.24642,0.28955
2017,Indirect migration background,Not concerned at all,0.16022,514,1622,0.14236,0.17808
2018,No migration background,Very concerned,0.09393,2129,19377,0.08982,0.09804
2018,No migration background,Somewhat concerned,0.47412,10715,19377,0.46709,0.48115
2018,No migration background,Not concerned at all,0.29236,6533,19377,0.28596,0.29877
2018,Direct migration background,Very concerned,0.09960,534,4519,0.09087,0.10834
2018,Direct migration background,Somewhat concerned,0.49966,2511,4519,0.48508,0.51424
2018,Direct migration background,Not concerned at all,0.29694,1474,4519,0.28361,0.31026
2018,Indirect migration background,Very concerned,0.04554,170,1627,0.03541,0.05567
2018,Indirect migration background,Somewhat concerned,0.28075,873,1627,0.25890,0.30259
2018,Indirect migration background,Not concerned at all,0.19024,584,1627,0.17116,0.20932
2019,No migration background,Very concerned,0.11604,2695,20081,0.11161,0.12047
2019,No migration background,Somewhat concerned,0.53207,12502,20081,0.52517,0.53898
2019,No migration background,Not concerned at all,0.20696,4884,20081,0.20136,0.21257
2019,Direct migration background,Very concerned,0.13188,585,3918,0.12129,0.14248
2019,Direct migration background,Somewhat concerned,0.54394,2366,3918,0.52834,0.55954
2019,Direct migration background,Not concerned at all,0.21399,967,3918,0.20115,0.22684
2019,Indirect migration background,Very concerned,0.06793,217,1564,0.05545,0.08040
2019,Indirect migration background,Somewhat concerned,0.27109,891,1564,0.24905,0.29313
2019,Indirect migration background,Not concerned at all,0.16976,456,1564,0.15115,0.18837
2020,No migration background,Very concerned,0.21194,4720,18508,0.20605,0.21783
2020,No migration background,Somewhat concerned,0.48782,10413,18508,0.48061,0.49502
2020,No migration background,Not concerned at all,0.15288,3375,18508,0.14769,0.15806
2020,Direct migration background,Very concerned,0.21322,1179,5478,0.20238,0.22407
2020,Direct migration background,Somewhat concerned,0.50475,3007,5478,0.49151,0.51800
2020,Direct migration background,Not concerned at all,0.16647,1292,5478,0.15660,0.17633
2020,Indirect migration background,Very concerned,0.11900,356,1533,0.10278,0.13521
2020,Indirect migration background,Somewhat concerned,0.26953,836,1533,0.24731,0.29175
2020,Indirect migration background,Not concerned at all,0.11097,341,1533,0.09524,0.12670
2021,No migration background,Very concerned,0.18973,2738,13180,0.18304,0.19643
2021,No migration background,Somewhat concerned,0.51014,7868,13180,0.50161,0.51868
2021,No migration background,Not concerned at all,0.15424,2574,13180,0.14808,0.16041
2021,Direct migration background,Very concerned,0.22711,713,3002,0.21212,0.24210
2021,Direct migration background,Somewhat concerned,0.44380,1625,3002,0.42602,0.46158
2021,Direct migration background,Not concerned at all,0.18600,664,3002,0.17208,0.19992
2021,Indirect migration background,Very concerned,0.09859,180,939,0.07951,0.11767
2021,Indirect migration background,Somewhat concerned,0.23792,508,939,0.21067,0.26517
2021,Indirect migration background,Not concerned at all,0.13980,251,939,0.11761,0.16200
