year,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Very concerned,0.26982,3887,12029,0.26188,0.27775
1984,Somewhat concerned,0.44155,6373,12029,0.43268,0.45043
1984,Not concerned at all,0.10711,1769,12029,0.10158,0.11263
1985,Very concerned,0.25517,3249,10870,0.24698,0.26337
1985,Somewhat concerned,0.46426,6015,10870,0.45488,0.47363
1985,Not concerned at all,0.10763,1606,10870,0.10181,0.11346
1986,Very concerned,0.15773,1962,10432,0.15074,0.16473
1986,Somewhat concerned,0.47385,5984,10432,0.46426,0.48343
1986,Not concerned at all,0.19233,2486,10432,0.18476,0.19989
1987,Very concerned,0.16917,1980,10308,0.16193,0.17641
1987,Somewhat concerned,0.50058,6210,10308,0.49093,0.51024
1987,Not concerned at all,0.15226,2118,10308,0.14532,0.15919
1988,Very concerned,0.23084,2540,9868,0.22253,0.23916
1988,Somewhat concerned,0.48175,5790,9868,0.47189,0.49161
1988,Not concerned at all,0.11332,1538,9868,0.10706,0.11957
1989,Very concerned,0.14482,1634,9525,0.13775,0.15189
1989,Somewhat concerned,0.48070,5533,9525,0.47067,0.49074
1989,Not concerned at all,0.19974,2358,9525,0.19171,0.20777
1990,Very concerned,0.17913,3311,13749,0.17272,0.18554
1990,Somewhat concerned,0.42711,7312,13749,0.41885,0.43538
1990,Not concerned at all,0.20666,3126,13749,0.19990,0.21343
1991,Very concerned,0.20054,3639,13481,0.19378,0.20729
1991,Somewhat concerned,0.46125,7446,13481,0.45283,0.46966
1991,Not concerned at all,0.15466,2396,13481,0.14856,0.16077
1992,Very concerned,0.21447,3566,13194,0.20746,0.22147
1992,Somewhat concerned,0.48237,7715,13194,0.47384,0.49090
1992,Not concerned at all,0.11818,1913,13194,0.11267,0.12369
1993,Very concerned,0.32883,5104,13018,0.32076,0.33690
1993,Somewhat concerned,0.43777,7023,13018,0.42925,0.44629
1993,Not concerned at all,0.05088,891,13018,0.04711,0.05466
1994,Very concerned,0.30711,4767,12811,0.29912,0.31510
1994,Somewhat concerned,0.45234,7116,12811,0.44372,0.46095
1994,Not concerned at all,0.05813,928,12811,0.05408,0.06218
1995,Very concerned,0.20804,3348,13181,0.20111,0.21497
1995,Somewhat concerned,0.50909,8276,13181,0.50056,0.51762
1995,Not concerned at all,0.09672,1557,13181,0.09168,0.10177
1996,Very concerned,0.36371,5481,13001,0.35544,0.37198
1996,Somewhat concerned,0.40281,6650,13001,0.39438,0.41124
1996,Not concerned at all,0.05138,870,13001,0.04758,0.05517
1997,Very concerned,0.39882,6003,12780,0.39033,0.40731
1997,Somewhat concerned,0.38304,6157,12780,0.37461,0.39147
1997,Not concerned at all,0.03750,620,12780,0.03420,0.04079
1998,Very concerned,0.35185,6035,14186,0.34399,0.35971
1998,Somewhat concerned,0.41427,7194,14186,0.40616,0.42238
1998,Not concerned at all,0.05573,957,14186,0.05196,0.05951
1999,Very concerned,0.21474,3490,13640,0.20784,0.22163
1999,Somewhat concerned,0.52559,8773,13640,0.51721,0.53397
1999,Not concerned at all,0.08441,1377,13640,0.07974,0.08907
2000,Very concerned,0.17648,5255,23894,0.17165,0.18132
2000,Somewhat concerned,0.49905,14610,23894,0.49271,0.50539
2000,Not concerned at all,0.14308,4029,23894,0.13864,0.14752
2001,Very concerned,0.16597,4504,21750,0.16103,0.17092
2001,Somewhat concerned,0.50274,13370,21750,0.49609,0.50938
2001,Not concerned at all,0.15182,3876,21750,0.14705,0.15659
2002,Very concerned,0.27749,7642,22901,0.27169,0.28329
2002,Somewhat concerned,0.46957,13113,22901,0.46311,0.47604
2002,Not concerned at all,0.07864,2146,22901,0.07515,0.08213
