year,age_gr,quintil_oecd,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Very concerned,0.32085,238,788,0.28823,0.35346
1984,17-29 y.,1st Quintile,Somewhat concerned,0.52916,414,788,0.49428,0.56403
1984,17-29 y.,1st Quintile,Not concerned at all,0.13089,136,788,0.10733,0.15446
1984,17-29 y.,2nd Quintile,Very concerned,0.28349,196,666,0.24923,0.31774
1984,17-29 y.,2nd Quintile,Somewhat concerned,0.56587,363,666,0.52820,0.60354
1984,17-29 y.,2nd Quintile,Not concerned at all,0.13863,107,666,0.11237,0.16490
1984,17-29 y.,3rd Quintile,Very concerned,0.31772,208,652,0.28196,0.35349
1984,17-29 y.,3rd Quintile,Somewhat concerned,0.55827,365,652,0.52012,0.59641
1984,17-29 y.,3rd Quintile,Not concerned at all,0.10694,79,652,0.08320,0.13068
1984,17-29 y.,4th Quintile,Very concerned,0.32007,225,722,0.28602,0.35413
1984,17-29 y.,4th Quintile,Somewhat concerned,0.54729,388,722,0.51096,0.58363
1984,17-29 y.,4th Quintile,Not concerned at all,0.11953,109,722,0.09585,0.14321
1984,17-29 y.,5th Quintile,Very concerned,0.34473,191,548,0.30490,0.38456
1984,17-29 y.,5th Quintile,Somewhat concerned,0.55060,302,548,0.50891,0.59229
1984,17-29 y.,5th Quintile,Not concerned at all,0.09340,55,548,0.06902,0.11779
1984,30-45 y.,1st Quintile,Very concerned,0.33837,261,776,0.30506,0.37168
1984,30-45 y.,1st Quintile,Somewhat concerned,0.52821,390,776,0.49306,0.56336
1984,30-45 y.,1st Quintile,Not concerned at all,0.12773,125,776,0.10423,0.15123
1984,30-45 y.,2nd Quintile,Very concerned,0.39288,268,780,0.35858,0.42718
1984,30-45 y.,2nd Quintile,Somewhat concerned,0.51465,403,780,0.47955,0.54974
1984,30-45 y.,2nd Quintile,Not concerned at all,0.08579,109,780,0.06613,0.10546
1984,30-45 y.,3rd Quintile,Very concerned,0.35224,261,738,0.31775,0.38672
1984,30-45 y.,3rd Quintile,Somewhat concerned,0.54376,386,738,0.50780,0.57972
1984,30-45 y.,3rd Quintile,Not concerned at all,0.09157,91,738,0.07074,0.11239
1984,30-45 y.,4th Quintile,Very concerned,0.34023,252,790,0.30717,0.37329
1984,30-45 y.,4th Quintile,Somewhat concerned,0.56058,420,790,0.52594,0.59521
1984,30-45 y.,4th Quintile,Not concerned at all,0.09495,118,790,0.07450,0.11541
1984,30-45 y.,5th Quintile,Very concerned,0.30894,234,783,0.27655,0.34133
1984,30-45 y.,5th Quintile,Somewhat concerned,0.58736,456,783,0.55285,0.62186
1984,30-45 y.,5th Quintile,Not concerned at all,0.10094,93,783,0.07983,0.12206
1984,46-65 y.,1st Quintile,Very concerned,0.40606,215,537,0.36449,0.44764
