year,sampreg,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Very concerned,0.26982,3887,12029,0.26188,0.27775
1984,West,Somewhat concerned,0.44155,6373,12029,0.43268,0.45043
1984,West,Not concerned at all,0.10711,1769,12029,0.10158,0.11263
1985,West,Very concerned,0.25517,3249,10870,0.24698,0.26337
1985,West,Somewhat concerned,0.46426,6015,10870,0.45488,0.47363
1985,West,Not concerned at all,0.10763,1606,10870,0.10181,0.11346
1986,West,Very concerned,0.15773,1962,10432,0.15074,0.16473
1986,West,Somewhat concerned,0.47385,5984,10432,0.46426,0.48343
1986,West,Not concerned at all,0.19233,2486,10432,0.18476,0.19989
1987,West,Very concerned,0.16917,1980,10308,0.16193,0.17641
1987,West,Somewhat concerned,0.50058,6210,10308,0.49093,0.51024
1987,West,Not concerned at all,0.15226,2118,10308,0.14532,0.15919
1988,West,Very concerned,0.23084,2540,9868,0.22253,0.23916
1988,West,Somewhat concerned,0.48175,5790,9868,0.47189,0.49161
1988,West,Not concerned at all,0.11332,1538,9868,0.10706,0.11957
1989,West,Very concerned,0.14482,1634,9525,0.13775,0.15189
1989,West,Somewhat concerned,0.48070,5533,9525,0.47067,0.49074
1989,West,Not concerned at all,0.19974,2358,9525,0.19171,0.20777
1990,West,Very concerned,0.15378,1686,9341,0.14647,0.16110
1990,West,Somewhat concerned,0.42962,4951,9341,0.41958,0.43966
1990,West,Not concerned at all,0.23875,2704,9341,0.23011,0.24740
1990,East,Very concerned,0.27604,1625,4408,0.26284,0.28924
1990,East,Somewhat concerned,0.41754,2361,4408,0.40298,0.43210
1990,East,Not concerned at all,0.08399,422,4408,0.07580,0.09218
1991,West,Very concerned,0.15349,1668,9361,0.14618,0.16079
1991,West,Somewhat concerned,0.48498,5534,9361,0.47486,0.49511
1991,West,Not concerned at all,0.18134,2159,9361,0.17353,0.18915
1991,East,Very concerned,0.37997,1971,4120,0.36515,0.39479
1991,East,Somewhat concerned,0.37072,1912,4120,0.35597,0.38547
1991,East,Not concerned at all,0.05293,237,4120,0.04609,0.05977
1992,West,Very concerned,0.19510,2130,9255,0.18702,0.20317
1992,West,Somewhat concerned,0.49407,5557,9255,0.48388,0.50426
1992,West,Not concerned at all,0.12855,1568,9255,0.12173,0.13537
1992,East,Very concerned,0.29005,1436,3939,0.27587,0.30422
1992,East,Somewhat concerned,0.43672,2158,3939,0.42123,0.45221
1992,East,Not concerned at all,0.07772,345,3939,0.06936,0.08608
1993,West,Very concerned,0.32664,3535,9205,0.31706,0.33622
1993,West,Somewhat concerned,0.43967,4962,9205,0.42953,0.44981
1993,West,Not concerned at all,0.05309,708,9205,0.04851,0.05768
1993,East,Very concerned,0.33746,1569,3813,0.32245,0.35247
1993,East,Somewhat concerned,0.43027,2061,3813,0.41455,0.44599
1993,East,Not concerned at all,0.04216,183,3813,0.03578,0.04854
1994,West,Very concerned,0.30189,3264,9047,0.29243,0.31135
1994,West,Somewhat concerned,0.45483,5045,9047,0.44457,0.46509
1994,West,Not concerned at all,0.06140,738,9047,0.05645,0.06635
1994,East,Very concerned,0.32812,1503,3764,0.31311,0.34312
1994,East,Somewhat concerned,0.44229,2071,3764,0.42642,0.45816
1994,East,Not concerned at all,0.04496,190,3764,0.03834,0.05158
1995,West,Very concerned,0.20466,2356,9512,0.19655,0.21277
1995,West,Somewhat concerned,0.50663,5927,9512,0.49658,0.51668
1995,West,Not concerned at all,0.10137,1229,9512,0.09531,0.10744
1995,East,Very concerned,0.22218,992,3669,0.20872,0.23563
1995,East,Somewhat concerned,0.51938,2349,3669,0.50321,0.53555
1995,East,Not concerned at all,0.07729,328,3669,0.06865,0.08594
1996,West,Very concerned,0.36373,3890,9324,0.35396,0.37349
1996,West,Somewhat concerned,0.39943,4767,9324,0.38948,0.40937
1996,West,Not concerned at all,0.05261,667,9324,0.04808,0.05714
1996,East,Very concerned,0.36363,1591,3677,0.34808,0.37918
1996,East,Somewhat concerned,0.41730,1883,3677,0.40136,0.43324
1996,East,Not concerned at all,0.04611,203,3677,0.03933,0.05289
1997,West,Very concerned,0.38856,4112,9155,0.37857,0.39854
1997,West,Somewhat concerned,0.38737,4528,9155,0.37740,0.39735
1997,West,Not concerned at all,0.04007,515,9155,0.03605,0.04408
1997,East,Very concerned,0.44321,1891,3625,0.42704,0.45938
1997,East,Somewhat concerned,0.36429,1629,3625,0.34863,0.37996
1997,East,Not concerned at all,0.02638,105,3625,0.02116,0.03160
1998,West,Very concerned,0.33284,4062,10331,0.32375,0.34193
1998,West,Somewhat concerned,0.42519,5461,10331,0.41565,0.43472
1998,West,Not concerned at all,0.06093,808,10331,0.05632,0.06554
1998,East,Very concerned,0.43314,1973,3855,0.41750,0.44879
1998,East,Somewhat concerned,0.36758,1733,3855,0.35236,0.38281
1998,East,Not concerned at all,0.03350,149,3855,0.02782,0.03918
1999,West,Very concerned,0.20614,2362,9863,0.19816,0.21413
1999,West,Somewhat concerned,0.52331,6375,9863,0.51345,0.53316
1999,West,Not concerned at all,0.09069,1126,9863,0.08502,0.09636
1999,East,Very concerned,0.25256,1128,3777,0.23870,0.26641
1999,East,Somewhat concerned,0.53565,2398,3777,0.51975,0.55156
1999,East,Not concerned at all,0.05675,251,3777,0.04937,0.06413
2000,West,Very concerned,0.15617,3434,18094,0.15088,0.16146
2000,West,Somewhat concerned,0.50143,11207,18094,0.49414,0.50871
2000,West,Not concerned at all,0.15586,3453,18094,0.15058,0.16115
2000,East,Very concerned,0.26513,1821,5800,0.25377,0.27649
2000,East,Somewhat concerned,0.48866,3403,5800,0.47580,0.50153
2000,East,Not concerned at all,0.08729,576,5800,0.08003,0.09456
2001,West,Very concerned,0.13889,2726,16352,0.13359,0.14419
2001,West,Somewhat concerned,0.50902,10286,16352,0.50136,0.51668
2001,West,Not concerned at all,0.16589,3340,16352,0.16019,0.17159
