year,bula_h,quintil_oecd_hh,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,1st Quintile,Yes,0.89066,123,123,0.83529,0.94604
2015,Schleswig-Holstein,2nd Quintile,Yes,0.97867,99,99,0.95006,1.00728
2015,Schleswig-Holstein,3rd Quintile,Yes,0.98299,110,110,0.95872,1.00727
2015,Schleswig-Holstein,4th Quintile,Yes,0.93111,98,98,0.88071,0.98151
2015,Schleswig-Holstein,5th Quintile,Yes,0.95651,80,80,0.91154,1.00149
2015,Hamburg,1st Quintile,Yes,0.84501,49,49,0.74263,0.94739
2015,Hamburg,2nd Quintile,Yes,0.84972,47,47,0.74645,0.95299
2015,Hamburg,3rd Quintile,Yes,0.97544,55,55,0.93415,1.01672
2015,Hamburg,4th Quintile,Yes,0.92517,45,45,0.84742,1.00292
2015,Hamburg,5th Quintile,Yes,0.89138,68,68,0.81688,0.96589
2015,Lower Saxony,1st Quintile,Yes,0.92683,317,317,0.89811,0.95554
2015,Lower Saxony,2nd Quintile,Yes,0.93173,272,272,0.90170,0.96175
2015,Lower Saxony,3rd Quintile,Yes,0.91407,264,264,0.88020,0.94795
2015,Lower Saxony,4th Quintile,Yes,0.96719,274,274,0.94605,0.98832
2015,Lower Saxony,5th Quintile,Yes,0.96407,270,270,0.94182,0.98631
2015,Bremen,1st Quintile,Yes,0.92480,31,31,0.83043,1.01917
2015,North Rhine-Westphalia,1st Quintile,Yes,0.87883,715,817,0.85644,0.90122
2015,North Rhine-Westphalia,1st Quintile,No,0.12117,102,817,0.09878,0.14356
2015,North Rhine-Westphalia,2nd Quintile,Yes,0.91683,581,632,0.89528,0.93837
2015,North Rhine-Westphalia,2nd Quintile,No,0.08317,51,632,0.06163,0.10472
2015,North Rhine-Westphalia,3rd Quintile,Yes,0.95351,537,572,0.93624,0.97078
2015,North Rhine-Westphalia,3rd Quintile,No,0.04649,35,572,0.02922,0.06376
2015,North Rhine-Westphalia,4th Quintile,Yes,0.95474,529,529,0.93701,0.97247
2015,North Rhine-Westphalia,5th Quintile,Yes,0.95207,575,613,0.93515,0.96900
2015,North Rhine-Westphalia,5th Quintile,No,0.04793,38,613,0.03100,0.06485
2015,Hesse,1st Quintile,Yes,0.71011,194,235,0.65197,0.76824
2015,Hesse,1st Quintile,No,0.28989,41,235,0.23176,0.34803
2015,Hesse,2nd Quintile,Yes,0.86728,175,175,0.81687,0.91769
2015,Hesse,3rd Quintile,Yes,0.93991,197,197,0.90663,0.97318
2015,Hesse,4th Quintile,Yes,0.90090,185,185,0.85772,0.94407
2015,Hesse,5th Quintile,Yes,0.95374,264,264,0.92835,0.97912
2015,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.81180,168,201,0.75763,0.86597
2015,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.18820,33,201,0.13403,0.24237
2015,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.88121,188,188,0.83484,0.92758
2015,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.92169,166,166,0.88070,0.96268
2015,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.94065,147,147,0.90233,0.97898
2015,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.96403,161,161,0.93518,0.99289
2015,Baden-Wuerttemberg,1st Quintile,Yes,0.79214,224,285,0.74494,0.83933
2015,Baden-Wuerttemberg,1st Quintile,No,0.20786,61,285,0.16067,0.25506
2015,Baden-Wuerttemberg,2nd Quintile,Yes,0.84514,270,319,0.80538,0.88491
2015,Baden-Wuerttemberg,2nd Quintile,No,0.15486,49,319,0.11509,0.19462
2015,Baden-Wuerttemberg,3rd Quintile,Yes,0.86984,333,376,0.83578,0.90389
2015,Baden-Wuerttemberg,3rd Quintile,No,0.13016,43,376,0.09611,0.16422
2015,Baden-Wuerttemberg,4th Quintile,Yes,0.90979,349,393,0.88143,0.93815
2015,Baden-Wuerttemberg,4th Quintile,No,0.09021,44,393,0.06185,0.11857
2015,Baden-Wuerttemberg,5th Quintile,Yes,0.91280,409,444,0.88653,0.93908
2015,Baden-Wuerttemberg,5th Quintile,No,0.08720,35,444,0.06092,0.11347
2015,Bavaria,1st Quintile,Yes,0.83446,369,452,0.80016,0.86876
2015,Bavaria,1st Quintile,No,0.16554,83,452,0.13124,0.19984
2015,Bavaria,2nd Quintile,Yes,0.85878,451,526,0.82899,0.88857
2015,Bavaria,2nd Quintile,No,0.14122,75,526,0.11143,0.17101
2015,Bavaria,3rd Quintile,Yes,0.89856,452,496,0.87196,0.92516
2015,Bavaria,3rd Quintile,No,0.10144,44,496,0.07484,0.12804
2015,Bavaria,4th Quintile,Yes,0.89359,450,499,0.86651,0.92068
2015,Bavaria,4th Quintile,No,0.10641,49,499,0.07932,0.13349
2015,Bavaria,5th Quintile,Yes,0.91858,557,599,0.89666,0.94050
2015,Bavaria,5th Quintile,No,0.08142,42,599,0.05950,0.10334
2015,Berlin,1st Quintile,Yes,0.79120,121,167,0.72937,0.85303
2015,Berlin,1st Quintile,No,0.20880,46,167,0.14697,0.27063
2015,Berlin,2nd Quintile,Yes,0.64060,98,141,0.56112,0.72009
2015,Berlin,2nd Quintile,No,0.35940,43,141,0.27991,0.43888
2015,Berlin,3rd Quintile,Yes,0.77041,82,82,0.67882,0.86200
2015,Berlin,4th Quintile,Yes,0.85726,105,105,0.79002,0.92449
2015,Berlin,5th Quintile,Yes,0.85867,95,95,0.78825,0.92909
2015,Brandenburg,1st Quintile,Yes,0.83147,143,143,0.76990,0.89304
2015,Brandenburg,2nd Quintile,Yes,0.93354,128,128,0.89021,0.97686
2015,Brandenburg,3rd Quintile,Yes,0.94250,119,119,0.90049,0.98450
2015,Brandenburg,4th Quintile,Yes,0.84973,86,86,0.77376,0.92570
2015,Brandenburg,5th Quintile,Yes,0.92763,66,66,0.86463,0.99062
2015,Mecklenburg-Western Pomerania,1st Quintile,Yes,0.71784,79,79,0.61796,0.81772
2015,Mecklenburg-Western Pomerania,2nd Quintile,Yes,0.93894,105,105,0.89292,0.98496
2015,Mecklenburg-Western Pomerania,3rd Quintile,Yes,0.79046,58,58,0.68481,0.89612
2015,Mecklenburg-Western Pomerania,4th Quintile,Yes,0.91495,35,35,0.82118,1.00872
2015,Saxony,1st Quintile,Yes,0.76068,176,212,0.70311,0.81825
2015,Saxony,1st Quintile,No,0.23932,36,212,0.18175,0.29689
