year,bula_h,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2017,Bremen,Yes,1.00000,120,15517,0,0.82563,0,1.20871
2017,North Rhine-Westphalia,Yes,0.95293,3049,15517,0,0.92169,0,0.98470
2017,North Rhine-Westphalia,No,0.04707,136,15517,0,0.03825,0,0.05428
2017,Hesse,Yes,0.93160,990,15517,0,0.87975,0,0.99255
2017,Hesse,No,0.06840,65,15517,0,0.05001,0,0.08747
2017,"Rhineland-Palatinate, Saarland",Yes,0.94806,844,15517,0,0.88847,0,1.01229
2017,"Rhineland-Palatinate, Saarland",No,0.05194,35,15517,0,0.03321,0,0.07075
2017,Baden-Wuerttemberg,Yes,0.89948,1578,15517,0,0.85397,0,0.95282
2017,Baden-Wuerttemberg,No,0.10052,146,15517,0,0.08417,0,0.11774
2017,Bavaria,Yes,0.92636,2311,15517,0,0.88967,0,0.97242
2017,Bavaria,No,0.07364,191,15517,0,0.06405,0,0.08870
2017,Berlin,Yes,0.82597,555,15517,0,0.76251,0,0.89029
2017,Berlin,No,0.17403,104,15517,0,0.14060,0,0.20644
2017,Brandenburg,Yes,0.93086,581,15517,0,0.86635,0,1.00671
2017,Brandenburg,No,0.06914,36,15517,0,0.04963,0,0.09547
2017,Mecklenburg-Western Pomerania,Yes,1.00000,337,15517,0,0.90686,0,1.10933
2017,Saxony,Yes,0.90380,907,15517,0,0.84865,0,0.97090
2017,Saxony,No,0.09620,78,15517,0,0.07623,0,0.12589
2017,Saxony-Anhalt,Yes,1.00000,541,15517,0,0.91287,0,1.09717
2017,Thuringa,Yes,1.00000,565,15517,0,0.91960,0,1.11001
2018,Schleswig-Holstein,Yes,1.00000,528,15315,0,0.91253,0,1.09608
2018,Hamburg,Yes,1.00000,309,15315,0,0.88096,0,1.12763
2018,Lower Saxony,Yes,0.97206,1431,15315,0,0.91158,0,1.02796
2018,Lower Saxony,No,0.02794,45,15315,0,0.01972,0,0.03643
2018,Bremen,Yes,1.00000,128,15315,0,0.79413,0,1.19041
2018,North Rhine-Westphalia,Yes,0.96268,3038,15315,0,0.92881,0,1.00688
2018,North Rhine-Westphalia,No,0.03732,140,15315,0,0.03061,0,0.04408
2018,Hesse,Yes,0.93180,958,15315,0,0.87453,0,0.99650
2018,Hesse,No,0.06820,47,15315,0,0.04621,0,0.09018
2018,"Rhineland-Palatinate, Saarland",Yes,0.95833,846,15315,0,0.89143,0,1.04308
2018,"Rhineland-Palatinate, Saarland",No,0.04167,37,15315,0,0.02491,0,0.05988
2018,Baden-Wuerttemberg,Yes,0.94704,1540,15315,0,0.89630,0,0.99492
2018,Baden-Wuerttemberg,No,0.05296,85,15315,0,0.04249,0,0.06444
2018,Bavaria,Yes,0.92674,2237,15315,0,0.89294,0,0.97482
2018,Bavaria,No,0.07326,172,15315,0,0.06130,0,0.08880
2018,Berlin,Yes,0.86830,597,15315,0,0.80126,0,0.93349
2018,Berlin,No,0.13170,95,15315,0,0.10657,0,0.15841
2018,Brandenburg,Yes,0.91906,600,15315,0,0.84672,0,0.99240
2018,Brandenburg,No,0.08094,43,15315,0,0.05492,0,0.12064
2018,Mecklenburg-Western Pomerania,Yes,1.00000,351,15315,0,0.87955,0,1.11968
2018,Saxony,Yes,0.92773,924,15315,0,0.86529,0,0.99396
2018,Saxony,No,0.07227,58,15315,0,0.05501,0,0.09400
2018,Saxony-Anhalt,Yes,1.00000,550,15315,0,0.91276,0,1.08733
2018,Thuringa,Yes,1.00000,556,15315,0,0.89810,0,1.08863
2019,Schleswig-Holstein,Yes,1.00000,428,12513,0,0.89999,0,1.08628
2019,Hamburg,Yes,1.00000,266,12513,0,0.87200,0,1.12894
2019,Lower Saxony,Yes,0.97710,1188,12513,0,0.92131,0,1.03151
2019,Lower Saxony,No,0.02290,33,12513,0,0.01492,0,0.03247
2019,Bremen,Yes,1.00000,107,12513,0,0.77918,0,1.23989
2019,North Rhine-Westphalia,Yes,0.96514,2491,12513,0,0.92709,0,1.00964
2019,North Rhine-Westphalia,No,0.03486,103,12513,0,0.02788,0,0.04260
2019,Hesse,Yes,0.93257,773,12513,0,0.86926,0,0.99377
2019,Hesse,No,0.06743,36,12513,0,0.04813,0,0.09114
2019,"Rhineland-Palatinate, Saarland",Yes,1.00000,692,12513,0,0.93091,0,1.07381
2019,Baden-Wuerttemberg,Yes,0.95120,1255,12513,0,0.90438,0,1.00475
2019,Baden-Wuerttemberg,No,0.04880,61,12513,0,0.03906,0,0.05983
2019,Bavaria,Yes,0.92611,1820,12513,0,0.87816,0,0.98401
2019,Bavaria,No,0.07389,131,12513,0,0.05837,0,0.09206
