,Unnamed: 0,year,bula_h,rentown,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Schleswig-Holstein,Owner,Yes,1.0,241,15420,0.8719,1.15214
1,1,2015,Schleswig-Holstein,Tenant,Yes,1.0,270,15420,0.86507,1.19228
2,2,2015,Hamburg,Owner,Yes,1.0,74,15420,0.76337,1.2411
3,3,2015,Hamburg,Tenant,Yes,1.0,190,15420,0.87478,1.15157
4,4,2015,Lower Saxony,Owner,Yes,1.0,727,15420,0.90931,1.08556
5,5,2015,Lower Saxony,Tenant,Yes,0.9078,670,15420,0.82168,0.98511
6,6,2015,Lower Saxony,Tenant,No,0.0922,73,15420,0.07006,0.11633
7,7,2015,Bremen,Owner,Yes,1.0,37,15420,0.70528,1.43263
8,8,2015,Bremen,Tenant,Yes,1.0,71,15420,0.73431,1.28771
9,9,2015,North Rhine-Westphalia,Owner,Yes,0.96721,1236,15420,0.91174,1.02235
10,10,2015,North Rhine-Westphalia,Owner,No,0.03279,60,15420,0.02601,0.04037
11,11,2015,North Rhine-Westphalia,Tenant,Yes,0.90243,1701,15420,0.85836,0.95318
12,12,2015,North Rhine-Westphalia,Tenant,No,0.09757,195,15420,0.0811,0.11498
13,13,2015,Hesse,Owner,Yes,1.0,450,15420,0.9166,1.10532
14,14,2015,Hesse,Tenant,Yes,0.84772,565,15420,0.76487,0.91436
15,15,2015,Hesse,Tenant,No,0.15228,84,15420,0.11872,0.19237
16,16,2015,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,443,15420,0.90775,1.10259
17,17,2015,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.87039,389,15420,0.77713,0.98341
18,18,2015,"Rhineland-Palatinate, Saarland",Tenant,No,0.12961,65,15420,0.09536,0.16497
19,19,2015,Baden-Wuerttemberg,Owner,Yes,0.91745,839,15420,0.85146,0.98175
20,20,2015,Baden-Wuerttemberg,Owner,No,0.08255,76,15420,0.06385,0.10007
21,21,2015,Baden-Wuerttemberg,Tenant,Yes,0.82391,746,15420,0.75568,0.88947
22,22,2015,Baden-Wuerttemberg,Tenant,No,0.17609,157,15420,0.14776,0.21431
23,23,2015,Bavaria,Owner,Yes,0.93602,1126,15420,0.86831,1.00118
24,24,2015,Bavaria,Owner,No,0.06398,67,15420,0.0459,0.08206
25,25,2015,Bavaria,Tenant,Yes,0.83105,1154,15420,0.77441,0.90262
26,26,2015,Bavaria,Tenant,No,0.16895,226,15420,0.1458,0.19471
27,27,2015,Berlin,Owner,Yes,1.0,107,15420,0.83269,1.20527
28,28,2015,Berlin,Tenant,Yes,0.74489,394,15420,0.68015,0.81491
29,29,2015,Berlin,Tenant,No,0.25511,137,15420,0.21016,0.30012
30,30,2015,Brandenburg,Owner,Yes,1.0,235,15420,0.88658,1.13675
31,31,2015,Brandenburg,Tenant,Yes,0.88677,307,15420,0.79206,1.00319
32,32,2015,Brandenburg,Tenant,No,0.11323,36,15420,0.06703,0.16476
33,33,2015,Mecklenburg-Western Pomerania,Owner,Yes,1.0,108,15420,0.80802,1.20424
34,34,2015,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,205,15420,0.84991,1.13988
35,35,2015,Saxony,Owner,Yes,1.0,293,15420,0.88514,1.12767
36,36,2015,Saxony,Tenant,Yes,0.79569,496,15420,0.72974,0.8819
37,37,2015,Saxony,Tenant,No,0.20431,98,15420,0.1673,0.24408
38,38,2015,Saxony-Anhalt,Owner,Yes,1.0,202,15420,0.85238,1.15182
39,39,2015,Saxony-Anhalt,Tenant,Yes,0.9016,285,15420,0.8127,1.01979
40,40,2015,Saxony-Anhalt,Tenant,No,0.0984,42,15420,0.07456,0.12347
41,41,2015,Thuringa,Owner,Yes,1.0,228,15420,0.83757,1.17565
42,42,2015,Thuringa,Tenant,Yes,1.0,315,15420,0.88952,1.12878
43,43,2016,Schleswig-Holstein,Owner,Yes,1.0,232,14041,0.87813,1.10316
44,44,2016,Schleswig-Holstein,Tenant,Yes,1.0,251,14041,0.85941,1.13334
45,45,2016,Hamburg,Owner,Yes,1.0,72,14041,0.77303,1.22884
46,46,2016,Hamburg,Tenant,Yes,1.0,177,14041,0.86007,1.13376
47,47,2016,Lower Saxony,Owner,Yes,1.0,679,14041,0.9071,1.07753
48,48,2016,Lower Saxony,Tenant,Yes,0.93146,607,14041,0.84884,1.01286
49,49,2016,Lower Saxony,Tenant,No,0.06854,45,14041,0.0447,0.09325
50,50,2016,Bremen,Owner,Yes,1.0,33,14041,0.65549,1.44026
51,51,2016,Bremen,Tenant,Yes,1.0,63,14041,0.75673,1.28788
52,52,2016,North Rhine-Westphalia,Owner,Yes,0.96459,1167,14041,0.90703,1.02196
53,53,2016,North Rhine-Westphalia,Owner,No,0.03541,47,14041,0.02562,0.04694
54,54,2016,North Rhine-Westphalia,Tenant,Yes,0.92498,1556,14041,0.87681,0.97234
55,55,2016,North Rhine-Westphalia,Tenant,No,0.07502,130,14041,0.06337,0.0883
56,56,2016,Hesse,Owner,Yes,1.0,413,14041,0.89444,1.09384
57,57,2016,Hesse,Tenant,Yes,0.90457,495,14041,0.81532,0.99937
58,58,2016,Hesse,Tenant,No,0.09543,56,14041,0.07311,0.12404
59,59,2016,"Rhineland-Palatinate, Saarland",Owner,Yes,1.0,427,14041,0.89722,1.0916
60,60,2016,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.89732,354,14041,0.81366,0.99506
61,61,2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.10268,52,14041,0.07044,0.14132
62,62,2016,Baden-Wuerttemberg,Owner,Yes,0.9541,819,14041,0.89421,1.02886
63,63,2016,Baden-Wuerttemberg,Owner,No,0.0459,33,14041,0.03298,0.05905
64,64,2016,Baden-Wuerttemberg,Tenant,Yes,0.87189,677,14041,0.78797,0.94296
65,65,2016,Baden-Wuerttemberg,Tenant,No,0.12811,93,14041,0.09994,0.15056
66,66,2016,Bavaria,Owner,Yes,0.94367,1043,14041,0.88473,1.00077
67,67,2016,Bavaria,Owner,No,0.05633,55,14041,0.04155,0.07251
68,68,2016,Bavaria,Tenant,Yes,0.87081,1053,14041,0.80941,0.93001
69,69,2016,Bavaria,Tenant,No,0.12919,145,14041,0.10513,0.1523
70,70,2016,Berlin,Owner,Yes,1.0,102,14041,0.83908,1.19656
71,71,2016,Berlin,Tenant,Yes,0.83123,406,14041,0.74615,0.90264
72,72,2016,Berlin,Tenant,No,0.16877,95,14041,0.13366,0.19616
73,73,2016,Brandenburg,Owner,Yes,1.0,240,14041,0.85025,1.13159
74,74,2016,Brandenburg,Tenant,Yes,1.0,282,14041,0.88851,1.13043
75,75,2016,Mecklenburg-Western Pomerania,Owner,Yes,1.0,104,14041,0.83325,1.20722
76,76,2016,Mecklenburg-Western Pomerania,Tenant,Yes,1.0,203,14041,0.87718,1.15856
77,77,2016,Saxony,Owner,Yes,1.0,284,14041,0.89375,1.14837
78,78,2016,Saxony,Tenant,Yes,0.89544,501,14041,0.81627,0.97559
79,79,2016,Saxony,Tenant,No,0.10456,59,14041,0.07678,0.13637
80,80,2016,Saxony-Anhalt,Owner,Yes,1.0,203,14041,0.87839,1.13924
81,81,2016,Saxony-Anhalt,Tenant,Yes,1.0,277,14041,0.84712,1.11792
82,82,2016,Thuringa,Owner,Yes,1.0,233,14041,0.8249,1.18276
83,83,2016,Thuringa,Tenant,Yes,1.0,278,14041,0.8731,1.14487
84,84,2017,Schleswig-Holstein,Owner,Yes,1.0,278,15387,0.89773,1.12681
85,85,2017,Schleswig-Holstein,Tenant,Yes,1.0,259,15387,0.87246,1.14469
86,86,2017,Hamburg,Owner,Yes,1.0,78,15387,0.76116,1.23944
87,87,2017,Hamburg,Tenant,Yes,1.0,197,15387,0.86943,1.13894
88,88,2017,Lower Saxony,Owner,Yes,1.0,801,15387,0.92098,1.07303
89,89,2017,Lower Saxony,Tenant,Yes,0.92386,686,15387,0.85993,0.99505
