year,bula_h,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,West,Yes,0.93182,511,543,0.91060,0.95304
2015,Schleswig-Holstein,West,No,0.04965,32,543,0.03136,0.06794
2015,Hamburg,West,Yes,0.90221,264,264,0.86631,0.93811
2015,Lower Saxony,West,Yes,0.93433,1397,1489,0.92174,0.94692
2015,Lower Saxony,West,No,0.05808,92,1489,0.04619,0.06996
2015,Bremen,West,Yes,0.95349,108,108,0.91358,0.99339
2015,North Rhine-Westphalia,West,Yes,0.92581,2937,3192,0.91672,0.93490
2015,North Rhine-Westphalia,West,No,0.06908,255,3192,0.06028,0.07788
2015,Hesse,West,Yes,0.87686,1015,1125,0.85765,0.89607
2015,Hesse,West,No,0.12053,110,1125,0.10149,0.13956
2015,"Rhineland-Palatinate, Saarland",West,Yes,0.89842,832,919,0.87887,0.91796
2015,"Rhineland-Palatinate, Saarland",West,No,0.09531,87,919,0.07632,0.11431
2015,Baden-Wuerttemberg,West,Yes,0.86805,1585,1818,0.85249,0.88361
2015,Baden-Wuerttemberg,West,No,0.12469,233,1818,0.10950,0.13988
2015,Bavaria,West,Yes,0.87521,2280,2573,0.86243,0.88798
2015,Bavaria,West,No,0.11439,293,2573,0.10209,0.12669
2015,Berlin,West,Yes,0.72124,258,366,0.67524,0.76724
2015,Berlin,West,No,0.26873,108,366,0.22325,0.31420
2015,Berlin,East,Yes,0.84876,243,278,0.80657,0.89096
2015,Berlin,East,No,0.14183,35,278,0.10074,0.18291
2015,Brandenburg,East,Yes,0.88171,542,603,0.85592,0.90751
2015,Brandenburg,East,No,0.10791,61,603,0.08313,0.13270
2015,Mecklenburg-Western Pomerania,East,Yes,0.83233,313,348,0.79302,0.87164
2015,Mecklenburg-Western Pomerania,East,No,0.14408,35,348,0.10713,0.18103
2015,Saxony,East,Yes,0.83316,789,908,0.80890,0.85743
