year,quintil_oecd_hh,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Owner,Yes,0.88209,436,485,0.85335,0.91082
2015,1st Quintile,Owner,No,0.11791,49,485,0.08918,0.14665
2015,1st Quintile,Tenant,Yes,0.82700,2558,3044,0.81356,0.84044
2015,1st Quintile,Tenant,No,0.17300,486,3044,0.15956,0.18644
2015,2nd Quintile,Owner,Yes,0.91464,999,1084,0.89800,0.93128
2015,2nd Quintile,Owner,No,0.08536,85,1084,0.06872,0.10200
2015,2nd Quintile,Tenant,Yes,0.86133,1966,2280,0.84714,0.87552
2015,2nd Quintile,Tenant,No,0.13867,314,2280,0.12448,0.15286
2015,3rd Quintile,Owner,Yes,0.94056,1363,1432,0.92831,0.95281
2015,3rd Quintile,Owner,No,0.05944,69,1432,0.04719,0.07169
2015,3rd Quintile,Tenant,Yes,0.87922,1393,1571,0.86310,0.89534
2015,3rd Quintile,Tenant,No,0.12078,178,1571,0.10466,0.13690
2015,4th Quintile,Owner,Yes,0.95425,1566,1642,0.94414,0.96436
2015,4th Quintile,Owner,No,0.04575,76,1642,0.03564,0.05586
2015,4th Quintile,Tenant,Yes,0.87490,1033,1174,0.85597,0.89384
2015,4th Quintile,Tenant,No,0.12510,141,1174,0.10616,0.14403
2015,5th Quintile,Owner,Yes,0.95685,1982,2070,0.94809,0.96561
2015,5th Quintile,Owner,No,0.04315,88,2070,0.03439,0.05191
2015,5th Quintile,Tenant,Yes,0.89347,803,896,0.87326,0.91369
2015,5th Quintile,Tenant,No,0.10653,93,896,0.08631,0.12674
2016,1st Quintile,Owner,Yes,0.89121,360,396,0.86050,0.92191
2016,1st Quintile,Owner,No,0.10879,36,396,0.07809,0.13950
2016,1st Quintile,Tenant,Yes,0.86817,2357,2692,0.85539,0.88096
2016,1st Quintile,Tenant,No,0.13183,335,2692,0.11904,0.14461
2016,2nd Quintile,Owner,Yes,0.92079,964,1023,0.90423,0.93734
2016,2nd Quintile,Owner,No,0.07921,59,1023,0.06266,0.09577
2016,2nd Quintile,Tenant,Yes,0.90522,1821,2010,0.89241,0.91803
2016,2nd Quintile,Tenant,No,0.09478,189,2010,0.08197,0.10759
2016,3rd Quintile,Owner,Yes,0.97091,1291,1341,0.96192,0.97991
2016,3rd Quintile,Owner,No,0.02909,50,1341,0.02009,0.03808
2016,3rd Quintile,Tenant,Yes,0.91352,1282,1397,0.89878,0.92827
2016,3rd Quintile,Tenant,No,0.08648,115,1397,0.07173,0.10122
2016,4th Quintile,Owner,Yes,0.96953,1517,1559,0.96099,0.97806
2016,4th Quintile,Owner,No,0.03047,42,1559,0.02194,0.03901
2016,4th Quintile,Tenant,Yes,0.91687,996,1101,0.90055,0.93318
2016,4th Quintile,Tenant,No,0.08313,105,1101,0.06682,0.09945
2016,5th Quintile,Owner,Yes,0.96886,1919,1978,0.96120,0.97652
2016,5th Quintile,Owner,No,0.03114,59,1978,0.02348,0.03880
2016,5th Quintile,Tenant,Yes,0.93844,720,776,0.92151,0.95536
2016,5th Quintile,Tenant,No,0.06156,56,776,0.04464,0.07849
2017,1st Quintile,Owner,Yes,0.95691,374,374,0.93631,0.97752
2017,1st Quintile,Tenant,Yes,0.86392,2490,2806,0.85123,0.87661
2017,1st Quintile,Tenant,No,0.13608,316,2806,0.12339,0.14877
2017,2nd Quintile,Owner,Yes,0.95575,1054,1098,0.94358,0.96792
2017,2nd Quintile,Owner,No,0.04425,44,1098,0.03208,0.05642
2017,2nd Quintile,Tenant,Yes,0.89892,1956,2136,0.88613,0.91170
2017,2nd Quintile,Tenant,No,0.10108,180,2136,0.08830,0.11387
2017,3rd Quintile,Owner,Yes,0.96077,1484,1532,0.95104,0.97049
2017,3rd Quintile,Owner,No,0.03923,48,1532,0.02951,0.04896
2017,3rd Quintile,Tenant,Yes,0.91122,1427,1554,0.89708,0.92537
2017,3rd Quintile,Tenant,No,0.08878,127,1554,0.07463,0.10292
2017,4th Quintile,Owner,Yes,0.96594,1745,1797,0.95755,0.97433
