year,rentown,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,West,Yes,0.93870,5239,5527,0.93237,0.94502
2015,Owner,West,No,0.05591,288,5527,0.04985,0.06196
2015,Owner,East,Yes,0.91147,1107,1186,0.89529,0.92764
2015,Owner,East,No,0.07677,79,1186,0.06161,0.09192
2015,Tenant,West,Yes,0.85450,5948,6898,0.84618,0.86282
2015,Tenant,West,No,0.13672,950,6898,0.12861,0.14483
2015,Tenant,East,Yes,0.84186,1810,2073,0.82614,0.85757
2015,Tenant,East,No,0.14717,263,2073,0.13191,0.16242
2016,Owner,West,Yes,0.95671,4954,5141,0.95115,0.96227
2016,Owner,West,No,0.04212,187,5141,0.03663,0.04761
2016,Owner,East,Yes,0.95241,1097,1156,0.94013,0.96469
2016,Owner,East,No,0.04759,59,1156,0.03531,0.05987
2016,Tenant,West,Yes,0.89536,5442,6067,0.88766,0.90306
2016,Tenant,West,No,0.09997,625,6067,0.09242,0.10752
2016,Tenant,East,Yes,0.89923,1738,1914,0.88575,0.91272
2016,Tenant,East,No,0.09450,176,1914,0.08139,0.10761
2017,Owner,West,Yes,0.96747,5587,5747,0.96288,0.97206
2017,Owner,West,No,0.03230,160,5747,0.02773,0.03687
2017,Owner,East,Yes,0.96192,1265,1313,0.95156,0.97228
2017,Owner,East,No,0.03808,48,1313,0.02772,0.04844
2017,Tenant,West,Yes,0.88724,5904,6497,0.87955,0.89493
2017,Tenant,West,No,0.10160,593,6497,0.09425,0.10895
2017,Tenant,East,Yes,0.87743,1921,2099,0.86340,0.89146
2017,Tenant,East,No,0.10879,178,2099,0.09546,0.12211
2018,Owner,West,Yes,0.97225,5365,5500,0.96791,0.97659
2018,Owner,West,No,0.02722,135,5500,0.02292,0.03153
2018,Owner,East,Yes,0.95281,1203,1253,0.94106,0.96455
2018,Owner,East,No,0.04705,50,1253,0.03532,0.05878
2018,Tenant,West,Yes,0.90488,5996,6508,0.89775,0.91201
2018,Tenant,West,No,0.07821,512,6508,0.07168,0.08473
2018,Tenant,East,Yes,0.91415,2029,2172,0.90237,0.92594
2018,Tenant,East,No,0.07097,143,2172,0.06017,0.08177
2019,Owner,West,Yes,0.91591,4709,4821,0.90807,0.92374
2019,Owner,West,No,0.02527,112,4821,0.02083,0.02970
2019,Owner,East,Yes,0.88710,1075,1119,0.86855,0.90565
2019,Owner,East,No,0.04681,44,1119,0.03443,0.05919
2019,Tenant,West,Yes,0.77726,4578,4952,0.76567,0.78885
2019,Tenant,West,No,0.06660,374,4952,0.05966,0.07355
2019,Tenant,East,Yes,0.81732,1624,1726,0.79908,0.83555
2019,Tenant,East,No,0.06243,102,1726,0.05101,0.07385
2020,Owner,West,Yes,0.96761,5463,5607,0.96297,0.97224
2020,Owner,West,No,0.03171,144,5607,0.02712,0.03629
2020,Owner,East,Yes,0.96523,1323,1359,0.95548,0.97497
2020,Owner,East,No,0.03412,36,1359,0.02446,0.04377
2020,Tenant,West,Yes,0.88854,6375,7239,0.88129,0.89579
2020,Tenant,West,No,0.08796,864,7239,0.08144,0.09449
2020,Tenant,East,Yes,0.91018,1910,2076,0.89788,0.92248
2020,Tenant,East,No,0.07419,166,2076,0.06291,0.08546
2021,Owner,West,Yes,0.89432,3684,3782,0.88452,0.90412
2021,Owner,West,No,0.02475,98,3782,0.01979,0.02970
2021,Owner,East,Yes,0.90534,854,854,0.88569,0.92498
2021,Tenant,West,Yes,0.77628,3588,3990,0.76335,0.78922
2021,Tenant,West,No,0.07987,402,3990,0.07146,0.08828
2021,Tenant,East,Yes,0.81276,1216,1306,0.79160,0.83393
2021,Tenant,East,No,0.05621,90,1306,0.04372,0.06871
2022,Owner,West,Yes,0.96588,6116,6287,0.96139,0.97037
2022,Owner,West,No,0.03242,171,6287,0.02804,0.03680
2022,Owner,East,Yes,0.96877,1490,1546,0.96009,0.97744
2022,Owner,East,No,0.02980,56,1546,0.02132,0.03827
2022,Tenant,West,Yes,0.88605,7761,8683,0.87937,0.89274
2022,Tenant,West,No,0.08997,922,8683,0.08395,0.09599
2022,Tenant,East,Yes,0.90633,2408,2649,0.89523,0.91743
2022,Tenant,East,No,0.07643,241,2649,0.06631,0.08655
