,Unnamed: 0,year,bula_h,regtyp,hgeqpmglass,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Schleswig-Holstein,Urban regions,Yes,1.0,141,15473,0.84348,1.20469
1,1,2015,Schleswig-Holstein,Rural regions,Yes,1.0,370,15473,0.88239,1.09898
2,2,2015,Hamburg,Urban regions,Yes,1.0,264,15473,0.87166,1.10366
3,3,2015,Lower Saxony,Urban regions,Yes,0.93787,583,15473,0.86012,1.02231
4,4,2015,Lower Saxony,Urban regions,No,0.06213,40,15473,0.04191,0.08331
5,5,2015,Lower Saxony,Rural regions,Yes,0.94131,814,15473,0.87224,1.02322
6,6,2015,Lower Saxony,Rural regions,No,0.05869,52,15473,0.04319,0.07926
7,7,2015,Bremen,Urban regions,Yes,1.0,108,15473,0.79365,1.20133
8,8,2015,North Rhine-Westphalia,Urban regions,Yes,0.93109,2887,15473,0.8959,0.9708
9,9,2015,North Rhine-Westphalia,Urban regions,No,0.06891,251,15473,0.05843,0.07966
10,10,2015,North Rhine-Westphalia,Rural regions,Yes,1.0,50,15473,0.78612,1.30613
11,11,2015,Hesse,Urban regions,Yes,0.86387,812,15473,0.79338,0.93319
12,12,2015,Hesse,Urban regions,No,0.13613,95,15473,0.11155,0.15873
13,13,2015,Hesse,Rural regions,Yes,1.0,203,15473,0.83898,1.18594
14,14,2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.90912,613,15473,0.82824,0.98878
15,15,2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.09088,67,15473,0.07353,0.11045
16,16,2015,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,219,15473,0.8783,1.13276
17,17,2015,Baden-Wuerttemberg,Urban regions,Yes,0.86973,1415,15473,0.8242,0.91286
18,18,2015,Baden-Wuerttemberg,Urban regions,No,0.13027,217,15473,0.1136,0.14711
19,19,2015,Baden-Wuerttemberg,Rural regions,Yes,1.0,170,15473,0.85151,1.17356
20,20,2015,Bavaria,Urban regions,Yes,0.88375,1081,15473,0.82334,0.94155
21,21,2015,Bavaria,Urban regions,No,0.11625,140,15473,0.09447,0.13497
22,22,2015,Bavaria,Rural regions,Yes,0.88426,1199,15473,0.82385,0.94308
23,23,2015,Bavaria,Rural regions,No,0.11574,153,15473,0.09765,0.13749
24,24,2015,Berlin,Urban regions,Yes,0.78294,501,15473,0.71371,0.85542
25,25,2015,Berlin,Urban regions,No,0.21706,143,15473,0.18205,0.26018
26,26,2015,Brandenburg,Urban regions,Yes,1.0,39,15473,0.77933,1.26741
27,27,2015,Brandenburg,Rural regions,Yes,0.89093,503,15473,0.8138,0.98791
28,28,2015,Brandenburg,Rural regions,No,0.10907,51,15473,0.07974,0.14422
29,29,2015,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,38,15473,0.74309,1.29773
30,30,2015,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,275,15473,0.88227,1.11585
31,31,2015,Saxony,Urban regions,Yes,0.83889,441,15473,0.76662,0.91843
32,32,2015,Saxony,Urban regions,No,0.16111,59,15473,0.12239,0.20713
33,33,2015,Saxony,Rural regions,Yes,0.8533,348,15473,0.75766,0.96431
34,34,2015,Saxony,Rural regions,No,0.1467,60,15473,0.11061,0.19149
35,35,2015,Saxony-Anhalt,Urban regions,Yes,1.0,117,15473,0.8205,1.21727
36,36,2015,Saxony-Anhalt,Rural regions,Yes,0.89598,370,15473,0.80428,0.98912
37,37,2015,Saxony-Anhalt,Rural regions,No,0.10402,41,15473,0.07073,0.13673
38,38,2015,Thuringa,Urban regions,Yes,1.0,182,15473,0.82922,1.19604
39,39,2015,Thuringa,Rural regions,Yes,1.0,361,15473,0.89651,1.10329
40,40,2016,Schleswig-Holstein,Urban regions,Yes,1.0,130,14047,0.8484,1.17472
41,41,2016,Schleswig-Holstein,Rural regions,Yes,1.0,353,14047,0.88775,1.10318
42,42,2016,Hamburg,Urban regions,Yes,1.0,249,14047,0.88308,1.12338
43,43,2016,Lower Saxony,Urban regions,Yes,1.0,535,14047,0.90211,1.10868
44,44,2016,Lower Saxony,Rural regions,Yes,1.0,751,14047,0.91961,1.07985
45,45,2016,Bremen,Urban regions,Yes,1.0,96,14047,0.80763,1.19476
46,46,2016,North Rhine-Westphalia,Urban regions,Yes,0.94276,2673,14047,0.90275,0.98288
47,47,2016,North Rhine-Westphalia,Urban regions,No,0.05724,176,14047,0.04952,0.06744
48,48,2016,North Rhine-Westphalia,Rural regions,Yes,1.0,50,14047,0.76591,1.27045
49,49,2016,Hesse,Urban regions,Yes,0.91047,735,14047,0.83658,0.97965
50,50,2016,Hesse,Urban regions,No,0.08953,63,14047,0.06909,0.11191
51,51,2016,Hesse,Rural regions,Yes,1.0,173,14047,0.85576,1.17196
52,52,2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.93313,578,14047,0.86239,1.00231
53,53,2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.06687,46,14047,0.04637,0.08892
54,54,2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,1.0,203,14047,0.85276,1.13857
55,55,2016,Baden-Wuerttemberg,Urban regions,Yes,0.91228,1333,14047,0.85711,0.97245
56,56,2016,Baden-Wuerttemberg,Urban regions,No,0.08772,116,14047,0.07233,0.10299
57,57,2016,Baden-Wuerttemberg,Rural regions,Yes,1.0,163,14047,0.85849,1.15624
58,58,2016,Bavaria,Urban regions,Yes,0.89704,986,14047,0.83771,0.9624
59,59,2016,Bavaria,Urban regions,No,0.10296,100,14047,0.0839,0.12974
60,60,2016,Bavaria,Rural regions,Yes,0.92042,1111,14047,0.86224,0.98257
61,61,2016,Bavaria,Rural regions,No,0.07958,100,14047,0.0637,0.10123
62,62,2016,Berlin,Urban regions,Yes,0.85325,508,14047,0.78446,0.92587
63,63,2016,Berlin,Urban regions,No,0.14675,102,14047,0.12281,0.17563
64,64,2016,Brandenburg,Urban regions,Yes,1.0,39,14047,0.73041,1.34732
65,65,2016,Brandenburg,Rural regions,Yes,0.91831,483,14047,0.84003,1.00299
66,66,2016,Brandenburg,Rural regions,No,0.08169,33,14047,0.04579,0.11724
67,67,2016,Mecklenburg-Western Pomerania,Urban regions,Yes,1.0,40,14047,0.67829,1.22748
68,68,2016,Mecklenburg-Western Pomerania,Rural regions,Yes,1.0,267,14047,0.86777,1.13044
69,69,2016,Saxony,Urban regions,Yes,0.91228,425,14047,0.83181,1.00465
70,70,2016,Saxony,Urban regions,No,0.08772,40,14047,0.06611,0.11265
71,71,2016,Saxony,Rural regions,Yes,0.91633,360,14047,0.82881,1.01295
72,72,2016,Saxony,Rural regions,No,0.08367,39,14047,0.05511,0.11725
73,73,2016,Saxony-Anhalt,Urban regions,Yes,1.0,112,14047,0.80097,1.242
74,74,2016,Saxony-Anhalt,Rural regions,Yes,1.0,368,14047,0.90065,1.12458
75,75,2016,Thuringa,Urban regions,Yes,1.0,171,14047,0.81601,1.22224
76,76,2016,Thuringa,Rural regions,Yes,1.0,340,14047,0.89599,1.12291
77,77,2017,Schleswig-Holstein,Urban regions,Yes,1.0,168,15376,0.84165,1.1608
78,78,2017,Schleswig-Holstein,Rural regions,Yes,1.0,369,15376,0.89804,1.11919
