year,quintil_oecd_hh,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,West,Yes,0.83719,2249,2654,0.82314,0.85124
2015,1st Quintile,West,No,0.16281,405,2654,0.14876,0.17686
2015,1st Quintile,East,Yes,0.83094,745,875,0.80609,0.85579
2015,1st Quintile,East,No,0.16906,130,875,0.14421,0.19391
2015,2nd Quintile,West,Yes,0.87586,2149,2450,0.86280,0.88892
2015,2nd Quintile,West,No,0.12414,301,2450,0.11108,0.13720
2015,2nd Quintile,East,Yes,0.89429,816,914,0.87434,0.91423
2015,2nd Quintile,East,No,0.10571,98,914,0.08577,0.12566
2015,3rd Quintile,West,Yes,0.91755,2174,2367,0.90647,0.92863
2015,3rd Quintile,West,No,0.08245,193,2367,0.07137,0.09353
2015,3rd Quintile,East,Yes,0.88050,582,636,0.85527,0.90573
2015,3rd Quintile,East,No,0.11950,54,636,0.09427,0.14473
2015,4th Quintile,West,Yes,0.92679,2154,2328,0.91621,0.93737
2015,4th Quintile,West,No,0.07321,174,2328,0.06263,0.08379
2015,4th Quintile,East,Yes,0.88043,445,488,0.85161,0.90924
2015,4th Quintile,East,No,0.11957,43,488,0.09076,0.14839
2015,5th Quintile,West,Yes,0.93686,2457,2621,0.92754,0.94617
2015,5th Quintile,West,No,0.06314,164,2621,0.05383,0.07246
2015,5th Quintile,East,Yes,0.93914,328,328,0.91323,0.96505
2016,1st Quintile,West,Yes,0.86975,1995,2270,0.85590,0.88360
2016,1st Quintile,West,No,0.13025,275,2270,0.11640,0.14410
2016,1st Quintile,East,Yes,0.87719,723,819,0.85470,0.89968
2016,1st Quintile,East,No,0.12281,96,819,0.10032,0.14530
2016,2nd Quintile,West,Yes,0.90699,2052,2235,0.89494,0.91903
2016,2nd Quintile,West,No,0.09301,183,2235,0.08097,0.10506
2016,2nd Quintile,East,Yes,0.92417,733,798,0.90579,0.94255
2016,2nd Quintile,East,No,0.07583,65,798,0.05745,0.09421
2016,3rd Quintile,West,Yes,0.94732,1945,2068,0.93769,0.95695
2016,3rd Quintile,West,No,0.05268,123,2068,0.04305,0.06231
2016,3rd Quintile,East,Yes,0.92622,628,670,0.90641,0.94603
2016,3rd Quintile,East,No,0.07378,42,670,0.05397,0.09359
2016,4th Quintile,West,Yes,0.94573,2080,2203,0.93627,0.95519
2016,4th Quintile,West,No,0.05427,123,2203,0.04481,0.06373
2016,4th Quintile,East,Yes,0.95673,433,433,0.93754,0.97592
2016,5th Quintile,West,Yes,0.95811,2321,2428,0.95014,0.96608
2016,5th Quintile,West,No,0.04189,107,2428,0.03392,0.04986
2016,5th Quintile,East,Yes,0.98047,318,318,0.96523,0.99570
2017,1st Quintile,West,Yes,0.87213,2061,2318,0.85854,0.88573
2017,1st Quintile,West,No,0.12787,257,2318,0.11427,0.14146
2017,1st Quintile,East,Yes,0.89053,803,878,0.86987,0.91120
2017,1st Quintile,East,No,0.10947,75,878,0.08880,0.13013
2017,2nd Quintile,West,Yes,0.92153,2174,2332,0.91061,0.93245
2017,2nd Quintile,West,No,0.07847,158,2332,0.06755,0.08939
2017,2nd Quintile,East,Yes,0.91102,836,902,0.89242,0.92961
2017,2nd Quintile,East,No,0.08898,66,902,0.07039,0.10758
2017,3rd Quintile,West,Yes,0.93392,2224,2363,0.92390,0.94394
2017,3rd Quintile,West,No,0.06608,139,2363,0.05606,0.07610
2017,3rd Quintile,East,Yes,0.94776,687,723,0.93153,0.96399
2017,3rd Quintile,East,No,0.05224,36,723,0.03601,0.06847
2017,4th Quintile,West,Yes,0.95140,2401,2515,0.94300,0.95981
2017,4th Quintile,West,No,0.04860,114,2515,0.04019,0.05700
2017,4th Quintile,East,Yes,0.89871,498,529,0.87298,0.92445
2017,4th Quintile,East,No,0.10129,31,529,0.07555,0.12702
2017,5th Quintile,West,Yes,0.96653,2628,2712,0.95976,0.97330
2017,5th Quintile,West,No,0.03347,84,2712,0.02670,0.04024
2017,5th Quintile,East,Yes,0.95423,362,362,0.93267,0.97579
2018,1st Quintile,West,Yes,0.89963,2143,2360,0.88750,0.91175
2018,1st Quintile,West,No,0.10037,217,2360,0.08825,0.11250
2018,1st Quintile,East,Yes,0.89768,863,941,0.87830,0.91705
2018,1st Quintile,East,No,0.10232,78,941,0.08295,0.12170
2018,2nd Quintile,West,Yes,0.93308,2187,2349,0.92297,0.94319
2018,2nd Quintile,West,No,0.06692,162,2349,0.05681,0.07703
2018,2nd Quintile,East,Yes,0.94563,887,944,0.93116,0.96010
2018,2nd Quintile,East,No,0.05437,57,944,0.03990,0.06884
2018,3rd Quintile,West,Yes,0.94564,2160,2262,0.93629,0.95498
2018,3rd Quintile,West,No,0.05436,102,2262,0.04502,0.06371
2018,3rd Quintile,East,Yes,0.95177,650,650,0.93529,0.96826
2018,4th Quintile,West,Yes,0.97217,2301,2383,0.96556,0.97877
2018,4th Quintile,West,No,0.02783,82,2383,0.02123,0.03444
2018,4th Quintile,East,Yes,0.95930,480,480,0.94161,0.97700
2018,5th Quintile,West,Yes,0.96906,2565,2649,0.96246,0.97566
2018,5th Quintile,West,No,0.03094,84,2649,0.02434,0.03754
2018,5th Quintile,East,Yes,0.96236,352,352,0.94245,0.98227
2019,1st Quintile,West,Yes,0.89960,1565,1711,0.88535,0.91384
2019,1st Quintile,West,No,0.10040,146,1711,0.08616,0.11465
2019,1st Quintile,East,Yes,0.91151,656,710,0.89060,0.93241
2019,1st Quintile,East,No,0.08849,54,710,0.06759,0.10940
2019,2nd Quintile,West,Yes,0.94687,1787,1888,0.93675,0.95699
2019,2nd Quintile,West,No,0.05313,101,1888,0.04301,0.06325
2019,2nd Quintile,East,Yes,0.95262,698,698,0.93685,0.96839
2019,3rd Quintile,West,Yes,0.94812,1806,1899,0.93814,0.95810
2019,3rd Quintile,West,No,0.05188,93,1899,0.04190,0.06186
2019,3rd Quintile,East,Yes,0.93686,587,587,0.91716,0.95655
2019,4th Quintile,West,Yes,0.96356,1943,2018,0.95538,0.97173
2019,4th Quintile,West,No,0.03644,75,2018,0.02827,0.04462
2019,4th Quintile,East,Yes,0.93435,423,423,0.91072,0.95798
2019,5th Quintile,West,Yes,0.97056,2186,2256,0.96358,0.97754
2019,5th Quintile,West,No,0.02944,70,2256,0.02246,0.03642
2019,5th Quintile,East,Yes,0.96958,333,333,0.95111,0.98806
2020,1st Quintile,West,Yes,0.88919,2234,2615,0.87715,0.90122
2020,1st Quintile,West,No,0.11081,381,2615,0.09878,0.12285
2020,1st Quintile,East,Yes,0.90447,732,814,0.88426,0.92467
2020,1st Quintile,East,No,0.09553,82,814,0.07533,0.11574
2020,2nd Quintile,West,Yes,0.93903,2230,2470,0.92959,0.94846
2020,2nd Quintile,West,No,0.06097,240,2470,0.05154,0.07041
2020,2nd Quintile,East,Yes,0.93925,815,860,0.92327,0.95522
2020,2nd Quintile,East,No,0.06075,45,860,0.04478,0.07673
2020,3rd Quintile,West,Yes,0.93881,2066,2223,0.92884,0.94878
2020,3rd Quintile,West,No,0.06119,157,2223,0.05122,0.07116
2020,3rd Quintile,East,Yes,0.96623,624,658,0.95242,0.98004
2020,3rd Quintile,East,No,0.03377,34,658,0.01996,0.04758
2020,4th Quintile,West,Yes,0.95173,2231,2343,0.94305,0.96041
2020,4th Quintile,West,No,0.04827,112,2343,0.03959,0.05695
2020,4th Quintile,East,Yes,0.94331,494,494,0.92290,0.96373
2020,5th Quintile,West,Yes,0.96537,3062,3170,0.95900,0.97173
2020,5th Quintile,West,No,0.03463,108,3170,0.02827,0.04100
2020,5th Quintile,East,Yes,0.97012,566,566,0.95609,0.98416
2021,1st Quintile,West,Yes,0.87976,1138,1294,0.86203,0.89749
2021,1st Quintile,West,No,0.12024,156,1294,0.10251,0.13797
2021,1st Quintile,East,Yes,0.94658,441,478,0.92639,0.96676
2021,1st Quintile,East,No,0.05342,37,478,0.03324,0.07361
2021,2nd Quintile,West,Yes,0.93306,1336,1456,0.92022,0.94590
2021,2nd Quintile,West,No,0.06694,120,1456,0.05410,0.07978
2021,2nd Quintile,East,Yes,0.96284,500,500,0.94624,0.97943
