year,quintil_oecd_hh,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Yes,0.83563,2994,3529,0.82341,0.84786
2015,1st Quintile,No,0.16437,535,3529,0.15214,0.17659
2015,2nd Quintile,Yes,0.88042,2965,3364,0.86946,0.89139
2015,2nd Quintile,No,0.11958,399,3364,0.10861,0.13054
2015,3rd Quintile,Yes,0.91069,2756,3003,0.90048,0.92089
2015,3rd Quintile,No,0.08931,247,3003,0.07911,0.09952
2015,4th Quintile,Yes,0.92023,2599,2816,0.91022,0.93024
2015,4th Quintile,No,0.07977,217,2816,0.06976,0.08978
2015,5th Quintile,Yes,0.93705,2785,2966,0.92830,0.94579
2015,5th Quintile,No,0.06295,181,2966,0.05421,0.07170
2016,1st Quintile,Yes,0.87159,2718,3089,0.85979,0.88339
2016,1st Quintile,No,0.12841,371,3089,0.11661,0.14021
2016,2nd Quintile,Yes,0.91087,2785,3033,0.90073,0.92102
2016,2nd Quintile,No,0.08913,248,3033,0.07898,0.09927
2016,3rd Quintile,Yes,0.94294,2573,2738,0.93425,0.95163
2016,3rd Quintile,No,0.05706,165,2738,0.04837,0.06575
2016,4th Quintile,Yes,0.94721,2513,2660,0.93871,0.95571
2016,4th Quintile,No,0.05279,147,2660,0.04429,0.06129
2016,5th Quintile,Yes,0.96001,2639,2754,0.95269,0.96733
2016,5th Quintile,No,0.03999,115,2754,0.03267,0.04731
2017,1st Quintile,Yes,0.87662,2864,3196,0.86522,0.88802
2017,1st Quintile,No,0.12338,332,3196,0.11198,0.13478
2017,2nd Quintile,Yes,0.91907,3010,3234,0.90967,0.92848
2017,2nd Quintile,No,0.08093,224,3234,0.07152,0.09033
2017,3rd Quintile,Yes,0.93664,2911,3086,0.92804,0.94523
2017,3rd Quintile,No,0.06336,175,3086,0.05477,0.07196
2017,4th Quintile,Yes,0.94481,2899,3044,0.93669,0.95292
2017,4th Quintile,No,0.05519,145,3044,0.04708,0.06331
2017,5th Quintile,Yes,0.96546,2990,3092,0.95902,0.97190
2017,5th Quintile,No,0.03454,102,3092,0.02810,0.04098
2018,1st Quintile,Yes,0.89913,3006,3301,0.88886,0.90941
2018,1st Quintile,No,0.10087,295,3301,0.09059,0.11114
2018,2nd Quintile,Yes,0.93598,3074,3293,0.92762,0.94434
2018,2nd Quintile,No,0.06402,219,3293,0.05566,0.07238
2018,3rd Quintile,Yes,0.94678,2810,2941,0.93867,0.95490
2018,3rd Quintile,No,0.05322,131,2941,0.04510,0.06133
2018,4th Quintile,Yes,0.97046,2781,2881,0.96427,0.97664
2018,4th Quintile,No,0.02954,100,2881,0.02336,0.03573
2018,5th Quintile,Yes,0.96851,2917,3012,0.96228,0.97475
2018,5th Quintile,No,0.03149,95,3012,0.02525,0.03772
2019,1st Quintile,Yes,0.90253,2221,2421,0.89072,0.91435
2019,1st Quintile,No,0.09747,200,2421,0.08565,0.10928
2019,2nd Quintile,Yes,0.94814,2485,2616,0.93964,0.95664
2019,2nd Quintile,No,0.05186,131,2616,0.04336,0.06036
2019,3rd Quintile,Yes,0.94595,2393,2513,0.93711,0.95479
2019,3rd Quintile,No,0.05405,120,2513,0.04521,0.06289
2019,4th Quintile,Yes,0.95935,2366,2467,0.95155,0.96714
2019,4th Quintile,No,0.04065,101,2467,0.03286,0.04845
2019,5th Quintile,Yes,0.97047,2519,2598,0.96396,0.97698
2019,5th Quintile,No,0.02953,79,2598,0.02302,0.03604
2020,1st Quintile,Yes,0.89282,2966,3429,0.88247,0.90318
2020,1st Quintile,No,0.10718,463,3429,0.09682,0.11753
2020,2nd Quintile,Yes,0.93908,3045,3330,0.93095,0.94720
2020,2nd Quintile,No,0.06092,285,3330,0.05280,0.06905
2020,3rd Quintile,Yes,0.94419,2690,2881,0.93580,0.95257
2020,3rd Quintile,No,0.05581,191,2881,0.04743,0.06420
2020,4th Quintile,Yes,0.95057,2725,2862,0.94263,0.95852
2020,4th Quintile,No,0.04943,137,2862,0.04148,0.05737
2020,5th Quintile,Yes,0.96582,3628,3752,0.96000,0.97163
2020,5th Quintile,No,0.03418,124,3752,0.02837,0.04000
2021,1st Quintile,Yes,0.89507,1579,1772,0.88080,0.90934
2021,1st Quintile,No,0.10493,193,1772,0.09066,0.11920
2021,2nd Quintile,Yes,0.93935,1836,1980,0.92884,0.94987
2021,2nd Quintile,No,0.06065,144,1980,0.05013,0.07116
2021,3rd Quintile,Yes,0.94018,1741,1848,0.92936,0.95099
2021,3rd Quintile,No,0.05982,107,1848,0.04901,0.07064
2021,4th Quintile,Yes,0.96402,1814,1902,0.95565,0.97239
2021,4th Quintile,No,0.03598,88,1902,0.02761,0.04435
2021,5th Quintile,Yes,0.96783,2360,2437,0.96083,0.97484
2021,5th Quintile,No,0.03217,77,2437,0.02516,0.03917
2022,Not included in this version of the questionnaire,Yes,0.85183,169,169,0.79811,0.90555
2022,1st Quintile,Yes,0.88440,3956,4492,0.87505,0.89375
