year,age_gr,migback,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,No migration background,Very concerned,0.34143,717,2117,0.32123,0.36164
1999,17-29 y.,No migration background,Somewhat concerned,0.44746,971,2117,0.42628,0.46865
1999,17-29 y.,No migration background,Not concerned at all,0.20704,429,2117,0.18977,0.22430
1999,17-29 y.,Direct migration background,Very concerned,0.18680,69,368,0.14693,0.22668
1999,17-29 y.,Direct migration background,Somewhat concerned,0.47942,174,368,0.42831,0.53053
1999,17-29 y.,Direct migration background,Not concerned at all,0.33378,125,368,0.28553,0.38202
1999,17-29 y.,Indirect migration background,Very concerned,0.25346,111,477,0.21438,0.29254
1999,17-29 y.,Indirect migration background,Somewhat concerned,0.44745,219,477,0.40278,0.49212
1999,17-29 y.,Indirect migration background,Not concerned at all,0.28576,147,477,0.24517,0.32635
1999,30-45 y.,No migration background,Very concerned,0.33283,1333,3864,0.31797,0.34769
1999,30-45 y.,No migration background,Somewhat concerned,0.46378,1815,3864,0.44805,0.47950
1999,30-45 y.,No migration background,Not concerned at all,0.20092,716,3864,0.18829,0.21356
1999,30-45 y.,Direct migration background,Very concerned,0.19921,148,738,0.17038,0.22805
1999,30-45 y.,Direct migration background,Somewhat concerned,0.48252,369,738,0.44645,0.51860
1999,30-45 y.,Direct migration background,Not concerned at all,0.31187,221,738,0.27843,0.34532
1999,30-45 y.,Indirect migration background,Somewhat concerned,0.44553,52,52,0.30912,0.58194
1999,46-65 y.,No migration background,Very concerned,0.40916,1359,3307,0.39240,0.42592
1999,46-65 y.,No migration background,Somewhat concerned,0.44658,1492,3307,0.42964,0.46353
1999,46-65 y.,No migration background,Not concerned at all,0.13745,456,3307,0.12571,0.14918
1999,46-65 y.,Direct migration background,Very concerned,0.27250,227,845,0.24246,0.30254
1999,46-65 y.,Direct migration background,Somewhat concerned,0.42292,372,845,0.38959,0.45625
