year,migback,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Very concerned,0.31711,4034,10818,0.30834,0.32588
1999,No migration background,Somewhat concerned,0.38042,4982,10818,0.37127,0.38957
1999,No migration background,Not concerned at all,0.13898,1802,10818,0.13246,0.14549
1999,Direct migration background,Very concerned,0.24451,524,2198,0.22654,0.26248
1999,Direct migration background,Somewhat concerned,0.42619,1025,2198,0.40551,0.44687
1999,Direct migration background,Not concerned at all,0.27273,649,2198,0.25411,0.29135
1999,Indirect migration background,Very concerned,0.10476,143,600,0.08023,0.12928
1999,Indirect migration background,Somewhat concerned,0.17499,282,600,0.14456,0.20542
1999,Indirect migration background,Not concerned at all,0.11252,175,600,0.08721,0.13782
2000,No migration background,Very concerned,0.26760,6320,19768,0.26143,0.27377
2000,No migration background,Somewhat concerned,0.37965,9098,19768,0.37289,0.38642
2000,No migration background,Not concerned at all,0.18735,4350,19768,0.18191,0.19279
2000,Direct migration background,Very concerned,0.16181,571,3249,0.14915,0.17448
2000,Direct migration background,Somewhat concerned,0.39029,1453,3249,0.37351,0.40706
2000,Direct migration background,Not concerned at all,0.34731,1225,3249,0.33093,0.36368
2000,Indirect migration background,Very concerned,0.07400,139,803,0.05589,0.09212
2000,Indirect migration background,Somewhat concerned,0.16962,371,803,0.14364,0.19559
2000,Indirect migration background,Not concerned at all,0.13829,293,803,0.11439,0.16218
2001,No migration background,Very concerned,0.21810,4727,18063,0.21208,0.22412
2001,No migration background,Somewhat concerned,0.40259,8645,18063,0.39543,0.40974
2001,No migration background,Not concerned at all,0.21819,4691,18063,0.21217,0.22422
2001,Direct migration background,Very concerned,0.14416,462,2875,0.13131,0.15700
2001,Direct migration background,Somewhat concerned,0.40761,1316,2875,0.38965,0.42558
2001,Direct migration background,Not concerned at all,0.36781,1097,2875,0.35018,0.38544
2001,Indirect migration background,Very concerned,0.06430,130,755,0.04679,0.08180
2001,Indirect migration background,Somewhat concerned,0.16136,332,755,0.13510,0.18762
2001,Indirect migration background,Not concerned at all,0.14379,293,755,0.11875,0.16884
2002,No migration background,Very concerned,0.25782,5526,19315,0.25165,0.26399
2002,No migration background,Somewhat concerned,0.39827,9162,19315,0.39137,0.40518
2002,No migration background,Not concerned at all,0.18593,4627,19315,0.18044,0.19141
2002,Direct migration background,Very concerned,0.17699,500,2755,0.16274,0.19125
2002,Direct migration background,Somewhat concerned,0.43596,1333,2755,0.41744,0.45448
2002,Direct migration background,Not concerned at all,0.31598,922,2755,0.29861,0.33334
