year,bula_h,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,Very concerned,0.21369,71,320,0.16870,0.25867
1999,Schleswig-Holstein,Somewhat concerned,0.38788,157,320,0.33441,0.44135
1999,Schleswig-Holstein,Not concerned at all,0.18856,92,320,0.14563,0.23148
1999,Hamburg,Very concerned,0.34879,46,138,0.26898,0.42859
1999,Hamburg,Somewhat concerned,0.29396,50,138,0.21767,0.37025
1999,Hamburg,Not concerned at all,0.22370,42,138,0.15392,0.29348
1999,Lower Saxony,Very concerned,0.31101,403,1160,0.28436,0.33766
1999,Lower Saxony,Somewhat concerned,0.36382,539,1160,0.33612,0.39151
1999,Lower Saxony,Not concerned at all,0.13834,218,1160,0.11846,0.15822
1999,Bremen,Very concerned,0.41657,35,68,0.29852,0.53462
1999,Bremen,Somewhat concerned,0.32137,33,68,0.20954,0.43319
1999,North Rhine-Westphalia,Very concerned,0.29780,939,2688,0.28051,0.31509
1999,North Rhine-Westphalia,Somewhat concerned,0.35908,1204,2688,0.34094,0.37722
1999,North Rhine-Westphalia,Not concerned at all,0.16346,545,2688,0.14948,0.17744
1999,Hesse,Very concerned,0.28084,272,887,0.25125,0.31044
1999,Hesse,Somewhat concerned,0.37767,421,887,0.34574,0.40959
1999,Hesse,Not concerned at all,0.15928,194,887,0.13518,0.18337
1999,"Rhineland-Palatinate, Saarland",Very concerned,0.24408,218,768,0.21368,0.27448
1999,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.43139,398,768,0.39634,0.46644
1999,"Rhineland-Palatinate, Saarland",Not concerned at all,0.14691,152,768,0.12186,0.17196
1999,Baden-Wuerttemberg,Very concerned,0.28223,539,1722,0.26097,0.30350
1999,Baden-Wuerttemberg,Somewhat concerned,0.37143,824,1722,0.34860,0.39426
1999,Baden-Wuerttemberg,Not concerned at all,0.15490,359,1722,0.13781,0.17200
1999,Bavaria,Very concerned,0.29531,623,1783,0.27413,0.31649
1999,Bavaria,Somewhat concerned,0.37479,801,1783,0.35231,0.39727
1999,Bavaria,Not concerned at all,0.15209,359,1783,0.13542,0.16876
1999,Berlin,Very concerned,0.32406,207,513,0.28352,0.36460
1999,Berlin,Somewhat concerned,0.32071,194,513,0.28028,0.36114
1999,Berlin,Not concerned at all,0.17525,112,513,0.14232,0.20818
1999,Brandenburg,Very concerned,0.30158,221,596,0.26471,0.33846
1999,Brandenburg,Somewhat concerned,0.42683,293,596,0.38708,0.46657
1999,Brandenburg,Not concerned at all,0.11216,82,596,0.08680,0.13751
1999,Mecklenburg-Western Pomerania,Very concerned,0.26348,120,400,0.22025,0.30670
1999,Mecklenburg-Western Pomerania,Somewhat concerned,0.46673,226,400,0.41777,0.51568
1999,Mecklenburg-Western Pomerania,Not concerned at all,0.10686,54,400,0.07655,0.13717
1999,Saxony,Very concerned,0.34788,478,1149,0.32033,0.37544
1999,Saxony,Somewhat concerned,0.37062,497,1149,0.34268,0.39856
1999,Saxony,Not concerned at all,0.12706,174,1149,0.10779,0.14632
1999,Saxony-Anhalt,Very concerned,0.37501,272,688,0.33881,0.41121
1999,Saxony-Anhalt,Somewhat concerned,0.37437,315,688,0.33818,0.41056
1999,Saxony-Anhalt,Not concerned at all,0.12974,101,688,0.10461,0.15487
1999,Thuringa,Very concerned,0.28982,257,718,0.25661,0.32303
1999,Thuringa,Somewhat concerned,0.37628,337,718,0.34082,0.41174
1999,Thuringa,Not concerned at all,0.15174,124,718,0.12548,0.17800
2000,Schleswig-Holstein,Very concerned,0.17762,132,698,0.14924,0.20599
2000,Schleswig-Holstein,Somewhat concerned,0.38059,322,698,0.34454,0.41664
2000,Schleswig-Holstein,Not concerned at all,0.25958,244,698,0.22703,0.29212
2000,Hamburg,Very concerned,0.30396,97,294,0.25129,0.35663
2000,Hamburg,Somewhat concerned,0.29638,106,294,0.24409,0.34867
2000,Hamburg,Not concerned at all,0.24493,91,294,0.19569,0.29418
2000,Lower Saxony,Very concerned,0.23338,569,1999,0.21483,0.25192
2000,Lower Saxony,Somewhat concerned,0.38594,969,1999,0.36460,0.40729
2000,Lower Saxony,Not concerned at all,0.17875,461,1999,0.16195,0.19556
2000,Bremen,Very concerned,0.23920,49,187,0.17789,0.30051
2000,Bremen,Somewhat concerned,0.39648,83,187,0.32618,0.46678
2000,Bremen,Not concerned at all,0.22147,55,187,0.16180,0.28115
2000,North Rhine-Westphalia,Very concerned,0.25149,1527,5085,0.23956,0.26341
2000,North Rhine-Westphalia,Somewhat concerned,0.35920,2296,5085,0.34602,0.37239
2000,North Rhine-Westphalia,Not concerned at all,0.21075,1262,5085,0.19954,0.22196
2000,Hesse,Very concerned,0.26121,534,1648,0.23999,0.28243
2000,Hesse,Somewhat concerned,0.34487,690,1648,0.32192,0.36783
2000,Hesse,Not concerned at all,0.20150,424,1648,0.18213,0.22087
2000,"Rhineland-Palatinate, Saarland",Very concerned,0.21514,375,1444,0.19394,0.23635
2000,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.37479,699,1444,0.34981,0.39976
