year,age_gr,bula_h,plj0046,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Lower Saxony,Very concerned,0.28598,74,258,0.23073,0.34123
1999,17-29 y.,Lower Saxony,Somewhat concerned,0.43364,112,258,0.37305,0.49423
1999,17-29 y.,Lower Saxony,Not concerned at all,0.26831,72,258,0.21414,0.32248
1999,17-29 y.,North Rhine-Westphalia,Very concerned,0.28985,169,587,0.25312,0.32658
1999,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.47383,279,587,0.43340,0.51426
1999,17-29 y.,North Rhine-Westphalia,Not concerned at all,0.23251,139,587,0.19831,0.26671
1999,17-29 y.,Hesse,Very concerned,0.29242,31,177,0.22522,0.35963
1999,17-29 y.,Hesse,Somewhat concerned,0.50389,97,177,0.43002,0.57776
1999,17-29 y.,Hesse,Not concerned at all,0.19705,49,177,0.13828,0.25581
1999,17-29 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.28181,36,142,0.20756,0.35607
1999,17-29 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.41742,62,142,0.33602,0.49882
1999,17-29 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.30077,44,142,0.22507,0.37646
1999,17-29 y.,Baden-Wuerttemberg,Very concerned,0.32998,122,414,0.28463,0.37533
1999,17-29 y.,Baden-Wuerttemberg,Somewhat concerned,0.39188,180,414,0.34480,0.43896
1999,17-29 y.,Baden-Wuerttemberg,Not concerned at all,0.27514,112,414,0.23207,0.31821
1999,17-29 y.,Bavaria,Very concerned,0.31173,119,374,0.26472,0.35873
1999,17-29 y.,Bavaria,Somewhat concerned,0.48913,173,374,0.43840,0.53986
1999,17-29 y.,Bavaria,Not concerned at all,0.19002,82,374,0.15020,0.22983
1999,17-29 y.,Berlin,Very concerned,0.36893,41,109,0.27792,0.45993
1999,17-29 y.,Berlin,Somewhat concerned,0.30705,33,109,0.22005,0.39405
1999,17-29 y.,Berlin,Not concerned at all,0.32402,35,109,0.23576,0.41229
1999,17-29 y.,Brandenburg,Very concerned,0.26221,42,117,0.18216,0.34225
1999,17-29 y.,Brandenburg,Somewhat concerned,0.60141,75,117,0.51231,0.69050
1999,17-29 y.,Mecklenburg-Western Pomerania,Somewhat concerned,0.55762,52,52,0.42130,0.69393
1999,17-29 y.,Saxony,Very concerned,0.39121,99,247,0.33022,0.45220
1999,17-29 y.,Saxony,Somewhat concerned,0.44363,107,247,0.38154,0.50571
1999,17-29 y.,Saxony,Not concerned at all,0.16516,41,247,0.11876,0.21157
1999,17-29 y.,Saxony-Anhalt,Very concerned,0.40416,53,130,0.31947,0.48884
1999,17-29 y.,Saxony-Anhalt,Somewhat concerned,0.43342,77,130,0.34791,0.51894
1999,17-29 y.,Thuringa,Very concerned,0.43443,60,131,0.34922,0.51964
1999,17-29 y.,Thuringa,Somewhat concerned,0.40270,71,131,0.31839,0.48700
1999,30-45 y.,Schleswig-Holstein,Somewhat concerned,0.52617,66,100,0.42781,0.62453
1999,30-45 y.,Schleswig-Holstein,Not concerned at all,0.20569,34,100,0.12607,0.28532
1999,30-45 y.,Lower Saxony,Very concerned,0.35934,133,417,0.31323,0.40545
1999,30-45 y.,Lower Saxony,Somewhat concerned,0.43715,199,417,0.38948,0.48482
1999,30-45 y.,Lower Saxony,Not concerned at all,0.20079,85,417,0.16229,0.23928
1999,30-45 y.,North Rhine-Westphalia,Very concerned,0.29224,276,935,0.26307,0.32141
1999,30-45 y.,North Rhine-Westphalia,Somewhat concerned,0.45375,439,935,0.42182,0.48568
1999,30-45 y.,North Rhine-Westphalia,Not concerned at all,0.25010,220,935,0.22232,0.27787
1999,30-45 y.,Hesse,Very concerned,0.27294,84,295,0.22202,0.32386
1999,30-45 y.,Hesse,Somewhat concerned,0.46873,146,295,0.41169,0.52577
1999,30-45 y.,Hesse,Not concerned at all,0.25833,65,295,0.20830,0.30837
1999,30-45 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.28576,85,294,0.23403,0.33749
1999,30-45 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.47981,148,294,0.42261,0.53702
1999,30-45 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.22233,61,294,0.17472,0.26995
1999,30-45 y.,Baden-Wuerttemberg,Very concerned,0.31997,177,627,0.28343,0.35651
1999,30-45 y.,Baden-Wuerttemberg,Somewhat concerned,0.48545,323,627,0.44630,0.52460
1999,30-45 y.,Baden-Wuerttemberg,Not concerned at all,0.19444,127,627,0.16343,0.22544
1999,30-45 y.,Bavaria,Very concerned,0.29232,209,638,0.25699,0.32764
1999,30-45 y.,Bavaria,Somewhat concerned,0.47668,288,638,0.43789,0.51547
1999,30-45 y.,Bavaria,Not concerned at all,0.22927,141,638,0.19663,0.26191
1999,30-45 y.,Berlin,Very concerned,0.31713,60,177,0.24838,0.38588
1999,30-45 y.,Berlin,Somewhat concerned,0.45792,81,177,0.38431,0.53152
1999,30-45 y.,Berlin,Not concerned at all,0.22496,36,177,0.16327,0.28665
1999,30-45 y.,Brandenburg,Very concerned,0.36454,69,151,0.28751,0.44156
1999,30-45 y.,Brandenburg,Somewhat concerned,0.48811,82,151,0.40811,0.56810
1999,30-45 y.,Mecklenburg-Western Pomerania,Very concerned,0.31700,42,112,0.23043,0.40356
1999,30-45 y.,Mecklenburg-Western Pomerania,Somewhat concerned,0.54481,70,112,0.45217,0.63745
1999,30-45 y.,Saxony,Very concerned,0.41388,158,381,0.36436,0.46340
1999,30-45 y.,Saxony,Somewhat concerned,0.43734,164,381,0.38746,0.48721
1999,30-45 y.,Saxony,Not concerned at all,0.14734,59,381,0.11170,0.18298
1999,30-45 y.,Saxony-Anhalt,Very concerned,0.41068,83,177,0.33800,0.48336
1999,30-45 y.,Saxony-Anhalt,Somewhat concerned,0.45318,94,177,0.37963,0.52673
1999,30-45 y.,Thuringa,Very concerned,0.35385,88,241,0.29336,0.41435
1999,30-45 y.,Thuringa,Somewhat concerned,0.44965,111,241,0.38671,0.51258
1999,30-45 y.,Thuringa,Not concerned at all,0.19650,42,241,0.14623,0.24677
1999,46-65 y.,Schleswig-Holstein,Somewhat concerned,0.47275,48,48,0.33001,0.61548
1999,46-65 y.,Lower Saxony,Very concerned,0.38877,130,341,0.33695,0.44058
1999,46-65 y.,Lower Saxony,Somewhat concerned,0.47397,164,341,0.42090,0.52705
1999,46-65 y.,Lower Saxony,Not concerned at all,0.13233,47,341,0.09631,0.16835
1999,46-65 y.,North Rhine-Westphalia,Very concerned,0.41559,349,843,0.38230,0.44888
1999,46-65 y.,North Rhine-Westphalia,Somewhat concerned,0.42148,355,843,0.38813,0.45483
1999,46-65 y.,North Rhine-Westphalia,Not concerned at all,0.16152,139,843,0.13666,0.18637
1999,46-65 y.,Hesse,Very concerned,0.40828,113,292,0.35180,0.46475
1999,46-65 y.,Hesse,Somewhat concerned,0.39708,116,292,0.34086,0.45330
1999,46-65 y.,Hesse,Not concerned at all,0.17900,63,292,0.13496,0.22305
1999,46-65 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.32087,60,208,0.25728,0.38446
1999,46-65 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.55220,115,208,0.48446,0.61995
1999,46-65 y.,"Rhineland-Palatinate, Saarland",Not concerned at all,0.12693,33,208,0.08158,0.17227
1999,46-65 y.,Baden-Wuerttemberg,Very concerned,0.37898,167,473,0.33521,0.42275
1999,46-65 y.,Baden-Wuerttemberg,Somewhat concerned,0.44483,220,473,0.40000,0.48966
1999,46-65 y.,Baden-Wuerttemberg,Not concerned at all,0.17332,86,473,0.13917,0.20747
1999,46-65 y.,Bavaria,Very concerned,0.34227,177,506,0.30089,0.38366
1999,46-65 y.,Bavaria,Somewhat concerned,0.45173,223,506,0.40832,0.49514
1999,46-65 y.,Bavaria,Not concerned at all,0.19409,106,506,0.15960,0.22859
1999,46-65 y.,Berlin,Very concerned,0.46148,78,160,0.38399,0.53897
1999,46-65 y.,Berlin,Somewhat concerned,0.32992,51,160,0.25684,0.40300
1999,46-65 y.,Berlin,Not concerned at all,0.19292,31,160,0.13159,0.25426
1999,46-65 y.,Brandenburg,Very concerned,0.38653,77,181,0.31539,0.45767
1999,46-65 y.,Brandenburg,Somewhat concerned,0.49804,104,181,0.42499,0.57108
1999,46-65 y.,Mecklenburg-Western Pomerania,Very concerned,0.33731,38,121,0.25271,0.42190
1999,46-65 y.,Mecklenburg-Western Pomerania,Somewhat concerned,0.59214,83,121,0.50421,0.68007
1999,46-65 y.,Saxony,Very concerned,0.43876,165,370,0.38813,0.48939
1999,46-65 y.,Saxony,Somewhat concerned,0.43006,158,370,0.37954,0.48057
1999,46-65 y.,Saxony,Not concerned at all,0.13012,47,370,0.09579,0.16445
1999,46-65 y.,Saxony-Anhalt,Very concerned,0.44061,102,243,0.37806,0.50316
1999,46-65 y.,Saxony-Anhalt,Somewhat concerned,0.42983,109,243,0.36746,0.49220
1999,46-65 y.,Saxony-Anhalt,Not concerned at all,0.12697,32,243,0.08502,0.16892
1999,46-65 y.,Thuringa,Very concerned,0.35391,82,226,0.29143,0.41639
1999,46-65 y.,Thuringa,Somewhat concerned,0.46895,104,226,0.40374,0.53415
1999,46-65 y.,Thuringa,Not concerned at all,0.17193,40,226,0.12263,0.22123
1999,66 and older,Lower Saxony,Very concerned,0.49406,66,130,0.40778,0.58034
1999,66 and older,Lower Saxony,Somewhat concerned,0.41597,64,130,0.33091,0.50102
1999,66 and older,North Rhine-Westphalia,Very concerned,0.44613,145,323,0.39183,0.50042
1999,66 and older,North Rhine-Westphalia,Somewhat concerned,0.39623,131,323,0.34280,0.44965
1999,66 and older,North Rhine-Westphalia,Not concerned at all,0.14695,47,323,0.10828,0.18562
1999,66 and older,Hesse,Very concerned,0.33770,44,106,0.24724,0.42816
1999,66 and older,Hesse,Somewhat concerned,0.48871,62,106,0.39310,0.58433
1999,66 and older,"Rhineland-Palatinate, Saarland",Very concerned,0.28455,37,110,0.19984,0.36925
1999,66 and older,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.61501,73,110,0.52366,0.70636
1999,66 and older,Baden-Wuerttemberg,Very concerned,0.36584,73,208,0.30022,0.43146
1999,66 and older,Baden-Wuerttemberg,Somewhat concerned,0.49683,101,208,0.42871,0.56494
1999,66 and older,Baden-Wuerttemberg,Not concerned at all,0.12587,34,208,0.08069,0.17106
1999,66 and older,Bavaria,Very concerned,0.49323,118,235,0.42917,0.55729
1999,66 and older,Bavaria,Somewhat concerned,0.38695,117,235,0.32455,0.44936
1999,66 and older,Brandenburg,Very concerned,0.40716,33,65,0.28679,0.52752
1999,66 and older,Brandenburg,Somewhat concerned,0.44805,32,65,0.32622,0.56989
1999,66 and older,Saxony,Very concerned,0.37975,56,124,0.29398,0.46551
1999,66 and older,Saxony,Somewhat concerned,0.44674,68,124,0.35888,0.53460
1999,66 and older,Saxony-Anhalt,Very concerned,0.43598,34,69,0.31812,0.55384
1999,66 and older,Saxony-Anhalt,Somewhat concerned,0.37040,35,69,0.25562,0.48518
1999,66 and older,Thuringa,Somewhat concerned,0.50649,51,51,0.36791,0.64507
2000,17-29 y.,Schleswig-Holstein,Somewhat concerned,0.43598,45,80,0.32662,0.54533
2000,17-29 y.,Schleswig-Holstein,Not concerned at all,0.31955,35,80,0.21673,0.42238
2000,17-29 y.,Lower Saxony,Very concerned,0.23147,91,387,0.18940,0.27355
