year,quintil_oecd,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Yes,0.12566,180,1098,0.10604,0.14528
1984,1st Quintile,male,No,0.59013,918,1098,0.56103,0.61924
1984,1st Quintile,female,Yes,0.08774,160,1387,0.07285,0.10264
1984,1st Quintile,female,No,0.71825,1227,1387,0.69457,0.74194
1984,2nd Quintile,male,Yes,0.10263,159,1124,0.08488,0.12038
1984,2nd Quintile,male,No,0.66097,965,1124,0.63328,0.68866
1984,2nd Quintile,female,Yes,0.09254,147,1273,0.07661,0.10846
1984,2nd Quintile,female,No,0.72522,1126,1273,0.70069,0.74975
1984,3rd Quintile,male,Yes,0.10991,169,1186,0.09210,0.12772
1984,3rd Quintile,male,No,0.70080,1017,1186,0.67472,0.72687
1984,3rd Quintile,female,Yes,0.07742,106,1164,0.06206,0.09278
1984,3rd Quintile,female,No,0.74274,1058,1164,0.71762,0.76786
1984,4th Quintile,male,Yes,0.11771,173,1266,0.09995,0.13547
1984,4th Quintile,male,No,0.72782,1093,1266,0.70329,0.75235
1984,4th Quintile,female,Yes,0.07868,116,1216,0.06354,0.09382
1984,4th Quintile,female,No,0.78302,1100,1216,0.75984,0.80619
1984,5th Quintile,male,Yes,0.10435,142,1267,0.08751,0.12119
1984,5th Quintile,male,No,0.79661,1125,1267,0.77444,0.81878
1984,5th Quintile,female,Yes,0.05451,71,1146,0.04136,0.06766
1984,5th Quintile,female,No,0.83300,1075,1146,0.81139,0.85460
1985,1st Quintile,male,Yes,0.15033,186,996,0.12812,0.17254
1985,1st Quintile,male,No,0.56680,810,996,0.53601,0.59759
1985,1st Quintile,female,Yes,0.09509,156,1252,0.07884,0.11135
1985,1st Quintile,female,No,0.71964,1096,1252,0.69475,0.74453
1985,2nd Quintile,male,Yes,0.10059,147,1029,0.08220,0.11898
1985,2nd Quintile,male,No,0.68001,882,1029,0.65150,0.70853
1985,2nd Quintile,female,Yes,0.07445,103,1126,0.05911,0.08978
1985,2nd Quintile,female,No,0.73376,1023,1126,0.70793,0.75959
1985,3rd Quintile,male,Yes,0.13790,183,1109,0.11760,0.15820
1985,3rd Quintile,male,No,0.68621,926,1109,0.65889,0.71354
1985,3rd Quintile,female,Yes,0.08529,108,1096,0.06874,0.10183
1985,3rd Quintile,female,No,0.77391,988,1096,0.74913,0.79868
1985,4th Quintile,male,Yes,0.10949,145,1147,0.09141,0.12757
1985,4th Quintile,male,No,0.76398,1002,1147,0.73939,0.78856
1985,4th Quintile,female,Yes,0.08601,108,1063,0.06914,0.10287
1985,4th Quintile,female,No,0.78245,955,1063,0.75764,0.80727
1985,5th Quintile,male,Yes,0.10231,129,1122,0.08457,0.12005
1985,5th Quintile,male,No,0.81147,993,1122,0.78858,0.83437
1985,5th Quintile,female,Yes,0.06905,84,1057,0.05375,0.08434
1985,5th Quintile,female,No,0.82558,973,1057,0.80269,0.84847
1986,1st Quintile,male,Yes,0.14268,172,918,0.12004,0.16532
1986,1st Quintile,male,No,0.59250,746,918,0.56070,0.62430
1986,1st Quintile,female,Yes,0.09241,157,1156,0.07571,0.10912
1986,1st Quintile,female,No,0.72218,999,1156,0.69635,0.74801
1986,2nd Quintile,male,Yes,0.11056,163,1027,0.09137,0.12975
1986,2nd Quintile,male,No,0.65512,864,1027,0.62603,0.68420
1986,2nd Quintile,female,Yes,0.06073,99,1065,0.04638,0.07508
1986,2nd Quintile,female,No,0.75620,966,1065,0.73040,0.78200
1986,3rd Quintile,male,Yes,0.13181,163,1047,0.11131,0.15231
1986,3rd Quintile,male,No,0.70417,884,1047,0.67651,0.73183
1986,3rd Quintile,female,Yes,0.09488,133,1050,0.07715,0.11261
1986,3rd Quintile,female,No,0.73219,917,1050,0.70539,0.75898
1986,4th Quintile,male,Yes,0.10560,144,1148,0.08782,0.12339
1986,4th Quintile,male,No,0.77247,1004,1148,0.74821,0.79673
1986,4th Quintile,female,Yes,0.08118,102,1070,0.06481,0.09755
1986,4th Quintile,female,No,0.79514,968,1070,0.77094,0.81933
1986,5th Quintile,male,Yes,0.11098,138,1088,0.09231,0.12966
1986,5th Quintile,male,No,0.79690,950,1088,0.77298,0.82081
1986,5th Quintile,female,Yes,0.07046,89,1007,0.05464,0.08627
1986,5th Quintile,female,No,0.83063,918,1007,0.80745,0.85381
1987,1st Quintile,male,Yes,0.13779,177,902,0.11528,0.16029
1987,1st Quintile,male,No,0.58870,725,902,0.55657,0.62083
1987,1st Quintile,female,Yes,0.08778,147,1132,0.07129,0.10427
1987,1st Quintile,female,No,0.73762,985,1132,0.71198,0.76326
1987,2nd Quintile,male,Yes,0.10805,160,993,0.08873,0.12737
1987,2nd Quintile,male,No,0.65646,833,993,0.62691,0.68601
1987,2nd Quintile,female,Yes,0.05956,108,1070,0.04537,0.07375
1987,2nd Quintile,female,No,0.74755,962,1070,0.72150,0.77359
1987,3rd Quintile,male,Yes,0.09877,145,1044,0.08066,0.11688
1987,3rd Quintile,male,No,0.71512,899,1044,0.68773,0.74251
1987,3rd Quintile,female,Yes,0.07827,124,1060,0.06209,0.09444
1987,3rd Quintile,female,No,0.76106,936,1060,0.73538,0.78674
1987,4th Quintile,male,Yes,0.10164,148,1124,0.08396,0.11931
1987,4th Quintile,male,No,0.78200,976,1124,0.75785,0.80615
1987,4th Quintile,female,Yes,0.08042,104,1031,0.06381,0.09703
1987,4th Quintile,female,No,0.78592,927,1031,0.76087,0.81097
1987,5th Quintile,male,Yes,0.10557,144,1106,0.08745,0.12369
1987,5th Quintile,male,No,0.79787,962,1106,0.77419,0.82154
1987,5th Quintile,female,Yes,0.06581,73,985,0.05032,0.08131
1987,5th Quintile,female,No,0.83287,912,985,0.80956,0.85618
1988,1st Quintile,male,Yes,0.14879,171,883,0.12530,0.17227
1988,1st Quintile,male,No,0.58025,712,883,0.54768,0.61282
1988,1st Quintile,female,Yes,0.08055,133,1090,0.06439,0.09671
1988,1st Quintile,female,No,0.73361,957,1090,0.70735,0.75987
1988,2nd Quintile,male,Yes,0.11881,161,933,0.09803,0.13958
1988,2nd Quintile,male,No,0.65213,772,933,0.62155,0.68271
1988,2nd Quintile,female,Yes,0.05794,103,1050,0.04380,0.07207
1988,2nd Quintile,female,No,0.73993,947,1050,0.71338,0.76647
1988,3rd Quintile,male,Yes,0.12067,153,1004,0.10051,0.14083
1988,3rd Quintile,male,No,0.69228,851,1004,0.66372,0.72085
1988,3rd Quintile,female,Yes,0.08953,126,1002,0.07184,0.10722
1988,3rd Quintile,female,No,0.76097,876,1002,0.73455,0.78739
1988,4th Quintile,male,Yes,0.09129,129,1088,0.07417,0.10841
1988,4th Quintile,male,No,0.78458,959,1088,0.76014,0.80902
1988,4th Quintile,female,Yes,0.06192,81,976,0.04679,0.07705
1988,4th Quintile,female,No,0.80290,895,976,0.77793,0.82787
1988,5th Quintile,male,Yes,0.07951,104,1021,0.06290,0.09611
1988,5th Quintile,male,No,0.83071,917,1021,0.80769,0.85372
1988,5th Quintile,female,Yes,0.06149,74,921,0.04596,0.07701
1988,5th Quintile,female,No,0.84746,847,921,0.82422,0.87069
1989,1st Quintile,male,Yes,0.14965,163,860,0.12579,0.17350
1989,1st Quintile,male,No,0.57393,697,860,0.54086,0.60700
1989,1st Quintile,female,Yes,0.08186,126,1070,0.06543,0.09830
1989,1st Quintile,female,No,0.74324,944,1070,0.71705,0.76943
1989,2nd Quintile,male,Yes,0.11060,134,923,0.09036,0.13085
1989,2nd Quintile,male,No,0.65371,789,923,0.62300,0.68442
1989,2nd Quintile,female,Yes,0.06450,113,1042,0.04958,0.07942
1989,2nd Quintile,female,No,0.72769,929,1042,0.70065,0.75473
1989,3rd Quintile,male,Yes,0.13168,152,964,0.11032,0.15303
1989,3rd Quintile,male,No,0.68803,812,964,0.65877,0.71729
1989,3rd Quintile,female,Yes,0.05646,82,931,0.04163,0.07130
1989,3rd Quintile,female,No,0.77705,849,931,0.75030,0.80380
1989,4th Quintile,male,Yes,0.11323,134,1044,0.09400,0.13246
1989,4th Quintile,male,No,0.77573,910,1044,0.75041,0.80104
1989,4th Quintile,female,Yes,0.07712,92,965,0.06028,0.09396
1989,4th Quintile,female,No,0.81530,873,965,0.79080,0.83979
1989,5th Quintile,male,Yes,0.08312,90,970,0.06574,0.10050
1989,5th Quintile,male,No,0.82322,880,970,0.79920,0.84724
1989,5th Quintile,female,Yes,0.06322,70,891,0.04723,0.07921
1989,5th Quintile,female,No,0.83723,821,891,0.81298,0.86148
1990,1st Quintile,male,Yes,0.13335,151,853,0.11052,0.15618
1990,1st Quintile,male,No,0.59245,702,853,0.55945,0.62545
