year,sampreg,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Yes,0.11229,827,5948,0.10426,0.12031
1984,West,male,No,0.69951,5121,5948,0.68785,0.71116
1984,West,female,Yes,0.07905,603,6202,0.07233,0.08576
1984,West,female,No,0.75847,5599,6202,0.74781,0.76912
1985,West,male,Yes,0.11969,792,5406,0.11103,0.12834
1985,West,male,No,0.70652,4614,5406,0.69438,0.71866
1985,West,female,Yes,0.08273,561,5599,0.07551,0.08995
1985,West,female,No,0.76467,5038,5599,0.75356,0.77579
1986,West,male,Yes,0.11948,781,5231,0.11069,0.12827
1986,West,male,No,0.70919,4450,5231,0.69688,0.72150
1986,West,female,Yes,0.08036,580,5351,0.07308,0.08765
1986,West,female,No,0.76505,4771,5351,0.75369,0.77641
1987,West,male,Yes,0.10967,775,5171,0.10115,0.11819
1987,West,male,No,0.71373,4396,5171,0.70141,0.72605
1987,West,female,Yes,0.07467,556,5279,0.06758,0.08176
1987,West,female,No,0.77093,4723,5279,0.75959,0.78226
1988,West,male,Yes,0.11000,718,4930,0.10126,0.11873
1988,West,male,No,0.71511,4212,4930,0.70251,0.72771
1988,West,female,Yes,0.07089,518,5040,0.06380,0.07797
1988,West,female,No,0.77369,4522,5040,0.76213,0.78524
1989,West,male,Yes,0.11641,673,4761,0.10730,0.12552
1989,West,male,No,0.70989,4088,4761,0.69700,0.72278
1989,West,female,Yes,0.06897,483,4900,0.06187,0.07606
1989,West,female,No,0.77726,4417,4900,0.76561,0.78891
1990,West,male,Yes,0.10863,627,4662,0.09970,0.11756
1990,West,male,No,0.71550,4035,4662,0.70255,0.72845
1990,West,female,Yes,0.07039,462,4798,0.06316,0.07763
1990,West,female,No,0.77269,4336,4798,0.76083,0.78455
1990,East,male,Yes,0.08356,240,2106,0.07174,0.09538
1990,East,male,No,0.68349,1866,2106,0.66362,0.70336
1990,East,female,Yes,0.06660,232,2317,0.05644,0.07675
1990,East,female,No,0.72780,2085,2317,0.70967,0.74593
1991,West,male,Yes,0.10791,665,4654,0.09899,0.11682
1991,West,male,No,0.70860,3989,4654,0.69555,0.72166
1991,West,female,Yes,0.07128,468,4793,0.06400,0.07857
1991,West,female,No,0.76771,4325,4793,0.75575,0.77966
1991,East,male,Yes,0.08407,226,1977,0.07183,0.09630
1991,East,male,No,0.70915,1751,1977,0.68913,0.72918
1991,East,female,Yes,0.08101,266,2161,0.06950,0.09252
1991,East,female,No,0.73945,1895,2161,0.72094,0.75797
1992,West,male,Yes,0.10095,618,4572,0.09222,0.10969
1992,West,male,No,0.71469,3954,4572,0.70160,0.72779
1992,West,female,Yes,0.07228,480,4766,0.06492,0.07963
1992,West,female,No,0.76411,4286,4766,0.75205,0.77616
1992,East,male,Yes,0.09259,247,1891,0.07952,0.10566
1992,East,male,No,0.71252,1644,1891,0.69211,0.73292
1992,East,female,Yes,0.09770,309,2085,0.08496,0.11045
1992,East,female,No,0.72410,1776,2085,0.70491,0.74329
1993,West,male,Yes,0.09737,582,4546,0.08875,0.10599
1993,West,male,No,0.71875,3964,4546,0.70568,0.73182
1993,West,female,Yes,0.06819,460,4726,0.06101,0.07538
1993,West,female,No,0.76725,4266,4726,0.75520,0.77930
1993,East,male,Yes,0.10610,257,1819,0.09194,0.12025
1993,East,male,No,0.70236,1562,1819,0.68135,0.72338
1993,East,female,Yes,0.09265,286,2010,0.07997,0.10532
1993,East,female,No,0.72466,1724,2010,0.70513,0.74419
1994,West,male,Yes,0.09220,540,4419,0.08367,0.10074
1994,West,male,No,0.71933,3879,4419,0.70609,0.73258
1994,West,female,Yes,0.06351,428,4679,0.05652,0.07050
1994,West,female,No,0.77108,4251,4679,0.75904,0.78312
1994,East,male,Yes,0.09019,222,1796,0.07694,0.10345
1994,East,male,No,0.71824,1574,1796,0.69743,0.73905
1994,East,female,Yes,0.09067,276,1979,0.07802,0.10333
1994,East,female,No,0.73698,1703,1979,0.71757,0.75638
1995,West,male,Yes,0.09574,607,4658,0.08729,0.10419
1995,West,male,No,0.71341,4051,4658,0.70042,0.72640
1995,West,female,Yes,0.06907,492,4933,0.06199,0.07615
1995,West,female,No,0.76257,4441,4933,0.75070,0.77445
1995,East,male,Yes,0.09021,229,1751,0.07679,0.10364
1995,East,male,No,0.72353,1522,1751,0.70258,0.74449
1995,East,female,Yes,0.08919,275,1941,0.07651,0.10187
1995,East,female,No,0.74551,1666,1941,0.72612,0.76489
1996,West,male,Yes,0.08504,535,4536,0.07692,0.09316
1996,West,male,No,0.72382,4001,4536,0.71081,0.73683
1996,West,female,Yes,0.06981,469,4824,0.06262,0.07700
1996,West,female,No,0.76205,4355,4824,0.75003,0.77407
1996,East,male,Yes,0.08842,229,1756,0.07514,0.10170
1996,East,male,No,0.72778,1527,1756,0.70696,0.74861
1996,East,female,Yes,0.09494,273,1928,0.08185,0.10803
1996,East,female,No,0.74610,1655,1928,0.72666,0.76553
1997,West,male,Yes,0.08622,535,4463,0.07798,0.09446
1997,West,male,No,0.72295,3928,4463,0.70981,0.73608
1997,West,female,Yes,0.07497,479,4731,0.06747,0.08248
1997,West,female,No,0.75760,4252,4731,0.74538,0.76981
1997,East,male,Yes,0.09364,239,1744,0.07996,0.10732
1997,East,male,No,0.73482,1505,1744,0.71410,0.75554
1997,East,female,Yes,0.08571,255,1889,0.07308,0.09834
1997,East,female,No,0.75888,1634,1889,0.73959,0.77818
1998,West,male,Yes,0.09133,595,5018,0.08336,0.09930
1998,West,male,No,0.72203,4423,5018,0.70963,0.73443
1998,West,female,Yes,0.06961,511,5355,0.06280,0.07643
1998,West,female,No,0.76334,4844,5355,0.75196,0.77473
1998,East,male,Yes,0.07769,229,1870,0.06556,0.08983
1998,East,male,No,0.75541,1641,1870,0.73592,0.77489
1998,East,female,Yes,0.07946,237,1995,0.06759,0.09133
1998,East,female,No,0.76293,1758,1995,0.74426,0.78160
1999,West,male,Yes,0.09336,572,4791,0.08512,0.10160
1999,West,male,No,0.72271,4219,4791,0.71003,0.73539
1999,West,female,Yes,0.06939,508,5100,0.06241,0.07636
1999,West,female,No,0.76198,4592,5100,0.75029,0.77367
1999,East,male,Yes,0.08465,229,1818,0.07185,0.09745
1999,East,male,No,0.75424,1589,1818,0.73444,0.77403
1999,East,female,Yes,0.09012,253,1965,0.07745,0.10278
1999,East,female,No,0.76254,1712,1965,0.74372,0.78136
2000,West,male,Yes,0.08230,948,8785,0.07656,0.08805
2000,West,male,No,0.73040,7837,8785,0.72112,0.73968
2000,West,female,Yes,0.06919,902,9474,0.06408,0.07430
2000,West,female,No,0.76343,8572,9474,0.75487,0.77199
2000,East,male,Yes,0.09158,349,2798,0.08089,0.10227
2000,East,male,No,0.75017,2449,2798,0.73412,0.76621
2000,East,female,Yes,0.08824,388,3050,0.07817,0.09831
2000,East,female,No,0.76606,2662,3050,0.75103,0.78108
2001,West,male,Yes,0.08223,850,7902,0.07617,0.08829
2001,West,male,No,0.73088,7052,7902,0.72110,0.74066
2001,West,female,Yes,0.07625,888,8584,0.07063,0.08186
2001,West,female,No,0.75562,7696,8584,0.74653,0.76471
2001,East,male,Yes,0.09312,324,2623,0.08200,0.10425
2001,East,male,No,0.76322,2299,2623,0.74695,0.77949
2001,East,female,Yes,0.09634,382,2812,0.08543,0.10725
2001,East,female,No,0.76256,2430,2812,0.74683,0.77829
2002,West,male,Yes,0.08405,936,8494,0.07815,0.08995
2002,West,male,No,0.72922,7558,8494,0.71977,0.73867
2002,West,female,Yes,0.07405,965,9103,0.06867,0.07943
2002,West,female,No,0.75990,8138,9103,0.75113,0.76868
2002,East,male,Yes,0.10862,359,2633,0.09674,0.12051
2002,East,male,No,0.75519,2274,2633,0.73876,0.77161
2002,East,female,Yes,0.09782,368,2796,0.08680,0.10883
2002,East,female,No,0.76693,2428,2796,0.75125,0.78260
2003,West,male,Yes,0.08885,926,8091,0.08265,0.09505
2003,West,male,No,0.72775,7165,8091,0.71805,0.73745
2003,West,female,Yes,0.06973,895,8730,0.06439,0.07507
2003,West,female,No,0.76365,7835,8730,0.75474,0.77257
2003,East,male,Yes,0.09364,322,2585,0.08240,0.10487
2003,East,male,No,0.76897,2263,2585,0.75272,0.78522
2003,East,female,Yes,0.09995,368,2759,0.08876,0.11115
2003,East,female,No,0.77261,2391,2759,0.75697,0.78826
2004,West,male,Yes,0.08850,927,7878,0.08223,0.09477
2004,West,male,No,0.73279,6951,7878,0.72302,0.74257
2004,West,female,Yes,0.07377,912,8511,0.06821,0.07932
2004,West,female,No,0.76249,7599,8511,0.75345,0.77153
2004,East,male,Yes,0.09500,312,2502,0.08351,0.10650
2004,East,male,No,0.77246,2190,2502,0.75603,0.78889
2004,East,female,Yes,0.10082,360,2721,0.08950,0.11213
2004,East,female,No,0.77796,2361,2721,0.76234,0.79358
2005,West,male,Yes,0.09228,867,7476,0.08572,0.09885
2005,West,male,No,0.73316,6609,7476,0.72314,0.74319
2005,West,female,Yes,0.08063,897,8184,0.07473,0.08653
2005,West,female,No,0.76297,7287,8184,0.75376,0.77218
2005,East,male,Yes,0.10386,307,2423,0.09171,0.11601
2005,East,male,No,0.76478,2116,2423,0.74789,0.78167
2005,East,female,Yes,0.10325,328,2614,0.09158,0.11492
2005,East,female,No,0.77511,2286,2614,0.75911,0.79112
2006,West,male,Yes,0.07882,748,7941,0.07289,0.08474
2006,West,male,No,0.73918,7193,7941,0.72952,0.74883
2006,West,female,Yes,0.06600,771,8751,0.06080,0.07120
2006,West,female,No,0.76949,7980,8751,0.76067,0.77832
2006,East,male,Yes,0.08186,250,2530,0.07117,0.09254
2006,East,male,No,0.77987,2280,2530,0.76372,0.79601
2006,East,female,Yes,0.09008,298,2745,0.07937,0.10079
2006,East,female,No,0.78463,2447,2745,0.76925,0.80001
2007,West,male,Yes,0.07474,676,7357,0.06873,0.08075
2007,West,male,No,0.74260,6681,7357,0.73261,0.75260
2007,West,female,Yes,0.06834,748,8141,0.06286,0.07382
2007,West,female,No,0.76685,7393,8141,0.75767,0.77604
2007,East,male,Yes,0.09301,271,2416,0.08143,0.10460
2007,East,male,No,0.77305,2145,2416,0.75634,0.78975
2007,East,female,Yes,0.09287,283,2595,0.08170,0.10404
2007,East,female,No,0.79191,2312,2595,0.77629,0.80754
2008,West,male,Yes,0.07963,649,6900,0.07324,0.08602
2008,West,male,No,0.74374,6251,6900,0.73343,0.75404
2008,West,female,Yes,0.07008,720,7646,0.06436,0.07581
2008,West,female,No,0.77084,6926,7646,0.76142,0.78026
2008,East,male,Yes,0.08068,240,2305,0.06956,0.09180
2008,East,male,No,0.78934,2065,2305,0.77269,0.80599
2008,East,female,Yes,0.09195,259,2465,0.08054,0.10336
2008,East,female,No,0.79073,2206,2465,0.77466,0.80679
2009,West,male,Yes,0.08498,635,6411,0.07815,0.09180
2009,West,male,No,0.74522,5776,6411,0.73456,0.75589
2009,West,female,Yes,0.07658,659,7066,0.07038,0.08278
2009,West,female,No,0.76859,6407,7066,0.75875,0.77842
2009,East,male,Yes,0.08369,218,2187,0.07209,0.09530
2009,East,male,No,0.77672,1969,2187,0.75927,0.79418
