year,bula_h,pgisced97,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,No,0.85912,73,73,0.77876,0.93948
1984,Schleswig-Holstein,Upper Secondary Level,No,0.92789,204,204,0.89231,0.96347
1984,Hamburg,Lower Secondary Level,No,0.81216,54,54,0.70701,0.91732
1984,Hamburg,Upper Secondary Level,No,0.93945,148,148,0.90089,0.97801
1984,Lower Saxony,Primary Level,No,0.86256,60,60,0.77470,0.95042
1984,Lower Saxony,Lower Secondary Level,Yes,0.19552,80,366,0.15483,0.23621
1984,Lower Saxony,Lower Secondary Level,No,0.80448,286,366,0.76379,0.84517
1984,Lower Saxony,Upper Secondary Level,Yes,0.07346,49,589,0.05238,0.09455
1984,Lower Saxony,Upper Secondary Level,No,0.92281,540,589,0.90124,0.94439
1984,Lower Saxony,First Stage of Tertiary Education,No,0.97958,77,77,0.94779,1.01138
1984,Lower Saxony,Second Stage of Tertiary Education,No,0.91372,70,70,0.84747,0.97997
1984,Bremen,Lower Secondary Level,No,0.90039,37,37,0.80256,0.99822
1984,Bremen,Upper Secondary Level,No,0.98643,70,70,0.95914,1.01373
1984,North Rhine-Westphalia,Pre-primary Level,Yes,0.96227,61,61,0.91405,1.01048
1984,North Rhine-Westphalia,Primary Level,No,0.95159,295,295,0.92706,0.97613
1984,North Rhine-Westphalia,Lower Secondary Level,Yes,0.15474,145,862,0.13058,0.17889
1984,North Rhine-Westphalia,Lower Secondary Level,No,0.84055,717,862,0.81609,0.86500
1984,North Rhine-Westphalia,Upper Secondary Level,Yes,0.09208,156,1526,0.07757,0.10659
1984,North Rhine-Westphalia,Upper Secondary Level,No,0.90640,1370,1526,0.89178,0.92102
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.83013,73,73,0.74339,0.91687
1984,North Rhine-Westphalia,First Stage of Tertiary Education,No,0.93123,145,145,0.88990,0.97257
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.91538,204,204,0.87709,0.95366
1984,Hesse,Primary Level,No,0.86197,102,102,0.79470,0.92924
1984,Hesse,Lower Secondary Level,Yes,0.15721,59,354,0.11923,0.19518
1984,Hesse,Lower Secondary Level,No,0.84279,295,354,0.80482,0.88077
1984,Hesse,Upper Secondary Level,Yes,0.09338,54,585,0.06978,0.11697
1984,Hesse,Upper Secondary Level,No,0.90662,531,585,0.88303,0.93022
1984,Hesse,First Stage of Tertiary Education,No,0.96059,49,49,0.90555,1.01563
1984,Hesse,Second Stage of Tertiary Education,No,0.86233,78,78,0.78537,0.93929
1984,"Rhineland-Palatinate, Saarland",Primary Level,No,0.98219,60,60,0.94844,1.01594
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Yes,0.15000,49,297,0.10932,0.19068
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,No,0.84922,248,297,0.80845,0.88999
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.93791,364,364,0.91308,0.96273
1984,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,No,0.94161,37,37,0.86502,1.01821
1984,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.90187,33,33,0.79879,1.00494
1984,Baden-Wuerttemberg,Pre-primary Level,Yes,0.96834,35,35,0.90949,1.02720
1984,Baden-Wuerttemberg,Primary Level,No,0.98988,277,277,0.97807,1.00169
1984,Baden-Wuerttemberg,Lower Secondary Level,Yes,0.11868,82,691,0.09455,0.14281
1984,Baden-Wuerttemberg,Lower Secondary Level,No,0.88128,609,691,0.85714,0.90542
1984,Baden-Wuerttemberg,Upper Secondary Level,Yes,0.07335,70,939,0.05667,0.09004
1984,Baden-Wuerttemberg,Upper Secondary Level,No,0.92665,869,939,0.90996,0.94333
1984,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.69377,41,41,0.55092,0.83661
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,No,0.94129,110,110,0.89715,0.98542
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.92757,114,114,0.87977,0.97536
1984,Bavaria,Primary Level,No,0.79706,94,94,0.71532,0.87880
1984,Bavaria,Lower Secondary Level,Yes,0.14746,92,584,0.11868,0.17624
1984,Bavaria,Lower Secondary Level,No,0.85254,492,584,0.82376,0.88132
1984,Bavaria,Upper Secondary Level,Yes,0.06700,75,1030,0.05172,0.08227
1984,Bavaria,Upper Secondary Level,No,0.92893,955,1030,0.91323,0.94463
1984,Bavaria,Post-secondary Non-tertiary Level,No,0.92225,49,49,0.84649,0.99800
1984,Bavaria,First Stage of Tertiary Education,No,0.95670,124,124,0.92073,0.99267
1984,Bavaria,Second Stage of Tertiary Education,No,0.91012,141,141,0.86274,0.95750
