year,bula_h,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Yes,0.10942,44,386,0.07823,0.14060
1984,Schleswig-Holstein,No answer / don't know,No,0.89058,342,386,0.85940,0.92177
1984,Hamburg,No answer / don't know,Yes,0.11981,34,309,0.08354,0.15607
1984,Hamburg,No answer / don't know,No,0.88019,275,309,0.84393,0.91646
1984,Lower Saxony,No answer / don't know,Yes,0.13389,177,1231,0.11486,0.15292
1984,Lower Saxony,No answer / don't know,No,0.86611,1054,1231,0.84708,0.88514
1984,Bremen,No answer / don't know,No,0.94873,122,122,0.90944,0.98803
1984,North Rhine-Westphalia,No answer / don't know,Yes,0.12449,421,3249,0.11314,0.13585
1984,North Rhine-Westphalia,No answer / don't know,No,0.87551,2828,3249,0.86415,0.88686
1984,Hesse,No answer / don't know,Yes,0.12557,154,1247,0.10717,0.14397
1984,Hesse,No answer / don't know,No,0.87443,1093,1247,0.85603,0.89283
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Yes,0.10713,95,850,0.08632,0.12793
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,No,0.89287,755,850,0.87207,0.91368
1984,Baden-Wuerttemberg,No answer / don't know,Yes,0.10647,223,2252,0.09373,0.11922
1984,Baden-Wuerttemberg,No answer / don't know,No,0.89353,2029,2252,0.88078,0.90627
1984,Bavaria,No answer / don't know,Yes,0.10094,225,2087,0.08801,0.11386
1984,Bavaria,No answer / don't know,No,0.89906,1862,2087,0.88614,0.91199
1984,Berlin,No answer / don't know,Yes,0.10424,47,407,0.07451,0.13396
1984,Berlin,No answer / don't know,No,0.89576,360,407,0.86604,0.92549
1985,Schleswig-Holstein,Urban regions,No,0.87890,148,148,0.82616,0.93164
1985,Schleswig-Holstein,Rural regions,No,0.90045,166,166,0.85477,0.94614
1985,Hamburg,Urban regions,Yes,0.11657,33,273,0.07843,0.15470
1985,Hamburg,Urban regions,No,0.88343,240,273,0.84530,0.92157
1985,Lower Saxony,Urban regions,Yes,0.14078,78,511,0.11060,0.17097
1985,Lower Saxony,Urban regions,No,0.85922,433,511,0.82903,0.88940
