year,train,quintil_oecd,sampreg,proportion,n,lower_confidence,upper_confidence
1984,Yes,1st Quintile,West,0.6652470187393527,16099,0.6579573076505483,0.672536729828157
1984,Yes,2nd Quintile,West,0.21890971039182283,16099,0.21252208036487977,0.2252973404187659
1984,Yes,3rd Quintile,West,0.08006814310051108,16099,0.07587572749596835,0.0842605587050538
1984,Yes,4th Quintile,West,0.026405451448040886,16099,0.023928642623330217,0.028882260272751554
1984,Yes,5th Quintile,West,0.009369676320272573,16099,0.00788143031945907,0.010857922321086075
1984,No,1st Quintile,West,0.6160822814399252,16099,0.6085695985348282,0.6235949643450222
1984,No,2nd Quintile,West,0.24076671341748482,16099,0.23416217510908163,0.247371251725888
1984,No,3rd Quintile,West,0.0933146330060776,16099,0.08882139109955976,0.09780787491259545
1984,No,4th Quintile,West,0.03581112669471716,16099,0.032940698604545626,0.03868155478488869
1984,No,5th Quintile,West,0.014025245441795231,16099,0.01220870632683881,0.015841784556751653
1985,Yes,1st Quintile,West,0.6420863309352518,14443,0.6342680149229231,0.6499046469475805
1985,Yes,2nd Quintile,West,0.22661870503597123,14443,0.2197910420760948,0.23344636799584767
1985,Yes,3rd Quintile,West,0.09352517985611511,14443,0.08877653692863031,0.0982738227835999
1985,Yes,4th Quintile,West,0.029676258992805755,14443,0.0269087421618571,0.03244377582375441
1985,Yes,5th Quintile,West,0.008093525179856115,14443,0.006632251407530214,0.009554798952182017
1985,No,1st Quintile,West,0.5862248078121753,14443,0.578192475148465,0.5942571404758857
1985,No,2nd Quintile,West,0.2511946810720964,14443,0.244121463036519,0.25826789910767384
1985,No,3rd Quintile,West,0.11136505298150841,14443,0.1062345077113179,0.11649559825169892
1985,No,4th Quintile,West,0.03656762933721172,14443,0.03350646682709433,0.03962879184732911
1985,No,5th Quintile,West,0.014647828797008104,14443,0.012688489123544087,0.01660716847047212
1986,Yes,1st Quintile,West,0.587917042380523,13742,0.5796873907589242,0.5961466940021218
1986,Yes,2nd Quintile,West,0.24616771866546439,13742,0.2389652062538394,0.25337023107708934
1986,Yes,3rd Quintile,West,0.10279531109107304,13742,0.09771765223705685,0.10787296994508923
1986,Yes,4th Quintile,West,0.05590622182146077,13742,0.05206500573734389,0.059747437905577655
1986,Yes,5th Quintile,West,0.007213706041478809,13742,0.005798765448745289,0.00862864663421233
1986,No,1st Quintile,West,0.5475078727331958,13742,0.539185794441681,0.5558299510247106
1986,No,2nd Quintile,West,0.27559995656423064,13742,0.2681292804982291,0.2830706326302322
1986,No,3rd Quintile,West,0.11955695515256815,13742,0.11413233721411464,0.12498157309102165
1986,No,4th Quintile,West,0.04387012704962537,13742,0.04044580983600399,0.04729444426324675
1986,No,5th Quintile,West,0.013465088500380064,13742,0.01153804315273227,0.015392133848027857
1987,Yes,1st Quintile,West,0.5313351498637602,13496,0.522915985242159,0.5397543144853614
1987,Yes,2nd Quintile,West,0.28428701180744775,13496,0.2766767167489812,0.2918973068659143
1987,Yes,3rd Quintile,West,0.12170753860127158,13496,0.11619144211918907,0.12722363508335408
1987,Yes,4th Quintile,West,0.04904632152588556,13496,0.04540267332723214,0.05268996972453898
1987,Yes,5th Quintile,West,0.013623978201634877,13496,0.011668167762933303,0.015579788640336451
1987,No,1st Quintile,West,0.5006036658983646,13496,0.4921679251486082,0.509039406648121
1987,No,2nd Quintile,West,0.2848205465920316,13496,0.2772059533538183,0.2924351398302449
1987,No,3rd Quintile,West,0.14597738996817033,13496,0.14002034308539735,0.15193443685094332
1987,No,4th Quintile,West,0.048842059049500605,13496,0.04520561560384196,0.05247850249515925
1987,No,5th Quintile,West,0.01975633849193283,13496,0.017408469894735584,0.022104207089130076
1988,Yes,1st Quintile,West,0.527536231884058,12817,0.518893057401738,0.536179406366378
1988,Yes,2nd Quintile,West,0.2975845410628019,12817,0.2896692827400499,0.30549979938555394
1988,Yes,3rd Quintile,West,0.1246376811594203,12817,0.11891918961351079,0.13035617270532981
1988,Yes,4th Quintile,West,0.03961352657004831,12817,0.036236708602539136,0.042990344537557484
1988,Yes,5th Quintile,West,0.010628019323671498,12817,0.008852731189508956,0.01240330745783404
1988,No,1st Quintile,West,0.46680426556587545,12817,0.45816705275295705,0.47544147837879386
1988,No,2nd Quintile,West,0.2991629400298131,12817,0.29123563982650486,0.3070902402331213
1988,No,3rd Quintile,West,0.1495241371402362,12817,0.14335038019246973,0.1556978940880027
1988,No,4th Quintile,West,0.062492833390666205,12817,0.05830233879167579,0.06668332798965662
1988,No,5th Quintile,West,0.022015823873409012,12817,0.019475458033025056,0.02455618971379297
1989,Yes,1st Quintile,West,0.47100712105798576,12393,0.4622187882294412,0.47979545388653033
1989,Yes,2nd Quintile,West,0.3051881993896236,12393,0.29708073018218156,0.31329566859706565
1989,Yes,3rd Quintile,West,0.15462868769074262,12393,0.1482631274195082,0.16099424796197703
1989,Yes,4th Quintile,West,0.04781281790437437,12393,0.04405616403381217,0.051569471774936565
1989,Yes,5th Quintile,West,0.021363173957273652,12393,0.01881744881342282,0.023908899101124485
1989,No,1st Quintile,West,0.4229048964218456,12393,0.41420702670893084,0.43160276613476034
1989,No,2nd Quintile,West,0.2980225988700565,12393,0.2899696672600994,0.3060755304800136
1989,No,3rd Quintile,West,0.17984934086629,12393,0.1730874354622614,0.1866112462703186
1989,No,4th Quintile,West,0.07250470809792843,12393,0.06793901402887662,0.07707040216698025
1989,No,5th Quintile,West,0.026718455743879474,12393,0.023879276788059657,0.02955763469969929
1990,Yes,1st Quintile,West,0.4296455424274973,18165,0.42244664566540135,0.43684443918959326
1990,Yes,2nd Quintile,West,0.3071965628356606,18165,0.3004876590564757,0.31390546661484553
1990,Yes,3rd Quintile,West,0.16326530612244897,18165,0.1578902969206312,0.16864031532426674
1990,Yes,4th Quintile,West,0.07303974221267455,18165,0.06925576472907259,0.07682371969627651
1990,Yes,5th Quintile,West,0.02685284640171858,18165,0.024502007913355828,0.029203684890081336
1990,No,1st Quintile,West,0.3908362244287594,18165,0.38374040084143124,0.3979320480160876
1990,No,2nd Quintile,West,0.2982414164373729,18165,0.2915884365030003,0.3048943963717455
1990,No,3rd Quintile,West,0.18650556286637157,18165,0.18084106315538945,0.1921700625773537
1990,No,4th Quintile,West,0.08924512501495394,18165,0.08509910519727884,0.09339114483262903
1990,No,5th Quintile,West,0.03517167125254217,18165,0.032492750317816135,0.0378505921872682
1991,Yes,1st Quintile,West,0.3683673469387755,17756,0.361272282356388,0.375462411521163
1991,Yes,2nd Quintile,West,0.3051020408163265,17756,0.2983292669147967,0.31187481471785633
1991,Yes,3rd Quintile,West,0.18061224489795918,17756,0.17495373821289345,0.18627075158302492
1991,Yes,4th Quintile,West,0.11530612244897959,17756,0.11060819616428375,0.12000404873367543
1991,Yes,5th Quintile,West,0.030612244897959183,17756,0.02807840099056075,0.03314608880535761
1991,No,1st Quintile,West,0.3245497401184576,17756,0.31766288696732714,0.3314365932695881
1991,No,2nd Quintile,West,0.28925420041097544,17756,0.2825848967591057,0.2959235040628452
1991,No,3rd Quintile,West,0.21467424150852168,17756,0.20863477756295748,0.2207137054540859
1991,No,4th Quintile,West,0.1257101414239091,17756,0.12083377445243022,0.130586508395388
1991,No,5th Quintile,West,0.04581167653813611,17756,0.042736368347879534,0.04888698472839268
1992,Yes,2nd Quintile,West,0.2111111111111111,17350,0.2050385793189613,0.21718364290326092
1992,Yes,1st Quintile,West,0.20902777777777778,17350,0.20297731004011296,0.2150782455154426
1992,Yes,1st Quintile,East,0.1951388888888889,17350,0.18924178583033338,0.2010359919474444
1992,Yes,3rd Quintile,West,0.1375,17350,0.13237566831517142,0.1426243316848286
1992,Yes,2nd Quintile,East,0.10902777777777778,17350,0.10439003140861221,0.11366552414694335
1992,Yes,4th Quintile,West,0.08194444444444444,17350,0.07786312516315592,0.08602576372573296
1992,Yes,5th Quintile,West,0.02638888888888889,17350,0.024003772125285854,0.028774005652491923
1992,Yes,3rd Quintile,East,0.022222222222222223,17350,0.020028810519564344,0.024415633924880102
1992,Yes,4th Quintile,East,0.006944444444444444,17350,0.005708747825360733,0.008180141063528155
1992,Yes,5th Quintile,East,0.0006944444444444445,17350,0.0003024551225348761,0.0010864337663540127
1992,No,2nd Quintile,West,0.20793269230769232,17350,0.20189391847674792,0.2139714661386367
1992,No,1st Quintile,East,0.20467032967032966,17350,0.19866679022353714,0.2106738691171222
1992,No,1st Quintile,West,0.19101991758241757,17350,0.1851704737783022,0.19686936138653294
1992,No,3rd Quintile,West,0.15667925824175824,17350,0.15127036417026848,0.162088152313248
1992,No,4th Quintile,West,0.11057692307692307,17350,0.10591040686400016,0.11524343928984598
