year,bula_h,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,No,0.90284,54,54,0.82310,0.98258
1984,Schleswig-Holstein,2nd Quintile,No,0.90872,72,72,0.84172,0.97571
1984,Schleswig-Holstein,3rd Quintile,No,0.90064,55,55,0.82085,0.98043
1984,Schleswig-Holstein,4th Quintile,No,0.90403,84,84,0.84066,0.96740
1984,Schleswig-Holstein,5th Quintile,No,0.87095,77,77,0.79558,0.94633
1984,Hamburg,1st Quintile,No,0.82543,45,45,0.71327,0.93759
1984,Hamburg,2nd Quintile,No,0.84805,46,46,0.74317,0.95293
1984,Hamburg,3rd Quintile,No,0.89358,48,48,0.80542,0.98175
1984,Hamburg,4th Quintile,No,0.83999,63,63,0.74874,0.93125
1984,Hamburg,5th Quintile,No,0.95620,73,73,0.90893,1.00347
1984,Lower Saxony,1st Quintile,Yes,0.19229,63,298,0.14747,0.23711
1984,Lower Saxony,1st Quintile,No,0.80771,235,298,0.76289,0.85253
1984,Lower Saxony,2nd Quintile,No,0.87723,201,201,0.83175,0.92272
1984,Lower Saxony,3rd Quintile,Yes,0.15005,34,231,0.10390,0.19621
1984,Lower Saxony,3rd Quintile,No,0.84995,197,231,0.80379,0.89610
1984,Lower Saxony,4th Quintile,No,0.91608,224,224,0.87969,0.95247
1984,Lower Saxony,5th Quintile,No,0.89861,197,197,0.85636,0.94087
1984,Bremen,1st Quintile,No,0.99384,33,33,0.96672,1.02096
1984,North Rhine-Westphalia,1st Quintile,Yes,0.14421,111,773,0.11943,0.16900
1984,North Rhine-Westphalia,1st Quintile,No,0.85579,662,773,0.83100,0.88057
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.13041,88,632,0.10413,0.15668
1984,North Rhine-Westphalia,2nd Quintile,No,0.86959,544,632,0.84332,0.89587
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.10990,67,581,0.08445,0.13536
1984,North Rhine-Westphalia,3rd Quintile,No,0.89010,514,581,0.86464,0.91555
1984,North Rhine-Westphalia,4th Quintile,Yes,0.13925,93,652,0.11265,0.16584
1984,North Rhine-Westphalia,4th Quintile,No,0.86075,559,652,0.83416,0.88735
1984,North Rhine-Westphalia,5th Quintile,Yes,0.09664,60,606,0.07310,0.12019
1984,North Rhine-Westphalia,5th Quintile,No,0.90336,546,606,0.87981,0.92690
1984,Hesse,1st Quintile,Yes,0.17169,42,268,0.12645,0.21692
1984,Hesse,1st Quintile,No,0.82831,226,268,0.78308,0.87355
1984,Hesse,2nd Quintile,No,0.91242,203,203,0.87344,0.95140
1984,Hesse,3rd Quintile,No,0.87716,178,178,0.82880,0.92552
1984,Hesse,4th Quintile,Yes,0.13833,31,238,0.09438,0.18229
1984,Hesse,4th Quintile,No,0.86167,207,238,0.81771,0.90562
1984,Hesse,5th Quintile,Yes,0.11357,32,308,0.07807,0.14906
1984,Hesse,5th Quintile,No,0.88643,276,308,0.85094,0.92193
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.91208,153,153,0.86706,0.95710
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.87466,179,179,0.82602,0.92330
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.88921,164,164,0.84102,0.93739
1984,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.89163,144,144,0.84068,0.94258
1984,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.89935,115,115,0.84412,0.95458
1984,Baden-Wuerttemberg,1st Quintile,Yes,0.12027,41,384,0.08770,0.15285
1984,Baden-Wuerttemberg,1st Quintile,No,0.87973,343,384,0.84715,0.91230
1984,Baden-Wuerttemberg,2nd Quintile,Yes,0.14181,62,473,0.11034,0.17328
1984,Baden-Wuerttemberg,2nd Quintile,No,0.85819,411,473,0.82672,0.88966
1984,Baden-Wuerttemberg,3rd Quintile,Yes,0.10873,46,458,0.08018,0.13727
1984,Baden-Wuerttemberg,3rd Quintile,No,0.89127,412,458,0.86273,0.91982
1984,Baden-Wuerttemberg,4th Quintile,Yes,0.10742,46,494,0.08009,0.13476
