year,age_gr,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Yes,0.44394,726,1733,0.42054,0.46734
1984,17-29 y.,male,No,0.55543,1007,1733,0.53203,0.57884
1984,17-29 y.,female,Yes,0.36334,543,1701,0.34048,0.38620
1984,17-29 y.,female,No,0.63456,1158,1701,0.61167,0.65745
1984,30-45 y.,male,Yes,0.05368,85,1936,0.04364,0.06372
1984,30-45 y.,male,No,0.94562,1851,1936,0.93551,0.95572
1984,30-45 y.,female,Yes,0.02900,48,1964,0.02158,0.03642
1984,30-45 y.,female,No,0.96741,1916,1964,0.95956,0.97527
1984,46-65 y.,male,No,0.98747,1760,1760,0.98227,0.99267
1984,46-65 y.,female,No,0.99120,1766,1766,0.98684,0.99556
1984,66 and older,male,No,0.99622,503,503,0.99084,1.00159
1984,66 and older,female,No,0.99746,759,759,0.99388,1.00104
1985,17-29 y.,male,Yes,0.46527,703,1609,0.44089,0.48965
1985,17-29 y.,male,No,0.53392,906,1609,0.50953,0.55830
1985,17-29 y.,female,Yes,0.38323,521,1522,0.35880,0.40767
1985,17-29 y.,female,No,0.61374,1001,1522,0.58927,0.63821
1985,30-45 y.,male,Yes,0.05604,80,1704,0.04511,0.06696
1985,30-45 y.,male,No,0.94230,1624,1704,0.93122,0.95337
1985,30-45 y.,female,Yes,0.02495,36,1765,0.01767,0.03223
1985,30-45 y.,female,No,0.97351,1729,1765,0.96602,0.98101
1985,46-65 y.,male,No,0.99320,1643,1643,0.98923,0.99718
1985,46-65 y.,female,No,0.99437,1644,1644,0.99075,0.99799
1985,66 and older,male,No,0.99490,441,441,0.98825,1.00156
1986,17-29 y.,male,Yes,0.45702,690,1587,0.43251,0.48154
1986,17-29 y.,male,No,0.54286,897,1587,0.51834,0.56738
1986,17-29 y.,female,Yes,0.36459,526,1468,0.33996,0.38922
1986,17-29 y.,female,No,0.63523,942,1468,0.61060,0.65986
1986,30-45 y.,male,Yes,0.06349,82,1580,0.05146,0.07552
1986,30-45 y.,male,No,0.93651,1498,1580,0.92448,0.94854
1986,30-45 y.,female,Yes,0.02962,43,1689,0.02154,0.03771
1986,30-45 y.,female,No,0.97038,1646,1689,0.96229,0.97846
1986,46-65 y.,male,No,0.99344,1636,1636,0.98953,0.99736
1986,46-65 y.,female,No,0.99304,1574,1574,0.98894,0.99715
1986,66 and older,female,No,0.99532,609,609,0.98989,1.00074
1987,17-29 y.,male,Yes,0.42951,682,1567,0.40500,0.45403
1987,17-29 y.,male,No,0.56901,885,1567,0.54448,0.59354
1987,17-29 y.,female,Yes,0.33602,506,1440,0.31161,0.36042
1987,17-29 y.,female,No,0.66286,934,1440,0.63844,0.68729
1987,30-45 y.,male,Yes,0.06662,83,1547,0.05419,0.07905
1987,30-45 y.,male,No,0.93315,1464,1547,0.92070,0.94560
1987,30-45 y.,female,Yes,0.02814,35,1620,0.02008,0.03619
