year,quintil_oecd,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Yes,0.13492,340,2485,0.12149,0.14836
1984,1st Quintile,No answer / don't know,No,0.86508,2145,2485,0.85164,0.87851
1984,2nd Quintile,No answer / don't know,Yes,0.12262,306,2397,0.10948,0.13575
1984,2nd Quintile,No answer / don't know,No,0.87738,2091,2397,0.86425,0.89052
1984,3rd Quintile,No answer / don't know,Yes,0.11463,275,2350,0.10175,0.12752
1984,3rd Quintile,No answer / don't know,No,0.88537,2075,2350,0.87248,0.89825
1984,4th Quintile,No answer / don't know,Yes,0.11519,289,2482,0.10263,0.12775
1984,4th Quintile,No answer / don't know,No,0.88481,2193,2482,0.87225,0.89737
1984,5th Quintile,No answer / don't know,Yes,0.08946,213,2413,0.07807,0.10085
1984,5th Quintile,No answer / don't know,No,0.91054,2200,2413,0.89915,0.92193
1985,1st Quintile,Urban regions,Yes,0.16643,279,1731,0.14888,0.18399
1985,1st Quintile,Urban regions,No,0.83357,1452,1731,0.81601,0.85112
1985,1st Quintile,Rural regions,Yes,0.12162,63,517,0.09341,0.14982
1985,1st Quintile,Rural regions,No,0.87838,454,517,0.85018,0.90659
1985,2nd Quintile,Urban regions,Yes,0.11860,207,1659,0.10304,0.13416
1985,2nd Quintile,Urban regions,No,0.88140,1452,1659,0.86584,0.89696
1985,2nd Quintile,Rural regions,Yes,0.08068,43,496,0.05669,0.10468
1985,2nd Quintile,Rural regions,No,0.91932,453,496,0.89532,0.94331
1985,3rd Quintile,Urban regions,Yes,0.13251,229,1726,0.11651,0.14851
1985,3rd Quintile,Urban regions,No,0.86749,1497,1726,0.85149,0.88349
1985,3rd Quintile,Rural regions,Yes,0.13006,62,479,0.09991,0.16022
1985,3rd Quintile,Rural regions,No,0.86994,417,479,0.83978,0.90009
1985,4th Quintile,Urban regions,Yes,0.11478,212,1810,0.10009,0.12947
1985,4th Quintile,Urban regions,No,0.88522,1598,1810,0.87053,0.89991
1985,4th Quintile,Rural regions,Yes,0.10319,41,400,0.07334,0.13304
1985,4th Quintile,Rural regions,No,0.89681,359,400,0.86696,0.92666
1985,5th Quintile,Urban regions,Yes,0.08617,158,1737,0.07297,0.09938
1985,5th Quintile,Urban regions,No,0.91383,1579,1737,0.90062,0.92703
1985,5th Quintile,Rural regions,Yes,0.12770,55,442,0.09655,0.15885
1985,5th Quintile,Rural regions,No,0.87230,387,442,0.84115,0.90345
1986,1st Quintile,Urban regions,Yes,0.16081,276,1628,0.14296,0.17867
1986,1st Quintile,Urban regions,No,0.83919,1352,1628,0.82133,0.85704
1986,1st Quintile,Rural regions,Yes,0.10077,53,446,0.07280,0.12873
1986,1st Quintile,Rural regions,No,0.89923,393,446,0.87127,0.92720
1986,2nd Quintile,Urban regions,Yes,0.11153,209,1595,0.09608,0.12699
1986,2nd Quintile,Urban regions,No,0.88847,1386,1595,0.87301,0.90392
