year,regtyp,sampreg,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Yes,0.11503,1430,12150,0.10935,0.12070
1984,No answer / don't know,West,No,0.88497,10720,12150,0.87930,0.89065
1985,Urban regions,West,Yes,0.12209,1089,8670,0.11520,0.12898
1985,Urban regions,West,No,0.87791,7581,8670,0.87102,0.88480
1985,Rural regions,West,Yes,0.11291,264,2335,0.10007,0.12575
1985,Rural regions,West,No,0.88709,2071,2335,0.87425,0.89993
1986,Urban regions,West,Yes,0.12053,1094,8351,0.11355,0.12752
1986,Urban regions,West,No,0.87947,7257,8351,0.87248,0.88645
1986,Rural regions,West,Yes,0.11118,267,2231,0.09813,0.12422
1986,Rural regions,West,No,0.88882,1964,2231,0.87578,0.90187
1987,Urban regions,West,Yes,0.11390,1082,8243,0.10704,0.12075
1987,Urban regions,West,No,0.88610,7161,8243,0.87925,0.89296
1987,Rural regions,West,Yes,0.09556,249,2207,0.08329,0.10782
1987,Rural regions,West,No,0.90444,1958,2207,0.89218,0.91671
1988,Urban regions,West,Yes,0.10936,994,7905,0.10248,0.11624
1988,Urban regions,West,No,0.89064,6911,7905,0.88376,0.89752
1988,Rural regions,West,Yes,0.10113,242,2065,0.08812,0.11413
1988,Rural regions,West,No,0.89887,1823,2065,0.88587,0.91188
1989,Urban regions,West,Yes,0.11461,945,7699,0.10749,0.12172
1989,Urban regions,West,No,0.88539,6754,7699,0.87828,0.89251
1989,Rural regions,West,Yes,0.09362,211,1962,0.08073,0.10651
1989,Rural regions,West,No,0.90638,1751,1962,0.89349,0.91927
1990,No answer / don't know,East,No,0.85781,75,75,0.77824,0.93739
1990,Urban regions,West,Yes,0.11085,890,7501,0.10374,0.11795
1990,Urban regions,West,No,0.88915,6611,7501,0.88205,0.89626
1990,Urban regions,East,Yes,0.10421,166,1464,0.08856,0.11987
1990,Urban regions,East,No,0.89579,1298,1464,0.88013,0.91144
1990,Rural regions,West,Yes,0.09253,199,1959,0.07970,0.10537
1990,Rural regions,West,No,0.90747,1760,1959,0.89463,0.92030
1990,Rural regions,East,Yes,0.08982,294,2872,0.07936,0.10028
1990,Rural regions,East,No,0.91018,2578,2872,0.89972,0.92064
1991,No answer / don't know,East,No,0.87577,76,76,0.80112,0.95042
1991,Urban regions,West,Yes,0.10745,895,7449,0.10042,0.11449
1991,Urban regions,West,No,0.89255,6554,7449,0.88551,0.89958
1991,Urban regions,East,Yes,0.13713,191,1325,0.11860,0.15565
1991,Urban regions,East,No,0.86287,1134,1325,0.84435,0.88140
1991,Rural regions,West,Yes,0.10771,238,1995,0.09410,0.12131
1991,Rural regions,West,No,0.89229,1757,1995,0.87869,0.90590
1991,Rural regions,East,Yes,0.08333,290,2726,0.07296,0.09371
1991,Rural regions,East,No,0.91667,2436,2726,0.90629,0.92704
1992,No answer / don't know,East,No,0.80986,85,85,0.72594,0.89378
1992,Urban regions,West,Yes,0.10582,873,7350,0.09879,0.11285
1992,Urban regions,West,No,0.89418,6477,7350,0.88715,0.90121
1992,Urban regions,East,Yes,0.11872,190,1318,0.10125,0.13619
1992,Urban regions,East,No,0.88128,1128,1318,0.86381,0.89875
1992,Rural regions,West,Yes,0.09911,223,1975,0.08592,0.11229
1992,Rural regions,West,No,0.90089,1752,1975,0.88771,0.91408
1992,Rural regions,East,Yes,0.11321,345,2552,0.10091,0.12550
1992,Rural regions,East,No,0.88679,2207,2552,0.87450,0.89909
1993,Urban regions,West,Yes,0.10218,834,7295,0.09523,0.10913
1993,Urban regions,West,No,0.89782,6461,7295,0.89087,0.90477
1993,Urban regions,East,Yes,0.13666,201,1312,0.11807,0.15526
1993,Urban regions,East,No,0.86334,1111,1312,0.84474,0.88193
1993,Rural regions,West,Yes,0.09191,208,1977,0.07917,0.10465
1993,Rural regions,West,No,0.90809,1769,1977,0.89535,0.92083
1993,Rural regions,East,Yes,0.11374,342,2517,0.10133,0.12615
1993,Rural regions,East,No,0.88626,2175,2517,0.87385,0.89867
1994,Urban regions,West,Yes,0.09473,771,7172,0.08796,0.10151
1994,Urban regions,West,No,0.90527,6401,7172,0.89849,0.91204
1994,Urban regions,East,Yes,0.12554,186,1308,0.10757,0.14350
1994,Urban regions,East,No,0.87446,1122,1308,0.85650,0.89243
1994,Rural regions,West,Yes,0.09193,197,1926,0.07903,0.10484
1994,Rural regions,West,No,0.90807,1729,1926,0.89516,0.92097
1994,Rural regions,East,Yes,0.10209,312,2467,0.09014,0.11404
1994,Rural regions,East,No,0.89791,2155,2467,0.88596,0.90986
1995,Urban regions,West,Yes,0.10059,868,7519,0.09379,0.10739
1995,Urban regions,West,No,0.89941,6651,7519,0.89261,0.90621
1995,Urban regions,East,Yes,0.12219,177,1216,0.10377,0.14061
1995,Urban regions,East,No,0.87781,1039,1216,0.85939,0.89623
1995,Rural regions,West,Yes,0.09813,231,2072,0.08532,0.11095
1995,Rural regions,West,No,0.90187,1841,2072,0.88905,0.91468
1995,Rural regions,East,Yes,0.10181,327,2476,0.08989,0.11372
1995,Rural regions,East,No,0.89819,2149,2476,0.88628,0.91011
1996,Urban regions,West,Yes,0.09591,792,7300,0.08915,0.10266
1996,Urban regions,West,No,0.90409,6508,7300,0.89734,0.91085
1996,Urban regions,East,Yes,0.12416,185,1239,0.10579,0.14253
1996,Urban regions,East,No,0.87584,1054,1239,0.85747,0.89421
1996,Rural regions,West,Yes,0.08820,212,2060,0.07595,0.10045
1996,Rural regions,West,No,0.91180,1848,2060,0.89955,0.92405
1996,Rural regions,East,Yes,0.10331,317,2445,0.09125,0.11538
1996,Rural regions,East,No,0.89669,2128,2445,0.88462,0.90875
1997,Urban regions,West,Yes,0.09984,809,7179,0.09290,0.10677
1997,Urban regions,West,No,0.90016,6370,7179,0.89323,0.90710
1997,Urban regions,East,Yes,0.11358,173,1210,0.09570,0.13147
1997,Urban regions,East,No,0.88642,1037,1210,0.86853,0.90430
1997,Rural regions,West,Yes,0.09102,204,2014,0.07845,0.10358
1997,Rural regions,West,No,0.90898,1810,2014,0.89642,0.92155
1997,Rural regions,East,Yes,0.10360,321,2423,0.09146,0.11574
1997,Rural regions,East,No,0.89640,2102,2423,0.88426,0.90854
1998,Urban regions,West,Yes,0.09817,857,8034,0.09167,0.10468
1998,Urban regions,West,No,0.90183,7177,8034,0.89532,0.90833
1998,Urban regions,East,Yes,0.10270,162,1255,0.08590,0.11950
1998,Urban regions,East,No,0.89730,1093,1255,0.88050,0.91410
1998,Rural regions,West,Yes,0.09493,249,2339,0.08305,0.10681
1998,Rural regions,West,No,0.90507,2090,2339,0.89319,0.91695
1998,Rural regions,East,Yes,0.08935,304,2610,0.07841,0.10030
1998,Rural regions,East,No,0.91065,2306,2610,0.89970,0.92159
1999,Urban regions,West,Yes,0.10010,846,7656,0.09338,0.10683
1999,Urban regions,West,No,0.89990,6810,7656,0.89317,0.90662
1999,Urban regions,East,Yes,0.11727,171,1238,0.09934,0.13520
1999,Urban regions,East,No,0.88273,1067,1238,0.86480,0.90066
1999,Rural regions,West,Yes,0.09281,234,2235,0.08078,0.10485
1999,Rural regions,West,No,0.90719,2001,2235,0.89515,0.91922
1999,Rural regions,East,Yes,0.09627,311,2545,0.08481,0.10773
1999,Rural regions,East,No,0.90373,2234,2545,0.89227,0.91519
2000,Urban regions,West,Yes,0.09219,1418,13896,0.08738,0.09700
2000,Urban regions,West,No,0.90781,12478,13896,0.90300,0.91262
2000,Urban regions,East,Yes,0.12199,261,1852,0.10708,0.13690
2000,Urban regions,East,No,0.87801,1591,1852,0.86310,0.89292
2000,Rural regions,West,Yes,0.09093,432,4363,0.08240,0.09947
2000,Rural regions,West,No,0.90907,3931,4363,0.90053,0.91760
2000,Rural regions,East,Yes,0.09835,476,3996,0.08912,0.10758
2000,Rural regions,East,No,0.90165,3520,3996,0.89242,0.91088
2001,Urban regions,West,Yes,0.09784,1341,12586,0.09265,0.10303
2001,Urban regions,West,No,0.90216,11245,12586,0.89697,0.90735
2001,Urban regions,East,Yes,0.13733,263,1750,0.12120,0.15346
2001,Urban regions,East,No,0.86267,1487,1750,0.84654,0.87880
2001,Rural regions,West,Yes,0.09102,397,3900,0.08199,0.10005
2001,Rural regions,West,No,0.90898,3503,3900,0.89995,0.91801
2001,Rural regions,East,Yes,0.09736,443,3685,0.08779,0.10694
2001,Rural regions,East,No,0.90264,3242,3685,0.89306,0.91221
2002,Urban regions,West,Yes,0.09532,1448,13532,0.09037,0.10027
2002,Urban regions,West,No,0.90468,12084,13532,0.89973,0.90963
