year,regtyp,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.10278,1089,8670,0.09639,0.10917
1985,Urban regions,No,0.73905,7581,8670,0.72980,0.74829
1985,Rural regions,Yes,0.09298,264,2335,0.08120,0.10476
1985,Rural regions,No,0.73052,2071,2335,0.71252,0.74852
1986,Urban regions,Yes,0.10154,1094,8351,0.09506,0.10802
1986,Urban regions,No,0.74089,7257,8351,0.73149,0.75029
1986,Rural regions,Yes,0.09138,267,2231,0.07942,0.10334
1986,Rural regions,No,0.73055,1964,2231,0.71213,0.74896
1987,Urban regions,Yes,0.09583,1082,8243,0.08948,0.10219
1987,Urban regions,No,0.74556,7161,8243,0.73615,0.75496
1987,Rural regions,Yes,0.07787,249,2207,0.06669,0.08906
1987,Rural regions,No,0.73707,1958,2207,0.71870,0.75544
1988,Urban regions,Yes,0.09203,994,7905,0.08566,0.09841
1988,Urban regions,No,0.74951,6911,7905,0.73996,0.75906
1988,Rural regions,Yes,0.08243,242,2065,0.07057,0.09430
1988,Rural regions,No,0.73269,1823,2065,0.71360,0.75178
1989,Urban regions,Yes,0.09658,945,7699,0.08998,0.10318
1989,Urban regions,No,0.74611,6754,7699,0.73638,0.75583
1989,Rural regions,Yes,0.07647,211,1962,0.06471,0.08823
1989,Rural regions,No,0.74035,1751,1962,0.72095,0.75976
1990,Urban regions,Yes,0.09145,1056,8965,0.08548,0.09742
1990,Urban regions,No,0.73846,7909,8965,0.72936,0.74756
1990,Rural regions,Yes,0.07394,493,4831,0.06656,0.08132
1990,Rural regions,No,0.73474,4338,4831,0.72229,0.74719
1991,Urban regions,Yes,0.09145,1086,8774,0.08542,0.09748
1991,Urban regions,No,0.73648,7688,8774,0.72726,0.74570
1991,Rural regions,Yes,0.07975,528,4721,0.07202,0.08748
1991,Rural regions,No,0.73666,4193,4721,0.72409,0.74922
1992,Urban regions,Yes,0.08871,1063,8668,0.08272,0.09469
1992,Urban regions,No,0.73901,7605,8668,0.72976,0.74825
1992,Rural regions,Yes,0.08558,568,4527,0.07743,0.09372
1992,Rural regions,No,0.73124,3959,4527,0.71832,0.74415
1993,Urban regions,Yes,0.08737,1035,8607,0.08140,0.09333
1993,Urban regions,No,0.73871,7572,8607,0.72943,0.74799
