year,quintil_oecd,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.13492,340,2485,0.12149,0.14836
1984,1st Quintile,No,0.86508,2145,2485,0.85164,0.87851
1984,2nd Quintile,Yes,0.12262,306,2397,0.10948,0.13575
1984,2nd Quintile,No,0.87738,2091,2397,0.86425,0.89052
1984,3rd Quintile,Yes,0.11463,275,2350,0.10175,0.12752
1984,3rd Quintile,No,0.88537,2075,2350,0.87248,0.89825
1984,4th Quintile,Yes,0.11519,289,2482,0.10263,0.12775
1984,4th Quintile,No,0.88481,2193,2482,0.87225,0.89737
1984,5th Quintile,Yes,0.08946,213,2413,0.07807,0.10085
1984,5th Quintile,No,0.91054,2200,2413,0.89915,0.92193
1985,1st Quintile,Yes,0.15348,342,2248,0.13858,0.16839
1985,1st Quintile,No,0.84652,1906,2248,0.83161,0.86142
1985,2nd Quintile,Yes,0.10855,250,2155,0.09542,0.12169
1985,2nd Quintile,No,0.89145,1905,2155,0.87831,0.90458
1985,3rd Quintile,Yes,0.13188,291,2205,0.11775,0.14600
1985,3rd Quintile,No,0.86812,1914,2205,0.85400,0.88225
1985,4th Quintile,Yes,0.11245,253,2210,0.09927,0.12562
1985,4th Quintile,No,0.88755,1957,2210,0.87438,0.90073
1985,5th Quintile,Yes,0.09492,213,2179,0.08261,0.10723
1985,5th Quintile,No,0.90508,1966,2179,0.89277,0.91739
1986,1st Quintile,Yes,0.14504,329,2074,0.12988,0.16019
1986,1st Quintile,No,0.85496,1745,2074,0.83981,0.87012
1986,2nd Quintile,Yes,0.10691,262,2092,0.09367,0.12016
1986,2nd Quintile,No,0.89309,1830,2092,0.87984,0.90633
1986,3rd Quintile,Yes,0.13502,296,2097,0.12039,0.14965
1986,3rd Quintile,No,0.86498,1801,2097,0.85035,0.87961
1986,4th Quintile,Yes,0.10671,246,2218,0.09386,0.11957
1986,4th Quintile,No,0.89329,1972,2218,0.88043,0.90614
1986,5th Quintile,Yes,0.10091,227,2095,0.08801,0.11381
1986,5th Quintile,No,0.89909,1868,2095,0.88619,0.91199
1987,1st Quintile,Yes,0.13872,324,2034,0.12370,0.15375
1987,1st Quintile,No,0.86128,1710,2034,0.84625,0.87630
1987,2nd Quintile,Yes,0.10434,268,2063,0.09114,0.11753
1987,2nd Quintile,No,0.89566,1795,2063,0.88247,0.90886
1987,3rd Quintile,Yes,0.10655,269,2104,0.09337,0.11974
1987,3rd Quintile,No,0.89345,1835,2104,0.88026,0.90663
1987,4th Quintile,Yes,0.10427,252,2155,0.09136,0.11717
1987,4th Quintile,No,0.89573,1903,2155,0.88283,0.90864
1987,5th Quintile,Yes,0.09604,217,2091,0.08340,0.10867
1987,5th Quintile,No,0.90396,1874,2091,0.89133,0.91660
1988,1st Quintile,Yes,0.14120,304,1973,0.12583,0.15657
1988,1st Quintile,No,0.85880,1669,1973,0.84343,0.87417
1988,2nd Quintile,Yes,0.10796,264,1983,0.09430,0.12162
1988,2nd Quintile,No,0.89204,1719,1983,0.87838,0.90570
1988,3rd Quintile,Yes,0.12610,279,2006,0.11157,0.14064
1988,3rd Quintile,No,0.87390,1727,2006,0.85936,0.88843
1988,4th Quintile,Yes,0.08861,210,2064,0.07635,0.10088
1988,4th Quintile,No,0.91139,1854,2064,0.89912,0.92365
1988,5th Quintile,Yes,0.07801,178,1942,0.06608,0.08994
1988,5th Quintile,No,0.92199,1764,1942,0.91006,0.93392
1989,1st Quintile,Yes,0.14079,289,1930,0.12526,0.15631
