year,bula_h,sex,train,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,No,0.84562,160,160,0.78946,0.90178
1984,Schleswig-Holstein,female,No,0.93148,182,182,0.89467,0.96828
1984,Hamburg,male,No,0.84684,129,129,0.78445,0.90923
1984,Hamburg,female,No,0.90903,146,146,0.86223,0.95584
1984,Lower Saxony,male,Yes,0.15699,101,601,0.12788,0.18610
1984,Lower Saxony,male,No,0.84301,500,601,0.81390,0.87212
1984,Lower Saxony,female,Yes,0.11383,76,630,0.08901,0.13865
1984,Lower Saxony,female,No,0.88617,554,630,0.86135,0.91099
1984,Bremen,male,No,0.92432,56,56,0.85442,0.99422
1984,Bremen,female,No,0.96877,66,66,0.92648,1.01106
1984,North Rhine-Westphalia,male,Yes,0.15318,247,1601,0.13553,0.17083
1984,North Rhine-Westphalia,male,No,0.84682,1354,1601,0.82917,0.86447
1984,North Rhine-Westphalia,female,Yes,0.09886,174,1648,0.08445,0.11328
1984,North Rhine-Westphalia,female,No,0.90114,1474,1648,0.88672,0.91555
1984,Hesse,male,Yes,0.15067,89,626,0.12262,0.17871
1984,Hesse,male,No,0.84933,537,626,0.82129,0.87738
1984,Hesse,female,Yes,0.10073,65,621,0.07704,0.12442
1984,Hesse,female,No,0.89927,556,621,0.87558,0.92296
1984,"Rhineland-Palatinate, Saarland",male,Yes,0.11875,54,415,0.08758,0.14991
1984,"Rhineland-Palatinate, Saarland",male,No,0.88125,361,415,0.85009,0.91242
1984,"Rhineland-Palatinate, Saarland",female,Yes,0.09664,41,435,0.06884,0.12443
1984,"Rhineland-Palatinate, Saarland",female,No,0.90336,394,435,0.87557,0.93116
1984,Baden-Wuerttemberg,male,Yes,0.13327,136,1117,0.11333,0.15321
1984,Baden-Wuerttemberg,male,No,0.86673,981,1117,0.84679,0.88667
1984,Baden-Wuerttemberg,female,Yes,0.08314,87,1135,0.06707,0.09921
1984,Baden-Wuerttemberg,female,No,0.91686,1048,1135,0.90079,0.93293
1984,Bavaria,male,Yes,0.11240,118,989,0.09270,0.13209
1984,Bavaria,male,No,0.88760,871,989,0.86791,0.90730
1984,Bavaria,female,Yes,0.09110,107,1098,0.07407,0.10812
1984,Bavaria,female,No,0.90890,991,1098,0.89188,0.92593
1984,Berlin,male,No,0.88462,172,172,0.83673,0.93250
1984,Berlin,female,No,0.90503,188,188,0.86301,0.94705
1985,Schleswig-Holstein,male,No,0.84114,144,144,0.78123,0.90106
1985,Schleswig-Holstein,female,No,0.93501,170,170,0.89784,0.97217
1985,Hamburg,male,No,0.84392,117,117,0.77787,0.90996
1985,Hamburg,female,No,0.92826,129,129,0.88355,0.97296
1985,Lower Saxony,male,Yes,0.16742,93,540,0.13590,0.19894
1985,Lower Saxony,male,No,0.83258,447,540,0.80106,0.86410
1985,Lower Saxony,female,Yes,0.12787,75,567,0.10035,0.15538
1985,Lower Saxony,female,No,0.87213,492,567,0.84462,0.89965
1985,Bremen,male,No,0.88719,45,45,0.79371,0.98067
1985,Bremen,female,No,0.94145,59,59,0.88102,1.00187
1985,North Rhine-Westphalia,male,Yes,0.16229,247,1463,0.14339,0.18119
1985,North Rhine-Westphalia,male,No,0.83771,1216,1463,0.81881,0.85661
1985,North Rhine-Westphalia,female,Yes,0.10678,162,1496,0.09113,0.12244
1985,North Rhine-Westphalia,female,No,0.89322,1334,1496,0.87756,0.90887
1985,Hesse,male,Yes,0.14435,77,566,0.11537,0.17333
1985,Hesse,male,No,0.85565,489,566,0.82667,0.88463
1985,Hesse,female,Yes,0.09279,56,561,0.06876,0.11682
1985,Hesse,female,No,0.90721,505,561,0.88318,0.93124
1985,"Rhineland-Palatinate, Saarland",male,Yes,0.12963,53,382,0.09591,0.16336
1985,"Rhineland-Palatinate, Saarland",male,No,0.87037,329,382,0.83664,0.90409
1985,"Rhineland-Palatinate, Saarland",female,Yes,0.07384,33,390,0.04785,0.09983
1985,"Rhineland-Palatinate, Saarland",female,No,0.92616,357,390,0.90017,0.95215
1985,Baden-Wuerttemberg,male,Yes,0.14241,136,1015,0.12090,0.16392
1985,Baden-Wuerttemberg,male,No,0.85759,879,1015,0.83608,0.87910
1985,Baden-Wuerttemberg,female,Yes,0.09305,89,1022,0.07523,0.11087
1985,Baden-Wuerttemberg,female,No,0.90695,933,1022,0.88913,0.92477
1985,Bavaria,male,Yes,0.11954,110,900,0.09833,0.14075
1985,Bavaria,male,No,0.88046,790,900,0.85925,0.90167
1985,Bavaria,female,Yes,0.09758,100,992,0.07911,0.11606
1985,Bavaria,female,No,0.90242,892,992,0.88394,0.92089
1985,Berlin,male,No,0.90502,158,158,0.85916,0.95088
1985,Berlin,female,No,0.92221,167,167,0.88146,0.96295
1986,Schleswig-Holstein,male,No,0.84829,136,136,0.78777,0.90880
1986,Schleswig-Holstein,female,No,0.94062,152,152,0.90292,0.97831
1986,Hamburg,male,No,0.89067,113,113,0.83288,0.94847
1986,Hamburg,female,No,0.89621,113,113,0.83973,0.95270
1986,Lower Saxony,male,Yes,0.14495,84,541,0.11526,0.17464
1986,Lower Saxony,male,No,0.85505,457,541,0.82536,0.88474
1986,Lower Saxony,female,Yes,0.13201,83,567,0.10412,0.15990
1986,Lower Saxony,female,No,0.86799,484,567,0.84010,0.89588
1986,Bremen,male,No,0.95778,45,45,0.89836,1.01720
1986,Bremen,female,No,0.92511,55,55,0.85490,0.99531
1986,North Rhine-Westphalia,male,Yes,0.17142,249,1422,0.15182,0.19101
1986,North Rhine-Westphalia,male,No,0.82858,1173,1422,0.80899,0.84818
1986,North Rhine-Westphalia,female,Yes,0.09913,166,1434,0.08365,0.11460
1986,North Rhine-Westphalia,female,No,0.90087,1268,1434,0.88540,0.91635
1986,Hesse,male,Yes,0.15982,78,524,0.12841,0.19122
1986,Hesse,male,No,0.84018,446,524,0.80878,0.87159
1986,Hesse,female,Yes,0.09208,55,525,0.06733,0.11684
1986,Hesse,female,No,0.90792,470,525,0.88316,0.93267
1986,"Rhineland-Palatinate, Saarland",male,Yes,0.13974,54,377,0.10469,0.17478
1986,"Rhineland-Palatinate, Saarland",male,No,0.86026,323,377,0.82522,0.89531
1986,"Rhineland-Palatinate, Saarland",female,No,0.95020,362,362,0.92776,0.97264
1986,Baden-Wuerttemberg,male,Yes,0.13427,139,1004,0.11317,0.15537
1986,Baden-Wuerttemberg,male,No,0.86573,865,1004,0.84463,0.88683
1986,Baden-Wuerttemberg,female,Yes,0.08588,94,983,0.06836,0.10341
1986,Baden-Wuerttemberg,female,No,0.91412,889,983,0.89659,0.93164
1986,Bavaria,male,Yes,0.11885,112,850,0.09708,0.14062
1986,Bavaria,male,No,0.88115,738,850,0.85938,0.90292
1986,Bavaria,female,Yes,0.10425,107,923,0.08452,0.12397
1986,Bavaria,female,No,0.89575,816,923,0.87603,0.91548
1986,Berlin,male,No,0.87822,154,154,0.82640,0.93004
1986,Berlin,female,No,0.92995,162,162,0.89052,0.96937
1987,Schleswig-Holstein,male,No,0.89619,136,136,0.84473,0.94764
1987,Schleswig-Holstein,female,No,0.94062,157,157,0.90353,0.97771
1987,Hamburg,male,No,0.88878,99,99,0.82654,0.95103
1987,Hamburg,female,No,0.91697,101,101,0.86289,0.97105
1987,Lower Saxony,male,Yes,0.13653,86,539,0.10752,0.16555
1987,Lower Saxony,male,No,0.86347,453,539,0.83445,0.89248
1987,Lower Saxony,female,Yes,0.09627,67,566,0.07194,0.12059
1987,Lower Saxony,female,No,0.90373,499,566,0.87941,0.92806
1987,Bremen,male,No,0.92144,42,42,0.83908,1.00380
1987,Bremen,female,No,0.92996,51,51,0.85922,1.00070
1987,North Rhine-Westphalia,male,Yes,0.15980,250,1417,0.14071,0.17888
1987,North Rhine-Westphalia,male,No,0.84020,1167,1417,0.82112,0.85929
1987,North Rhine-Westphalia,female,Yes,0.10049,167,1409,0.08479,0.11620
1987,North Rhine-Westphalia,female,No,0.89951,1242,1409,0.88380,0.91521
1987,Hesse,male,Yes,0.13368,71,529,0.10465,0.16270
1987,Hesse,male,No,0.86632,458,529,0.83730,0.89535
1987,Hesse,female,Yes,0.09491,58,526,0.06984,0.11998
1987,Hesse,female,No,0.90509,468,526,0.88002,0.93016
1987,"Rhineland-Palatinate, Saarland",male,Yes,0.14873,58,378,0.11282,0.18465
1987,"Rhineland-Palatinate, Saarland",male,No,0.85127,320,378,0.81535,0.88718
1987,"Rhineland-Palatinate, Saarland",female,No,0.94313,359,359,0.91913,0.96712
1987,Baden-Wuerttemberg,male,Yes,0.12083,129,984,0.10045,0.14121
1987,Baden-Wuerttemberg,male,No,0.87917,855,984,0.85879,0.89955
1987,Baden-Wuerttemberg,female,Yes,0.08317,95,977,0.06585,0.10050
1987,Baden-Wuerttemberg,female,No,0.91683,882,977,0.89950,0.93415
1987,Bavaria,male,Yes,0.10883,115,827,0.08759,0.13007
1987,Bavaria,male,No,0.89117,712,827,0.86993,0.91241
1987,Bavaria,female,Yes,0.09048,98,896,0.07168,0.10927
1987,Bavaria,female,No,0.90952,798,896,0.89073,0.92832
1987,Berlin,male,No,0.87058,154,154,0.81739,0.92377
1987,Berlin,female,No,0.92609,166,166,0.88617,0.96601
1988,Schleswig-Holstein,male,No,0.87894,136,136,0.82392,0.93397
1988,Schleswig-Holstein,female,No,0.95372,154,154,0.92043,0.98701
1988,Hamburg,male,No,0.91686,89,89,0.85918,0.97455
1988,Hamburg,female,No,0.92972,93,93,0.87748,0.98195
1988,Lower Saxony,male,Yes,0.12086,72,513,0.09262,0.14910
1988,Lower Saxony,male,No,0.87914,441,513,0.85090,0.90738
1988,Lower Saxony,female,Yes,0.11107,70,535,0.08442,0.13772
1988,Lower Saxony,female,No,0.88893,465,535,0.86228,0.91558
1988,Bremen,male,No,0.87780,36,36,0.76929,0.98630
1988,Bremen,female,No,0.91655,53,53,0.84138,0.99172
1988,North Rhine-Westphalia,male,Yes,0.16776,234,1347,0.14780,0.18772
1988,North Rhine-Westphalia,male,No,0.83224,1113,1347,0.81228,0.85220
1988,North Rhine-Westphalia,female,Yes,0.09290,149,1345,0.07738,0.10842
1988,North Rhine-Westphalia,female,No,0.90710,1196,1345,0.89158,0.92262
1988,Hesse,male,Yes,0.10105,53,497,0.07453,0.12758
1988,Hesse,male,No,0.89895,444,497,0.87242,0.92547
1988,Hesse,female,Yes,0.07447,51,505,0.05155,0.09739
1988,Hesse,female,No,0.92553,454,505,0.90261,0.94845
1988,"Rhineland-Palatinate, Saarland",male,Yes,0.11309,42,359,0.08028,0.14590
1988,"Rhineland-Palatinate, Saarland",male,No,0.88691,317,359,0.85410,0.91972
1988,"Rhineland-Palatinate, Saarland",female,Yes,0.08805,39,378,0.05944,0.11665
1988,"Rhineland-Palatinate, Saarland",female,No,0.91195,339,378,0.88335,0.94056
1988,Baden-Wuerttemberg,male,Yes,0.14105,134,952,0.11893,0.16318
1988,Baden-Wuerttemberg,male,No,0.85895,818,952,0.83682,0.88107
1988,Baden-Wuerttemberg,female,Yes,0.06881,78,933,0.05256,0.08507
1988,Baden-Wuerttemberg,female,No,0.93119,855,933,0.91493,0.94744
