year,quintil_oecd,regtyp,plj0080_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1997,1st Quintile,Urban regions,Strongly,0.3175287356321839,16487,0.3104228378740906,0.32463463339027726
1997,1st Quintile,Urban regions,Very strongly,0.27155172413793105,16487,0.2647626446340972,0.2783408036417649
1997,1st Quintile,Urban regions,In some respects,0.257183908045977,16487,0.2505120346010895,0.2638557814908645
1997,1st Quintile,Urban regions,Hardly,0.11063218390804598,16487,0.10584404545536018,0.11542032236073178
1997,1st Quintile,Urban regions,Not at all,0.04310344827586207,16487,0.04000336218388549,0.04620353436783865
1997,1st Quintile,Rural regions,Strongly,0.36134453781512604,16487,0.3540115778333191,0.368677497796933
1997,1st Quintile,Rural regions,Very strongly,0.25210084033613445,16487,0.24547266601767231,0.2587290146545966
1997,1st Quintile,Rural regions,In some respects,0.2184873949579832,16487,0.21217976162935345,0.22479502828661294
1997,1st Quintile,Rural regions,Hardly,0.11764705882352941,16487,0.1127289633154117,0.12256515433164712
1997,1st Quintile,Rural regions,Not at all,0.05042016806722689,16487,0.047080116761713975,0.05376021937273981
1997,2nd Quintile,Urban regions,Strongly,0.3488,16487,0.3415250387155129,0.3560749612844871
1997,2nd Quintile,Urban regions,In some respects,0.3104,16487,0.30333772320453556,0.31746227679546446
1997,2nd Quintile,Urban regions,Very strongly,0.232,16487,0.22555667771171162,0.2384433222882884
1997,2nd Quintile,Urban regions,Hardly,0.0736,16487,0.06961412722133191,0.07758587277866809
1997,2nd Quintile,Urban regions,Not at all,0.0352,16487,0.032386964379479535,0.03801303562052047
1997,2nd Quintile,Rural regions,Strongly,0.29838709677419356,16487,0.29140277795813485,0.30537141559025227
1997,2nd Quintile,Rural regions,In some respects,0.28225806451612906,16487,0.27538749730059936,0.28912863173165876
1997,2nd Quintile,Rural regions,Very strongly,0.24193548387096775,16487,0.23539833882199382,0.24847262891994168
1997,2nd Quintile,Rural regions,Hardly,0.11290322580645161,16487,0.10807237163537456,0.11773407997752866
