year,plj0080_h,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1997,Strongly,0.3244943820224719,16487,0.31734771864947414,0.3316410453954696
1997,In some respects,0.28314606741573034,16487,0.2762689592444271,0.29002317558703355
1997,Very strongly,0.2503370786516854,16487,0.24372434762950007,0.25694980967387077
1997,Hardly,0.0952808988764045,16487,0.09079917542017721,0.09976262233263178
1997,Not at all,0.046741573033707864,16487,0.043519449098892604,0.049963696968523125
1999,In some respects,0.30597014925373134,17396,0.2991222087865316,0.31281808972093106
1999,Strongly,0.30398009950248756,17396,0.2971446862386815,0.3108155127662936
1999,Very strongly,0.2228855721393035,17396,0.21670092628303406,0.22907021799557292
1999,Hardly,0.10895522388059702,17396,0.10432496615765534,0.1135854816035387
1999,Not at all,0.058208955223880594,17396,0.054729561687945995,0.061688348759815194
2001,In some respects,0.3438340376488667,27798,0.3382502283349711,0.34941784696276235
2001,Strongly,0.28812908182865926,27798,0.2828050153539375,0.29345314830338104
2001,Very strongly,0.1628889742604687,27798,0.15854800539106378,0.1672299431298736
2001,Hardly,0.13791778716865155,27798,0.13386425355677892,0.14197132078052419
2001,Not at all,0.06723011909335382,27798,0.0642862500039629,0.07017398818274473
2003,In some respects,0.3364522417153996,27727,0.3308906073182401,0.3420138761125591
2003,Strongly,0.29746588693957116,27727,0.29208496213582935,0.30284681174331296
2003,Very strongly,0.1516569200779727,27727,0.14743488821166534,0.1558789519442801
2003,Hardly,0.13996101364522417,27727,0.13587718755813216,0.1440448397323162
2003,Not at all,0.07446393762183236,27727,0.07137382504496488,0.07755405019869983
2012,In some respects,0.2722740082375894,40229,0.2679241661754413,0.2766238502997375
2012,Strongly,0.2258833730760893,40229,0.22179705863221988,0.22996968751995872
2012,Not at all,0.18534576197702146,40229,0.18154855348527743,0.1891429704687655
2012,Hardly,0.16952091914155648,40229,0.16585432828838695,0.173187509994726
2012,Very strongly,0.14697593756774333,40229,0.14351582511518407,0.15043605002030258
2014,In some respects,0.3064539733645544,38694,0.3018603590341586,0.31104758769495017
2014,Strongly,0.2583052831845456,38694,0.2539440079537258,0.2626665584153654
2014,Hardly,0.15556856432021074,38694,0.15195714950099193,0.15917997913942955
2014,Very strongly,0.14825113420166838,38694,0.14471043484571822,0.15179183355761855
2014,Not at all,0.13142104492902093,38694,0.12805460114238762,0.13478748871565424
2016,In some respects,0.2934561422298383,41132,0.28905558855645025,0.29785669590322633
2016,Strongly,0.25222234122309095,41132,0.24802529089541897,0.25641939155076293
2016,Very strongly,0.19877905108707294,41132,0.19492224670163394,0.20263585547251195
2016,Hardly,0.1371961015315412,41132,0.1338710904838584,0.14052111257922398
2016,Not at all,0.11834636392845668,41132,0.11522465347364286,0.12146807438327051
2018,In some respects,0.30067915208890716,43121,0.29635100954361376,0.30500729463420057
2018,Strongly,0.24861082527268985,43121,0.24453135151275374,0.25269029903262596
2018,Very strongly,0.16958221856349043,43121,0.16604020568631178,0.17312423144066907
2018,Hardly,0.14694381559991768,43121,0.14360204884868744,0.15028558235114792
2018,Not at all,0.13418398847499485,43121,0.13096681251921166,0.13740116443077804
2020,In some respects,0.2744650499286733,42741,0.270234406476439,0.27869569338090766
2020,Hardly,0.26419400855920117,42741,0.2600140028595988,0.26837401425880353
2020,Not at all,0.2381359961959106,42741,0.234097822616844,0.24217416977497722
2020,Very strongly,0.11165002377555873,42741,0.10866426175577347,0.11463578579534399
2020,Strongly,0.1115549215406562,42741,0.10857027166313347,0.11453957141817893
