year,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.37294,5221,10936,0.36388,0.38201
1985,At least once per month,0.25845,3307,10936,0.25025,0.26666
1985,Seldom,0.16625,2000,10936,0.15927,0.17322
1985,Never,0.03425,408,10936,0.03084,0.03766
1986,At least once per week,0.34157,4734,10547,0.33252,0.35062
1986,At least once per month,0.28212,3453,10547,0.27353,0.29071
1986,Seldom,0.17424,1960,10547,0.16701,0.18148
1986,Never,0.03654,400,10547,0.03296,0.04012
1988,At least once per week,0.35741,4764,9916,0.34797,0.36684
1988,At least once per month,0.27575,3126,9916,0.26695,0.28455
1988,Seldom,0.16170,1680,9916,0.15445,0.16894
1988,Never,0.03519,346,9916,0.03157,0.03882
1990,At least once per week,0.04646,1250,4388,0.04023,0.05269
1990,At least once per month,0.05696,1622,4388,0.05010,0.06382
1990,Seldom,0.04921,1326,4388,0.04281,0.05561
1990,Never,0.00807,190,4388,0.00542,0.01072
1992,At least once per week,0.31732,5304,13218,0.30938,0.32525
1992,At least once per month,0.29462,4689,13218,0.28684,0.30239
1992,Seldom,0.17048,2775,13218,0.16407,0.17689
1992,Never,0.03324,450,13218,0.03019,0.03630
1994,At least once per week,0.30458,4919,12803,0.29661,0.31255
1994,At least once per month,0.28857,4512,12803,0.28072,0.29642
1994,Seldom,0.19395,2970,12803,0.18710,0.20080
1994,Never,0.02943,402,12803,0.02651,0.03236
1996,At least once per week,0.34259,5641,13006,0.33444,0.35075
1996,At least once per month,0.29250,4610,13006,0.28469,0.30032
1996,Seldom,0.16366,2483,13006,0.15730,0.17002
1996,Never,0.02014,272,13006,0.01773,0.02256
1997,At least once per week,0.35732,5750,12764,0.34901,0.36564
1997,At least once per month,0.27690,4415,12764,0.26913,0.28466
1997,Seldom,0.16228,2312,12764,0.15589,0.16868
1997,Never,0.02128,287,12764,0.01878,0.02379
1999,At least once per week,0.33207,5620,13617,0.32416,0.33998
1999,At least once per month,0.29235,4898,13617,0.28471,0.29999
1999,Seldom,0.17759,2810,13617,0.17117,0.18401
1999,Never,0.02182,289,13617,0.01937,0.02427
2001,At least once per week,0.35797,9561,21809,0.35161,0.36434
2001,At least once per month,0.28234,7638,21809,0.27637,0.28832
2001,Seldom,0.15429,3929,21809,0.14949,0.15908
2001,Never,0.02836,681,21809,0.02616,0.03056
2005,At least once per week,0.36242,8970,20607,0.35585,0.36898
2005,At least once per month,0.28541,7254,20607,0.27924,0.29158
2005,Seldom,0.16465,3890,20607,0.15959,0.16972
2005,Never,0.02396,493,20607,0.02188,0.02605
2007,At least once per week,0.35583,8769,20407,0.34926,0.36240
2007,At least once per month,0.29728,7506,20407,0.29100,0.30355
2007,Seldom,0.15092,3581,20407,0.14601,0.15583
2007,Never,0.02545,551,20407,0.02329,0.02761
2009,At least once per week,0.34850,7261,17923,0.34152,0.35547
2009,At least once per month,0.30665,6863,17923,0.29990,0.31340
2009,Seldom,0.16035,3408,17923,0.15498,0.16572
2009,Never,0.02128,391,17923,0.01917,0.02340
2011,At least once per week,0.35489,12356,28276,0.34932,0.36047
2011,At least once per month,0.28865,10057,28276,0.28337,0.29393
2011,Seldom,0.16273,5017,28276,0.15843,0.16704
2011,Never,0.02710,846,28276,0.02520,0.02899
2015,At least once per week,0.36083,11652,26722,0.35507,0.36659
2015,At least once per month,0.29947,9619,26722,0.29397,0.30496
2015,Seldom,0.15368,4623,26722,0.14936,0.15801
2015,Never,0.02633,828,26722,0.02441,0.02825
2017,At least once per week,0.37959,11896,26507,0.37375,0.38543
2017,At least once per month,0.28761,9432,26507,0.28216,0.29305
2017,Seldom,0.14234,4521,26507,0.13813,0.14654
2017,Never,0.02278,658,26507,0.02098,0.02457
